Variant,MomentumDays,SellThreshold,BuyThreshold,MinTurnover,MinPrice,TransactionCost,TotalReturn,CAGR,MaxDrawdown,Volatility,Sharpe,Trades,AvgCash,MaxCash,AvgStocks,MinStocks,AvgEligibleCount,MinEligibleCount,ReturnToDrawdown
mom20_sell15_0_buy2_0,20,-0.15,0.02,1000000,0.5,0.001,1.389623998497565,0.19405994268668203,-0.299553325824201,0.20320336519608456,0.9463166073625248,3848,0.002443043718098314,1.0,99.7416081186573,0,957.4754098360655,28,0.6478310402755136
mom25_sell12_5_buy1_0,25,-0.125,0.01,1000000,0.5,0.001,1.0032253716550583,0.15258088395442249,-0.3451831881423254,0.2133301627806788,0.7509359533152012,4606,0.0023159978104247475,1.0,99.75626959247649,0,1092.7068965517242,36,0.4420287232862296
mom25_sell17_5_buy3_0,25,-0.175,0.03,1000000,0.5,0.001,1.199664437995834,0.1748304729144614,-0.3067228844240444,0.2530464826163276,0.7420101659587615,3284,0.002490406226636733,1.0,99.75548589341693,0,890.198275862069,30,0.5699948774371797
mom20_sell12_5_buy1_0,20,-0.125,0.01,1000000,0.5,0.001,0.8851340020666003,0.13778024292831947,-0.282597694649116,0.20475272645534578,0.7124627041916249,4786,0.002367454673149698,1.0,99.76268540202966,0,1072.919594067135,32,0.4875490690021114
mom20_sell15_0_buy3_0,20,-0.15,0.03,1000000,0.5,0.001,1.26694041739243,0.18131560572334826,-0.2962278776677799,0.29889418459877876,0.6841607860236977,3794,0.002765230971146761,1.0,99.7056986729118,0,846.6088992974239,25,0.6120815068144735
mom25_sell12_5_buy2_0,25,-0.125,0.02,1000000,0.5,0.001,0.8212304093745977,0.130359839829004,-0.32826838987022344,0.21330643162166565,0.6626115577839039,4600,0.002613628393146211,1.0,99.71943573667711,0,989.9655172413793,33,0.3971135931806899
mom15_sell12_5_buy3_0,15,-0.125,0.03,1000000,0.5,0.001,0.6238884492018566,0.10374374381025109,-0.27622049733981047,0.16630437173435414,0.6575892885092361,4760,0.002697137471255868,1.0,99.7111631537861,0,780.2287275565964,19,0.37558307514964767
mom15_sell15_0_buy1_0,15,-0.15,0.01,1000000,0.5,0.001,0.5473668385257815,0.09295002704998323,-0.3095693877778579,0.17089194339776997,0.588784556259241,3716,0.0016532287368356562,1.0,99.82669789227167,0,1041.8524590163934,26,0.30025587386787317
mom20_sell15_0_buy1_0,20,-0.15,0.01,1000000,0.5,0.001,0.5571278545243106,0.09435019992026739,-0.3619655116288689,0.20289988739805603,0.5317187075040732,3868,0.001920471331853446,1.0,99.79859484777518,0,1072.919594067135,32,0.26066074498557945
mom20_sell12_5_buy2_0,20,-0.125,0.02,1000000,0.5,0.001,0.5195832263604361,0.08892571923699055,-0.3090932197352081,0.19507254512973354,0.5201591871062706,4786,0.002908831208229093,1.0,99.7064793130367,0,957.4754098360655,28,0.28769870563052413
mom15_sell12_5_buy1_0,15,-0.125,0.01,1000000,0.5,0.001,0.41646257275706366,0.07345699689568441,-0.2800824618208916,0.1700783937174334,0.48841987448397306,4820,0.0019338385779089755,1.0,99.79547228727557,0,1041.8524590163934,26,0.2622691775062268
mom20_sell17_5_buy1_0,20,-0.175,0.01,1000000,0.5,0.001,0.4740636152921345,0.0822039498089504,-0.36740271876839103,0.20591495915503477,0.4741580799057435,3194,0.001735737050034194,1.0,99.82045277127244,0,1072.919594067135,32,0.223743444481072
mom25_sell17_5_buy1_0,25,-0.175,0.01,1000000,0.5,0.001,0.46541369161398083,0.08123746418446798,-0.33640254971688144,0.20847606652665063,0.4669336257772594,3370,0.0016688118529628432,1.0,99.84012539184953,0,1092.7068965517242,36,0.24148884796752568
mom20_sell12_5_buy3_0,20,-0.125,0.03,1000000,0.5,0.001,0.42023718470562943,0.07403877756685917,-0.3497999436059882,0.1996823246097391,0.44576143497766046,4764,0.0032553117975306616,1.0,99.67135050741608,0,846.6088992974239,25,0.2116603473505869
mom25_sell12_5_buy3_0,25,-0.125,0.03,1000000,0.5,0.001,0.4703032707146457,0.0819738786358779,-0.4094232012234428,0.2457844238478301,0.4317983677716866,4576,0.00308443507195374,1.0,99.67319749216301,0,890.198275862069,30,0.20021796124626715
mom25_sell15_0_buy1_0,25,-0.15,0.01,1000000,0.5,0.001,0.33924424862525404,0.06152256966411107,-0.3756090556838344,0.19436103408318844,0.39473620391434167,3942,0.0018111435475852379,1.0,99.8025078369906,0,1092.7068965517242,36,0.16379415973372363
mom25_sell15_0_buy2_0,25,-0.15,0.02,1000000,0.5,0.001,0.3172275218579321,0.057932136156264136,-0.32347672614760514,0.18549924038562823,0.38678245510348963,3908,0.0022619392663507944,1.0,99.75940438871473,0,989.9655172413793,33,0.17909213081941858
mom20_sell17_5_buy3_0,20,-0.175,0.03,1000000,0.5,0.001,0.3161439245472437,0.05752248535352389,-0.35915916050709273,0.18705389896886077,0.3829800792305452,3190,0.0026171226550146553,1.0,99.72833723653396,0,846.6088992974239,25,0.16015875878623992
mom15_sell12_5_buy2_0,15,-0.125,0.02,1000000,0.5,0.001,0.2784107345854345,0.05127804763699362,-0.27601003247027767,0.1686941997930727,0.3713713658698272,4806,0.002266203616961243,1.0,99.76112412177986,0,907.3161592505854,23,0.18578327453555707
mom25_sell17_5_buy2_0,25,-0.175,0.02,1000000,0.5,0.001,0.28777862595895587,0.053054278717745706,-0.36868169736959,0.2126974068332361,0.341716750513114,3334,0.0021113202352274064,1.0,99.79545454545455,0,989.9655172413793,33,0.14390266480888178
mom15_sell17_5_buy3_0,15,-0.175,0.03,1000000,0.5,0.001,0.22217454648122326,0.041693414506676074,-0.31663699518073274,0.15678227791392801,0.33065901114551527,2754,0.0024158087771509852,1.0,99.74863387978142,0,780.2287275565964,19,0.13167575217443545
mom20_sell17_5_buy2_0,20,-0.175,0.02,1000000,0.5,0.001,0.23366282005691263,0.043679553913438696,-0.4025803266182746,0.18492115000125608,0.31639689582187747,3204,0.002246990079706169,1.0,99.76424668227946,0,957.4754098360655,28,0.10849897778252715
mom15_sell15_0_buy2_0,15,-0.15,0.02,1000000,0.5,0.001,0.21086194648905687,0.039723063580876294,-0.3681125912096913,0.16756270368385384,0.30895410845473126,3702,0.001986209354651953,1.0,99.79625292740047,0,907.3161592505854,23,0.10791009199206796
mom15_sell17_5_buy2_0,15,-0.175,0.02,1000000,0.5,0.001,0.18301268141232985,0.034809245123312405,-0.2965258665495588,0.1563365200793295,0.2901995373443587,2812,0.0017040607238465089,1.0,99.81811085089774,0,907.3161592505854,23,0.11739024837313707
mom25_sell15_0_buy3_0,25,-0.15,0.03,1000000,0.5,0.001,0.1961139185147469,0.037280350319121025,-0.37620523081788126,0.18775366122260828,0.2829730043293092,3864,0.00265904495477148,1.0,99.7217868338558,0,890.198275862069,30,0.09909577875372026
mom15_sell17_5_buy1_0,15,-0.175,0.01,1000000,0.5,0.001,0.1341339692084722,0.025957586961738777,-0.2890458892288309,0.15699043165439502,0.23672586114666952,2878,0.0014836169343197248,1.0,99.84231069476971,0,1041.8524590163934,26,0.08980438030443243
mom15_sell15_0_buy3_0,15,-0.15,0.03,1000000,0.5,0.001,0.13602455649323253,0.026305556699191435,-0.3092530898564879,0.16122098288296635,0.23671629822742402,3642,0.0026054846534373046,1.0,99.73770491803279,0,780.2287275565964,19,0.08506158082817798
