ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AT0000746409,3306518,VER,EUR,2019-01-02,37.9,39.1,36.9,39.1,313688,889,38.408
AT0000746409,3306518,VER,EUR,2019-01-03,38.88,39.28,37.92,38.04,232407,819,38.419
AT0000746409,3306518,VER,EUR,2019-01-04,37.8,39.18,37.8,38.94,242410,731,38.922
AT0000746409,3306518,VER,EUR,2019-01-07,39.14,39.6,38.36,39.14,288104,999,39.015
AT0000746409,3306518,VER,EUR,2019-01-08,39.2,40.46,38.78,39.96,312417,1037,39.852
AT0000746409,3306518,VER,EUR,2019-01-09,40.0,40.78,39.66,40.14,317359,938,40.167
AT0000746409,3306518,VER,EUR,2019-01-10,40.02,41.5,39.56,41.14,343969,1172,40.798
AT0000746409,3306518,VER,EUR,2019-01-11,40.9,42.48,40.9,41.74,289848,997,41.75
AT0000746409,3306518,VER,EUR,2019-01-14,40.72,41.44,40.28,40.84,290544,971,40.881
AT0000746409,3306518,VER,EUR,2019-01-15,40.6,41.1,40.42,40.5,185446,716,40.616
AT0000746409,3306518,VER,EUR,2019-01-16,40.3,41.9,40.3,41.7,328205,1081,41.391
AT0000746409,3306518,VER,EUR,2019-01-17,41.74,42.64,41.4,42.5,326436,1003,42.232
AT0000746409,3306518,VER,EUR,2019-01-18,42.56,44.32,42.48,43.92,432771,1182,43.639
AT0000746409,3306518,VER,EUR,2019-01-21,43.88,43.96,43.02,43.3,170888,667,43.491
AT0000746409,3306518,VER,EUR,2019-01-22,43.28,43.72,42.8,43.26,198270,796,43.223
AT0000746409,3306518,VER,EUR,2019-01-23,43.0,43.86,42.84,43.7,282078,867,43.465
AT0000746409,3306518,VER,EUR,2019-01-24,43.46,44.44,42.5,44.18,245919,818,44.078
AT0000746409,3306518,VER,EUR,2019-01-25,44.2,44.44,42.7,42.7,173819,671,43.205
AT0000746409,3306518,VER,EUR,2019-01-28,42.54,43.6,42.48,42.5,194166,705,42.911
AT0000746409,3306518,VER,EUR,2019-01-29,42.16,43.68,41.14,43.68,193730,563,43.358
AT0000746409,3306518,VER,EUR,2019-01-30,42.9,45.4,42.9,45.0,304821,1008,44.618
AT0000746409,3306518,VER,EUR,2019-01-31,45.0,45.12,44.46,44.62,305995,655,44.74
AT0000746409,3306518,VER,EUR,2019-02-01,44.5,44.92,43.96,44.24,196774,772,44.358
AT0000746409,3306518,VER,EUR,2019-02-04,44.22,44.9,44.2,44.6,157875,616,44.531
AT0000746409,3306518,VER,EUR,2019-02-05,44.22,45.06,44.22,45.06,179339,585,44.904
AT0000746409,3306518,VER,EUR,2019-02-06,45.0,45.2,44.12,44.58,200712,841,44.655
AT0000746409,3306518,VER,EUR,2019-02-07,44.44,45.38,44.38,44.5,188946,795,44.912
AT0000746409,3306518,VER,EUR,2019-02-08,44.0,44.48,43.3,44.0,299180,1058,43.808
AT0000746409,3306518,VER,EUR,2019-02-11,44.0,44.24,43.24,44.12,173827,676,43.892
AT0000746409,3306518,VER,EUR,2019-02-12,44.5,45.06,44.22,44.28,203835,664,44.493
AT0000746409,3306518,VER,EUR,2019-02-13,44.14,44.24,42.0,42.18,350395,1448,42.579
AT0000746409,3306518,VER,EUR,2019-02-14,41.8,43.0,41.02,41.96,222804,859,42.321
AT0000746409,3306518,VER,EUR,2019-02-15,41.9,43.04,41.6,42.84,213079,808,42.591
AT0000746409,3306518,VER,EUR,2019-02-18,43.14,43.18,42.58,42.7,164995,603,42.876
AT0000746409,3306518,VER,EUR,2019-02-19,42.5,43.38,42.5,43.18,102470,393,43.09
AT0000746409,3306518,VER,EUR,2019-02-20,43.32,44.14,43.06,44.14,146171,552,43.961
AT0000746409,3306518,VER,EUR,2019-02-21,43.8,44.3,40.84,41.42,328593,1289,42.14
AT0000746409,3306518,VER,EUR,2019-02-22,41.54,41.64,39.94,41.0,280121,1050,40.783
AT0000746409,3306518,VER,EUR,2019-02-25,41.0,41.42,40.36,40.92,164033,619,40.825
AT0000746409,3306518,VER,EUR,2019-02-26,40.8,42.28,40.72,41.98,212444,888,41.814
AT0000746409,3306518,VER,EUR,2019-02-27,41.9,42.64,41.08,41.76,191899,690,41.774
AT0000746409,3306518,VER,EUR,2019-02-28,41.78,42.32,41.24,42.32,326102,568,42.152
AT0000746409,3306518,VER,EUR,2019-03-01,41.82,42.24,40.94,42.24,262685,844,41.791
AT0000746409,3306518,VER,EUR,2019-03-04,42.44,42.74,42.02,42.48,152353,577,42.413
AT0000746409,3306518,VER,EUR,2019-03-05,42.32,42.86,42.1,42.64,173599,587,42.602
AT0000746409,3306518,VER,EUR,2019-03-06,42.14,42.92,41.5,41.5,133209,475,41.747
AT0000746409,3306518,VER,EUR,2019-03-07,41.5,42.8,41.3,42.8,165720,627,42.331
AT0000746409,3306518,VER,EUR,2019-03-08,42.94,43.74,42.22,42.68,152347,656,42.921
AT0000746409,3306518,VER,EUR,2019-03-11,42.58,43.28,42.4,43.28,197237,515,43.041
AT0000746409,3306518,VER,EUR,2019-03-12,43.04,44.0,43.04,44.0,195441,629,43.799
AT0000746409,3306518,VER,EUR,2019-03-13,43.76,43.88,40.62,41.92,432961,1934,41.833
AT0000746409,3306518,VER,EUR,2019-03-14,42.06,42.9,41.34,42.76,203960,893,42.52
