ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-02,33.7,34.15,32.0,32.8,5743,54,33.01
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-03,33.1,33.1,32.0,32.15,7746,87,32.33
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-04,32.6,33.25,32.0,32.8,7414,115,32.42
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-07,33.15,33.15,32.35,32.7,3989,27,32.72
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-08,33.15,34.0,32.2,33.5,7614,43,33.16
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-09,32.7,34.25,32.7,33.5,6546,51,33.56
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-10,33.9,34.0,33.3,33.3,2507,37,33.7
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-11,33.75,35.15,33.65,35.15,4486,44,34.36
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-14,35.25,35.4,34.35,35.0,3267,50,34.855
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-15,34.9,35.75,33.4,35.6,7090,84,34.78
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-16,35.85,36.8,35.7,36.0,3331,38,36.22
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-17,36.3,36.3,35.7,35.7,3633,32,35.895
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-18,35.9,36.4,35.45,36.4,4742,40,35.865
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-21,36.3,37.3,36.3,37.3,4056,51,36.895
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-22,36.85,37.3,36.6,36.75,3266,36,36.81
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-23,36.7,36.85,36.0,36.5,5058,50,36.545
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-24,36.1,36.5,35.1,35.7,4092,42,35.52
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-25,36.0,36.5,35.15,35.5,5469,60,35.665
AT000KAPSCH9,69052886,KTCG,EUR,2019-01-28,35.8,36.0,35.05,35.55,3102,27,35.55
