ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU0000003816,319337006,CPV,AUD,2019-01-02,0.29,0.29,0.275,0.28,35017,7,0.2817
AU0000003816,319337006,CPV,AUD,2019-01-03,0.275,0.29,0.275,0.275,188043,18,0.2807
AU0000003816,319337006,CPV,AUD,2019-01-04,0.28,0.285,0.265,0.265,94533,11,0.2725
AU0000003816,319337006,CPV,AUD,2019-01-07,0.27,0.27,0.24,0.255,321044,48,0.2517
AU0000003816,319337006,CPV,AUD,2019-01-08,0.24,0.26,0.24,0.24,244773,35,0.2432
AU0000003816,319337006,CPV,AUD,2019-01-09,0.255,0.26,0.24,0.245,261522,24,0.2509
AU0000003816,319337006,CPV,AUD,2019-01-10,0.26,0.26,0.255,0.26,55000,8,0.2585
AU0000003816,319337006,CPV,AUD,2019-01-11,0.26,0.26,0.245,0.245,101981,12,0.2495
AU0000003816,319337006,CPV,AUD,2019-01-14,0.25,0.265,0.24,0.265,119202,15,0.2557
AU0000003816,319337006,CPV,AUD,2019-01-15,0.265,0.265,0.25,0.25,133303,11,0.251
AU0000003816,319337006,CPV,AUD,2019-01-16,0.265,0.275,0.265,0.275,72223,16,0.2688
AU0000003816,319337006,CPV,AUD,2019-01-17,0.28,0.28,0.265,0.27,135452,23,0.2768
AU0000003816,319337006,CPV,AUD,2019-01-18,0.275,0.28,0.26,0.275,155277,16,0.272
AU0000003816,319337006,CPV,AUD,2019-01-21,0.275,0.28,0.275,0.28,47600,7,0.2783
AU0000003816,319337006,CPV,AUD,2019-01-22,0.26,0.26,0.255,0.26,246323,31,0.2595
AU0000003816,319337006,CPV,AUD,2019-01-23,0.26,0.26,0.26,0.26,40677,6,0.26
AU0000003816,319337006,CPV,AUD,2019-01-24,0.26,0.27,0.26,0.265,78852,9,0.2641
AU0000003816,319337006,CPV,AUD,2019-01-25,0.265,0.265,0.26,0.26,46648,8,0.26
AU0000003816,319337006,CPV,AUD,2019-01-29,0.26,0.26,0.26,0.26,0,0,0.26
AU0000003816,319337006,CPV,AUD,2019-01-30,0.26,0.275,0.26,0.26,318992,43,0.2663
AU0000003816,319337006,CPV,AUD,2019-01-31,0.27,0.285,0.27,0.285,359486,37,0.2765
AU0000003816,319337006,CPV,AUD,2019-02-01,0.335,0.345,0.295,0.305,1295780,244,0.3223
AU0000003816,319337006,CPV,AUD,2019-02-04,0.315,0.325,0.315,0.325,349333,81,0.3185
AU0000003816,319337006,CPV,AUD,2019-02-05,0.325,0.38,0.325,0.355,903351,198,0.3536
