ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000BGA8,93033793,BGA,AUD,2019-01-02,4.8388,5.006,4.8388,4.8585,472754,3402,4.9066815
AU000000BGA8,93033793,BGA,AUD,2019-01-03,4.8487,4.947,4.8487,4.8978,368240,2874,4.90127225
AU000000BGA8,93033793,BGA,AUD,2019-01-04,4.888,4.888,4.7405,4.7503,438453,2331,4.7788265
AU000000BGA8,93033793,BGA,AUD,2019-01-07,4.7798,4.9077,4.7503,4.7798,447317,3849,4.81767475
AU000000BGA8,93033793,BGA,AUD,2019-01-08,4.77,4.8192,4.6716,4.7405,730837,4821,4.72719275
AU000000BGA8,93033793,BGA,AUD,2019-01-09,4.7405,4.8192,4.7208,4.7503,585775,4820,4.74981325
AU000000BGA8,93033793,BGA,AUD,2019-01-10,4.7503,4.8142,4.6323,4.7208,814170,5218,4.7060475
AU000000BGA8,93033793,BGA,AUD,2019-01-11,4.7011,4.8388,4.7011,4.77,579284,4296,4.7925955
AU000000BGA8,93033793,BGA,AUD,2019-01-14,4.77,4.9175,4.7601,4.9077,735393,4941,4.8457045
AU000000BGA8,93033793,BGA,AUD,2019-01-15,4.9175,4.9568,4.8388,4.9077,686152,4153,4.8870115
AU000000BGA8,93033793,BGA,AUD,2019-01-16,4.947,4.9765,4.888,4.9175,830517,4601,4.91995875
AU000000BGA8,93033793,BGA,AUD,2019-01-17,4.9077,4.9175,4.8585,4.888,787626,3804,4.8889785
AU000000BGA8,93033793,BGA,AUD,2019-01-18,4.9175,4.9273,4.8487,4.9175,705025,3632,4.90127225
AU000000BGA8,93033793,BGA,AUD,2019-01-21,4.9077,5.0847,4.9077,5.0158,663149,3728,5.01535825
AU000000BGA8,93033793,BGA,AUD,2019-01-22,5.0158,5.1732,5.006,5.1437,578321,3168,5.11764225
AU000000BGA8,93033793,BGA,AUD,2019-01-23,5.1142,5.1732,5.0552,5.1437,389880,2960,5.112233
AU000000BGA8,93033793,BGA,AUD,2019-01-24,5.2027,5.2421,5.1437,5.183,683215,5109,5.1899295
AU000000BGA8,93033793,BGA,AUD,2019-01-25,5.1732,5.2912,5.1732,5.2519,489836,3199,5.24057975
AU000000BGA8,93033793,BGA,AUD,2019-01-29,5.2421,5.2519,5.1093,5.1437,432205,4068,5.15599875
AU000000BGA8,93033793,BGA,AUD,2019-01-30,5.1142,5.2126,5.1044,5.1437,393062,4011,5.159441
AU000000BGA8,93033793,BGA,AUD,2019-01-31,5.1437,5.1634,4.9863,4.9863,551758,3729,5.0365035
AU000000BGA8,93033793,BGA,AUD,2019-02-01,4.9273,5.1142,4.9273,4.9667,832128,5194,4.99175425
AU000000BGA8,93033793,BGA,AUD,2019-02-04,5.0158,5.1142,4.9027,4.9175,312769,2915,4.94257925
AU000000BGA8,93033793,BGA,AUD,2019-02-05,4.9175,4.9765,4.888,4.9077,736627,4462,4.9224175
AU000000BGA8,93033793,BGA,AUD,2019-02-06,4.9273,4.9863,4.829,4.8487,831596,4807,4.86881675
AU000000BGA8,93033793,BGA,AUD,2019-02-07,4.8782,4.9175,4.8487,4.8782,1143997,6302,4.880127
AU000000BGA8,93033793,BGA,AUD,2019-02-08,4.888,4.888,4.7995,4.7995,829040,4830,4.827018
AU000000BGA8,93033793,BGA,AUD,2019-02-11,4.8388,4.8683,4.6913,4.7405,653341,3576,4.74784625
AU000000BGA8,93033793,BGA,AUD,2019-02-12,4.7208,4.7995,4.711,4.7306,489834,3368,4.74194525
AU000000BGA8,93033793,BGA,AUD,2019-02-13,4.7798,4.7946,4.7208,4.7208,512514,3585,4.74096175
AU000000BGA8,93033793,BGA,AUD,2019-02-14,4.7208,4.7454,4.6421,4.6618,604512,4110,4.67900125
