ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000BKY0,44188692,BKY,AUD,2019-01-02,0.17,0.17,0.16,0.16,190752,75,0.1668
AU000000BKY0,44188692,BKY,AUD,2019-01-03,0.17,0.17,0.165,0.165,124936,59,0.1692
AU000000BKY0,44188692,BKY,AUD,2019-01-04,0.18,0.185,0.175,0.18,834567,311,0.18
AU000000BKY0,44188692,BKY,AUD,2019-01-07,0.23,0.245,0.205,0.21,10082098,702,0.2215
AU000000BKY0,44188692,BKY,AUD,2019-01-08,0.22,0.225,0.21,0.225,1424286,153,0.2198
AU000000BKY0,44188692,BKY,AUD,2019-01-09,0.23,0.235,0.22,0.23,998271,116,0.2283
AU000000BKY0,44188692,BKY,AUD,2019-01-10,0.235,0.255,0.235,0.245,1022014,183,0.2456
AU000000BKY0,44188692,BKY,AUD,2019-01-11,0.425,0.46,0.36,0.4,6481833,1054,0.4007
AU000000BKY0,44188692,BKY,AUD,2019-01-14,0.41,0.445,0.405,0.435,3336472,453,0.4228
AU000000BKY0,44188692,BKY,AUD,2019-01-15,0.475,0.53,0.46,0.53,4326582,790,0.4866
AU000000BKY0,44188692,BKY,AUD,2019-01-16,0.47,0.48,0.46,0.475,1750926,320,0.4704
AU000000BKY0,44188692,BKY,AUD,2019-01-17,0.445,0.475,0.43,0.465,1199052,193,0.4557
AU000000BKY0,44188692,BKY,AUD,2019-01-18,0.395,0.405,0.375,0.385,932609,264,0.3904
AU000000BKY0,44188692,BKY,AUD,2019-01-21,0.38,0.44,0.38,0.43,1127088,258,0.4147
AU000000BKY0,44188692,BKY,AUD,2019-01-22,0.43,0.45,0.42,0.42,594141,153,0.4296
AU000000BKY0,44188692,BKY,AUD,2019-01-23,0.405,0.415,0.38,0.405,807338,130,0.3961
AU000000BKY0,44188692,BKY,AUD,2019-01-24,0.495,0.53,0.48,0.51,3490278,591,0.5039
AU000000BKY0,44188692,BKY,AUD,2019-01-25,0.5,0.53,0.475,0.525,3198737,461,0.5138
AU000000BKY0,44188692,BKY,AUD,2019-01-29,0.505,0.51,0.485,0.5,430128,130,0.4999
AU000000BKY0,44188692,BKY,AUD,2019-01-30,0.5,0.52,0.5,0.51,954814,240,0.5067
AU000000BKY0,44188692,BKY,AUD,2019-01-31,0.52,0.54,0.515,0.52,1271244,152,0.5254
AU000000BKY0,44188692,BKY,AUD,2019-02-01,0.505,0.525,0.505,0.515,1066785,438,0.5151
AU000000BKY0,44188692,BKY,AUD,2019-02-04,0.52,0.52,0.5,0.505,815668,80,0.5099
AU000000BKY0,44188692,BKY,AUD,2019-02-05,0.49,0.5,0.475,0.49,222067,100,0.4884
AU000000BKY0,44188692,BKY,AUD,2019-02-06,0.49,0.495,0.48,0.495,323455,81,0.4865
AU000000BKY0,44188692,BKY,AUD,2019-02-07,0.485,0.5,0.48,0.49,61235,45,0.4872
AU000000BKY0,44188692,BKY,AUD,2019-02-08,0.475,0.475,0.445,0.46,457955,168,0.4559
AU000000BKY0,44188692,BKY,AUD,2019-02-11,0.44,0.465,0.44,0.46,317589,48,0.4469
AU000000BKY0,44188692,BKY,AUD,2019-02-12,0.46,0.46,0.44,0.445,285696,125,0.4506
AU000000BKY0,44188692,BKY,AUD,2019-02-13,0.45,0.455,0.44,0.45,549242,107,0.4465
AU000000BKY0,44188692,BKY,AUD,2019-02-14,0.45,0.465,0.45,0.455,68156,36,0.4522
AU000000BKY0,44188692,BKY,AUD,2019-02-15,0.445,0.465,0.44,0.46,344108,145,0.4482
AU000000BKY0,44188692,BKY,AUD,2019-02-18,0.46,0.46,0.45,0.45,69222,16,0.4587
