ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000CCE7,258666221,CCE,AUD,2019-01-02,0.2,0.2,0.2,0.2,176911,25,0.2
AU000000CCE7,258666221,CCE,AUD,2019-01-03,0.25,0.25,0.2,0.25,97317,25,0.21
AU000000CCE7,258666221,CCE,AUD,2019-01-04,0.2,0.2,0.2,0.2,19128,7,0.2
AU000000CCE7,258666221,CCE,AUD,2019-01-07,0.2,0.25,0.15,0.25,26737,11,0.185
AU000000CCE7,258666221,CCE,AUD,2019-01-08,0.25,0.25,0.2,0.2,115983,25,0.205
AU000000CCE7,258666221,CCE,AUD,2019-01-09,0.2,0.2,0.2,0.2,32089,7,0.2
AU000000CCE7,258666221,CCE,AUD,2019-01-10,0.2,0.2,0.2,0.2,28489,10,0.2
AU000000CCE7,258666221,CCE,AUD,2019-01-11,0.2,0.2,0.2,0.2,26575,7,0.2
AU000000CCE7,258666221,CCE,AUD,2019-01-14,0.2,0.2,0.2,0.2,47178,8,0.2
AU000000CCE7,258666221,CCE,AUD,2019-01-15,0.15,0.2,0.15,0.2,27757,10,0.195
AU000000CCE7,258666221,CCE,AUD,2019-01-16,0.2,0.2,0.2,0.2,26000,11,0.2
AU000000CCE7,258666221,CCE,AUD,2019-01-17,0.25,0.25,0.2,0.2,92931,27,0.22
AU000000CCE7,258666221,CCE,AUD,2019-01-18,0.2,0.2,0.15,0.2,30000,15,0.195
AU000000CCE7,258666221,CCE,AUD,2019-01-21,0.2,0.2,0.2,0.2,138124,17,0.2
AU000000CCE7,258666221,CCE,AUD,2019-01-22,0.2,0.25,0.2,0.2,159440,21,0.21
AU000000CCE7,258666221,CCE,AUD,2019-01-23,0.2,0.2,0.2,0.2,35754,15,0.2
AU000000CCE7,258666221,CCE,AUD,2019-01-24,0.2,0.25,0.2,0.25,1000,2,0.2
AU000000CCE7,258666221,CCE,AUD,2019-01-25,0.2,0.2,0.2,0.2,125351,23,0.2
AU000000CCE7,258666221,CCE,AUD,2019-01-29,0.2,0.2,0.2,0.2,49814,21,0.2
AU000000CCE7,258666221,CCE,AUD,2019-01-30,0.2,0.2,0.2,0.2,23197,7,0.2
AU000000CCE7,258666221,CCE,AUD,2019-01-31,0.2,0.2,0.2,0.2,87176,23,0.2
AU000000CCE7,258666221,CCE,AUD,2019-02-01,0.2,0.2,0.2,0.2,25002,8,0.2
AU000000CCE7,258666221,CCE,AUD,2019-02-04,0.2,0.2,0.2,0.2,69608,32,0.2
AU000000CCE7,258666221,CCE,AUD,2019-02-05,0.2,0.2,0.2,0.2,44145,8,0.2
AU000000CCE7,258666221,CCE,AUD,2019-02-06,0.2,0.2,0.2,0.2,98116,43,0.2
AU000000CCE7,258666221,CCE,AUD,2019-02-07,0.2,0.2,0.15,0.15,1131182,89,0.15
AU000000CCE7,258666221,CCE,AUD,2019-02-08,0.2,0.2,0.15,0.15,515403,49,0.155
AU000000CCE7,258666221,CCE,AUD,2019-02-11,0.2,0.2,0.15,0.2,47438,12,0.175
AU000000CCE7,258666221,CCE,AUD,2019-02-12,0.2,0.2,0.2,0.2,31846,8,0.2
AU000000CCE7,258666221,CCE,AUD,2019-02-13,0.15,0.2,0.15,0.2,139888,19,0.195
AU000000CCE7,258666221,CCE,AUD,2019-02-14,0.2,0.2,0.2,0.2,10000,5,0.2
AU000000CCE7,258666221,CCE,AUD,2019-02-15,0.2,0.2,0.2,0.2,20581,8,0.2
AU000000CCE7,258666221,CCE,AUD,2019-02-18,0.15,0.2,0.15,0.2,129149,19,0.17
AU000000CCE7,258666221,CCE,AUD,2019-02-19,0.2,0.2,0.15,0.15,101198,16,0.175
AU000000CCE7,258666221,CCE,AUD,2019-02-20,0.15,0.2,0.15,0.2,101760,10,0.2
AU000000CCE7,258666221,CCE,AUD,2019-02-21,0.2,0.2,0.2,0.2,78136,33,0.2
AU000000CCE7,258666221,CCE,AUD,2019-02-22,0.2,0.2,0.2,0.2,30581,8,0.2
AU000000CCE7,258666221,CCE,AUD,2019-02-25,0.2,0.2,0.2,0.2,98257,28,0.2
AU000000CCE7,258666221,CCE,AUD,2019-02-26,0.2,0.2,0.2,0.2,13160,10,0.2
AU000000CCE7,258666221,CCE,AUD,2019-02-27,0.2,0.2,0.2,0.2,65185,16,0.2
AU000000CCE7,258666221,CCE,AUD,2019-02-28,0.15,0.2,0.15,0.2,62603,15,0.175
AU000000CCE7,258666221,CCE,AUD,2019-03-01,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-04,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-05,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-06,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-07,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-08,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-11,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-12,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-13,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-14,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-15,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-18,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-19,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-20,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-21,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-22,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-25,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-26,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-27,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-28,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-03-29,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-04-01,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-04-02,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-04-03,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-04-04,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-04-05,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-04-08,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-04-09,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-04-10,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-04-11,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-04-12,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-04-15,0.2,0.2,0.2,0.2,0,0,0.2
AU000000CCE7,258666221,CCE,AUD,2019-05-14,0.2,0.2,0.2,0.2,0,0,0.2
