ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000CGF5,14062921,CGF,AUD,2019-01-02,9.49,9.49,9.12,9.13,1061442,5348,9.247
AU000000CGF5,14062921,CGF,AUD,2019-01-03,9.14,9.21,9.1,9.2,1759266,6644,9.161
AU000000CGF5,14062921,CGF,AUD,2019-01-04,9.11,9.155,9.04,9.09,1678667,7266,9.102
AU000000CGF5,14062921,CGF,AUD,2019-01-07,9.37,9.37,9.21,9.24,1015751,6487,9.255
AU000000CGF5,14062921,CGF,AUD,2019-01-08,9.11,9.51,9.11,9.47,1127104,6128,9.359
AU000000CGF5,14062921,CGF,AUD,2019-01-09,9.5,9.605,9.37,9.45,1435335,8529,9.4805
AU000000CGF5,14062921,CGF,AUD,2019-01-10,9.5,9.52,9.265,9.34,2104717,12310,9.3455
AU000000CGF5,14062921,CGF,AUD,2019-01-11,9.3,9.38,9.19,9.2,1265457,7646,9.2335
AU000000CGF5,14062921,CGF,AUD,2019-01-14,9.34,9.4,9.21,9.26,1935018,8157,9.271
AU000000CGF5,14062921,CGF,AUD,2019-01-15,9.28,9.29,9.125,9.19,1939241,8263,9.196
AU000000CGF5,14062921,CGF,AUD,2019-01-16,9.2,9.37,9.17,9.25,2317271,10148,9.2615
AU000000CGF5,14062921,CGF,AUD,2019-01-17,9.19,9.32,9.075,9.29,2330657,10485,9.2085
AU000000CGF5,14062921,CGF,AUD,2019-01-18,9.25,9.33,9.19,9.23,1466472,8944,9.252
AU000000CGF5,14062921,CGF,AUD,2019-01-21,9.05,9.33,9.05,9.26,2186561,8428,9.2315
AU000000CGF5,14062921,CGF,AUD,2019-01-22,9.17,9.355,9.155,9.23,1260290,6347,9.248
AU000000CGF5,14062921,CGF,AUD,2019-01-23,7.96,8.18,7.585,7.65,10994450,29532,7.8565
AU000000CGF5,14062921,CGF,AUD,2019-01-24,7.36,7.63,7.2,7.4,10246320,34328,7.4105
