ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000CGO7,14062930,CGO,AUD,2019-01-02,0.135,0.135,0.135,0.135,0,0,0.135
AU000000CGO7,14062930,CGO,AUD,2019-01-03,0.135,0.135,0.135,0.135,0,0,0.135
AU000000CGO7,14062930,CGO,AUD,2019-01-04,0.135,0.135,0.135,0.135,0,0,0.135
AU000000CGO7,14062930,CGO,AUD,2019-01-07,0.135,0.135,0.135,0.135,0,0,0.135
AU000000CGO7,14062930,CGO,AUD,2019-01-08,0.135,0.135,0.135,0.135,0,0,0.135
AU000000CGO7,14062930,CGO,AUD,2019-01-09,0.14,0.14,0.14,0.14,7641,2,0.14
AU000000CGO7,14062930,CGO,AUD,2019-01-10,0.14,0.14,0.14,0.14,0,0,0.14
AU000000CGO7,14062930,CGO,AUD,2019-01-11,0.14,0.14,0.14,0.14,0,0,0.14
AU000000CGO7,14062930,CGO,AUD,2019-01-14,0.14,0.14,0.14,0.14,0,0,0.14
AU000000CGO7,14062930,CGO,AUD,2019-01-15,0.14,0.14,0.14,0.14,0,0,0.14
AU000000CGO7,14062930,CGO,AUD,2019-01-16,0.14,0.14,0.14,0.14,0,0,0.14
AU000000CGO7,14062930,CGO,AUD,2019-01-17,0.14,0.14,0.14,0.14,0,0,0.14
AU000000CGO7,14062930,CGO,AUD,2019-01-18,0.14,0.14,0.14,0.14,0,0,0.14
AU000000CGO7,14062930,CGO,AUD,2019-01-21,0.14,0.14,0.14,0.14,0,0,0.14
AU000000CGO7,14062930,CGO,AUD,2019-01-22,0.14,0.14,0.14,0.14,0,0,0.14
AU000000CGO7,14062930,CGO,AUD,2019-01-23,0.14,0.14,0.14,0.14,0,0,0.14
AU000000CGO7,14062930,CGO,AUD,2019-01-24,0.14,0.14,0.14,0.14,0,0,0.14
AU000000CGO7,14062930,CGO,AUD,2019-01-25,0.14,0.14,0.14,0.14,0,0,0.14
AU000000CGO7,14062930,CGO,AUD,2019-01-29,0.14,0.14,0.14,0.14,0,0,0.14
AU000000CGO7,14062930,CGO,AUD,2019-01-30,0.14,0.14,0.14,0.14,33100,2,0.14
AU000000CGO7,14062930,CGO,AUD,2019-01-31,0.14,0.14,0.14,0.14,2727,2,0.14
AU000000CGO7,14062930,CGO,AUD,2019-02-01,0.14,0.14,0.14,0.14,0,0,0.14
AU000000CGO7,14062930,CGO,AUD,2019-02-04,0.15,0.15,0.15,0.15,2584,2,0.15
AU000000CGO7,14062930,CGO,AUD,2019-02-05,0.15,0.15,0.15,0.15,0,0,0.15
AU000000CGO7,14062930,CGO,AUD,2019-02-06,0.145,0.145,0.145,0.145,62250,1,0.145
AU000000CGO7,14062930,CGO,AUD,2019-02-08,0.155,0.155,0.155,0.155,2105,1,0.155
AU000000CGO7,14062930,CGO,AUD,2019-02-11,0.155,0.155,0.155,0.155,0,0,0.155
AU000000CGO7,14062930,CGO,AUD,2019-02-12,0.17,0.18,0.17,0.18,15000,2,0.175
AU000000CGO7,14062930,CGO,AUD,2019-02-13,0.18,0.18,0.18,0.18,0,0,0.18
AU000000CGO7,14062930,CGO,AUD,2019-02-14,0.18,0.18,0.18,0.18,0,0,0.18
AU000000CGO7,14062930,CGO,AUD,2019-02-15,0.18,0.185,0.18,0.185,16380,2,0.1846
AU000000CGO7,14062930,CGO,AUD,2019-02-18,0.185,0.185,0.185,0.185,0,0,0.185
AU000000CGO7,14062930,CGO,AUD,2019-02-19,0.18,0.18,0.18,0.18,1741,1,0.18
AU000000CGO7,14062930,CGO,AUD,2019-02-20,0.18,0.18,0.18,0.18,0,0,0.18
AU000000CGO7,14062930,CGO,AUD,2019-02-21,0.18,0.18,0.18,0.18,0,0,0.18
AU000000CGO7,14062930,CGO,AUD,2019-02-22,0.18,0.18,0.18,0.18,0,0,0.18
AU000000CGO7,14062930,CGO,AUD,2019-02-25,0.18,0.18,0.18,0.18,0,0,0.18
AU000000CGO7,14062930,CGO,AUD,2019-02-26,0.18,0.18,0.18,0.18,0,0,0.18
AU000000CGO7,14062930,CGO,AUD,2019-02-27,0.18,0.18,0.18,0.18,0,0,0.18
AU000000CGO7,14062930,CGO,AUD,2019-02-28,0.18,0.18,0.18,0.18,0,0,0.18
AU000000CGO7,14062930,CGO,AUD,2019-03-01,0.18,0.18,0.18,0.18,0,0,0.18
