ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000COH5,12370091,COH,AUD,2019-01-02,173.57,176.25,173.57,174.9,146092,15072,174.9855
AU000000COH5,12370091,COH,AUD,2019-01-03,176.31,179.0,175.66,177.8,133328,13158,177.792
AU000000COH5,12370091,COH,AUD,2019-01-04,176.94,176.94,172.17,175.38,120762,13284,174.3235
AU000000COH5,12370091,COH,AUD,2019-01-07,179.49,179.49,175.43,175.99,93985,9677,176.636
AU000000COH5,12370091,COH,AUD,2019-01-08,175.99,178.45,173.59,178.0,114831,11707,176.8295
AU000000COH5,12370091,COH,AUD,2019-01-09,181.56,184.77,180.23,183.26,127898,12691,182.5955
AU000000COH5,12370091,COH,AUD,2019-01-10,184.2,184.67,182.35,184.67,105720,11238,183.846
AU000000COH5,12370091,COH,AUD,2019-01-11,185.74,187.8,183.94,184.07,113167,10348,186.1445
AU000000COH5,12370091,COH,AUD,2019-01-14,184.99,185.24,182.66,184.68,67199,5819,184.2335
AU000000COH5,12370091,COH,AUD,2019-01-15,182.04,185.95,182.03,185.79,101359,9938,184.9185
AU000000COH5,12370091,COH,AUD,2019-01-16,186.0,187.03,184.77,186.45,77632,9836,186.097
AU000000COH5,12370091,COH,AUD,2019-01-17,186.99,187.63,185.83,187.56,124636,11186,187.053
AU000000COH5,12370091,COH,AUD,2019-01-18,188.84,189.95,188.35,189.19,94816,9965,189.0905
AU000000COH5,12370091,COH,AUD,2019-01-21,189.99,189.99,188.73,188.8,82150,9457,189.155
AU000000COH5,12370091,COH,AUD,2019-01-22,188.0,191.48,187.68,189.77,94114,9243,189.8045
AU000000COH5,12370091,COH,AUD,2019-01-23,190.0,193.09,188.84,193.07,152209,16357,191.73
AU000000COH5,12370091,COH,AUD,2019-01-24,193.32,196.62,193.0,195.65,165513,15846,195.417
AU000000COH5,12370091,COH,AUD,2019-01-25,193.73,196.74,193.0,195.92,157241,17916,195.4
AU000000COH5,12370091,COH,AUD,2019-01-29,194.2,195.9,191.58,191.79,180408,24671,193.806
AU000000COH5,12370091,COH,AUD,2019-01-30,194.28,194.28,190.64,191.77,154677,16681,191.66
AU000000COH5,12370091,COH,AUD,2019-01-31,193.8,194.49,192.17,193.42,147864,16780,193.3545
AU000000COH5,12370091,COH,AUD,2019-02-01,193.97,196.73,193.96,194.26,122381,18618,195.476
AU000000COH5,12370091,COH,AUD,2019-02-04,195.98,196.7,193.99,196.01,95953,9398,195.7675
AU000000COH5,12370091,COH,AUD,2019-02-05,196.6,196.95,194.18,194.47,114030,12110,195.3705
AU000000COH5,12370091,COH,AUD,2019-02-06,192.71,198.8,192.57,197.9,142460,17740,197.475
AU000000COH5,12370091,COH,AUD,2019-02-07,199.8,199.8,196.96,197.54,165864,22922,198.1015
AU000000COH5,12370091,COH,AUD,2019-02-08,197.54,199.45,196.6,198.85,104437,10619,198.5965
AU000000COH5,12370091,COH,AUD,2019-02-11,199.85,200.37,196.5,197.72,114739,14615,198.334
AU000000COH5,12370091,COH,AUD,2019-02-12,196.33,200.23,195.78,198.36,80096,16487,198.222
AU000000COH5,12370091,COH,AUD,2019-02-13,198.0,198.34,189.945,194.3,226300,22837,193.448
AU000000COH5,12370091,COH,AUD,2019-02-14,194.29,200.82,194.28,197.0,203043,19704,197.803
AU000000COH5,12370091,COH,AUD,2019-02-15,199.63,200.55,197.48,197.48,125659,20049,198.985
AU000000COH5,12370091,COH,AUD,2019-02-18,199.01,199.46,193.61,194.41,149603,20574,195.114
AU000000COH5,12370091,COH,AUD,2019-02-19,175.0,181.71,174.99,178.58,401893,28313,178.437
AU000000COH5,12370091,COH,AUD,2019-02-20,176.74,178.13,172.97,173.45,475093,50642,175.376
AU000000COH5,12370091,COH,AUD,2019-02-21,173.38,173.38,168.72,170.3,327718,32862,171.216
AU000000COH5,12370091,COH,AUD,2019-02-22,171.4,172.4,170.01,171.22,175607,17360,171.0905
AU000000COH5,12370091,COH,AUD,2019-02-25,171.99,172.49,170.885,172.47,172386,16618,172.017
AU000000COH5,12370091,COH,AUD,2019-02-26,171.02,172.99,169.2,170.65,175321,18833,170.3675
AU000000COH5,12370091,COH,AUD,2019-02-27,171.0,171.91,169.36,169.68,206548,18724,170.0575
AU000000COH5,12370091,COH,AUD,2019-02-28,169.51,171.85,168.23,170.5,278270,22630,170.247
AU000000COH5,12370091,COH,AUD,2019-03-01,171.3,175.62,171.0,172.92,283775,30435,173.487
AU000000COH5,12370091,COH,AUD,2019-03-04,176.9,177.75,173.81,173.85,192093,15443,175.5985
AU000000COH5,12370091,COH,AUD,2019-03-05,176.5,176.9,172.96,173.5,207333,18952,174.198
AU000000COH5,12370091,COH,AUD,2019-03-06,175.4,179.89,174.32,178.08,295665,27561,178.13
AU000000COH5,12370091,COH,AUD,2019-03-07,180.0,181.79,176.7,177.14,263921,23031,177.943
AU000000COH5,12370091,COH,AUD,2019-03-08,179.99,180.0,176.01,177.42,210271,16096,177.4785
AU000000COH5,12370091,COH,AUD,2019-03-11,176.3,177.21,175.0,176.52,87866,11021,176.0455
AU000000COH5,12370091,COH,AUD,2019-03-12,178.0,178.67,176.55,177.53,117606,10500,177.5955
AU000000COH5,12370091,COH,AUD,2019-03-13,177.53,179.8,177.1,178.28,184712,17084,178.0995
AU000000COH5,12370091,COH,AUD,2019-03-14,179.45,180.0,177.23,179.98,101119,8190,179.19
AU000000COH5,12370091,COH,AUD,2019-03-15,180.62,182.3,179.92,181.08,148588,9301,181.013
AU000000COH5,12370091,COH,AUD,2019-03-18,182.01,182.68,179.71,182.68,82219,7458,181.7135
AU000000COH5,12370091,COH,AUD,2019-03-19,182.03,182.36,179.4,179.44,124133,12562,180.226
AU000000COH5,12370091,COH,AUD,2019-03-20,180.58,180.58,176.86,177.62,150492,19552,178.312
AU000000COH5,12370091,COH,AUD,2019-03-21,173.17,177.22,173.06,176.69,279245,16601,174.947
AU000000COH5,12370091,COH,AUD,2019-03-22,176.96,182.155,176.92,178.89,139797,14670,179.671
AU000000COH5,12370091,COH,AUD,2019-03-25,178.0,178.5,176.43,177.94,121815,12498,177.5535
AU000000COH5,12370091,COH,AUD,2019-03-26,178.5,178.5,175.49,175.91,117971,12352,176.5705
AU000000COH5,12370091,COH,AUD,2019-03-27,176.31,176.54,173.51,174.59,162775,20599,174.6095
AU000000COH5,12370091,COH,AUD,2019-03-28,173.55,174.42,171.3,172.55,214997,20594,172.625
AU000000COH5,12370091,COH,AUD,2019-03-29,174.77,176.11,173.28,173.28,180216,18288,173.8785
AU000000COH5,12370091,COH,AUD,2019-04-01,176.0,176.0,172.65,174.14,193476,23209,173.6845
AU000000COH5,12370091,COH,AUD,2019-04-02,176.75,177.2,173.7,175.52,210232,21431,175.3615
AU000000COH5,12370091,COH,AUD,2019-04-03,176.47,178.43,175.28,176.89,158744,24764,177.1495
AU000000COH5,12370091,COH,AUD,2019-04-04,176.38,176.99,172.79,173.21,148380,16815,173.567
AU000000COH5,12370091,COH,AUD,2019-04-05,172.22,172.92,168.24,169.53,162334,17435,169.8185
AU000000COH5,12370091,COH,AUD,2019-04-08,169.3,172.65,168.86,171.17,133151,17614,171.227
AU000000COH5,12370091,COH,AUD,2019-04-09,174.32,174.5,172.0,172.6,193633,16795,172.7035
AU000000COH5,12370091,COH,AUD,2019-04-10,172.9,175.4,170.57,171.03,237090,19978,172.2885
AU000000COH5,12370091,COH,AUD,2019-04-11,170.85,172.25,168.86,168.86,165458,14330,169.576
AU000000COH5,12370091,COH,AUD,2019-04-12,168.5,168.59,164.0,165.1,344673,21831,165.213
AU000000COH5,12370091,COH,AUD,2019-04-15,165.58,167.7,164.87,167.59,224091,21436,166.365
AU000000COH5,12370091,COH,AUD,2019-04-16,174.87,181.0,173.22,180.76,425378,36807,177.9625
AU000000COH5,12370091,COH,AUD,2019-04-17,183.28,185.51,178.17,179.5,325939,34983,180.45
AU000000COH5,12370091,COH,AUD,2019-04-18,182.35,182.68,174.52,175.75,286807,25957,176.598
AU000000COH5,12370091,COH,AUD,2019-04-23,178.42,178.42,175.39,176.0,181789,15915,176.7415
AU000000COH5,12370091,COH,AUD,2019-04-24,181.0,182.97,178.5,180.1,233463,20125,180.544
AU000000COH5,12370091,COH,AUD,2019-04-26,181.18,182.5,179.56,181.9,166035,17320,181.4645
AU000000COH5,12370091,COH,AUD,2019-04-29,182.11,185.63,182.07,183.0,100218,12263,183.169
AU000000COH5,12370091,COH,AUD,2019-04-30,184.99,188.3,183.12,187.33,224501,22003,186.607
AU000000COH5,12370091,COH,AUD,2019-05-01,188.01,190.53,187.5,189.45,189190,18816,189.4065
AU000000COH5,12370091,COH,AUD,2019-05-02,188.77,192.38,188.67,191.32,145578,14523,191.0155
AU000000COH5,12370091,COH,AUD,2019-05-03,194.0,195.13,190.95,191.0,209388,18218,192.0105
AU000000COH5,12370091,COH,AUD,2019-05-06,190.48,192.36,190.1,191.0,126956,15456,190.9225
AU000000COH5,12370091,COH,AUD,2019-05-07,191.4,194.27,190.985,191.0,121826,15060,192.3785
AU000000COH5,12370091,COH,AUD,2019-05-08,190.04,192.58,189.33,192.02,115752,18783,191.681
AU000000COH5,12370091,COH,AUD,2019-05-09,194.0,195.71,192.0,193.72,175554,18792,193.703
AU000000COH5,12370091,COH,AUD,2019-05-10,193.27,196.4,192.44,196.02,187069,21525,195.2235
AU000000COH5,12370091,COH,AUD,2019-05-13,195.99,196.785,193.2,193.34,191474,25495,194.118
AU000000COH5,12370091,COH,AUD,2019-05-14,189.82,194.38,189.02,193.02,155754,19945,192.7635
AU000000COH5,12370091,COH,AUD,2019-05-15,193.37,196.4,193.02,195.91,115979,14943,195.3625
AU000000COH5,12370091,COH,AUD,2019-05-16,196.0,197.54,193.5,196.25,118364,11975,196.0475
AU000000COH5,12370091,COH,AUD,2019-05-17,198.0,201.39,197.5,200.98,138200,14631,200.4265
AU000000COH5,12370091,COH,AUD,2019-05-20,201.12,201.4,197.73,198.71,111139,16087,199.251
AU000000COH5,12370091,COH,AUD,2019-05-21,197.0,200.26,196.75,199.26,147924,16798,199.126
AU000000COH5,12370091,COH,AUD,2019-05-22,199.0,201.5,198.36,199.29,158424,18945,199.5285
AU000000COH5,12370091,COH,AUD,2019-05-23,199.87,203.8,199.03,202.11,144196,19057,202.227
AU000000COH5,12370091,COH,AUD,2019-05-24,202.0,203.28,199.23,200.11,145154,24567,200.6685
AU000000COH5,12370091,COH,AUD,2019-05-27,200.5,201.53,197.23,197.52,104022,11552,198.3725
AU000000COH5,12370091,COH,AUD,2019-05-28,197.04,199.99,196.43,198.55,218389,19066,198.717
AU000000COH5,12370091,COH,AUD,2019-05-29,197.53,199.76,197.53,198.46,124694,16118,198.212
AU000000COH5,12370091,COH,AUD,2019-05-30,198.2,199.82,194.98,196.7,143419,15975,196.691
AU000000COH5,12370091,COH,AUD,2019-05-31,196.73,200.91,196.73,200.13,147967,14521,199.8215
AU000000COH5,12370091,COH,AUD,2019-06-03,201.0,201.72,197.74,198.4,104898,12019,199.096
AU000000COH5,12370091,COH,AUD,2019-06-04,198.28,199.21,194.03,194.39,136238,16659,195.333
AU000000COH5,12370091,COH,AUD,2019-06-05,196.23,197.88,195.55,196.71,101735,15193,196.5195
AU000000COH5,12370091,COH,AUD,2019-06-06,197.5,201.32,197.08,199.66,108526,12384,199.7075
AU000000COH5,12370091,COH,AUD,2019-06-07,201.13,202.62,198.28,200.39,165365,21539,200.0385
AU000000COH5,12370091,COH,AUD,2019-06-11,204.0,206.9,203.0,206.39,241121,29410,205.5325
AU000000COH5,12370091,COH,AUD,2019-06-12,205.5,206.78,201.51,201.73,164158,25735,203.7355
AU000000COH5,12370091,COH,AUD,2019-06-13,205.34,208.21,202.2,203.01,253584,29065,204.7
AU000000COH5,12370091,COH,AUD,2019-06-14,203.42,204.95,202.05,204.23,147572,19711,203.6195
AU000000COH5,12370091,COH,AUD,2019-06-17,204.75,206.3,201.36,201.83,141445,20303,202.5975
AU000000COH5,12370091,COH,AUD,2019-06-18,202.3,204.25,201.57,203.96,131076,17389,203.3545
AU000000COH5,12370091,COH,AUD,2019-06-19,205.77,206.95,203.42,206.95,149472,18727,205.9085
AU000000COH5,12370091,COH,AUD,2019-06-20,209.99,210.0,206.4,208.86,196443,15790,208.8105
AU000000COH5,12370091,COH,AUD,2019-06-21,207.0,207.43,204.31,204.31,210813,13951,204.9345
AU000000COH5,12370091,COH,AUD,2019-06-24,204.71,206.95,202.7,205.24,90767,12633,204.3795
AU000000COH5,12370091,COH,AUD,2019-06-25,205.28,207.51,204.55,206.67,114476,15315,206.525
AU000000COH5,12370091,COH,AUD,2019-06-26,207.34,209.63,206.14,208.27,164649,17641,208.38
AU000000COH5,12370091,COH,AUD,2019-06-27,203.61,207.14,203.51,206.45,74883,9784,205.928
AU000000COH5,12370091,COH,AUD,2019-06-28,205.1,207.88,204.6,206.84,122361,9040,206.6265
AU000000COH5,12370091,COH,AUD,2019-07-01,208.0,211.17,206.36,209.84,71519,10103,209.666
AU000000COH5,12370091,COH,AUD,2019-07-02,210.0,212.99,210.0,211.99,147744,16826,211.7615
AU000000COH5,12370091,COH,AUD,2019-07-03,215.94,216.42,213.47,215.44,139130,19685,215.296
AU000000COH5,12370091,COH,AUD,2019-07-04,216.0,216.87,213.755,215.2,108080,12057,215.139
AU000000COH5,12370091,COH,AUD,2019-07-05,215.1,219.19,214.89,218.18,88260,10599,217.532
AU000000COH5,12370091,COH,AUD,2019-07-08,218.14,218.18,213.23,213.47,123192,13663,214.189
AU000000COH5,12370091,COH,AUD,2019-07-09,214.0,215.66,213.0,214.95,124886,14528,214.41
AU000000COH5,12370091,COH,AUD,2019-07-10,216.0,223.09,215.94,222.17,170219,18789,220.8255
AU000000COH5,12370091,COH,AUD,2019-07-11,223.37,225.45,220.75,221.11,188374,23639,222.369
AU000000COH5,12370091,COH,AUD,2019-07-12,221.3,222.72,220.04,221.55,97601,13881,221.6625
AU000000COH5,12370091,COH,AUD,2019-07-15,218.22,221.83,218.22,220.38,78974,10120,220.517
AU000000COH5,12370091,COH,AUD,2019-07-16,220.0,223.38,220.0,221.28,95743,13382,221.558
AU000000COH5,12370091,COH,AUD,2019-07-17,220.0,223.42,219.13,219.88,117314,13846,220.6245
AU000000COH5,12370091,COH,AUD,2019-07-18,219.0,222.86,218.63,221.74,189632,20915,220.8225
AU000000COH5,12370091,COH,AUD,2019-07-19,220.72,221.8,218.96,219.11,137169,19255,220.2915
AU000000COH5,12370091,COH,AUD,2019-07-22,218.8,218.8,215.77,216.44,108539,15930,216.782
AU000000COH5,12370091,COH,AUD,2019-07-23,217.0,220.3,216.23,219.35,80306,10359,218.7725
