ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000CPU5,11289549,CPU,AUD,2019-01-02,16.8532,17.0017,16.7146,16.8334,1173863,10722,16.8556795
AU000000CPU5,11289549,CPU,AUD,2019-01-03,16.6354,16.9027,16.6057,16.8334,1453015,11887,16.8254784
AU000000CPU5,11289549,CPU,AUD,2019-01-04,16.5462,16.6948,16.2096,16.467,1466250,14998,16.4635603
AU000000CPU5,11289549,CPU,AUD,2019-01-07,16.7344,16.8978,16.6651,16.7641,839623,11482,16.7769586
AU000000CPU5,11289549,CPU,AUD,2019-01-08,16.8037,17.0215,16.7146,16.9225,1546986,13169,16.8853855
AU000000CPU5,11289549,CPU,AUD,2019-01-09,17.1008,17.378,17.0215,17.3186,778538,9676,17.2002691
AU000000CPU5,11289549,CPU,AUD,2019-01-10,17.3285,17.4275,16.9918,17.2097,820950,8688,17.1834357
AU000000CPU5,11289549,CPU,AUD,2019-01-11,17.18,17.2988,16.9423,17.0809,1041772,10815,17.1017442
AU000000CPU5,11289549,CPU,AUD,2019-01-14,17.0512,17.2988,16.9522,17.2295,825158,10492,17.2101711
AU000000CPU5,11289549,CPU,AUD,2019-01-15,17.4275,17.4275,17.0314,17.18,526521,10399,17.1873965
AU000000CPU5,11289549,CPU,AUD,2019-01-16,17.0809,17.5562,17.0017,17.5463,1104286,9870,17.4443534
AU000000CPU5,11289549,CPU,AUD,2019-01-17,18.0711,18.6356,17.6454,17.8731,1657590,11245,17.8770708
AU000000CPU5,11289549,CPU,AUD,2019-01-18,17.8137,18.1207,17.7543,18.0315,1298548,12621,18.0137184
AU000000CPU5,11289549,CPU,AUD,2019-01-21,17.9325,18.0315,17.6256,17.685,899600,10535,17.7334918
AU000000CPU5,11289549,CPU,AUD,2019-01-22,17.6058,17.883,17.5959,17.6751,801619,9340,17.7310163
AU000000CPU5,11289549,CPU,AUD,2019-01-23,17.6256,17.982,17.5959,17.6355,1064584,11432,17.7636929
AU000000CPU5,11289549,CPU,AUD,2019-01-24,17.6256,17.9325,17.586,17.7345,1000200,10106,17.7349771
AU000000CPU5,11289549,CPU,AUD,2019-01-25,17.7147,17.9127,17.6652,17.8335,735882,8897,17.8181539
AU000000CPU5,11289549,CPU,AUD,2019-01-29,17.7444,18.0711,17.3483,17.4572,1394079,17112,17.5037654
AU000000CPU5,11289549,CPU,AUD,2019-01-30,17.4275,17.5265,17.3186,17.5067,926884,10565,17.4443534
AU000000CPU5,11289549,CPU,AUD,2019-01-31,17.586,17.784,17.477,17.5959,1567100,15119,17.6448689
AU000000CPU5,11289549,CPU,AUD,2019-02-01,17.3681,17.7741,17.1998,17.7246,1356820,13536,17.5681284
AU000000CPU5,11289549,CPU,AUD,2019-02-04,17.7444,17.8335,17.5364,17.586,785549,9119,17.655266
AU000000CPU5,11289549,CPU,AUD,2019-02-05,17.6454,17.888,17.4968,17.5959,1324970,12219,17.670119
