ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000CXU9,60749530,CXU,AUD,2019-01-02,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-01-03,0.0183,0.0183,0.0183,0.0183,442333,1,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-01-04,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-01-07,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-01-08,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-01-09,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-01-10,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-01-11,0.0192,0.0192,0.0192,0.0192,18520,2,0.01917893
AU000000CXU9,60749530,CXU,AUD,2019-01-14,0.0192,0.0192,0.0192,0.0192,351,1,0.01917893
AU000000CXU9,60749530,CXU,AUD,2019-01-15,0.0192,0.0192,0.0192,0.0192,0,0,0.01917893
AU000000CXU9,60749530,CXU,AUD,2019-01-16,0.0192,0.0192,0.0192,0.0192,0,0,0.01917893
AU000000CXU9,60749530,CXU,AUD,2019-01-17,0.0201,0.0201,0.0183,0.0183,141257,4,0.01899627
AU000000CXU9,60749530,CXU,AUD,2019-01-18,0.0174,0.0174,0.0174,0.0174,30000,1,0.01735237
AU000000CXU9,60749530,CXU,AUD,2019-01-21,0.0164,0.0164,0.0164,0.0164,340000,2,0.01643908
AU000000CXU9,60749530,CXU,AUD,2019-01-22,0.0183,0.0183,0.0155,0.0155,529413,5,0.01607377
AU000000CXU9,60749530,CXU,AUD,2019-01-23,0.0155,0.0155,0.0155,0.0155,0,0,0.0155258
AU000000CXU9,60749530,CXU,AUD,2019-01-24,0.0155,0.0155,0.0155,0.0155,0,0,0.0155258
AU000000CXU9,60749530,CXU,AUD,2019-01-25,0.0155,0.0155,0.0155,0.0155,0,0,0.0155258
AU000000CXU9,60749530,CXU,AUD,2019-01-29,0.0155,0.0155,0.0155,0.0155,0,0,0.0155258
AU000000CXU9,60749530,CXU,AUD,2019-01-30,0.0155,0.0155,0.0155,0.0155,20000,1,0.0155258
AU000000CXU9,60749530,CXU,AUD,2019-01-31,0.0155,0.0155,0.0155,0.0155,0,0,0.0155258
AU000000CXU9,60749530,CXU,AUD,2019-02-01,0.0155,0.0155,0.0155,0.0155,0,0,0.0155258
AU000000CXU9,60749530,CXU,AUD,2019-02-04,0.0155,0.0155,0.0155,0.0155,0,0,0.0155258
AU000000CXU9,60749530,CXU,AUD,2019-02-05,0.0155,0.0155,0.0155,0.0155,0,0,0.0155258
AU000000CXU9,60749530,CXU,AUD,2019-02-06,0.0155,0.0155,0.0155,0.0155,60000,2,0.0155258
AU000000CXU9,60749530,CXU,AUD,2019-02-11,0.0183,0.0183,0.0183,0.0183,20000,1,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-02-12,0.0183,0.0183,0.0183,0.0183,69413,3,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-02-13,0.0219,0.0228,0.0219,0.0228,39600,2,0.02210143
AU000000CXU9,60749530,CXU,AUD,2019-02-14,0.0228,0.0228,0.0228,0.0228,0,0,0.02283206
AU000000CXU9,60749530,CXU,AUD,2019-02-15,0.0228,0.0228,0.0228,0.0228,0,0,0.02283206
AU000000CXU9,60749530,CXU,AUD,2019-02-18,0.0228,0.0228,0.0228,0.0228,0,0,0.02283206
AU000000CXU9,60749530,CXU,AUD,2019-02-19,0.0228,0.0228,0.0228,0.0228,35000,1,0.02283206
AU000000CXU9,60749530,CXU,AUD,2019-02-20,0.0228,0.0228,0.0228,0.0228,20000,1,0.02283206
AU000000CXU9,60749530,CXU,AUD,2019-02-21,0.0228,0.0228,0.0228,0.0228,0,0,0.02283206
AU000000CXU9,60749530,CXU,AUD,2019-02-22,0.0183,0.0183,0.0183,0.0183,333,1,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-02-25,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-02-26,0.0219,0.0219,0.0219,0.0219,40000,2,0.02191878
AU000000CXU9,60749530,CXU,AUD,2019-02-27,0.0219,0.0219,0.0219,0.0219,0,0,0.02191878
AU000000CXU9,60749530,CXU,AUD,2019-02-28,0.0228,0.0228,0.0228,0.0228,20000,1,0.02283206
AU000000CXU9,60749530,CXU,AUD,2019-03-01,0.021,0.021,0.021,0.021,13333,1,0.0210055
AU000000CXU9,60749530,CXU,AUD,2019-03-04,0.021,0.021,0.021,0.021,25000,1,0.0210055
AU000000CXU9,60749530,CXU,AUD,2019-03-05,0.021,0.021,0.021,0.021,0,0,0.0210055
AU000000CXU9,60749530,CXU,AUD,2019-03-06,0.021,0.021,0.021,0.021,0,0,0.0210055
AU000000CXU9,60749530,CXU,AUD,2019-03-07,0.021,0.021,0.021,0.021,0,0,0.0210055
AU000000CXU9,60749530,CXU,AUD,2019-03-08,0.021,0.021,0.021,0.021,0,0,0.0210055
AU000000CXU9,60749530,CXU,AUD,2019-03-11,0.021,0.021,0.021,0.021,0,0,0.0210055
AU000000CXU9,60749530,CXU,AUD,2019-03-12,0.021,0.021,0.021,0.021,1667,1,0.0210055
AU000000CXU9,60749530,CXU,AUD,2019-03-13,0.0192,0.0192,0.0192,0.0192,25000,1,0.01917893
AU000000CXU9,60749530,CXU,AUD,2019-03-14,0.0192,0.0192,0.0192,0.0192,0,0,0.01917893
AU000000CXU9,60749530,CXU,AUD,2019-03-15,0.021,0.021,0.0192,0.0192,26000,2,0.0210055
AU000000CXU9,60749530,CXU,AUD,2019-03-18,0.0219,0.0228,0.0219,0.0219,174564,5,0.02201011
AU000000CXU9,60749530,CXU,AUD,2019-03-19,0.0219,0.0219,0.0219,0.0219,0,0,0.02191878
AU000000CXU9,60749530,CXU,AUD,2019-03-20,0.0228,0.0237,0.0228,0.0237,239232,11,0.02310605
AU000000CXU9,60749530,CXU,AUD,2019-03-21,0.0274,0.0274,0.0247,0.0247,44263,4,0.02730714
AU000000CXU9,60749530,CXU,AUD,2019-03-22,0.0247,0.0247,0.0247,0.0247,0,0,0.02465863
AU000000CXU9,60749530,CXU,AUD,2019-03-25,0.0247,0.0247,0.0247,0.0247,0,0,0.02465863
AU000000CXU9,60749530,CXU,AUD,2019-03-26,0.0247,0.0247,0.0247,0.0247,0,0,0.02465863
AU000000CXU9,60749530,CXU,AUD,2019-03-27,0.0247,0.0247,0.0247,0.0247,0,0,0.02465863
AU000000CXU9,60749530,CXU,AUD,2019-03-28,0.0247,0.0247,0.0247,0.0247,0,0,0.02465863
AU000000CXU9,60749530,CXU,AUD,2019-03-29,0.0201,0.0247,0.0201,0.0247,9967,2,0.02009221
AU000000CXU9,60749530,CXU,AUD,2019-04-01,0.0201,0.0201,0.0201,0.0201,34376,2,0.02009221
AU000000CXU9,60749530,CXU,AUD,2019-04-02,0.0201,0.0201,0.0201,0.0201,50040,3,0.02009221
AU000000CXU9,60749530,CXU,AUD,2019-04-03,0.0201,0.0201,0.0201,0.0201,7500,2,0.02009221
AU000000CXU9,60749530,CXU,AUD,2019-04-04,0.0201,0.0201,0.0201,0.0201,0,0,0.02009221
AU000000CXU9,60749530,CXU,AUD,2019-04-05,0.0201,0.0201,0.0201,0.0201,0,0,0.02009221
AU000000CXU9,60749530,CXU,AUD,2019-04-08,0.0201,0.0201,0.0201,0.0201,7269,1,0.02009221
AU000000CXU9,60749530,CXU,AUD,2019-04-09,0.0201,0.0201,0.0201,0.0201,7730,1,0.02009221
AU000000CXU9,60749530,CXU,AUD,2019-04-10,0.0201,0.0201,0.0201,0.0201,0,0,0.02009221
AU000000CXU9,60749530,CXU,AUD,2019-04-11,0.0219,0.0228,0.0219,0.0228,48647,5,0.02274073
AU000000CXU9,60749530,CXU,AUD,2019-04-12,0.0219,0.0228,0.0219,0.0228,20000,2,0.02274073
AU000000CXU9,60749530,CXU,AUD,2019-04-15,0.0219,0.0228,0.0219,0.0228,139454,2,0.02283206
AU000000CXU9,60749530,CXU,AUD,2019-04-16,0.0183,0.0183,0.0183,0.0183,22000,1,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-04-17,0.0192,0.0192,0.0183,0.0192,52954,3,0.01917893
AU000000CXU9,60749530,CXU,AUD,2019-04-18,0.0192,0.0192,0.0192,0.0192,0,0,0.01917893
AU000000CXU9,60749530,CXU,AUD,2019-04-23,0.0192,0.0192,0.0192,0.0192,0,0,0.01917893
AU000000CXU9,60749530,CXU,AUD,2019-04-24,0.0192,0.0192,0.0192,0.0192,0,0,0.01917893
AU000000CXU9,60749530,CXU,AUD,2019-04-26,0.0192,0.0192,0.0192,0.0192,650,1,0.01917893
AU000000CXU9,60749530,CXU,AUD,2019-04-29,0.0192,0.0192,0.0183,0.0183,190010,8,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-04-30,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-05-01,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-05-02,0.0174,0.0183,0.0174,0.0183,17249,1,0.01735237
AU000000CXU9,60749530,CXU,AUD,2019-05-03,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-05-06,0.0183,0.0183,0.0183,0.0183,30000,1,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-05-07,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-05-08,0.0164,0.0164,0.0164,0.0164,22500,3,0.01643908
AU000000CXU9,60749530,CXU,AUD,2019-05-09,0.0164,0.0164,0.0164,0.0164,0,0,0.01643908
AU000000CXU9,60749530,CXU,AUD,2019-05-10,0.0164,0.0164,0.0164,0.0164,0,0,0.01643908
AU000000CXU9,60749530,CXU,AUD,2019-05-13,0.0164,0.0164,0.0164,0.0164,0,0,0.01643908
AU000000CXU9,60749530,CXU,AUD,2019-05-14,0.0164,0.0164,0.0164,0.0164,0,0,0.01643908
AU000000CXU9,60749530,CXU,AUD,2019-05-15,0.0164,0.0164,0.0164,0.0164,0,0,0.01643908
AU000000CXU9,60749530,CXU,AUD,2019-05-16,0.0164,0.0164,0.0164,0.0164,0,0,0.01643908
AU000000CXU9,60749530,CXU,AUD,2019-05-17,0.0164,0.0164,0.0164,0.0164,0,0,0.01643908
AU000000CXU9,60749530,CXU,AUD,2019-05-20,0.0183,0.0183,0.0183,0.0183,30001,1,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-05-21,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-05-22,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-05-23,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-05-24,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-05-27,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-05-28,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
AU000000CXU9,60749530,CXU,AUD,2019-05-29,0.0183,0.0183,0.0183,0.0183,0,0,0.01826565
