ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000DUB3,178891941,DUB,AUD,2019-01-02,0.1908,0.1908,0.1815,0.1815,41279,9,0.18316518
AU000000DUB3,178891941,DUB,AUD,2019-01-03,0.1815,0.1862,0.1792,0.1815,35627,23,0.18134982
AU000000DUB3,178891941,DUB,AUD,2019-01-04,0.1815,0.1839,0.1792,0.1839,59279,13,0.1807447
AU000000DUB3,178891941,DUB,AUD,2019-01-07,0.1839,0.1839,0.1839,0.1839,12000,1,0.1838634
AU000000DUB3,178891941,DUB,AUD,2019-01-08,0.1815,0.1908,0.1815,0.1862,26780,7,0.18656317
AU000000DUB3,178891941,DUB,AUD,2019-01-09,0.1862,0.1862,0.1862,0.1862,7670,2,0.18619078
AU000000DUB3,178891941,DUB,AUD,2019-01-10,0.1839,0.1862,0.1769,0.1815,32707,7,0.18390995
AU000000DUB3,178891941,DUB,AUD,2019-01-11,0.1815,0.1815,0.1815,0.1815,30664,6,0.18153601
AU000000DUB3,178891941,DUB,AUD,2019-01-14,0.1815,0.1815,0.1815,0.1815,0,0,0.18153601
AU000000DUB3,178891941,DUB,AUD,2019-01-15,0.1862,0.1885,0.1839,0.1839,42726,7,0.18726138
AU000000DUB3,178891941,DUB,AUD,2019-01-16,0.1839,0.1839,0.1839,0.1839,0,0,0.1838634
AU000000DUB3,178891941,DUB,AUD,2019-01-17,0.1908,0.1908,0.1908,0.1908,164200,11,0.19084555
AU000000DUB3,178891941,DUB,AUD,2019-01-18,0.1908,0.1908,0.1908,0.1908,17317,4,0.19084555
AU000000DUB3,178891941,DUB,AUD,2019-01-21,0.1908,0.1932,0.1862,0.1862,55836,40,0.19010079
AU000000DUB3,178891941,DUB,AUD,2019-01-22,0.1885,0.1908,0.1885,0.1908,11956,22,0.19061282
AU000000DUB3,178891941,DUB,AUD,2019-01-23,0.1908,0.1908,0.1862,0.1862,74395,13,0.18698209
AU000000DUB3,178891941,DUB,AUD,2019-01-24,0.1908,0.1908,0.1862,0.1885,25061,21,0.1899146
AU000000DUB3,178891941,DUB,AUD,2019-01-25,0.1908,0.2071,0.1908,0.2048,86487,43,0.20178426
AU000000DUB3,178891941,DUB,AUD,2019-01-29,0.2095,0.2095,0.2071,0.2071,47800,9,0.20923189
AU000000DUB3,178891941,DUB,AUD,2019-01-30,0.2188,0.2351,0.2118,0.2211,1281079,94,0.22771133
AU000000DUB3,178891941,DUB,AUD,2019-01-31,0.2281,0.2304,0.2188,0.2188,133565,37,0.22380132
AU000000DUB3,178891941,DUB,AUD,2019-02-01,0.2141,0.2141,0.2118,0.2118,28072,8,0.21388666
