ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000EPM8,110321639,EPM,AUD,2019-01-02,0.0027,0.0027,0.0027,0.0027,0,0,0.0027
AU000000EPM8,110321639,EPM,AUD,2019-01-03,0.0027,0.0027,0.0027,0.0027,0,0,0.0027
AU000000EPM8,110321639,EPM,AUD,2019-01-04,0.0027,0.0027,0.0027,0.0027,0,0,0.0027
AU000000EPM8,110321639,EPM,AUD,2019-01-07,0.0036,0.0036,0.0036,0.0036,150000,1,0.0036
AU000000EPM8,110321639,EPM,AUD,2019-01-08,0.0027,0.0027,0.0027,0.0027,3000000,4,0.0027
AU000000EPM8,110321639,EPM,AUD,2019-01-09,0.0027,0.0027,0.0027,0.0027,30000,1,0.0027
AU000000EPM8,110321639,EPM,AUD,2019-01-10,0.0027,0.0027,0.0027,0.0027,0,0,0.0027
AU000000EPM8,110321639,EPM,AUD,2019-01-11,0.0036,0.0036,0.0036,0.0036,316476,2,0.0036
AU000000EPM8,110321639,EPM,AUD,2019-01-14,0.0036,0.0036,0.0036,0.0036,0,0,0.0036
AU000000EPM8,110321639,EPM,AUD,2019-01-15,0.0027,0.0036,0.0027,0.0036,157556,2,0.0027
AU000000EPM8,110321639,EPM,AUD,2019-01-16,0.0027,0.0027,0.0027,0.0027,50000,1,0.0027
AU000000EPM8,110321639,EPM,AUD,2019-01-17,0.0027,0.0027,0.0027,0.0027,62500,1,0.0027
AU000000EPM8,110321639,EPM,AUD,2019-01-18,0.0027,0.0027,0.0027,0.0027,0,0,0.0027
AU000000EPM8,110321639,EPM,AUD,2019-01-21,0.0027,0.0027,0.0027,0.0027,0,0,0.0027
AU000000EPM8,110321639,EPM,AUD,2019-01-22,0.0027,0.0027,0.0027,0.0027,1300000,1,0.0027
AU000000EPM8,110321639,EPM,AUD,2019-01-23,0.0027,0.0027,0.0027,0.0027,0,0,0.0027
