ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000JPR6,44202596,JPR,AUD,2019-01-02,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-03,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-04,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-07,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-08,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-09,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-10,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-11,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-14,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-15,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-16,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-17,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-18,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-21,0.052,0.052,0.052,0.052,4139,2,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-22,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-23,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-24,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-25,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-29,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-30,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-01-31,0.052,0.052,0.052,0.052,0,0,0.052
AU000000JPR6,44202596,JPR,AUD,2019-02-01,0.045,0.045,0.045,0.045,31001,2,0.045
AU000000JPR6,44202596,JPR,AUD,2019-02-04,0.045,0.045,0.045,0.045,3912,1,0.045
AU000000JPR6,44202596,JPR,AUD,2019-02-05,0.045,0.045,0.045,0.045,0,0,0.045
AU000000JPR6,44202596,JPR,AUD,2019-02-06,0.045,0.045,0.045,0.045,0,0,0.045
AU000000JPR6,44202596,JPR,AUD,2019-02-11,0.045,0.045,0.045,0.045,0,0,0.045
AU000000JPR6,44202596,JPR,AUD,2019-02-12,0.046,0.046,0.045,0.045,16016,3,0.046
AU000000JPR6,44202596,JPR,AUD,2019-02-13,0.046,0.046,0.046,0.046,45000,1,0.046
AU000000JPR6,44202596,JPR,AUD,2019-02-14,0.047,0.047,0.047,0.047,726,1,0.047
AU000000JPR6,44202596,JPR,AUD,2019-02-15,0.046,0.046,0.045,0.045,38388,3,0.0453
AU000000JPR6,44202596,JPR,AUD,2019-02-18,0.039,0.039,0.039,0.039,2120,1,0.039
AU000000JPR6,44202596,JPR,AUD,2019-02-19,0.039,0.039,0.039,0.039,2604,1,0.039
AU000000JPR6,44202596,JPR,AUD,2019-02-20,0.039,0.039,0.039,0.039,2470,1,0.039
AU000000JPR6,44202596,JPR,AUD,2019-02-21,0.039,0.039,0.039,0.039,0,0,0.039
AU000000JPR6,44202596,JPR,AUD,2019-02-22,0.039,0.039,0.039,0.039,0,0,0.039
AU000000JPR6,44202596,JPR,AUD,2019-02-25,0.039,0.039,0.039,0.039,0,0,0.039
AU000000JPR6,44202596,JPR,AUD,2019-02-26,0.039,0.039,0.039,0.039,0,0,0.039
AU000000JPR6,44202596,JPR,AUD,2019-02-27,0.039,0.039,0.039,0.039,0,0,0.039
AU000000JPR6,44202596,JPR,AUD,2019-02-28,0.039,0.039,0.039,0.039,0,0,0.039
AU000000JPR6,44202596,JPR,AUD,2019-03-01,0.039,0.039,0.039,0.039,0,0,0.039
AU000000JPR6,44202596,JPR,AUD,2019-03-04,0.039,0.039,0.039,0.039,0,0,0.039
AU000000JPR6,44202596,JPR,AUD,2019-03-05,0.03,0.03,0.03,0.03,13334,1,0.03
AU000000JPR6,44202596,JPR,AUD,2019-03-06,0.03,0.03,0.03,0.03,0,0,0.03
AU000000JPR6,44202596,JPR,AUD,2019-03-07,0.03,0.03,0.03,0.03,0,0,0.03
AU000000JPR6,44202596,JPR,AUD,2019-03-08,0.03,0.03,0.03,0.03,0,0,0.03
AU000000JPR6,44202596,JPR,AUD,2019-03-11,0.03,0.03,0.03,0.03,0,0,0.03
AU000000JPR6,44202596,JPR,AUD,2019-03-12,0.03,0.03,0.03,0.03,0,0,0.03
AU000000JPR6,44202596,JPR,AUD,2019-03-13,0.03,0.03,0.03,0.03,0,0,0.03
AU000000JPR6,44202596,JPR,AUD,2019-03-14,0.03,0.03,0.03,0.03,0,0,0.03
AU000000JPR6,44202596,JPR,AUD,2019-03-15,0.038,0.038,0.038,0.038,15378,1,0.038
AU000000JPR6,44202596,JPR,AUD,2019-03-18,0.038,0.038,0.038,0.038,13809,3,0.038
AU000000JPR6,44202596,JPR,AUD,2019-03-19,0.038,0.038,0.038,0.038,690,1,0.038
AU000000JPR6,44202596,JPR,AUD,2019-03-20,0.038,0.045,0.038,0.045,40123,4,0.0447
AU000000JPR6,44202596,JPR,AUD,2019-03-21,0.045,0.045,0.045,0.045,0,0,0.045
AU000000JPR6,44202596,JPR,AUD,2019-03-22,0.045,0.045,0.045,0.045,0,0,0.045
AU000000JPR6,44202596,JPR,AUD,2019-03-25,0.04,0.041,0.036,0.037,67000,7,0.0405
AU000000JPR6,44202596,JPR,AUD,2019-03-26,0.037,0.037,0.037,0.037,0,0,0.037
