ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000KAR6,44202371,KAR,AUD,2019-01-02,0.7694,0.7766,0.7512,0.7512,218081,519,0.76408228
AU000000KAR6,44202371,KAR,AUD,2019-01-03,0.7785,0.7785,0.7466,0.7648,267210,349,0.75688942
AU000000KAR6,44202371,KAR,AUD,2019-01-04,0.7648,0.7739,0.7466,0.7648,393394,493,0.76271655
AU000000KAR6,44202371,KAR,AUD,2019-01-07,0.7739,0.7876,0.7648,0.7876,643222,441,0.78101738
AU000000KAR6,44202371,KAR,AUD,2019-01-08,0.8012,0.8194,0.7967,0.8149,258477,319,0.80760365
AU000000KAR6,44202371,KAR,AUD,2019-01-09,0.824,0.8285,0.8058,0.8103,228837,556,0.81898477
AU000000KAR6,44202371,KAR,AUD,2019-01-10,0.824,0.8285,0.7967,0.8012,301196,318,0.81261134
AU000000KAR6,44202371,KAR,AUD,2019-01-11,0.8149,0.8194,0.7921,0.8149,272421,500,0.80387065
AU000000KAR6,44202371,KAR,AUD,2019-01-14,0.7921,0.8103,0.7739,0.783,182690,439,0.78766395
AU000000KAR6,44202371,KAR,AUD,2019-01-15,0.783,0.8012,0.7739,0.8012,192123,530,0.78684451
AU000000KAR6,44202371,KAR,AUD,2019-01-16,0.8103,0.8285,0.8103,0.8285,240448,566,0.81761903
AU000000KAR6,44202371,KAR,AUD,2019-01-17,0.8194,0.824,0.8149,0.8194,204820,450,0.82071469
AU000000KAR6,44202371,KAR,AUD,2019-01-18,0.8194,0.8194,0.8012,0.8194,599360,695,0.81252029
AU000000KAR6,44202371,KAR,AUD,2019-01-21,0.8149,0.8194,0.8012,0.8103,608341,536,0.80651107
AU000000KAR6,44202371,KAR,AUD,2019-01-22,0.8058,0.8058,0.8012,0.8012,201251,461,0.80232282
AU000000KAR6,44202371,KAR,AUD,2019-01-23,0.8012,0.8194,0.7876,0.7876,1144946,1060,0.79813457
AU000000KAR6,44202371,KAR,AUD,2019-01-24,0.8058,0.8058,0.7739,0.7785,933515,904,0.78256521
AU000000KAR6,44202371,KAR,AUD,2019-01-25,0.783,0.7876,0.7739,0.7785,345997,507,0.78010689
AU000000KAR6,44202371,KAR,AUD,2019-01-29,0.7785,0.8058,0.7694,0.7785,620828,802,0.77946955
AU000000KAR6,44202371,KAR,AUD,2019-01-30,0.7785,0.7858,0.7721,0.7785,441161,607,0.7791964
AU000000KAR6,44202371,KAR,AUD,2019-01-31,0.7785,0.783,0.7575,0.7694,813420,797,0.77173039
AU000000KAR6,44202371,KAR,AUD,2019-02-01,0.7603,0.8103,0.753,0.8058,759364,902,0.77819486
AU000000KAR6,44202371,KAR,AUD,2019-02-04,0.7967,0.7967,0.7785,0.7921,199412,420,0.787755
AU000000KAR6,44202371,KAR,AUD,2019-02-05,0.7876,0.8012,0.783,0.8012,634783,590,0.79321793
AU000000KAR6,44202371,KAR,AUD,2019-02-06,0.7876,0.7967,0.7785,0.7876,649815,485,0.78793709
AU000000KAR6,44202371,KAR,AUD,2019-02-07,0.7921,0.8832,0.7876,0.8832,1458046,648,0.83755874
AU000000KAR6,44202371,KAR,AUD,2019-02-08,0.8468,0.8604,0.8422,0.8468,570990,479,0.85349229
AU000000KAR6,44202371,KAR,AUD,2019-02-11,0.8285,0.865,0.8194,0.865,604146,625,0.84001706
AU000000KAR6,44202371,KAR,AUD,2019-02-12,0.8285,0.9014,0.8285,0.8832,660928,741,0.85631481
AU000000KAR6,44202371,KAR,AUD,2019-02-13,0.8832,0.8968,0.8786,0.8923,546842,727,0.88827297
AU000000KAR6,44202371,KAR,AUD,2019-02-14,0.8695,0.9287,0.8668,0.9105,1276554,726,0.8903671
AU000000KAR6,44202371,KAR,AUD,2019-02-15,0.9196,0.9378,0.9059,0.9105,622114,783,0.92059533
AU000000KAR6,44202371,KAR,AUD,2019-02-18,0.9378,0.956,0.9287,0.9515,829233,871,0.94089923
AU000000KAR6,44202371,KAR,AUD,2019-02-19,0.9469,0.9606,0.9287,0.9606,937628,753,0.94836524
AU000000KAR6,44202371,KAR,AUD,2019-02-20,0.956,1.0015,0.9378,0.9833,1379329,765,0.98023235
AU000000KAR6,44202371,KAR,AUD,2019-02-21,0.9924,1.0152,0.9651,0.9833,1892042,1114,0.99124927
AU000000KAR6,44202371,KAR,AUD,2019-02-22,0.9833,1.0289,0.9697,1.0106,1026896,849,1.00190199
AU000000KAR6,44202371,KAR,AUD,2019-02-25,1.0061,1.0789,0.9924,1.0471,2388548,1130,1.05325356
AU000000KAR6,44202371,KAR,AUD,2019-02-26,1.038,1.0498,0.997,1.0243,1056927,1326,1.02757777
AU000000KAR6,44202371,KAR,AUD,2019-02-27,1.0243,1.0243,0.9833,1.0106,1074196,1513,1.00290352
AU000000KAR6,44202371,KAR,AUD,2019-02-28,0.997,1.0061,0.9651,0.9651,781705,1144,0.98278172
AU000000KAR6,44202371,KAR,AUD,2019-03-01,0.9651,0.997,0.9651,0.9924,540243,950,0.98241752
AU000000KAR6,44202371,KAR,AUD,2019-03-04,0.997,1.038,0.997,1.0289,1213128,823,1.02138645
AU000000KAR6,44202371,KAR,AUD,2019-03-05,1.0197,1.0197,0.997,0.997,169644,596,1.00417821
AU000000KAR6,44202371,KAR,AUD,2019-03-06,1.0106,1.0106,0.9879,1.0061,269197,472,0.99480017
AU000000KAR6,44202371,KAR,AUD,2019-03-07,0.9924,1.0015,0.9879,0.9879,110526,202,0.99079402
AU000000KAR6,44202371,KAR,AUD,2019-03-08,0.9924,0.9924,0.9378,0.9515,1413443,729,0.9676676
AU000000KAR6,44202371,KAR,AUD,2019-03-11,0.9515,0.9515,0.915,0.9241,719745,1103,0.92660455
AU000000KAR6,44202371,KAR,AUD,2019-03-12,0.9014,0.9424,0.9014,0.9287,502635,1026,0.92878973
AU000000KAR6,44202371,KAR,AUD,2019-03-13,0.9287,0.9287,0.8923,0.9014,806252,1100,0.90966946
AU000000KAR6,44202371,KAR,AUD,2019-03-14,0.9378,0.9378,0.915,0.915,494984,659,0.92232526
AU000000KAR6,44202371,KAR,AUD,2019-03-15,0.9196,0.9742,0.9196,0.9606,793523,1099,0.95136985
AU000000KAR6,44202371,KAR,AUD,2019-03-18,0.9833,0.9833,0.9424,0.9606,259567,475,0.95628649
AU000000KAR6,44202371,KAR,AUD,2019-03-19,0.9651,0.997,0.956,0.956,452861,1077,0.96712131
AU000000KAR6,44202371,KAR,AUD,2019-03-20,0.9606,0.9606,0.9333,0.9424,403612,593,0.94317545
AU000000KAR6,44202371,KAR,AUD,2019-03-21,0.956,0.9697,0.9469,0.9606,572660,1207,0.9559223
AU000000KAR6,44202371,KAR,AUD,2019-03-22,0.9424,0.9651,0.9424,0.9424,291819,401,0.95173405
AU000000KAR6,44202371,KAR,AUD,2019-03-25,0.9469,0.9469,0.9196,0.9287,287237,445,0.9306107
AU000000KAR6,44202371,KAR,AUD,2019-03-26,0.9287,0.9333,0.9014,0.915,352674,491,0.91485925
AU000000KAR6,44202371,KAR,AUD,2019-03-27,0.9196,0.9241,0.9059,0.9196,323634,659,0.91786386
AU000000KAR6,44202371,KAR,AUD,2019-03-28,0.9196,0.956,0.9105,0.9469,440268,662,0.93334217
