ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000MND5,14064610,MND,AUD,2019-01-02,13.49,13.88,13.49,13.65,163797,3172,13.674
AU000000MND5,14064610,MND,AUD,2019-01-03,13.13,14.06,13.13,13.95,135191,3685,13.9095
AU000000MND5,14064610,MND,AUD,2019-01-04,13.63,13.7,13.49,13.64,153487,2481,13.6005
AU000000MND5,14064610,MND,AUD,2019-01-07,13.68,14.25,13.63,14.24,160802,3185,14.1735
AU000000MND5,14064610,MND,AUD,2019-01-08,14.06,14.13,13.82,14.03,478527,5531,14.022
AU000000MND5,14064610,MND,AUD,2019-01-09,13.86,14.38,13.86,14.31,188379,3114,14.266
AU000000MND5,14064610,MND,AUD,2019-01-10,14.31,14.66,14.24,14.53,286861,3712,14.443
AU000000MND5,14064610,MND,AUD,2019-01-11,14.59,14.59,14.13,14.22,151733,3694,14.266
AU000000MND5,14064610,MND,AUD,2019-01-14,14.22,14.45,14.12,14.34,82559,2216,14.319
AU000000MND5,14064610,MND,AUD,2019-01-15,14.23,14.49,14.23,14.38,158333,3623,14.3915
AU000000MND5,14064610,MND,AUD,2019-01-16,14.17,14.64,14.17,14.55,133481,3659,14.536
AU000000MND5,14064610,MND,AUD,2019-01-17,14.57,14.72,14.45,14.62,128466,2116,14.6085
AU000000MND5,14064610,MND,AUD,2019-01-18,14.65,14.75,14.5,14.63,105714,2639,14.627
AU000000MND5,14064610,MND,AUD,2019-01-21,14.75,14.88,14.63,14.8,119080,3404,14.788
AU000000MND5,14064610,MND,AUD,2019-01-22,14.72,15.09,14.72,15.02,220204,4708,14.9345
AU000000MND5,14064610,MND,AUD,2019-01-23,15.02,15.05,14.62,14.67,258176,5292,14.7675
AU000000MND5,14064610,MND,AUD,2019-01-24,14.69,15.12,14.66,15.06,116638,2482,14.968
AU000000MND5,14064610,MND,AUD,2019-01-25,15.12,15.37,15.06,15.32,218739,4803,15.2885
AU000000MND5,14064610,MND,AUD,2019-01-29,15.25,15.33,15.0,15.12,126893,3360,15.129
AU000000MND5,14064610,MND,AUD,2019-01-30,15.26,15.39,15.11,15.15,196065,4091,15.2275
AU000000MND5,14064610,MND,AUD,2019-01-31,15.14,15.32,14.77,14.77,234039,5414,14.918
AU000000MND5,14064610,MND,AUD,2019-02-01,14.75,15.29,14.75,15.26,196705,6789,15.1325
AU000000MND5,14064610,MND,AUD,2019-02-04,15.3,15.5,15.15,15.47,174617,3880,15.4105
AU000000MND5,14064610,MND,AUD,2019-02-05,15.49,15.71,15.33,15.41,277517,5259,15.426
AU000000MND5,14064610,MND,AUD,2019-02-06,15.47,16.09,15.465,15.78,275388,5561,15.8615
AU000000MND5,14064610,MND,AUD,2019-02-07,15.83,16.18,15.7,16.09,336833,7754,16.0505
AU000000MND5,14064610,MND,AUD,2019-02-08,15.81,16.25,15.81,16.11,379929,7027,16.1005
AU000000MND5,14064610,MND,AUD,2019-02-11,16.16,16.49,16.04,16.14,139540,3031,16.2125
AU000000MND5,14064610,MND,AUD,2019-02-12,16.35,16.41,16.03,16.19,238169,5037,16.182
AU000000MND5,14064610,MND,AUD,2019-02-13,16.2,16.55,16.2,16.4,266524,6540,16.431
AU000000MND5,14064610,MND,AUD,2019-02-14,16.33,16.61,16.31,16.37,326829,7140,16.4235
AU000000MND5,14064610,MND,AUD,2019-02-15,16.5,16.6,16.195,16.5,602015,7345,16.418
AU000000MND5,14064610,MND,AUD,2019-02-18,16.53,16.97,16.53,16.68,469245,8894,16.6865
AU000000MND5,14064610,MND,AUD,2019-02-19,16.44,17.58,16.32,17.38,883907,12873,17.264
AU000000MND5,14064610,MND,AUD,2019-02-20,17.74,18.09,17.61,17.9,731346,10776,17.847
AU000000MND5,14064610,MND,AUD,2019-02-21,17.91,18.18,17.14,17.22,663080,11916,17.543
AU000000MND5,14064610,MND,AUD,2019-02-22,17.11,17.55,17.11,17.4,317859,7690,17.3935
AU000000MND5,14064610,MND,AUD,2019-02-25,17.42,17.73,17.42,17.65,250390,6958,17.5895
AU000000MND5,14064610,MND,AUD,2019-02-26,17.6,17.64,17.44,17.5,435294,7130,17.512
AU000000MND5,14064610,MND,AUD,2019-02-27,17.59,17.725,17.43,17.67,366587,7578,17.6415
AU000000MND5,14064610,MND,AUD,2019-02-28,17.68,17.87,17.56,17.81,327832,5292,17.7715
AU000000MND5,14064610,MND,AUD,2019-03-01,17.85,18.0,17.6,17.75,362473,6462,17.8105
AU000000MND5,14064610,MND,AUD,2019-03-04,17.7,18.19,17.54,17.83,331658,5254,17.903
AU000000MND5,14064610,MND,AUD,2019-03-05,17.56,17.65,17.37,17.57,349133,7128,17.543
AU000000MND5,14064610,MND,AUD,2019-03-06,17.6,17.97,17.52,17.96,662968,10269,17.8625
AU000000MND5,14064610,MND,AUD,2019-03-07,17.7,17.83,17.54,17.56,367231,8380,17.671
AU000000MND5,14064610,MND,AUD,2019-03-08,17.44,17.63,17.28,17.52,501365,9750,17.548
AU000000MND5,14064610,MND,AUD,2019-03-11,17.6,17.66,17.1,17.29,603412,9378,17.2675
AU000000MND5,14064610,MND,AUD,2019-03-12,17.29,17.5,17.23,17.27,502610,8838,17.3355
AU000000MND5,14064610,MND,AUD,2019-03-13,17.16,17.54,17.16,17.4,499475,8223,17.3955
AU000000MND5,14064610,MND,AUD,2019-03-14,17.55,17.66,17.28,17.53,647352,10609,17.4585
AU000000MND5,14064610,MND,AUD,2019-03-15,17.65,17.84,17.32,17.48,1145525,8784,17.477
AU000000MND5,14064610,MND,AUD,2019-03-18,17.77,17.89,17.6,17.84,344285,5248,17.7895
AU000000MND5,14064610,MND,AUD,2019-03-19,17.83,17.89,17.6,17.82,198152,4409,17.7925
AU000000MND5,14064610,MND,AUD,2019-03-20,17.82,17.82,17.41,17.47,280998,6350,17.5305
AU000000MND5,14064610,MND,AUD,2019-03-21,17.47,17.54,17.24,17.36,480048,6658,17.3795
AU000000MND5,14064610,MND,AUD,2019-03-22,17.43,17.66,17.28,17.35,222206,6382,17.423
AU000000MND5,14064610,MND,AUD,2019-03-25,17.3,17.3,16.96,17.09,334748,8127,17.1325
AU000000MND5,14064610,MND,AUD,2019-03-26,17.0,17.34,16.91,17.28,171464,5012,17.2435
AU000000MND5,14064610,MND,AUD,2019-03-27,17.13,17.46,17.13,17.43,195653,8232,17.4035
AU000000MND5,14064610,MND,AUD,2019-03-28,17.18,17.42,17.01,17.39,189155,5993,17.265
AU000000MND5,14064610,MND,AUD,2019-03-29,17.49,17.65,17.32,17.35,254145,5290,17.395
AU000000MND5,14064610,MND,AUD,2019-04-01,17.34,17.86,17.26,17.7,287210,6563,17.7225
AU000000MND5,14064610,MND,AUD,2019-04-02,17.86,18.21,17.71,18.21,526691,8723,18.076
AU000000MND5,14064610,MND,AUD,2019-04-03,18.2,18.48,18.03,18.43,508263,10483,18.3705
AU000000MND5,14064610,MND,AUD,2019-04-04,18.36,18.445,18.22,18.33,364872,7249,18.34
AU000000MND5,14064610,MND,AUD,2019-04-05,18.35,18.6,18.06,18.56,342976,6418,18.4145
AU000000MND5,14064610,MND,AUD,2019-04-08,18.85,19.07,18.77,18.81,475366,6750,18.851
AU000000MND5,14064610,MND,AUD,2019-04-09,18.9,18.98,18.76,18.88,327516,8654,18.892
AU000000MND5,14064610,MND,AUD,2019-04-10,18.83,19.07,18.68,18.99,287338,6803,18.949
AU000000MND5,14064610,MND,AUD,2019-04-11,19.07,19.2,18.84,18.88,267629,5319,18.9045
AU000000MND5,14064610,MND,AUD,2019-04-12,18.9,19.21,18.9,19.21,315941,5422,19.1285
AU000000MND5,14064610,MND,AUD,2019-04-15,19.18,19.42,19.12,19.34,207330,4740,19.3115
AU000000MND5,14064610,MND,AUD,2019-04-16,19.09,19.36,19.05,19.31,176150,4120,19.2855
AU000000MND5,14064610,MND,AUD,2019-04-17,19.36,19.48,19.25,19.34,179799,4221,19.349
AU000000MND5,14064610,MND,AUD,2019-04-18,19.48,19.48,19.19,19.28,224526,4763,19.32
AU000000MND5,14064610,MND,AUD,2019-04-23,19.22,19.39,19.06,19.29,268387,6111,19.2695
AU000000MND5,14064610,MND,AUD,2019-04-24,19.1,19.34,18.94,19.2,418028,8276,19.1735
AU000000MND5,14064610,MND,AUD,2019-04-26,19.09,19.25,19.0,19.15,257039,6653,19.122
