ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000MPL3,174961881,MPL,AUD,2019-01-02,2.55,2.58,2.495,2.5,5826496,3654,2.535
AU000000MPL3,174961881,MPL,AUD,2019-01-03,2.53,2.585,2.495,2.54,6468626,6548,2.5315
AU000000MPL3,174961881,MPL,AUD,2019-01-04,2.52,2.535,2.495,2.53,5390215,4236,2.519
AU000000MPL3,174961881,MPL,AUD,2019-01-07,2.53,2.58,2.52,2.54,4766434,4640,2.543
AU000000MPL3,174961881,MPL,AUD,2019-01-08,2.53,2.54,2.51,2.54,5354149,5184,2.5305
AU000000MPL3,174961881,MPL,AUD,2019-01-09,2.54,2.59,2.52,2.58,7062811,5140,2.563
AU000000MPL3,174961881,MPL,AUD,2019-01-10,2.58,2.58,2.53,2.56,6128092,4907,2.5535
AU000000MPL3,174961881,MPL,AUD,2019-01-11,2.56,2.585,2.545,2.58,3698462,4142,2.575
AU000000MPL3,174961881,MPL,AUD,2019-01-14,2.6,2.6,2.56,2.57,6568840,5499,2.578
AU000000MPL3,174961881,MPL,AUD,2019-01-15,2.56,2.59,2.55,2.59,5479926,4517,2.58
AU000000MPL3,174961881,MPL,AUD,2019-01-16,2.58,2.66,2.58,2.65,6976984,5684,2.638
AU000000MPL3,174961881,MPL,AUD,2019-01-17,2.62,2.66,2.62,2.65,9407273,4851,2.6415
AU000000MPL3,174961881,MPL,AUD,2019-01-18,2.63,2.66,2.63,2.64,6226963,3513,2.643
AU000000MPL3,174961881,MPL,AUD,2019-01-21,2.65,2.67,2.64,2.66,4086378,2272,2.6615
AU000000MPL3,174961881,MPL,AUD,2019-01-22,2.62,2.64,2.615,2.63,3028060,3223,2.6265
AU000000MPL3,174961881,MPL,AUD,2019-01-23,2.61,2.625,2.57,2.59,6937221,6684,2.59
AU000000MPL3,174961881,MPL,AUD,2019-01-24,2.6,2.63,2.59,2.61,8215614,5896,2.606
AU000000MPL3,174961881,MPL,AUD,2019-01-25,2.61,2.62,2.585,2.61,7352273,3768,2.6075
AU000000MPL3,174961881,MPL,AUD,2019-01-29,2.61,2.64,2.58,2.62,8404150,4962,2.613
AU000000MPL3,174961881,MPL,AUD,2019-01-30,2.62,2.645,2.61,2.64,11617074,7243,2.63
AU000000MPL3,174961881,MPL,AUD,2019-01-31,2.64,2.655,2.62,2.62,17148665,6156,2.628
AU000000MPL3,174961881,MPL,AUD,2019-02-01,2.61,2.63,2.56,2.59,6393313,3858,2.591
AU000000MPL3,174961881,MPL,AUD,2019-02-04,2.64,2.71,2.62,2.69,11718101,5567,2.682
AU000000MPL3,174961881,MPL,AUD,2019-02-05,2.7,2.71,2.67,2.68,7011425,4811,2.6845
AU000000MPL3,174961881,MPL,AUD,2019-02-06,2.7,2.76,2.68,2.74,10284456,5470,2.726
AU000000MPL3,174961881,MPL,AUD,2019-02-07,2.76,2.77,2.73,2.74,9871608,5577,2.7475
AU000000MPL3,174961881,MPL,AUD,2019-02-08,2.71,2.78,2.7,2.73,10667669,6493,2.74
AU000000MPL3,174961881,MPL,AUD,2019-02-11,2.74,2.74,2.68,2.72,5584758,3721,2.709
AU000000MPL3,174961881,MPL,AUD,2019-02-12,2.73,2.81,2.72,2.78,12169780,5874,2.7795
AU000000MPL3,174961881,MPL,AUD,2019-02-13,2.8,2.83,2.78,2.81,10691015,6323,2.8075
AU000000MPL3,174961881,MPL,AUD,2019-02-14,2.8,2.81,2.75,2.76,10476979,6110,2.7855
AU000000MPL3,174961881,MPL,AUD,2019-02-15,2.79,2.98,2.78,2.84,35884174,11994,2.8825
AU000000MPL3,174961881,MPL,AUD,2019-02-18,2.88,2.89,2.83,2.85,9790217,7418,2.856
AU000000MPL3,174961881,MPL,AUD,2019-02-19,2.86,2.95,2.86,2.9,12988914,8206,2.9155
AU000000MPL3,174961881,MPL,AUD,2019-02-20,2.89,2.905,2.81,2.82,14554443,8351,2.8315
AU000000MPL3,174961881,MPL,AUD,2019-02-21,2.8,2.83,2.78,2.81,9076851,5945,2.8085
AU000000MPL3,174961881,MPL,AUD,2019-02-22,2.82,2.84,2.77,2.84,10443684,6990,2.817
AU000000MPL3,174961881,MPL,AUD,2019-02-25,2.83,2.855,2.81,2.82,6223561,4574,2.824
AU000000MPL3,174961881,MPL,AUD,2019-02-26,2.78,2.8,2.73,2.79,21837634,8478,2.7675
AU000000MPL3,174961881,MPL,AUD,2019-02-27,2.78,2.84,2.78,2.83,10847375,6483,2.824
AU000000MPL3,174961881,MPL,AUD,2019-02-28,2.83,2.85,2.82,2.84,9391524,6047,2.8385
AU000000MPL3,174961881,MPL,AUD,2019-03-01,2.85,2.905,2.84,2.87,9530945,7474,2.8775
AU000000MPL3,174961881,MPL,AUD,2019-03-04,2.9,2.915,2.88,2.89,8284234,5474,2.8975
AU000000MPL3,174961881,MPL,AUD,2019-03-05,2.84,2.84,2.8,2.83,8993388,6251,2.822
AU000000MPL3,174961881,MPL,AUD,2019-03-06,2.82,2.86,2.81,2.83,7836411,7663,2.8335
AU000000MPL3,174961881,MPL,AUD,2019-03-07,2.85,2.87,2.8,2.82,8621329,6746,2.823
AU000000MPL3,174961881,MPL,AUD,2019-03-08,2.78,2.81,2.75,2.78,17023589,7459,2.785
AU000000MPL3,174961881,MPL,AUD,2019-03-11,2.77,2.79,2.76,2.77,3865508,4124,2.773
AU000000MPL3,174961881,MPL,AUD,2019-03-12,2.79,2.79,2.74,2.76,7660162,5446,2.762
AU000000MPL3,174961881,MPL,AUD,2019-03-13,2.73,2.75,2.72,2.73,4936617,4441,2.7335
AU000000MPL3,174961881,MPL,AUD,2019-03-14,2.73,2.75,2.72,2.75,5411633,4431,2.74
AU000000MPL3,174961881,MPL,AUD,2019-03-15,2.74,2.765,2.69,2.74,15021114,5034,2.739
AU000000MPL3,174961881,MPL,AUD,2019-03-18,2.74,2.75,2.69,2.7,9018554,3735,2.707
AU000000MPL3,174961881,MPL,AUD,2019-03-19,2.7,2.715,2.68,2.69,8887497,5336,2.6925
AU000000MPL3,174961881,MPL,AUD,2019-03-20,2.7,2.72,2.685,2.71,4800808,3914,2.7095
AU000000MPL3,174961881,MPL,AUD,2019-03-21,2.69,2.71,2.66,2.69,12667021,5344,2.6845
AU000000MPL3,174961881,MPL,AUD,2019-03-22,2.7,2.72,2.68,2.7,3915010,3789,2.7025
AU000000MPL3,174961881,MPL,AUD,2019-03-25,2.7,2.71,2.66,2.67,4760181,4600,2.678
AU000000MPL3,174961881,MPL,AUD,2019-03-26,2.66,2.71,2.66,2.7,10392535,5152,2.6955
AU000000MPL3,174961881,MPL,AUD,2019-03-27,2.68,2.72,2.68,2.71,4986278,3906,2.708
AU000000MPL3,174961881,MPL,AUD,2019-03-28,2.69,2.74,2.685,2.74,6484663,4987,2.7165
AU000000MPL3,174961881,MPL,AUD,2019-03-29,2.74,2.78,2.73,2.76,7457735,4234,2.7535
AU000000MPL3,174961881,MPL,AUD,2019-04-01,2.77,2.77,2.75,2.76,4990648,3717,2.7595
AU000000MPL3,174961881,MPL,AUD,2019-04-02,2.76,2.78,2.745,2.75,5965898,4974,2.759
AU000000MPL3,174961881,MPL,AUD,2019-04-03,2.75,2.76,2.72,2.73,6266150,4791,2.732
AU000000MPL3,174961881,MPL,AUD,2019-04-04,2.74,2.76,2.7,2.74,10839972,5837,2.728
AU000000MPL3,174961881,MPL,AUD,2019-04-05,2.72,2.73,2.66,2.67,7773579,5180,2.6805
AU000000MPL3,174961881,MPL,AUD,2019-04-08,2.67,2.67,2.64,2.66,3221480,4696,2.6585
AU000000MPL3,174961881,MPL,AUD,2019-04-09,2.66,2.665,2.62,2.64,8111446,5080,2.6405
AU000000MPL3,174961881,MPL,AUD,2019-04-10,2.64,2.67,2.62,2.66,4856883,3798,2.6565
AU000000MPL3,174961881,MPL,AUD,2019-04-11,2.64,2.655,2.615,2.65,4792266,3125,2.639
AU000000MPL3,174961881,MPL,AUD,2019-04-12,2.66,2.69,2.66,2.69,2924905,2986,2.6785
AU000000MPL3,174961881,MPL,AUD,2019-04-15,2.67,2.68,2.645,2.67,4558820,2623,2.6695
AU000000MPL3,174961881,MPL,AUD,2019-04-16,2.68,2.725,2.675,2.71,5393125,5944,2.708
AU000000MPL3,174961881,MPL,AUD,2019-04-17,2.73,2.745,2.69,2.71,4855012,4065,2.7125
AU000000MPL3,174961881,MPL,AUD,2019-04-18,2.74,2.76,2.72,2.74,6510106,4754,2.7375
AU000000MPL3,174961881,MPL,AUD,2019-04-23,2.79,2.82,2.77,2.82,6535736,4325,2.802
AU000000MPL3,174961881,MPL,AUD,2019-04-24,2.84,2.88,2.83,2.86,13407270,6717,2.8575
AU000000MPL3,174961881,MPL,AUD,2019-04-26,2.84,2.87,2.8,2.87,9241843,6252,2.8525
AU000000MPL3,174961881,MPL,AUD,2019-04-29,2.86,2.86,2.81,2.84,7591773,5107,2.835
AU000000MPL3,174961881,MPL,AUD,2019-04-30,2.83,2.875,2.82,2.86,7418032,5080,2.8545
AU000000MPL3,174961881,MPL,AUD,2019-05-01,2.86,2.93,2.86,2.92,10667410,5696,2.9
AU000000MPL3,174961881,MPL,AUD,2019-05-02,2.91,2.91,2.87,2.89,6663265,5055,2.8885
AU000000MPL3,174961881,MPL,AUD,2019-05-03,2.91,2.93,2.88,2.92,4734366,5257,2.919
AU000000MPL3,174961881,MPL,AUD,2019-05-06,2.91,2.92,2.87,2.9,4830381,4398,2.896
AU000000MPL3,174961881,MPL,AUD,2019-05-07,2.9,2.93,2.875,2.89,9422528,5909,2.8995
AU000000MPL3,174961881,MPL,AUD,2019-05-08,2.86,2.89,2.85,2.88,4746856,4593,2.873
AU000000MPL3,174961881,MPL,AUD,2019-05-09,2.89,2.93,2.89,2.93,7422814,4947,2.919
