ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000NWH5,46065659,NWH,AUD,2019-01-02,1.62,1.65,1.575,1.6,407899,1498,1.6075
AU000000NWH5,46065659,NWH,AUD,2019-01-03,1.58,1.635,1.565,1.58,334680,2430,1.5965
AU000000NWH5,46065659,NWH,AUD,2019-01-04,1.58,1.58,1.52,1.53,1171977,4174,1.54
AU000000NWH5,46065659,NWH,AUD,2019-01-07,1.57,1.68,1.54,1.65,1855385,4926,1.6385
AU000000NWH5,46065659,NWH,AUD,2019-01-08,1.65,1.665,1.59,1.645,705304,2925,1.6385
AU000000NWH5,46065659,NWH,AUD,2019-01-09,1.66,1.69,1.63,1.69,926090,4221,1.6705
AU000000NWH5,46065659,NWH,AUD,2019-01-10,1.635,1.745,1.635,1.705,694023,2827,1.701
AU000000NWH5,46065659,NWH,AUD,2019-01-11,1.68,1.77,1.68,1.71,464586,2941,1.732
AU000000NWH5,46065659,NWH,AUD,2019-01-14,1.75,1.83,1.73,1.81,198010,1624,1.7775
AU000000NWH5,46065659,NWH,AUD,2019-01-15,1.78,1.82,1.745,1.755,432267,3457,1.7815
AU000000NWH5,46065659,NWH,AUD,2019-01-16,1.795,1.81,1.73,1.77,366170,2168,1.7635
AU000000NWH5,46065659,NWH,AUD,2019-01-17,1.77,1.8,1.735,1.755,813634,4067,1.772
AU000000NWH5,46065659,NWH,AUD,2019-01-18,1.79,1.79,1.69,1.74,994142,6301,1.7395
AU000000NWH5,46065659,NWH,AUD,2019-01-21,1.75,1.805,1.74,1.77,541482,4048,1.771
AU000000NWH5,46065659,NWH,AUD,2019-01-22,1.77,1.78,1.745,1.75,274460,1253,1.761
AU000000NWH5,46065659,NWH,AUD,2019-01-23,1.75,1.75,1.75,1.75,0,0,1.75
AU000000NWH5,46065659,NWH,AUD,2019-01-24,1.85,1.91,1.805,1.83,1086104,3375,1.839
AU000000NWH5,46065659,NWH,AUD,2019-01-25,1.83,1.865,1.82,1.82,1399752,4834,1.8475
AU000000NWH5,46065659,NWH,AUD,2019-01-29,1.86,1.9,1.85,1.87,1194722,5249,1.875
AU000000NWH5,46065659,NWH,AUD,2019-01-30,1.88,1.89,1.84,1.855,844883,3741,1.867
AU000000NWH5,46065659,NWH,AUD,2019-01-31,1.84,1.955,1.835,1.925,1700317,4013,1.902
AU000000NWH5,46065659,NWH,AUD,2019-02-01,1.945,1.99,1.915,1.99,1567754,6415,1.961
AU000000NWH5,46065659,NWH,AUD,2019-02-04,1.985,2.025,1.95,1.99,2547995,6238,1.991
AU000000NWH5,46065659,NWH,AUD,2019-02-05,1.99,2.005,1.96,1.985,1083204,4492,1.9835
AU000000NWH5,46065659,NWH,AUD,2019-02-06,2.0,2.01,1.99,2.0,1302156,4267,1.9985
AU000000NWH5,46065659,NWH,AUD,2019-02-07,2.0,2.09,1.99,2.08,3013321,6901,2.037
AU000000NWH5,46065659,NWH,AUD,2019-02-08,2.07,2.07,2.03,2.05,506901,3053,2.051
AU000000NWH5,46065659,NWH,AUD,2019-02-11,2.06,2.09,2.03,2.06,759335,2520,2.0605
AU000000NWH5,46065659,NWH,AUD,2019-02-12,2.06,2.08,2.01,2.04,661191,3610,2.036
AU000000NWH5,46065659,NWH,AUD,2019-02-13,2.01,2.07,2.01,2.05,1083418,4273,2.0505
AU000000NWH5,46065659,NWH,AUD,2019-02-14,2.01,2.04,1.955,2.0,1457845,4010,1.9965
AU000000NWH5,46065659,NWH,AUD,2019-02-15,2.01,2.035,1.97,1.995,977375,3810,1.9935
AU000000NWH5,46065659,NWH,AUD,2019-02-18,2.05,2.09,2.02,2.08,1044514,2645,2.0545
AU000000NWH5,46065659,NWH,AUD,2019-02-19,2.09,2.12,2.05,2.08,1412643,3511,2.092
AU000000NWH5,46065659,NWH,AUD,2019-02-20,2.13,2.285,2.1,2.28,3423112,5182,2.216
AU000000NWH5,46065659,NWH,AUD,2019-02-21,2.4,2.47,2.2,2.23,3208367,6537,2.309
AU000000NWH5,46065659,NWH,AUD,2019-02-22,2.25,2.34,2.25,2.26,2487671,5981,2.28
AU000000NWH5,46065659,NWH,AUD,2019-02-25,2.28,2.35,2.27,2.33,2621551,4739,2.308
AU000000NWH5,46065659,NWH,AUD,2019-02-26,2.35,2.37,2.29,2.33,1841167,5018,2.3315
AU000000NWH5,46065659,NWH,AUD,2019-02-27,2.34,2.4,2.31,2.4,2146223,2909,2.3865
AU000000NWH5,46065659,NWH,AUD,2019-02-28,2.4,2.4,2.31,2.38,2227239,4511,2.3705
AU000000NWH5,46065659,NWH,AUD,2019-03-01,2.36,2.38,2.29,2.29,2026964,5119,2.3305
AU000000NWH5,46065659,NWH,AUD,2019-03-04,2.3,2.335,2.3,2.32,2485134,6915,2.3145
AU000000NWH5,46065659,NWH,AUD,2019-03-05,2.34,2.34,2.29,2.34,1914288,6072,2.3225
AU000000NWH5,46065659,NWH,AUD,2019-03-06,2.33,2.45,2.31,2.42,4033792,6693,2.3825
AU000000NWH5,46065659,NWH,AUD,2019-03-07,2.44,2.45,2.39,2.43,1467372,4369,2.4285
AU000000NWH5,46065659,NWH,AUD,2019-03-08,2.4,2.41,2.345,2.36,1602941,6647,2.3775
AU000000NWH5,46065659,NWH,AUD,2019-03-11,2.4,2.42,2.34,2.41,1910604,4190,2.3975
AU000000NWH5,46065659,NWH,AUD,2019-03-12,2.42,2.44,2.38,2.4,981040,3342,2.408
AU000000NWH5,46065659,NWH,AUD,2019-03-13,2.42,2.42,2.33,2.37,633150,3705,2.377
AU000000NWH5,46065659,NWH,AUD,2019-03-14,2.38,2.49,2.38,2.49,2322918,4630,2.4595
AU000000NWH5,46065659,NWH,AUD,2019-03-15,2.49,2.55,2.46,2.5,2322950,4479,2.4965
AU000000NWH5,46065659,NWH,AUD,2019-03-18,2.54,2.6,2.52,2.55,2748503,5646,2.5565
AU000000NWH5,46065659,NWH,AUD,2019-03-19,2.55,2.59,2.465,2.48,1545188,5689,2.5345
AU000000NWH5,46065659,NWH,AUD,2019-03-20,2.49,2.51,2.41,2.41,1395693,4392,2.454
AU000000NWH5,46065659,NWH,AUD,2019-03-21,2.41,2.43,2.32,2.41,1590476,4742,2.3835
AU000000NWH5,46065659,NWH,AUD,2019-03-22,2.39,2.49,2.34,2.47,1367299,3919,2.4445
AU000000NWH5,46065659,NWH,AUD,2019-03-25,2.4,2.4,2.28,2.32,1958283,3866,2.3305
AU000000NWH5,46065659,NWH,AUD,2019-03-26,2.29,2.4,2.29,2.37,1162498,4517,2.3625
AU000000NWH5,46065659,NWH,AUD,2019-03-27,2.37,2.41,2.35,2.4,1046316,5896,2.384
AU000000NWH5,46065659,NWH,AUD,2019-03-28,2.35,2.39,2.32,2.38,1105667,4087,2.365
AU000000NWH5,46065659,NWH,AUD,2019-03-29,2.4,2.4,2.35,2.38,904706,4495,2.374
AU000000NWH5,46065659,NWH,AUD,2019-04-01,2.38,2.485,2.36,2.48,1241425,4312,2.454
AU000000NWH5,46065659,NWH,AUD,2019-04-02,2.48,2.54,2.475,2.54,2208285,5367,2.509
AU000000NWH5,46065659,NWH,AUD,2019-04-03,2.56,2.625,2.56,2.59,3744840,5455,2.5965
AU000000NWH5,46065659,NWH,AUD,2019-04-04,2.61,2.61,2.56,2.6,1859511,4951,2.5855
AU000000NWH5,46065659,NWH,AUD,2019-04-05,2.6,2.625,2.565,2.6,1325525,3406,2.5945
AU000000NWH5,46065659,NWH,AUD,2019-04-08,2.61,2.63,2.585,2.6,729668,3244,2.608
AU000000NWH5,46065659,NWH,AUD,2019-04-09,2.6,2.64,2.58,2.62,918722,2969,2.6085
AU000000NWH5,46065659,NWH,AUD,2019-04-10,2.62,2.71,2.59,2.66,1561561,4103,2.6615
AU000000NWH5,46065659,NWH,AUD,2019-04-11,2.65,2.68,2.61,2.63,1482717,3905,2.628
AU000000NWH5,46065659,NWH,AUD,2019-04-12,2.62,2.67,2.57,2.67,1793919,4995,2.641
AU000000NWH5,46065659,NWH,AUD,2019-04-15,2.67,2.745,2.67,2.69,1994172,5289,2.702
AU000000NWH5,46065659,NWH,AUD,2019-04-16,2.7,2.72,2.65,2.71,777723,3221,2.6935
AU000000NWH5,46065659,NWH,AUD,2019-04-17,2.69,2.695,2.62,2.65,1138513,2850,2.661
AU000000NWH5,46065659,NWH,AUD,2019-04-18,2.72,2.87,2.72,2.81,4858047,8045,2.8055
AU000000NWH5,46065659,NWH,AUD,2019-04-23,2.8,2.88,2.76,2.87,2508977,6296,2.826
AU000000NWH5,46065659,NWH,AUD,2019-04-24,2.87,2.91,2.81,2.91,2322696,4895,2.878
AU000000NWH5,46065659,NWH,AUD,2019-04-26,2.85,3.02,2.85,2.99,2936549,7914,2.9585
AU000000NWH5,46065659,NWH,AUD,2019-04-29,2.99,3.02,2.93,2.96,1784491,5856,2.971
AU000000NWH5,46065659,NWH,AUD,2019-04-30,2.89,2.99,2.85,2.94,1435629,5892,2.9495
AU000000NWH5,46065659,NWH,AUD,2019-05-01,2.97,2.98,2.89,2.91,2136407,5481,2.916
AU000000NWH5,46065659,NWH,AUD,2019-05-02,2.85,2.915,2.77,2.9,14938368,8373,2.895
AU000000NWH5,46065659,NWH,AUD,2019-05-03,2.89,2.9,2.79,2.85,3262740,6615,2.8385
AU000000NWH5,46065659,NWH,AUD,2019-05-06,2.8,2.83,2.67,2.69,4068284,7520,2.707
AU000000NWH5,46065659,NWH,AUD,2019-05-07,2.7,2.72,2.49,2.55,5815343,9212,2.5645
AU000000NWH5,46065659,NWH,AUD,2019-05-08,2.53,2.61,2.51,2.54,4321458,7804,2.5425
AU000000NWH5,46065659,NWH,AUD,2019-05-09,2.5,2.57,2.47,2.53,2648847,6176,2.5215
AU000000NWH5,46065659,NWH,AUD,2019-05-10,2.52,2.52,2.42,2.47,4038237,5124,2.4625
AU000000NWH5,46065659,NWH,AUD,2019-05-13,2.43,2.51,2.42,2.48,2148796,3859,2.477
AU000000NWH5,46065659,NWH,AUD,2019-05-14,2.41,2.63,2.41,2.63,3161453,7687,2.5585
AU000000NWH5,46065659,NWH,AUD,2019-05-15,2.63,2.63,2.63,2.63,0,0,2.63
AU000000NWH5,46065659,NWH,AUD,2019-05-16,2.63,2.63,2.63,2.63,0,0,2.63
AU000000NWH5,46065659,NWH,AUD,2019-05-17,2.8,2.965,2.77,2.91,4412524,7544,2.897
AU000000NWH5,46065659,NWH,AUD,2019-05-20,2.88,2.955,2.75,2.89,4706575,8639,2.875
AU000000NWH5,46065659,NWH,AUD,2019-05-21,2.82,2.93,2.81,2.93,3803218,5765,2.891
AU000000NWH5,46065659,NWH,AUD,2019-05-22,2.95,3.05,2.93,2.99,3697279,6787,2.975
AU000000NWH5,46065659,NWH,AUD,2019-05-23,3.01,3.06,2.99,3.0,2798955,4609,3.0155
AU000000NWH5,46065659,NWH,AUD,2019-05-24,2.99,3.0,2.91,2.94,2772723,5787,2.9485
AU000000NWH5,46065659,NWH,AUD,2019-05-27,2.98,2.98,2.89,2.91,1757696,3582,2.9185
AU000000NWH5,46065659,NWH,AUD,2019-05-28,2.94,3.02,2.88,2.99,3238370,5442,2.981
