ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000OEC2,8687541,OEC,AUD,2019-01-02,0.4329,0.4329,0.408,0.408,567,2,0.42136768
AU000000OEC2,8687541,OEC,AUD,2019-01-03,0.408,0.408,0.408,0.408,25423,3,0.408032
AU000000OEC2,8687541,OEC,AUD,2019-01-04,0.408,0.408,0.408,0.408,0,0,0.408032
AU000000OEC2,8687541,OEC,AUD,2019-01-07,0.408,0.408,0.3981,0.3981,12295,4,0.40683776
AU000000OEC2,8687541,OEC,AUD,2019-01-08,0.408,0.4279,0.408,0.4279,21992,4,0.42614464
AU000000OEC2,8687541,OEC,AUD,2019-01-09,0.4279,0.4279,0.4279,0.4279,0,0,0.427936
AU000000OEC2,8687541,OEC,AUD,2019-01-10,0.408,0.408,0.408,0.408,718,1,0.408032
AU000000OEC2,8687541,OEC,AUD,2019-01-11,0.4279,0.4279,0.3981,0.3981,47290,7,0.41609312
AU000000OEC2,8687541,OEC,AUD,2019-01-14,0.3981,0.3981,0.3981,0.3981,0,0,0.39808
AU000000OEC2,8687541,OEC,AUD,2019-01-15,0.418,0.418,0.408,0.408,9250,3,0.41260992
AU000000OEC2,8687541,OEC,AUD,2019-01-16,0.408,0.408,0.408,0.408,0,0,0.408032
AU000000OEC2,8687541,OEC,AUD,2019-01-17,0.408,0.408,0.408,0.408,0,0,0.408032
AU000000OEC2,8687541,OEC,AUD,2019-01-18,0.408,0.408,0.408,0.408,0,0,0.408032
AU000000OEC2,8687541,OEC,AUD,2019-01-21,0.408,0.408,0.408,0.408,0,0,0.408032
AU000000OEC2,8687541,OEC,AUD,2019-01-22,0.408,0.408,0.408,0.408,0,0,0.408032
AU000000OEC2,8687541,OEC,AUD,2019-01-23,0.3981,0.4031,0.3981,0.4031,12500,3,0.4020608
AU000000OEC2,8687541,OEC,AUD,2019-01-24,0.4031,0.4031,0.4031,0.4031,500,1,0.403056
AU000000OEC2,8687541,OEC,AUD,2019-01-25,0.408,0.4279,0.408,0.4279,15002,11,0.4149984
AU000000OEC2,8687541,OEC,AUD,2019-01-29,0.408,0.408,0.3981,0.3981,23470,5,0.405544
AU000000OEC2,8687541,OEC,AUD,2019-01-30,0.3981,0.3981,0.3981,0.3981,2147,2,0.39808
AU000000OEC2,8687541,OEC,AUD,2019-01-31,0.3981,0.3981,0.3981,0.3981,3700,3,0.39808
AU000000OEC2,8687541,OEC,AUD,2019-02-01,0.3981,0.408,0.3981,0.408,86175,5,0.39817952
AU000000OEC2,8687541,OEC,AUD,2019-02-04,0.3981,0.408,0.3981,0.408,39208,4,0.40265792
AU000000OEC2,8687541,OEC,AUD,2019-02-05,0.3782,0.3782,0.3782,0.3782,8918,2,0.378176
AU000000OEC2,8687541,OEC,AUD,2019-02-06,0.3832,0.3832,0.3832,0.3832,1750,1,0.383152
AU000000OEC2,8687541,OEC,AUD,2019-02-07,0.3832,0.408,0.3782,0.3832,52054,12,0.3995728
AU000000OEC2,8687541,OEC,AUD,2019-02-08,0.3832,0.3832,0.3832,0.3832,5000,1,0.383152
AU000000OEC2,8687541,OEC,AUD,2019-02-11,0.3881,0.3881,0.3881,0.3881,19577,4,0.388128
AU000000OEC2,8687541,OEC,AUD,2019-02-12,0.3981,0.408,0.3981,0.408,12500,2,0.40016992
AU000000OEC2,8687541,OEC,AUD,2019-02-13,0.3881,0.3881,0.3881,0.3881,4043,1,0.388128
AU000000OEC2,8687541,OEC,AUD,2019-02-14,0.3782,0.3782,0.3782,0.3782,2001,2,0.378176
AU000000OEC2,8687541,OEC,AUD,2019-02-15,0.3832,0.3931,0.3832,0.3931,5000,3,0.3891232
AU000000OEC2,8687541,OEC,AUD,2019-02-18,0.3782,0.3782,0.3782,0.3782,300,1,0.378176
AU000000OEC2,8687541,OEC,AUD,2019-02-19,0.3782,0.3782,0.3782,0.3782,1500,1,0.378176
AU000000OEC2,8687541,OEC,AUD,2019-02-20,0.3782,0.3782,0.3782,0.3782,30915,3,0.378176
AU000000OEC2,8687541,OEC,AUD,2019-02-21,0.408,0.418,0.408,0.408,19995,5,0.413008
AU000000OEC2,8687541,OEC,AUD,2019-02-22,0.408,0.408,0.408,0.408,11150,3,0.408032
AU000000OEC2,8687541,OEC,AUD,2019-02-25,0.408,0.408,0.3881,0.3881,30149,5,0.39419872
AU000000OEC2,8687541,OEC,AUD,2019-02-26,0.3981,0.3981,0.3881,0.3881,49055,5,0.38842656
AU000000OEC2,8687541,OEC,AUD,2019-02-27,0.3881,0.3881,0.3881,0.3881,51184,5,0.388128
AU000000OEC2,8687541,OEC,AUD,2019-02-28,0.3881,0.3881,0.3881,0.3881,50000,3,0.388128
AU000000OEC2,8687541,OEC,AUD,2019-03-01,0.3832,0.3832,0.3682,0.3682,90147,11,0.37847456
AU000000OEC2,8687541,OEC,AUD,2019-03-04,0.3682,0.3682,0.3682,0.3682,0,0,0.368224
AU000000OEC2,8687541,OEC,AUD,2019-03-05,0.3682,0.3682,0.3682,0.3682,0,0,0.368224
AU000000OEC2,8687541,OEC,AUD,2019-03-06,0.3682,0.3682,0.3682,0.3682,0,0,0.368224
AU000000OEC2,8687541,OEC,AUD,2019-03-07,0.3682,0.3682,0.3682,0.3682,0,0,0.368224
AU000000OEC2,8687541,OEC,AUD,2019-03-08,0.3782,0.3782,0.3533,0.3533,133889,13,0.365736
AU000000OEC2,8687541,OEC,AUD,2019-03-11,0.3732,0.3782,0.3583,0.3583,107173,13,0.36354656
AU000000OEC2,8687541,OEC,AUD,2019-03-12,0.3583,0.3583,0.3583,0.3583,0,0,0.358272
AU000000OEC2,8687541,OEC,AUD,2019-03-13,0.3533,0.3533,0.3483,0.3483,51103,4,0.34921568
AU000000OEC2,8687541,OEC,AUD,2019-03-14,0.3483,0.3533,0.3483,0.3533,51215,4,0.34841952
AU000000OEC2,8687541,OEC,AUD,2019-03-15,0.3483,0.3632,0.3483,0.3632,29958,7,0.35548544
AU000000OEC2,8687541,OEC,AUD,2019-03-18,0.3483,0.3533,0.3483,0.3533,38693,8,0.35050944
AU000000OEC2,8687541,OEC,AUD,2019-03-19,0.3533,0.3533,0.3483,0.3533,36623,7,0.35060896
AU000000OEC2,8687541,OEC,AUD,2019-03-20,0.3483,0.3533,0.3483,0.3483,93039,9,0.34941472
AU000000OEC2,8687541,OEC,AUD,2019-03-21,0.3583,0.3632,0.3433,0.3533,46701,7,0.3527984
AU000000OEC2,8687541,OEC,AUD,2019-03-22,0.3483,0.3682,0.3483,0.3583,38959,7,0.36235232
AU000000OEC2,8687541,OEC,AUD,2019-03-25,0.3732,0.3732,0.3732,0.3732,15000,2,0.3732
AU000000OEC2,8687541,OEC,AUD,2019-03-26,0.3732,0.3732,0.3682,0.3682,14049,3,0.37041344
AU000000OEC2,8687541,OEC,AUD,2019-03-27,0.3682,0.3682,0.3682,0.3682,0,0,0.368224
AU000000OEC2,8687541,OEC,AUD,2019-03-28,0.3682,0.3782,0.3682,0.3782,15000,3,0.37489184
AU000000OEC2,8687541,OEC,AUD,2019-03-29,0.3583,0.3682,0.3185,0.3583,106625,11,0.34324448
AU000000OEC2,8687541,OEC,AUD,2019-04-01,0.3533,0.3632,0.3533,0.3632,14000,3,0.3572768
AU000000OEC2,8687541,OEC,AUD,2019-04-02,0.3483,0.3483,0.3384,0.3483,24441,8,0.3438416
AU000000OEC2,8687541,OEC,AUD,2019-04-03,0.3483,0.3483,0.3483,0.3483,3000,1,0.34832
AU000000OEC2,8687541,OEC,AUD,2019-04-04,0.3384,0.3384,0.3384,0.3384,3440,1,0.338368
AU000000OEC2,8687541,OEC,AUD,2019-04-05,0.3384,0.3384,0.3384,0.3384,0,0,0.338368
AU000000OEC2,8687541,OEC,AUD,2019-04-08,0.3483,0.3632,0.3384,0.3384,17516,5,0.35608256
AU000000OEC2,8687541,OEC,AUD,2019-04-09,0.3433,0.3433,0.3384,0.3384,85678,10,0.3398608
AU000000OEC2,8687541,OEC,AUD,2019-04-10,0.3483,0.3483,0.3483,0.3483,20000,1,0.34832
AU000000OEC2,8687541,OEC,AUD,2019-04-11,0.3483,0.3682,0.3483,0.3682,44399,10,0.36165568
AU000000OEC2,8687541,OEC,AUD,2019-04-12,0.3682,0.3682,0.3682,0.3682,0,0,0.368224
AU000000OEC2,8687541,OEC,AUD,2019-04-15,0.3682,0.3732,0.3682,0.3732,20000,3,0.36882112
AU000000OEC2,8687541,OEC,AUD,2019-04-16,0.3732,0.3732,0.3732,0.3732,0,0,0.3732
AU000000OEC2,8687541,OEC,AUD,2019-04-17,0.3682,0.3682,0.3682,0.3682,422,1,0.368224
AU000000OEC2,8687541,OEC,AUD,2019-04-18,0.3533,0.3533,0.3533,0.3533,615,2,0.353296
AU000000OEC2,8687541,OEC,AUD,2019-04-23,0.3583,0.3583,0.3533,0.3583,14600,5,0.35568448
AU000000OEC2,8687541,OEC,AUD,2019-04-24,0.3682,0.3682,0.3682,0.3682,3000,1,0.368224
AU000000OEC2,8687541,OEC,AUD,2019-04-26,0.3682,0.3682,0.3533,0.3533,91012,7,0.3612576
AU000000OEC2,8687541,OEC,AUD,2019-04-29,0.3533,0.3533,0.3533,0.3533,507,1,0.353296
AU000000OEC2,8687541,OEC,AUD,2019-04-30,0.3632,0.3732,0.3632,0.3732,27000,3,0.3732
AU000000OEC2,8687541,OEC,AUD,2019-05-01,0.3732,0.3732,0.3732,0.3732,0,0,0.3732
AU000000OEC2,8687541,OEC,AUD,2019-05-02,0.3732,0.3732,0.3732,0.3732,0,0,0.3732
AU000000OEC2,8687541,OEC,AUD,2019-05-03,0.3732,0.3732,0.3732,0.3732,0,0,0.3732
AU000000OEC2,8687541,OEC,AUD,2019-05-06,0.3682,0.3682,0.3682,0.3682,15486,2,0.368224
AU000000OEC2,8687541,OEC,AUD,2019-05-07,0.3682,0.3732,0.3583,0.3583,31924,6,0.37160768
AU000000OEC2,8687541,OEC,AUD,2019-05-08,0.3583,0.3931,0.3583,0.3931,16889,7,0.378176
