ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000OEL3,44202555,OEL,AUD,2019-01-02,0.0346,0.0363,0.0346,0.0355,902428,16,0.03554174
AU000000OEL3,44202555,OEL,AUD,2019-01-03,0.0363,0.0363,0.0346,0.0355,1056993,41,0.03510936
AU000000OEL3,44202555,OEL,AUD,2019-01-04,0.0363,0.0363,0.0346,0.0346,357577,65,0.03519583
AU000000OEL3,44202555,OEL,AUD,2019-01-07,0.0346,0.0372,0.0346,0.0363,1008845,19,0.03666593
AU000000OEL3,44202555,OEL,AUD,2019-01-08,0.0363,0.038,0.0363,0.038,1824555,83,0.03683888
AU000000OEL3,44202555,OEL,AUD,2019-01-09,0.038,0.0406,0.038,0.0389,3976789,135,0.03908727
AU000000OEL3,44202555,OEL,AUD,2019-01-10,0.0398,0.0398,0.038,0.0389,4019103,92,0.03926022
AU000000OEL3,44202555,OEL,AUD,2019-01-11,0.0389,0.0398,0.0389,0.0389,458093,16,0.03891431
AU000000OEL3,44202555,OEL,AUD,2019-01-14,0.0398,0.0398,0.0372,0.0389,1241989,78,0.03848193
AU000000OEL3,44202555,OEL,AUD,2019-01-15,0.0398,0.0398,0.0389,0.0389,819060,48,0.03908727
AU000000OEL3,44202555,OEL,AUD,2019-01-16,0.0389,0.0389,0.0372,0.0372,2143854,49,0.03813603
AU000000OEL3,44202555,OEL,AUD,2019-01-17,0.0372,0.0372,0.0372,0.0372,1588,17,0.03718479
AU000000OEL3,44202555,OEL,AUD,2019-01-18,0.0398,0.0398,0.038,0.0398,1621315,73,0.03977907
AU000000OEL3,44202555,OEL,AUD,2019-01-21,0.038,0.0398,0.0372,0.0372,969941,52,0.0378766
AU000000OEL3,44202555,OEL,AUD,2019-01-22,0.038,0.0389,0.0372,0.038,493651,27,0.03727126
AU000000OEL3,44202555,OEL,AUD,2019-01-23,0.0372,0.0372,0.0363,0.0363,1043021,33,0.03649298
AU000000OEL3,44202555,OEL,AUD,2019-01-24,0.0363,0.0372,0.0355,0.0363,691645,55,0.0364065
AU000000OEL3,44202555,OEL,AUD,2019-01-25,0.0372,0.0406,0.0363,0.0372,3076926,74,0.03839546
AU000000OEL3,44202555,OEL,AUD,2019-01-29,0.0372,0.0389,0.0372,0.0372,2200403,62,0.03804955
AU000000OEL3,44202555,OEL,AUD,2019-01-30,0.0372,0.0372,0.0363,0.0363,486444,45,0.03718479
AU000000OEL3,44202555,OEL,AUD,2019-01-31,0.0363,0.0363,0.0363,0.0363,0,0,0.03632002
AU000000OEL3,44202555,OEL,AUD,2019-02-01,0.0363,0.0363,0.0363,0.0363,0,0,0.03632002
AU000000OEL3,44202555,OEL,AUD,2019-02-04,0.0605,0.0631,0.051,0.0519,109043289,1882,0.05655547
AU000000OEL3,44202555,OEL,AUD,2019-02-05,0.051,0.0536,0.0484,0.051,26237008,461,0.05197223
AU000000OEL3,44202555,OEL,AUD,2019-02-06,0.0528,0.0536,0.0484,0.0484,16374030,325,0.05145337
AU000000OEL3,44202555,OEL,AUD,2019-02-07,0.0493,0.0536,0.0493,0.0528,7093660,160,0.05162632
AU000000OEL3,44202555,OEL,AUD,2019-02-08,0.0519,0.0528,0.051,0.0528,3119452,43,0.05188575
AU000000OEL3,44202555,OEL,AUD,2019-02-11,0.0528,0.0545,0.0528,0.0545,4524361,109,0.05361527
AU000000OEL3,44202555,OEL,AUD,2019-02-12,0.0545,0.0562,0.0536,0.0536,21694920,190,0.05430708
AU000000OEL3,44202555,OEL,AUD,2019-02-13,0.0536,0.0571,0.0536,0.0562,7517145,132,0.05491242
AU000000OEL3,44202555,OEL,AUD,2019-02-14,0.0571,0.0597,0.0562,0.0579,8130731,207,0.05759318
AU000000OEL3,44202555,OEL,AUD,2019-02-15,0.0579,0.0588,0.0553,0.0562,9266524,137,0.05646899
AU000000OEL3,44202555,OEL,AUD,2019-02-18,0.0571,0.0579,0.0553,0.0571,3645195,72,0.05655547
AU000000OEL3,44202555,OEL,AUD,2019-02-19,0.0571,0.0571,0.0553,0.0562,9987491,130,0.05612309
AU000000OEL3,44202555,OEL,AUD,2019-02-20,0.0588,0.0614,0.0579,0.0597,9511562,183,0.05940918
AU000000OEL3,44202555,OEL,AUD,2019-02-21,0.0605,0.0605,0.0579,0.0588,3673003,104,0.05966861
AU000000OEL3,44202555,OEL,AUD,2019-02-22,0.0597,0.0597,0.0553,0.0553,6903350,200,0.0568149
AU000000OEL3,44202555,OEL,AUD,2019-02-25,0.0562,0.0571,0.0553,0.0571,2845774,87,0.05586366
AU000000OEL3,44202555,OEL,AUD,2019-02-26,0.0562,0.0571,0.0553,0.0571,3275916,65,0.05629604
AU000000OEL3,44202555,OEL,AUD,2019-02-27,0.0562,0.0562,0.0553,0.0562,2988607,60,0.05603661
AU000000OEL3,44202555,OEL,AUD,2019-02-28,0.0562,0.0588,0.0562,0.0579,3926419,84,0.05767966
AU000000OEL3,44202555,OEL,AUD,2019-03-01,0.0588,0.0597,0.0545,0.0553,13323423,173,0.05672842
AU000000OEL3,44202555,OEL,AUD,2019-03-04,0.0519,0.0545,0.0484,0.0528,16307504,262,0.05188575
AU000000OEL3,44202555,OEL,AUD,2019-03-05,0.0545,0.0571,0.0528,0.0528,4227781,130,0.05491242
AU000000OEL3,44202555,OEL,AUD,2019-03-06,0.0536,0.0562,0.0528,0.0536,2772530,98,0.05465299
AU000000OEL3,44202555,OEL,AUD,2019-03-07,0.0614,0.0631,0.0571,0.0579,24552193,374,0.05914975
AU000000OEL3,44202555,OEL,AUD,2019-03-08,0.0579,0.0579,0.0579,0.0579,0,0,0.05793909
AU000000OEL3,44202555,OEL,AUD,2019-03-11,0.0553,0.0588,0.0553,0.0571,9678966,159,0.05750671
AU000000OEL3,44202555,OEL,AUD,2019-03-12,0.0588,0.0588,0.0562,0.0562,10462591,116,0.05767966
AU000000OEL3,44202555,OEL,AUD,2019-03-13,0.0484,0.0519,0.0467,0.0484,20191875,297,0.04868613
AU000000OEL3,44202555,OEL,AUD,2019-03-14,0.0484,0.0502,0.0484,0.0502,4648315,64,0.04972384
AU000000OEL3,44202555,OEL,AUD,2019-03-15,0.0493,0.0519,0.0493,0.0519,4949149,118,0.05076156
AU000000OEL3,44202555,OEL,AUD,2019-03-18,0.0519,0.0519,0.0493,0.0502,4113057,91,0.0502427
AU000000OEL3,44202555,OEL,AUD,2019-03-19,0.0502,0.051,0.0493,0.0502,1212490,53,0.05015622
AU000000OEL3,44202555,OEL,AUD,2019-03-20,0.0502,0.0502,0.0493,0.0493,1628706,47,0.04998327
AU000000OEL3,44202555,OEL,AUD,2019-03-21,0.0493,0.0502,0.0493,0.0502,2210188,46,0.04998327
AU000000OEL3,44202555,OEL,AUD,2019-03-22,0.0502,0.0502,0.0493,0.0493,1319593,23,0.0498968
AU000000OEL3,44202555,OEL,AUD,2019-03-25,0.0493,0.0493,0.0484,0.0484,2476632,40,0.04911851
AU000000OEL3,44202555,OEL,AUD,2019-03-26,0.0484,0.0493,0.0476,0.0493,3822098,57,0.0484267
AU000000OEL3,44202555,OEL,AUD,2019-03-27,0.0493,0.0493,0.0493,0.0493,0,0,0.04929146
AU000000OEL3,44202555,OEL,AUD,2019-03-28,0.0493,0.0493,0.0493,0.0493,0,0,0.04929146
AU000000OEL3,44202555,OEL,AUD,2019-03-29,0.0499,0.0499,0.0499,0.0499,0,0,0.049875
AU000000OEL3,44202555,OEL,AUD,2019-04-01,0.0499,0.0499,0.0499,0.0499,0,0,0.049875
AU000000OEL3,44202555,OEL,AUD,2019-04-02,0.0473,0.049,0.0464,0.049,9142135,121,0.047425
AU000000OEL3,44202555,OEL,AUD,2019-04-03,0.0481,0.0481,0.0473,0.0473,723096,44,0.0475125
AU000000OEL3,44202555,OEL,AUD,2019-04-04,0.0473,0.0473,0.0473,0.0473,319156,24,0.04725
AU000000OEL3,44202555,OEL,AUD,2019-04-05,0.0473,0.0473,0.0464,0.0473,3398145,53,0.04725
AU000000OEL3,44202555,OEL,AUD,2019-04-08,0.0481,0.0508,0.0481,0.0508,12675292,141,0.0492625
AU000000OEL3,44202555,OEL,AUD,2019-04-09,0.049,0.0499,0.0481,0.0499,10458060,131,0.049175
AU000000OEL3,44202555,OEL,AUD,2019-04-10,0.049,0.0499,0.0481,0.0481,1242637,67,0.0489125
AU000000OEL3,44202555,OEL,AUD,2019-04-11,0.049,0.049,0.0481,0.0481,2695669,37,0.0482125
AU000000OEL3,44202555,OEL,AUD,2019-04-12,0.0481,0.0499,0.0473,0.049,3606136,110,0.0487375
AU000000OEL3,44202555,OEL,AUD,2019-04-15,0.049,0.0499,0.049,0.0499,14508481,142,0.0496125
AU000000OEL3,44202555,OEL,AUD,2019-04-16,0.049,0.0499,0.0481,0.049,6464432,50,0.049
AU000000OEL3,44202555,OEL,AUD,2019-04-17,0.049,0.049,0.0481,0.0481,1931097,30,0.048825
AU000000OEL3,44202555,OEL,AUD,2019-04-18,0.0481,0.0481,0.0481,0.0481,718816,16,0.048125
AU000000OEL3,44202555,OEL,AUD,2019-04-23,0.0481,0.049,0.0481,0.0481,1081637,36,0.0485625
AU000000OEL3,44202555,OEL,AUD,2019-04-24,0.049,0.0499,0.0481,0.049,6521690,91,0.0489125
AU000000OEL3,44202555,OEL,AUD,2019-04-26,0.0481,0.0499,0.0481,0.049,3569448,54,0.0485625
AU000000OEL3,44202555,OEL,AUD,2019-04-29,0.049,0.0499,0.0473,0.0473,3249610,66,0.04865
AU000000OEL3,44202555,OEL,AUD,2019-04-30,0.0473,0.0481,0.0455,0.0473,3440148,69,0.0469
AU000000OEL3,44202555,OEL,AUD,2019-05-01,0.0473,0.049,0.0473,0.0481,5284211,137,0.0482125
AU000000OEL3,44202555,OEL,AUD,2019-05-02,0.0481,0.049,0.0481,0.0481,2209658,63,0.0487375
AU000000OEL3,44202555,OEL,AUD,2019-05-03,0.0481,0.049,0.0473,0.049,4942913,64,0.048475
AU000000OEL3,44202555,OEL,AUD,2019-05-06,0.049,0.049,0.0473,0.0473,1419049,24,0.0478625
AU000000OEL3,44202555,OEL,AUD,2019-05-07,0.0473,0.0481,0.0473,0.0473,1625509,31,0.0473375
AU000000OEL3,44202555,OEL,AUD,2019-05-08,0.0473,0.049,0.0464,0.049,3270652,45,0.047425
AU000000OEL3,44202555,OEL,AUD,2019-05-09,0.049,0.049,0.0473,0.0473,1783676,54,0.0483875
AU000000OEL3,44202555,OEL,AUD,2019-05-10,0.0481,0.0481,0.0464,0.0481,578718,25,0.0475125
AU000000OEL3,44202555,OEL,AUD,2019-05-13,0.0481,0.0481,0.0464,0.0464,755589,40,0.0469
AU000000OEL3,44202555,OEL,AUD,2019-05-14,0.0464,0.0473,0.0464,0.0473,1521976,47,0.0469875
AU000000OEL3,44202555,OEL,AUD,2019-05-15,0.0473,0.0473,0.0473,0.0473,0,0,0.04725
AU000000OEL3,44202555,OEL,AUD,2019-05-16,0.0473,0.0473,0.0473,0.0473,0,0,0.04725
AU000000OEL3,44202555,OEL,AUD,2019-05-17,0.0473,0.0473,0.0473,0.0473,0,0,0.04725
AU000000OEL3,44202555,OEL,AUD,2019-05-20,0.0473,0.0473,0.0473,0.0473,0,0,0.04725
AU000000OEL3,44202555,OEL,AUD,2019-05-21,0.0499,0.0551,0.0499,0.0516,8799983,118,0.051275
AU000000OEL3,44202555,OEL,AUD,2019-05-22,0.0525,0.0525,0.0508,0.0525,6698869,120,0.0522375
AU000000OEL3,44202555,OEL,AUD,2019-05-23,0.0516,0.0525,0.0508,0.0525,10082031,99,0.05215
AU000000OEL3,44202555,OEL,AUD,2019-05-24,0.0516,0.0516,0.0499,0.0508,2721646,69,0.05075
AU000000OEL3,44202555,OEL,AUD,2019-05-27,0.0508,0.0508,0.0473,0.049,2586232,96,0.0489125
AU000000OEL3,44202555,OEL,AUD,2019-05-28,0.0481,0.0499,0.0481,0.0499,1359421,45,0.0487375
AU000000OEL3,44202555,OEL,AUD,2019-05-29,0.049,0.0499,0.0473,0.049,2951215,35,0.048125
AU000000OEL3,44202555,OEL,AUD,2019-05-30,0.0481,0.049,0.0473,0.049,2283079,78,0.048125
AU000000OEL3,44202555,OEL,AUD,2019-05-31,0.0481,0.049,0.0473,0.049,3314377,51,0.0482125
AU000000OEL3,44202555,OEL,AUD,2019-06-03,0.049,0.049,0.0464,0.0464,3671143,61,0.0476
AU000000OEL3,44202555,OEL,AUD,2019-06-04,0.0464,0.0464,0.0429,0.0438,7230307,238,0.0445375
AU000000OEL3,44202555,OEL,AUD,2019-06-05,0.0446,0.0455,0.0411,0.0438,1573023,47,0.0434
AU000000OEL3,44202555,OEL,AUD,2019-06-06,0.0429,0.0455,0.0411,0.042,3330827,86,0.043575
AU000000OEL3,44202555,OEL,AUD,2019-06-07,0.0438,0.0455,0.042,0.042,1368821,51,0.0436625
AU000000OEL3,44202555,OEL,AUD,2019-06-11,0.0429,0.0438,0.042,0.042,2145358,38,0.0427875
AU000000OEL3,44202555,OEL,AUD,2019-06-12,0.0438,0.0455,0.042,0.0446,1775802,26,0.04305
AU000000OEL3,44202555,OEL,AUD,2019-06-13,0.0455,0.0464,0.042,0.042,5674958,146,0.0443625
