ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000PGC4,51763287,PGC,AUD,2019-01-02,0.64,0.645,0.63,0.63,194078,94,0.6398
AU000000PGC4,51763287,PGC,AUD,2019-01-03,0.635,0.64,0.625,0.625,490676,108,0.6317
AU000000PGC4,51763287,PGC,AUD,2019-01-04,0.64,0.64,0.625,0.63,140818,106,0.633
AU000000PGC4,51763287,PGC,AUD,2019-01-07,0.64,0.645,0.63,0.63,168286,218,0.6379
AU000000PGC4,51763287,PGC,AUD,2019-01-08,0.64,0.645,0.625,0.625,680430,279,0.6329
AU000000PGC4,51763287,PGC,AUD,2019-01-09,0.635,0.64,0.62,0.62,564769,193,0.6324
AU000000PGC4,51763287,PGC,AUD,2019-01-10,0.625,0.63,0.595,0.6,1643617,401,0.6108
AU000000PGC4,51763287,PGC,AUD,2019-01-11,0.605,0.62,0.59,0.59,1001838,252,0.601
AU000000PGC4,51763287,PGC,AUD,2019-01-14,0.61,0.615,0.595,0.61,400824,166,0.6048
AU000000PGC4,51763287,PGC,AUD,2019-01-15,0.61,0.615,0.595,0.6,521786,144,0.6017
AU000000PGC4,51763287,PGC,AUD,2019-01-16,0.61,0.61,0.595,0.595,346565,149,0.5998
AU000000PGC4,51763287,PGC,AUD,2019-01-17,0.6,0.605,0.595,0.595,344568,212,0.5999
AU000000PGC4,51763287,PGC,AUD,2019-01-18,0.61,0.61,0.59,0.6,665165,169,0.5943
AU000000PGC4,51763287,PGC,AUD,2019-01-21,0.6,0.61,0.59,0.59,436154,171,0.5975
AU000000PGC4,51763287,PGC,AUD,2019-01-22,0.6,0.6,0.59,0.595,118656,100,0.595
AU000000PGC4,51763287,PGC,AUD,2019-01-23,0.6,0.6,0.58,0.585,380005,155,0.5898
AU000000PGC4,51763287,PGC,AUD,2019-01-24,0.6,0.6,0.58,0.585,196458,127,0.5891
AU000000PGC4,51763287,PGC,AUD,2019-01-25,0.585,0.59,0.575,0.58,621035,194,0.5822
AU000000PGC4,51763287,PGC,AUD,2019-01-29,0.58,0.585,0.57,0.575,632850,245,0.5784
AU000000PGC4,51763287,PGC,AUD,2019-01-30,0.582,0.6,0.575,0.58,389654,142,0.5816
AU000000PGC4,51763287,PGC,AUD,2019-01-31,0.6,0.6,0.575,0.59,327630,273,0.5887
AU000000PGC4,51763287,PGC,AUD,2019-02-01,0.59,0.6,0.59,0.6,355456,222,0.5995
AU000000PGC4,51763287,PGC,AUD,2019-02-04,0.6,0.6,0.59,0.59,333361,180,0.5973
AU000000PGC4,51763287,PGC,AUD,2019-02-05,0.595,0.6,0.59,0.595,351689,195,0.5966
AU000000PGC4,51763287,PGC,AUD,2019-02-06,0.6,0.6,0.585,0.59,423956,131,0.5921
AU000000PGC4,51763287,PGC,AUD,2019-02-07,0.59,0.59,0.58,0.58,461732,133,0.5872
AU000000PGC4,51763287,PGC,AUD,2019-02-08,0.585,0.59,0.57,0.575,529825,162,0.5787
AU000000PGC4,51763287,PGC,AUD,2019-02-11,0.575,0.575,0.575,0.575,0,0,0.575
AU000000PGC4,51763287,PGC,AUD,2019-02-12,0.55,0.55,0.5,0.505,6619180,698,0.5164
AU000000PGC4,51763287,PGC,AUD,2019-02-13,0.5,0.5,0.46,0.485,2483903,773,0.4806
AU000000PGC4,51763287,PGC,AUD,2019-02-14,0.485,0.485,0.465,0.465,1321553,438,0.472
AU000000PGC4,51763287,PGC,AUD,2019-02-15,0.465,0.482,0.455,0.48,1529993,371,0.4635
AU000000PGC4,51763287,PGC,AUD,2019-02-18,0.48,0.485,0.47,0.48,755751,296,0.4787
AU000000PGC4,51763287,PGC,AUD,2019-02-19,0.485,0.485,0.465,0.465,360760,189,0.4734
AU000000PGC4,51763287,PGC,AUD,2019-02-20,0.47,0.475,0.465,0.475,444795,218,0.4692
AU000000PGC4,51763287,PGC,AUD,2019-02-21,0.475,0.475,0.465,0.465,806622,249,0.4722
AU000000PGC4,51763287,PGC,AUD,2019-02-22,0.47,0.485,0.465,0.48,764277,235,0.4717
AU000000PGC4,51763287,PGC,AUD,2019-02-25,0.48,0.48,0.47,0.47,579522,227,0.4776
AU000000PGC4,51763287,PGC,AUD,2019-02-26,0.47,0.48,0.465,0.47,301390,140,0.472
AU000000PGC4,51763287,PGC,AUD,2019-02-27,0.475,0.475,0.46,0.465,331183,298,0.4658
AU000000PGC4,51763287,PGC,AUD,2019-02-28,0.47,0.495,0.455,0.465,1629021,429,0.4704
AU000000PGC4,51763287,PGC,AUD,2019-03-01,0.47,0.477,0.46,0.465,583641,204,0.4711
AU000000PGC4,51763287,PGC,AUD,2019-03-04,0.48,0.48,0.465,0.465,441272,129,0.4716
AU000000PGC4,51763287,PGC,AUD,2019-03-05,0.46,0.47,0.46,0.46,517571,161,0.4644
AU000000PGC4,51763287,PGC,AUD,2019-03-06,0.46,0.465,0.455,0.46,845101,604,0.4596
AU000000PGC4,51763287,PGC,AUD,2019-03-07,0.46,0.46,0.45,0.45,1145702,201,0.4532
AU000000PGC4,51763287,PGC,AUD,2019-03-08,0.45,0.47,0.45,0.45,543943,267,0.454
AU000000PGC4,51763287,PGC,AUD,2019-03-11,0.46,0.465,0.455,0.46,308651,82,0.4607
AU000000PGC4,51763287,PGC,AUD,2019-03-12,0.465,0.465,0.455,0.455,481044,227,0.4592
AU000000PGC4,51763287,PGC,AUD,2019-03-13,0.455,0.455,0.45,0.45,204828,160,0.4535
AU000000PGC4,51763287,PGC,AUD,2019-03-14,0.455,0.455,0.435,0.44,781649,501,0.445
AU000000PGC4,51763287,PGC,AUD,2019-03-15,0.445,0.445,0.43,0.435,826585,369,0.437
AU000000PGC4,51763287,PGC,AUD,2019-03-18,0.445,0.46,0.445,0.45,562472,214,0.4505
AU000000PGC4,51763287,PGC,AUD,2019-03-19,0.455,0.458,0.44,0.45,446557,150,0.4524
AU000000PGC4,51763287,PGC,AUD,2019-03-20,0.455,0.455,0.44,0.45,135364,129,0.4432
AU000000PGC4,51763287,PGC,AUD,2019-03-21,0.45,0.45,0.43,0.435,193427,212,0.4387
AU000000PGC4,51763287,PGC,AUD,2019-03-22,0.435,0.475,0.43,0.475,696645,232,0.4434
AU000000PGC4,51763287,PGC,AUD,2019-03-25,0.45,0.45,0.435,0.435,180447,270,0.4426
AU000000PGC4,51763287,PGC,AUD,2019-03-26,0.445,0.45,0.435,0.44,209482,205,0.4416
AU000000PGC4,51763287,PGC,AUD,2019-03-27,0.44,0.445,0.428,0.43,640339,252,0.434
AU000000PGC4,51763287,PGC,AUD,2019-03-28,0.43,0.44,0.42,0.42,688377,763,0.4253
AU000000PGC4,51763287,PGC,AUD,2019-03-29,0.42,0.45,0.4,0.45,884252,470,0.4162
AU000000PGC4,51763287,PGC,AUD,2019-04-01,0.425,0.44,0.42,0.44,456399,322,0.4271
