ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000PPT9,12888981,PPT,AUD,2019-01-02,32.5,32.65,31.14,31.27,123665,4314,31.651
AU000000PPT9,12888981,PPT,AUD,2019-01-03,31.42,32.11,31.17,31.25,184042,6596,31.312
AU000000PPT9,12888981,PPT,AUD,2019-01-04,30.99,31.0,30.3,30.67,120894,4151,30.672
AU000000PPT9,12888981,PPT,AUD,2019-01-07,31.18,31.99,31.18,31.63,142075,4253,31.6735
AU000000PPT9,12888981,PPT,AUD,2019-01-08,31.58,33.08,31.55,32.95,180021,4927,32.5895
AU000000PPT9,12888981,PPT,AUD,2019-01-09,33.29,33.915,32.1,33.77,266737,10148,33.3315
AU000000PPT9,12888981,PPT,AUD,2019-01-10,33.89,33.92,32.44,32.67,182780,5912,32.937
AU000000PPT9,12888981,PPT,AUD,2019-01-11,32.7,32.77,31.74,31.74,110140,7252,32.013
AU000000PPT9,12888981,PPT,AUD,2019-01-14,31.74,33.25,31.74,32.36,132608,5451,32.562
AU000000PPT9,12888981,PPT,AUD,2019-01-15,32.22,32.79,31.28,32.56,220931,5443,32.089
AU000000PPT9,12888981,PPT,AUD,2019-01-16,32.37,33.17,32.29,32.57,138872,5163,32.617
AU000000PPT9,12888981,PPT,AUD,2019-01-17,32.57,33.06,32.14,32.98,141344,4556,32.697
AU000000PPT9,12888981,PPT,AUD,2019-01-18,33.29,33.7,33.1,33.35,104877,3808,33.37
AU000000PPT9,12888981,PPT,AUD,2019-01-21,33.38,33.98,32.64,33.15,134974,6313,33.302
AU000000PPT9,12888981,PPT,AUD,2019-01-22,32.95,33.47,32.55,33.02,93274,4687,33.072
AU000000PPT9,12888981,PPT,AUD,2019-01-23,32.63,33.37,32.57,32.75,139357,6075,32.8775
AU000000PPT9,12888981,PPT,AUD,2019-01-24,32.71,33.08,32.24,32.76,187913,5824,32.6575
AU000000PPT9,12888981,PPT,AUD,2019-01-25,32.75,33.65,32.63,33.08,187492,7123,33.2045
AU000000PPT9,12888981,PPT,AUD,2019-01-29,32.83,33.35,32.35,32.61,150261,6987,32.7235
AU000000PPT9,12888981,PPT,AUD,2019-01-30,32.75,32.75,31.58,32.12,223125,6490,32.024
AU000000PPT9,12888981,PPT,AUD,2019-01-31,32.0,32.84,31.99,32.69,178802,7741,32.62
AU000000PPT9,12888981,PPT,AUD,2019-02-01,32.69,33.17,32.42,32.59,165049,6480,32.6485
AU000000PPT9,12888981,PPT,AUD,2019-02-04,32.89,32.95,32.42,32.79,97723,2977,32.7165
AU000000PPT9,12888981,PPT,AUD,2019-02-05,32.85,34.69,32.85,34.3,187067,5978,34.141
AU000000PPT9,12888981,PPT,AUD,2019-02-06,34.59,35.24,34.2,34.74,124545,6050,34.796
AU000000PPT9,12888981,PPT,AUD,2019-02-07,35.0,35.57,34.77,35.46,137313,6584,35.3105
AU000000PPT9,12888981,PPT,AUD,2019-02-08,35.34,35.34,34.82,35.06,191282,7401,35.0585
AU000000PPT9,12888981,PPT,AUD,2019-02-11,34.85,35.26,34.81,35.02,106784,3911,35.006
AU000000PPT9,12888981,PPT,AUD,2019-02-12,35.03,35.4,34.84,35.09,145878,5767,35.105
AU000000PPT9,12888981,PPT,AUD,2019-02-13,35.38,35.68,35.0,35.62,170353,8908,35.3995
AU000000PPT9,12888981,PPT,AUD,2019-02-14,35.62,35.96,35.4,35.53,190369,6957,35.5705
AU000000PPT9,12888981,PPT,AUD,2019-02-15,35.18,35.43,35.08,35.31,179164,6754,35.2825
AU000000PPT9,12888981,PPT,AUD,2019-02-18,35.74,35.88,35.44,35.54,103259,4889,35.6085
AU000000PPT9,12888981,PPT,AUD,2019-02-19,35.96,36.3,35.7,36.05,150573,4765,36.0375
AU000000PPT9,12888981,PPT,AUD,2019-02-20,36.25,36.4,35.61,36.15,170368,8183,36.0595
AU000000PPT9,12888981,PPT,AUD,2019-02-21,36.5,37.4,35.65,37.27,244372,6586,36.711
AU000000PPT9,12888981,PPT,AUD,2019-02-22,37.4,39.68,37.14,39.37,357917,11066,38.987
AU000000PPT9,12888981,PPT,AUD,2019-02-25,39.5,40.57,39.45,40.55,237279,8061,40.216
AU000000PPT9,12888981,PPT,AUD,2019-02-26,40.19,41.12,40.18,40.9,316816,12696,40.737
AU000000PPT9,12888981,PPT,AUD,2019-02-27,40.9,41.06,40.34,40.54,251793,9664,40.678
AU000000PPT9,12888981,PPT,AUD,2019-02-28,40.8,41.4,40.38,41.09,191203,7662,40.9975
AU000000PPT9,12888981,PPT,AUD,2019-03-01,41.05,41.62,40.9,41.21,234256,8138,41.2395
AU000000PPT9,12888981,PPT,AUD,2019-03-04,41.22,42.42,41.21,42.26,260339,6938,42.054
AU000000PPT9,12888981,PPT,AUD,2019-03-05,42.0,42.17,41.42,41.59,218861,7935,41.781
AU000000PPT9,12888981,PPT,AUD,2019-03-06,40.01,40.68,39.67,40.41,284347,8782,40.187
AU000000PPT9,12888981,PPT,AUD,2019-03-07,40.22,40.61,39.28,39.36,300310,10363,39.63
AU000000PPT9,12888981,PPT,AUD,2019-03-08,39.0,39.44,38.34,38.48,214184,6896,38.676
AU000000PPT9,12888981,PPT,AUD,2019-03-11,38.44,43.89,38.43,43.2,1377069,30168,42.1465
AU000000PPT9,12888981,PPT,AUD,2019-03-12,42.26,42.75,40.52,41.4,962135,24927,41.478
AU000000PPT9,12888981,PPT,AUD,2019-03-13,40.78,43.425,40.41,43.11,645661,20968,42.7055
AU000000PPT9,12888981,PPT,AUD,2019-03-14,42.9,44.99,41.795,44.13,969525,23263,44.272
AU000000PPT9,12888981,PPT,AUD,2019-03-15,42.95,42.95,41.39,41.59,3539441,25608,41.682
AU000000PPT9,12888981,PPT,AUD,2019-03-18,42.0,42.15,41.28,41.4,251271,16830,41.4745
AU000000PPT9,12888981,PPT,AUD,2019-03-19,41.88,41.88,41.0,41.35,249158,12719,41.3365
AU000000PPT9,12888981,PPT,AUD,2019-03-20,41.09,41.44,40.65,40.82,339913,12686,40.883
AU000000PPT9,12888981,PPT,AUD,2019-03-21,40.66,40.81,39.51,39.83,469159,11697,40.017
AU000000PPT9,12888981,PPT,AUD,2019-03-22,40.16,40.65,39.82,40.27,258633,13343,40.2315
AU000000PPT9,12888981,PPT,AUD,2019-03-25,39.52,40.24,38.83,38.98,239821,11670,39.09
AU000000PPT9,12888981,PPT,AUD,2019-03-26,38.66,39.46,38.26,39.13,195812,12342,39.0925
AU000000PPT9,12888981,PPT,AUD,2019-03-27,38.89,39.3,38.57,38.8,212025,11635,38.7415
AU000000PPT9,12888981,PPT,AUD,2019-03-28,38.8,39.2,37.99,38.57,343404,12906,38.4455
AU000000PPT9,12888981,PPT,AUD,2019-03-29,38.9,39.5,38.6,38.68,238523,9796,38.8235
AU000000PPT9,12888981,PPT,AUD,2019-04-01,38.5,39.26,38.44,39.16,227528,7524,39.0255
AU000000PPT9,12888981,PPT,AUD,2019-04-02,39.25,39.94,39.14,39.24,172582,8089,39.306
AU000000PPT9,12888981,PPT,AUD,2019-04-03,39.56,41.0,39.5,40.07,219634,9270,40.2985
AU000000PPT9,12888981,PPT,AUD,2019-04-04,39.76,40.575,39.76,39.96,141363,6591,40.0375
AU000000PPT9,12888981,PPT,AUD,2019-04-05,39.75,40.28,39.31,39.96,124585,6280,39.9275
AU000000PPT9,12888981,PPT,AUD,2019-04-08,40.0,40.15,39.35,39.85,109098,7863,39.717
AU000000PPT9,12888981,PPT,AUD,2019-04-09,39.73,40.12,39.48,39.7,100864,6860,39.7085
