ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000SDV5,269386330,SDV,AUD,2019-01-02,0.052,0.052,0.052,0.052,0,0,0.0520408
AU000000SDV5,269386330,SDV,AUD,2019-01-03,0.052,0.052,0.052,0.052,0,0,0.0520408
AU000000SDV5,269386330,SDV,AUD,2019-01-04,0.052,0.052,0.052,0.052,0,0,0.0520408
AU000000SDV5,269386330,SDV,AUD,2019-01-07,0.052,0.052,0.052,0.052,0,0,0.0520408
AU000000SDV5,269386330,SDV,AUD,2019-01-08,0.052,0.052,0.052,0.052,0,0,0.0520408
AU000000SDV5,269386330,SDV,AUD,2019-01-09,0.052,0.052,0.052,0.052,1,1,0.0520408
AU000000SDV5,269386330,SDV,AUD,2019-01-10,0.052,0.052,0.052,0.052,0,0,0.0520408
AU000000SDV5,269386330,SDV,AUD,2019-01-11,0.052,0.052,0.052,0.052,0,0,0.0520408
AU000000SDV5,269386330,SDV,AUD,2019-01-14,0.052,0.052,0.052,0.052,0,0,0.0520408
AU000000SDV5,269386330,SDV,AUD,2019-01-15,0.0511,0.0511,0.0511,0.0511,20426,2,0.0511115
AU000000SDV5,269386330,SDV,AUD,2019-01-16,0.0511,0.0511,0.0511,0.0511,0,0,0.0511115
AU000000SDV5,269386330,SDV,AUD,2019-01-17,0.0511,0.0511,0.0511,0.0511,0,0,0.0511115
AU000000SDV5,269386330,SDV,AUD,2019-01-18,0.0511,0.0511,0.0511,0.0511,10000,1,0.0511115
AU000000SDV5,269386330,SDV,AUD,2019-01-21,0.0511,0.0511,0.0511,0.0511,100000,2,0.0511115
AU000000SDV5,269386330,SDV,AUD,2019-01-22,0.0511,0.0511,0.0465,0.0465,20000,2,0.05101857
AU000000SDV5,269386330,SDV,AUD,2019-01-23,0.0465,0.0465,0.0465,0.0465,0,0,0.046465
AU000000SDV5,269386330,SDV,AUD,2019-01-24,0.0465,0.0465,0.0465,0.0465,0,0,0.046465
AU000000SDV5,269386330,SDV,AUD,2019-01-25,0.0465,0.0465,0.0465,0.0465,0,0,0.046465
AU000000SDV5,269386330,SDV,AUD,2019-01-29,0.0502,0.052,0.0502,0.052,1861,3,0.05027513
AU000000SDV5,269386330,SDV,AUD,2019-01-30,0.0539,0.0576,0.0539,0.0576,312881,10,0.05510749
AU000000SDV5,269386330,SDV,AUD,2019-01-31,0.0465,0.0465,0.0465,0.0465,3235,1,0.046465
AU000000SDV5,269386330,SDV,AUD,2019-02-01,0.0465,0.0465,0.0465,0.0465,0,0,0.046465
AU000000SDV5,269386330,SDV,AUD,2019-02-04,0.0651,0.0697,0.0651,0.0669,154500,7,0.06728132
AU000000SDV5,269386330,SDV,AUD,2019-02-05,0.0669,0.0669,0.0669,0.0669,0,0,0.0669096
AU000000SDV5,269386330,SDV,AUD,2019-02-06,0.0669,0.0669,0.0669,0.0669,0,0,0.0669096
AU000000SDV5,269386330,SDV,AUD,2019-02-11,0.0669,0.0669,0.0669,0.0669,0,0,0.0669096
AU000000SDV5,269386330,SDV,AUD,2019-02-12,0.0669,0.0669,0.0669,0.0669,0,0,0.0669096
AU000000SDV5,269386330,SDV,AUD,2019-02-13,0.0743,0.0836,0.0743,0.0836,165106,9,0.07973394
AU000000SDV5,269386330,SDV,AUD,2019-02-14,0.0836,0.0836,0.0781,0.0818,102191,17,0.0799198
AU000000SDV5,269386330,SDV,AUD,2019-02-15,0.08,0.084,0.069,0.07,253405,8,0.0716
AU000000SDV5,269386330,SDV,AUD,2019-02-18,0.07,0.07,0.066,0.067,389266,9,0.0676
AU000000SDV5,269386330,SDV,AUD,2019-02-19,0.065,0.068,0.065,0.067,70055,4,0.0668
AU000000SDV5,269386330,SDV,AUD,2019-02-20,0.067,0.072,0.067,0.07,216731,8,0.0709
AU000000SDV5,269386330,SDV,AUD,2019-02-21,0.072,0.072,0.072,0.072,66263,4,0.072
AU000000SDV5,269386330,SDV,AUD,2019-02-22,0.072,0.072,0.072,0.072,0,0,0.072
AU000000SDV5,269386330,SDV,AUD,2019-02-25,0.073,0.073,0.073,0.073,29500,1,0.073
AU000000SDV5,269386330,SDV,AUD,2019-02-26,0.073,0.073,0.071,0.071,130000,8,0.0725
AU000000SDV5,269386330,SDV,AUD,2019-02-27,0.073,0.073,0.07,0.07,171326,7,0.0722
AU000000SDV5,269386330,SDV,AUD,2019-02-28,0.07,0.07,0.07,0.07,0,0,0.07
AU000000SDV5,269386330,SDV,AUD,2019-03-01,0.07,0.07,0.07,0.07,239077,6,0.07
AU000000SDV5,269386330,SDV,AUD,2019-03-04,0.07,0.07,0.07,0.07,0,0,0.07
AU000000SDV5,269386330,SDV,AUD,2019-03-05,0.061,0.061,0.061,0.061,7000,1,0.061
AU000000SDV5,269386330,SDV,AUD,2019-03-06,0.06,0.065,0.06,0.065,1501,3,0.06
AU000000SDV5,269386330,SDV,AUD,2019-03-07,0.068,0.07,0.068,0.07,349764,7,0.0698
AU000000SDV5,269386330,SDV,AUD,2019-03-08,0.07,0.07,0.07,0.07,0,0,0.07
AU000000SDV5,269386330,SDV,AUD,2019-03-11,0.07,0.07,0.07,0.07,0,0,0.07
AU000000SDV5,269386330,SDV,AUD,2019-03-12,0.07,0.07,0.07,0.07,160234,3,0.07
AU000000SDV5,269386330,SDV,AUD,2019-03-13,0.07,0.07,0.07,0.07,0,0,0.07
AU000000SDV5,269386330,SDV,AUD,2019-03-14,0.07,0.07,0.07,0.07,0,0,0.07
AU000000SDV5,269386330,SDV,AUD,2019-03-15,0.07,0.07,0.07,0.07,0,0,0.07
AU000000SDV5,269386330,SDV,AUD,2019-03-18,0.061,0.061,0.061,0.061,14000,2,0.061
AU000000SDV5,269386330,SDV,AUD,2019-03-19,0.061,0.061,0.061,0.061,0,0,0.061
AU000000SDV5,269386330,SDV,AUD,2019-03-20,0.061,0.061,0.061,0.061,5500,1,0.061
AU000000SDV5,269386330,SDV,AUD,2019-03-21,0.061,0.061,0.061,0.061,0,0,0.061
AU000000SDV5,269386330,SDV,AUD,2019-03-22,0.061,0.061,0.061,0.061,0,0,0.061
AU000000SDV5,269386330,SDV,AUD,2019-03-25,0.061,0.061,0.061,0.061,15000,1,0.061
AU000000SDV5,269386330,SDV,AUD,2019-03-26,0.061,0.061,0.061,0.061,0,0,0.061
AU000000SDV5,269386330,SDV,AUD,2019-03-27,0.06,0.061,0.06,0.061,6273,1,0.06
AU000000SDV5,269386330,SDV,AUD,2019-03-28,0.061,0.061,0.061,0.061,0,0,0.061
AU000000SDV5,269386330,SDV,AUD,2019-03-29,0.063,0.063,0.063,0.063,47000,1,0.063
AU000000SDV5,269386330,SDV,AUD,2019-04-01,0.065,0.066,0.065,0.066,22000,2,0.0655
AU000000SDV5,269386330,SDV,AUD,2019-04-02,0.066,0.066,0.066,0.066,0,0,0.066
AU000000SDV5,269386330,SDV,AUD,2019-04-03,0.06,0.06,0.06,0.06,240,1,0.06
AU000000SDV5,269386330,SDV,AUD,2019-04-04,0.06,0.06,0.06,0.06,50000,2,0.06
AU000000SDV5,269386330,SDV,AUD,2019-04-05,0.06,0.06,0.06,0.06,0,0,0.06
AU000000SDV5,269386330,SDV,AUD,2019-04-08,0.06,0.06,0.06,0.06,0,0,0.06
AU000000SDV5,269386330,SDV,AUD,2019-04-09,0.06,0.06,0.06,0.06,0,0,0.06
AU000000SDV5,269386330,SDV,AUD,2019-04-10,0.06,0.06,0.06,0.06,22000,2,0.06
AU000000SDV5,269386330,SDV,AUD,2019-04-11,0.06,0.06,0.06,0.06,0,0,0.06
AU000000SDV5,269386330,SDV,AUD,2019-04-12,0.06,0.06,0.06,0.06,0,0,0.06
AU000000SDV5,269386330,SDV,AUD,2019-04-15,0.062,0.062,0.061,0.062,280550,9,0.0613
AU000000SDV5,269386330,SDV,AUD,2019-04-16,0.062,0.062,0.062,0.062,49000,1,0.062
AU000000SDV5,269386330,SDV,AUD,2019-04-17,0.063,0.063,0.063,0.063,12550,2,0.063
