ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000SGP0,12294108,SGP,AUD,2019-01-02,3.53,3.56,3.44,3.45,5411029,3544,3.481
AU000000SGP0,12294108,SGP,AUD,2019-01-03,3.51,3.54,3.48,3.5,4138072,4629,3.505
AU000000SGP0,12294108,SGP,AUD,2019-01-04,3.48,3.505,3.46,3.49,4744478,3172,3.485
AU000000SGP0,12294108,SGP,AUD,2019-01-07,3.48,3.51,3.44,3.47,6072729,4284,3.466
AU000000SGP0,12294108,SGP,AUD,2019-01-08,3.48,3.52,3.45,3.51,6357863,4619,3.486
AU000000SGP0,12294108,SGP,AUD,2019-01-09,3.55,3.6,3.53,3.59,7347062,5638,3.5745
AU000000SGP0,12294108,SGP,AUD,2019-01-10,3.59,3.63,3.57,3.63,5856990,3965,3.6115
AU000000SGP0,12294108,SGP,AUD,2019-01-11,3.64,3.665,3.6,3.65,6729036,5600,3.641
AU000000SGP0,12294108,SGP,AUD,2019-01-14,3.66,3.71,3.64,3.65,3804665,4233,3.6615
AU000000SGP0,12294108,SGP,AUD,2019-01-15,3.68,3.71,3.65,3.7,5727569,6430,3.6885
AU000000SGP0,12294108,SGP,AUD,2019-01-16,3.71,3.75,3.67,3.73,7570181,6913,3.7195
AU000000SGP0,12294108,SGP,AUD,2019-01-17,3.75,3.75,3.69,3.71,3491852,4100,3.7135
AU000000SGP0,12294108,SGP,AUD,2019-01-18,3.74,3.74,3.68,3.7,3747290,4061,3.7
AU000000SGP0,12294108,SGP,AUD,2019-01-21,3.72,3.75,3.7,3.71,3958362,4360,3.72
AU000000SGP0,12294108,SGP,AUD,2019-01-22,3.71,3.76,3.71,3.73,4113005,4542,3.7325
AU000000SGP0,12294108,SGP,AUD,2019-01-23,3.75,3.77,3.73,3.75,3793951,4119,3.751
AU000000SGP0,12294108,SGP,AUD,2019-01-24,3.78,3.8,3.725,3.74,7590582,5946,3.752
AU000000SGP0,12294108,SGP,AUD,2019-01-25,3.77,3.86,3.75,3.83,11042686,5726,3.8225
AU000000SGP0,12294108,SGP,AUD,2019-01-29,3.83,3.84,3.79,3.84,8222791,6848,3.821
AU000000SGP0,12294108,SGP,AUD,2019-01-30,3.83,3.855,3.81,3.85,6909634,5221,3.842
AU000000SGP0,12294108,SGP,AUD,2019-01-31,3.85,3.85,3.775,3.78,7837452,5560,3.7995
