ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000SIG5,7549213,SIG,AUD,2019-01-02,0.5487,0.5555,0.539,0.5439,2615053,834,0.54688272
AU000000SIG5,7549213,SIG,AUD,2019-01-03,0.5439,0.5507,0.539,0.5439,3645865,1542,0.54445472
AU000000SIG5,7549213,SIG,AUD,2019-01-04,0.5439,0.5468,0.5342,0.539,3556488,1385,0.54018144
AU000000SIG5,7549213,SIG,AUD,2019-01-07,0.5439,0.5584,0.539,0.5487,4139966,1468,0.5492136
AU000000SIG5,7549213,SIG,AUD,2019-01-08,0.5536,0.5876,0.539,0.5779,10812537,2977,0.56407296
AU000000SIG5,7549213,SIG,AUD,2019-01-09,0.5779,0.5827,0.5682,0.573,4322180,2103,0.57378496
AU000000SIG5,7549213,SIG,AUD,2019-01-10,0.573,0.5876,0.5633,0.573,5596593,1900,0.575436
AU000000SIG5,7549213,SIG,AUD,2019-01-11,0.5779,0.5779,0.5633,0.5682,2385673,1368,0.56990016
AU000000SIG5,7549213,SIG,AUD,2019-01-14,0.573,0.5779,0.5536,0.5682,4525648,1663,0.56562688
AU000000SIG5,7549213,SIG,AUD,2019-01-15,0.5682,0.573,0.5555,0.5682,2670851,1210,0.56436432
AU000000SIG5,7549213,SIG,AUD,2019-01-16,0.5682,0.5827,0.5682,0.573,2969188,1479,0.57621296
AU000000SIG5,7549213,SIG,AUD,2019-01-17,0.5827,0.5876,0.573,0.5827,3717842,1359,0.5807776
AU000000SIG5,7549213,SIG,AUD,2019-01-18,0.5779,0.5876,0.5779,0.5779,2353802,792,0.58087472
AU000000SIG5,7549213,SIG,AUD,2019-01-21,0.5827,0.5827,0.5682,0.5682,2047054,916,0.57465904
AU000000SIG5,7549213,SIG,AUD,2019-01-22,0.573,0.5779,0.5682,0.573,1898081,851,0.57174544
AU000000SIG5,7549213,SIG,AUD,2019-01-23,0.5682,0.573,0.5487,0.5536,3039667,1268,0.55737168
AU000000SIG5,7549213,SIG,AUD,2019-01-24,0.5584,0.5633,0.5439,0.5487,7412455,1616,0.5482424
AU000000SIG5,7549213,SIG,AUD,2019-01-25,0.5487,0.5536,0.539,0.5536,2586077,1139,0.54833952
AU000000SIG5,7549213,SIG,AUD,2019-01-29,0.5439,0.5507,0.5342,0.539,3168988,1316,0.5395016
AU000000SIG5,7549213,SIG,AUD,2019-01-30,0.539,0.5439,0.5342,0.539,2798622,1065,0.53862752
AU000000SIG5,7549213,SIG,AUD,2019-01-31,0.539,0.5584,0.5244,0.5244,4026339,1276,0.53649088
AU000000SIG5,7549213,SIG,AUD,2019-02-01,0.5293,0.5293,0.5099,0.5147,1567261,885,0.51726112
AU000000SIG5,7549213,SIG,AUD,2019-02-04,0.5244,0.5322,0.5099,0.5293,2877148,930,0.52337968
AU000000SIG5,7549213,SIG,AUD,2019-02-05,0.5342,0.5487,0.5293,0.5439,2733264,1585,0.53969584
AU000000SIG5,7549213,SIG,AUD,2019-02-06,0.5487,0.5536,0.5371,0.5439,3371335,2119,0.5463
AU000000SIG5,7549213,SIG,AUD,2019-02-07,0.5536,0.5584,0.5439,0.5536,2144020,1565,0.55193296
AU000000SIG5,7549213,SIG,AUD,2019-02-08,0.5536,0.5536,0.5439,0.5439,1034978,1314,0.54688272
AU000000SIG5,7549213,SIG,AUD,2019-02-11,0.5536,0.573,0.5507,0.573,3261683,1248,0.56688944
AU000000SIG5,7549213,SIG,AUD,2019-02-12,0.573,0.5905,0.5633,0.5876,4813028,1786,0.57776688
AU000000SIG5,7549213,SIG,AUD,2019-02-13,0.5827,0.5924,0.5779,0.5827,2840277,1535,0.58262288
AU000000SIG5,7549213,SIG,AUD,2019-02-14,0.5827,0.5827,0.5682,0.5682,2072381,1269,0.57320224
AU000000SIG5,7549213,SIG,AUD,2019-02-15,0.5779,0.5779,0.5682,0.5779,1385545,1023,0.57417344
AU000000SIG5,7549213,SIG,AUD,2019-02-18,0.5779,0.5827,0.573,0.5779,1688260,874,0.57844672
AU000000SIG5,7549213,SIG,AUD,2019-02-19,0.5779,0.5779,0.5682,0.5682,1465861,1002,0.57223104
AU000000SIG5,7549213,SIG,AUD,2019-02-20,0.5827,0.5827,0.5584,0.5633,1312226,1063,0.56368448
AU000000SIG5,7549213,SIG,AUD,2019-02-21,0.5536,0.5584,0.5487,0.5584,4408174,1509,0.5540696
AU000000SIG5,7549213,SIG,AUD,2019-02-22,0.5584,0.5779,0.5536,0.5779,2623646,1295,0.56786064
AU000000SIG5,7549213,SIG,AUD,2019-02-25,0.5682,0.607,0.5682,0.607,5916303,1878,0.59165504
AU000000SIG5,7549213,SIG,AUD,2019-02-26,0.6021,0.6167,0.5827,0.607,5543124,2395,0.60690288
AU000000SIG5,7549213,SIG,AUD,2019-02-27,0.607,0.6119,0.6021,0.6119,4146703,1658,0.60816544
AU000000SIG5,7549213,SIG,AUD,2019-02-28,0.6119,0.6119,0.5856,0.5973,2812569,1573,0.59913328
AU000000SIG5,7549213,SIG,AUD,2019-03-01,0.607,0.6119,0.5973,0.5973,2728215,1753,0.60292096
AU000000SIG5,7549213,SIG,AUD,2019-03-04,0.6021,0.607,0.5876,0.5973,1743999,1014,0.5953456
AU000000SIG5,7549213,SIG,AUD,2019-03-05,0.6021,0.6119,0.5924,0.6119,2361810,1347,0.60680576
AU000000SIG5,7549213,SIG,AUD,2019-03-06,0.6119,0.6264,0.6021,0.607,6294027,1741,0.61554656
AU000000SIG5,7549213,SIG,AUD,2019-03-07,0.6216,0.6216,0.5924,0.5973,5912934,1795,0.60428064
AU000000SIG5,7549213,SIG,AUD,2019-03-08,0.6021,0.6138,0.5876,0.5973,3728648,1158,0.5977736
AU000000SIG5,7549213,SIG,AUD,2019-03-11,0.5876,0.5973,0.5827,0.5924,3702883,1097,0.59087808
AU000000SIG5,7549213,SIG,AUD,2019-03-12,0.5924,0.6002,0.5876,0.5924,4767148,1505,0.59369456
AU000000SIG5,7549213,SIG,AUD,2019-03-13,0.5876,0.5924,0.4807,0.5196,19003180,4197,0.52580768
AU000000SIG5,7549213,SIG,AUD,2019-03-14,0.5244,0.5293,0.4973,0.5099,11346043,2189,0.50852032
AU000000SIG5,7549213,SIG,AUD,2019-03-15,0.5147,0.5244,0.505,0.5099,5115594,1345,0.51153104
AU000000SIG5,7549213,SIG,AUD,2019-03-18,0.5147,0.5293,0.507,0.5196,5286887,1358,0.51745536
AU000000SIG5,7549213,SIG,AUD,2019-03-19,0.5196,0.5371,0.5147,0.5147,4671667,1239,0.52357392
AU000000SIG5,7549213,SIG,AUD,2019-03-20,0.5196,0.5439,0.5147,0.5342,3527474,1709,0.53056656
AU000000SIG5,7549213,SIG,AUD,2019-03-21,0.5342,0.5584,0.5196,0.5293,8277176,2576,0.53775344
AU000000SIG5,7549213,SIG,AUD,2019-03-22,0.5196,0.5293,0.5099,0.5147,6886436,2612,0.51609568
AU000000SIG5,7549213,SIG,AUD,2019-03-25,0.5099,0.5147,0.5002,0.505,5662536,1437,0.5084232
