ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000TBR5,14066097,TBR,AUD,2019-01-02,4.1,4.1,4.1,4.1,564,4,4.1
AU000000TBR5,14066097,TBR,AUD,2019-01-03,4.0,4.0,4.0,4.0,2000,1,4.0
AU000000TBR5,14066097,TBR,AUD,2019-01-04,4.0,4.0,3.99,4.0,6471,6,4.0
AU000000TBR5,14066097,TBR,AUD,2019-01-07,4.0,4.0,4.0,4.0,7609,2,4.0
AU000000TBR5,14066097,TBR,AUD,2019-01-08,4.0,4.0,4.0,4.0,20000,5,4.0
AU000000TBR5,14066097,TBR,AUD,2019-01-09,4.0,4.0,4.0,4.0,7,1,4.0
AU000000TBR5,14066097,TBR,AUD,2019-01-10,3.99,4.0,3.99,4.0,130,2,3.9995
AU000000TBR5,14066097,TBR,AUD,2019-01-11,3.99,3.99,3.99,3.99,3,1,3.99
AU000000TBR5,14066097,TBR,AUD,2019-01-14,4.0,4.0,3.98,3.98,6294,2,3.9935
AU000000TBR5,14066097,TBR,AUD,2019-01-15,3.98,3.98,3.9,3.91,2932,9,3.9565
AU000000TBR5,14066097,TBR,AUD,2019-01-16,3.99,3.99,3.95,3.95,3800,3,3.952
AU000000TBR5,14066097,TBR,AUD,2019-01-17,3.95,3.96,3.95,3.95,59218,3,3.9595
AU000000TBR5,14066097,TBR,AUD,2019-01-18,3.95,3.95,3.95,3.95,9,1,3.95
AU000000TBR5,14066097,TBR,AUD,2019-01-21,3.95,3.95,3.95,3.95,250,1,3.95
AU000000TBR5,14066097,TBR,AUD,2019-01-22,3.95,3.95,3.95,3.95,393,2,3.95
AU000000TBR5,14066097,TBR,AUD,2019-01-23,3.93,3.93,3.9,3.9,4846,3,3.9125
AU000000TBR5,14066097,TBR,AUD,2019-01-24,3.9,3.9,3.9,3.9,120,1,3.9
AU000000TBR5,14066097,TBR,AUD,2019-01-25,3.9,3.9,3.9,3.9,0,0,3.9
AU000000TBR5,14066097,TBR,AUD,2019-01-29,3.9,3.9,3.9,3.9,2599,3,3.9
AU000000TBR5,14066097,TBR,AUD,2019-01-30,3.88,3.9,3.82,3.9,13875,11,3.8535
AU000000TBR5,14066097,TBR,AUD,2019-01-31,3.89,3.9,3.82,3.82,3370,6,3.836
AU000000TBR5,14066097,TBR,AUD,2019-02-01,3.82,3.82,3.82,3.82,0,0,3.82
AU000000TBR5,14066097,TBR,AUD,2019-02-04,3.85,3.9,3.81,3.81,23018,22,3.8915
AU000000TBR5,14066097,TBR,AUD,2019-02-05,3.82,3.9,3.76,3.86,19702,9,3.836
AU000000TBR5,14066097,TBR,AUD,2019-02-06,3.86,3.87,3.75,3.75,1050,7,3.808
AU000000TBR5,14066097,TBR,AUD,2019-02-07,3.85,3.94,3.85,3.9,20655,25,3.8775
AU000000TBR5,14066097,TBR,AUD,2019-02-08,3.9,4.0,3.9,3.95,74040,39,3.989
AU000000TBR5,14066097,TBR,AUD,2019-02-11,4.0,4.0,4.0,4.0,123552,11,4.0
AU000000TBR5,14066097,TBR,AUD,2019-02-12,3.98,3.98,3.98,3.98,5000,5,3.98
AU000000TBR5,14066097,TBR,AUD,2019-02-13,4.0,4.0,3.98,3.98,18128,12,3.989
AU000000TBR5,14066097,TBR,AUD,2019-02-14,3.94,3.94,3.94,3.94,1828,1,3.94
AU000000TBR5,14066097,TBR,AUD,2019-02-15,3.95,3.95,3.94,3.94,5270,9,3.9495
AU000000TBR5,14066097,TBR,AUD,2019-02-18,3.95,3.95,3.88,3.95,2990,7,3.9015
AU000000TBR5,14066097,TBR,AUD,2019-02-19,3.95,3.95,3.95,3.95,391,3,3.95
AU000000TBR5,14066097,TBR,AUD,2019-02-20,3.9,3.9,3.9,3.9,4767,4,3.9
AU000000TBR5,14066097,TBR,AUD,2019-02-21,3.9,3.9,3.9,3.9,8985,8,3.9
AU000000TBR5,14066097,TBR,AUD,2019-02-22,3.9,3.9,3.88,3.88,4730,5,3.896
AU000000TBR5,14066097,TBR,AUD,2019-02-25,4.01,4.11,4.0,4.08,16831,15,4.0435
AU000000TBR5,14066097,TBR,AUD,2019-02-26,4.1,4.12,4.1,4.1,14951,11,4.1005
AU000000TBR5,14066097,TBR,AUD,2019-02-27,4.12,4.15,4.1,4.15,28049,31,4.1065
AU000000TBR5,14066097,TBR,AUD,2019-02-28,4.11,4.11,4.08,4.1,20992,41,4.0975
AU000000TBR5,14066097,TBR,AUD,2019-03-01,4.1,4.1,4.06,4.1,3403,12,4.1
AU000000TBR5,14066097,TBR,AUD,2019-03-04,4.1,4.1,4.1,4.1,8473,13,4.1
AU000000TBR5,14066097,TBR,AUD,2019-03-05,4.1,4.1,4.02,4.1,9490,13,4.0895
AU000000TBR5,14066097,TBR,AUD,2019-03-06,4.1,4.1,4.1,4.1,1385,4,4.1
AU000000TBR5,14066097,TBR,AUD,2019-03-07,4.1,4.12,4.1,4.12,4978,10,4.106
AU000000TBR5,14066097,TBR,AUD,2019-03-08,4.1,4.1,4.08,4.1,7146,23,4.094
AU000000TBR5,14066097,TBR,AUD,2019-03-11,4.07,4.07,4.07,4.07,712,5,4.07
AU000000TBR5,14066097,TBR,AUD,2019-03-12,4.07,4.09,4.07,4.07,7054,9,4.073
AU000000TBR5,14066097,TBR,AUD,2019-03-13,4.1,4.11,4.08,4.1,21458,16,4.1
AU000000TBR5,14066097,TBR,AUD,2019-03-14,4.19,4.2,4.19,4.2,6115,9,4.199
AU000000TBR5,14066097,TBR,AUD,2019-03-15,4.22,4.44,4.22,4.44,14822,16,4.375
AU000000TBR5,14066097,TBR,AUD,2019-03-18,4.5,4.98,4.5,4.79,23982,44,4.7875
AU000000TBR5,14066097,TBR,AUD,2019-03-19,4.8,4.92,4.56,4.83,10834,32,4.61
AU000000TBR5,14066097,TBR,AUD,2019-03-20,4.69,4.7,4.59,4.59,6903,18,4.686
AU000000TBR5,14066097,TBR,AUD,2019-03-21,4.61,4.79,4.59,4.74,54607,61,4.613
AU000000TBR5,14066097,TBR,AUD,2019-03-22,4.78,4.92,4.78,4.87,18632,49,4.848
AU000000TBR5,14066097,TBR,AUD,2019-03-25,4.9,4.9,4.9,4.9,1197,12,4.9
AU000000TBR5,14066097,TBR,AUD,2019-03-26,4.9,4.95,4.87,4.89,21343,84,4.91
AU000000TBR5,14066097,TBR,AUD,2019-03-27,4.9,4.9,4.84,4.87,18683,68,4.8715
AU000000TBR5,14066097,TBR,AUD,2019-03-28,4.96,5.12,4.94,4.96,12038,77,4.954
AU000000TBR5,14066097,TBR,AUD,2019-03-29,4.98,4.98,4.8,4.8,10460,17,4.824
AU000000TBR5,14066097,TBR,AUD,2019-04-01,4.83,4.83,4.5,4.5,18969,119,4.6585
AU000000TBR5,14066097,TBR,AUD,2019-04-02,4.49,4.5,4.33,4.47,14295,66,4.4865
AU000000TBR5,14066097,TBR,AUD,2019-04-03,4.48,4.48,4.4,4.4,689,11,4.431
AU000000TBR5,14066097,TBR,AUD,2019-04-04,4.3,4.3,4.07,4.12,38027,142,4.153
AU000000TBR5,14066097,TBR,AUD,2019-04-05,4.31,4.31,4.1,4.1,49673,75,4.1245
AU000000TBR5,14066097,TBR,AUD,2019-04-08,4.1,4.1,4.1,4.1,74,2,4.1
AU000000TBR5,14066097,TBR,AUD,2019-04-09,4.12,4.18,4.1,4.17,9946,132,4.129
AU000000TBR5,14066097,TBR,AUD,2019-04-10,4.17,4.21,4.13,4.21,12945,74,4.176
AU000000TBR5,14066097,TBR,AUD,2019-04-11,4.17,4.34,4.15,4.34,7954,19,4.1845
AU000000TBR5,14066097,TBR,AUD,2019-04-12,4.34,4.34,4.34,4.34,0,0,4.34
AU000000TBR5,14066097,TBR,AUD,2019-04-15,4.2,4.2,4.2,4.2,1325,2,4.2
AU000000TBR5,14066097,TBR,AUD,2019-04-16,4.26,4.26,4.15,4.23,1603,36,4.241
AU000000TBR5,14066097,TBR,AUD,2019-04-17,4.15,4.19,4.15,4.19,1145,21,4.158
AU000000TBR5,14066097,TBR,AUD,2019-04-18,4.11,4.11,4.11,4.11,1,1,4.11
AU000000TBR5,14066097,TBR,AUD,2019-04-23,4.11,4.17,4.11,4.17,4123,54,4.1555
AU000000TBR5,14066097,TBR,AUD,2019-04-24,4.29,4.3,4.27,4.28,2507,59,4.2855
AU000000TBR5,14066097,TBR,AUD,2019-04-26,4.3,4.3,4.29,4.3,77802,23,4.3
AU000000TBR5,14066097,TBR,AUD,2019-04-29,4.45,4.45,4.31,4.31,1455,13,4.407
AU000000TBR5,14066097,TBR,AUD,2019-04-30,4.25,4.34,4.25,4.29,1412,14,4.3
AU000000TBR5,14066097,TBR,AUD,2019-05-01,4.3,4.35,4.3,4.35,19216,22,4.3105
AU000000TBR5,14066097,TBR,AUD,2019-05-02,4.3,4.39,4.3,4.39,2036,21,4.309
AU000000TBR5,14066097,TBR,AUD,2019-05-03,4.36,4.4,4.36,4.4,2276,18,4.3995
AU000000TBR5,14066097,TBR,AUD,2019-05-06,4.36,4.42,4.36,4.42,13431,15,4.399
AU000000TBR5,14066097,TBR,AUD,2019-05-07,4.27,4.39,4.27,4.39,2755,13,4.328
AU000000TBR5,14066097,TBR,AUD,2019-05-08,4.28,4.28,4.25,4.25,1166,3,4.275
AU000000TBR5,14066097,TBR,AUD,2019-05-09,4.25,4.3,4.25,4.25,4733,29,4.266
AU000000TBR5,14066097,TBR,AUD,2019-05-10,4.25,4.31,4.25,4.29,2558,6,4.291
AU000000TBR5,14066097,TBR,AUD,2019-05-13,4.26,4.34,4.26,4.34,2925,14,4.3015
AU000000TBR5,14066097,TBR,AUD,2019-05-14,4.34,4.34,4.25,4.25,10469,18,4.318
AU000000TBR5,14066097,TBR,AUD,2019-05-15,4.25,4.29,4.21,4.29,21886,29,4.224
AU000000TBR5,14066097,TBR,AUD,2019-05-16,4.3,4.39,4.28,4.28,15962,32,4.3065
AU000000TBR5,14066097,TBR,AUD,2019-05-17,4.35,4.4,4.29,4.29,20457,34,4.356
AU000000TBR5,14066097,TBR,AUD,2019-05-20,4.36,4.4,4.3,4.3,9228,15,4.3605
AU000000TBR5,14066097,TBR,AUD,2019-05-21,4.35,4.44,4.35,4.38,10556,24,4.396
AU000000TBR5,14066097,TBR,AUD,2019-05-22,4.39,4.4,4.33,4.33,12628,14,4.367
AU000000TBR5,14066097,TBR,AUD,2019-05-23,4.35,4.35,4.29,4.29,24336,21,4.31
AU000000TBR5,14066097,TBR,AUD,2019-05-24,4.3,4.34,4.28,4.28,20629,18,4.3
AU000000TBR5,14066097,TBR,AUD,2019-05-27,4.3,4.3,4.3,4.3,16572,8,4.3
AU000000TBR5,14066097,TBR,AUD,2019-05-28,4.31,4.39,4.29,4.29,38086,35,4.307
AU000000TBR5,14066097,TBR,AUD,2019-05-29,4.4,4.4,4.3,4.35,13479,35,4.332
AU000000TBR5,14066097,TBR,AUD,2019-05-30,4.35,4.35,4.3,4.3,7157,9,4.307
AU000000TBR5,14066097,TBR,AUD,2019-05-31,4.3,4.3,4.3,4.3,4711,13,4.3
AU000000TBR5,14066097,TBR,AUD,2019-06-03,4.32,4.34,4.27,4.34,38263,18,4.3025
AU000000TBR5,14066097,TBR,AUD,2019-06-04,4.37,4.37,4.28,4.28,43210,41,4.341
AU000000TBR5,14066097,TBR,AUD,2019-06-05,4.31,4.35,4.29,4.29,18081,16,4.308
AU000000TBR5,14066097,TBR,AUD,2019-06-06,4.31,4.35,4.3,4.3,70936,32,4.301
AU000000TBR5,14066097,TBR,AUD,2019-06-07,4.32,4.4,4.3,4.4,144690,67,4.3165
AU000000TBR5,14066097,TBR,AUD,2019-06-11,4.42,4.65,4.42,4.55,49989,97,4.503
AU000000TBR5,14066097,TBR,AUD,2019-06-12,4.56,4.65,4.56,4.63,26867,71,4.614
AU000000TBR5,14066097,TBR,AUD,2019-06-13,4.63,4.68,4.6,4.68,22328,46,4.613
AU000000TBR5,14066097,TBR,AUD,2019-06-14,4.63,4.87,4.62,4.8,32147,343,4.732
AU000000TBR5,14066097,TBR,AUD,2019-06-17,4.82,5.0,4.8,4.91,17331,72,4.8985
AU000000TBR5,14066097,TBR,AUD,2019-06-18,4.91,4.98,4.7,4.7,17100,300,4.861
AU000000TBR5,14066097,TBR,AUD,2019-06-19,4.76,4.85,4.76,4.8,27824,98,4.8065
AU000000TBR5,14066097,TBR,AUD,2019-06-20,4.81,5.01,4.81,5.01,35576,129,4.9305
AU000000TBR5,14066097,TBR,AUD,2019-06-21,5.1,5.1,5.0,5.1,28033,43,5.0365
AU000000TBR5,14066097,TBR,AUD,2019-06-24,5.1,5.26,5.1,5.2,35093,27,5.203
AU000000TBR5,14066097,TBR,AUD,2019-06-25,5.35,5.6,5.35,5.6,37237,97,5.478
AU000000TBR5,14066097,TBR,AUD,2019-06-26,5.59,5.66,5.2,5.49,15525,76,5.441
AU000000TBR5,14066097,TBR,AUD,2019-06-27,5.48,5.49,5.21,5.46,9667,44,5.3895
AU000000TBR5,14066097,TBR,AUD,2019-06-28,5.45,5.46,5.24,5.45,7771,57,5.402
AU000000TBR5,14066097,TBR,AUD,2019-07-01,5.49,5.72,5.43,5.51,17920,107,5.536
AU000000TBR5,14066097,TBR,AUD,2019-07-02,5.46,5.69,5.4,5.69,4198,47,5.4695
AU000000TBR5,14066097,TBR,AUD,2019-07-03,5.85,5.9,5.75,5.8,15724,55,5.862
AU000000TBR5,14066097,TBR,AUD,2019-07-04,5.75,6.1,5.75,6.1,9549,39,5.9425
AU000000TBR5,14066097,TBR,AUD,2019-07-05,6.3,6.35,6.01,6.05,2329,40,6.2645
AU000000TBR5,14066097,TBR,AUD,2019-07-08,6.11,6.11,6.11,6.11,2831,4,6.11
AU000000TBR5,14066097,TBR,AUD,2019-07-09,6.25,6.65,6.22,6.65,11384,18,6.4025
AU000000TBR5,14066097,TBR,AUD,2019-07-10,6.6,7.15,6.58,6.98,17818,88,6.876
AU000000TBR5,14066097,TBR,AUD,2019-07-11,7.1,7.1,6.96,7.0,19213,63,7.037
AU000000TBR5,14066097,TBR,AUD,2019-07-12,7.0,7.22,7.0,7.11,7771,50,7.1625
AU000000TBR5,14066097,TBR,AUD,2019-07-15,7.24,7.44,7.24,7.33,24181,43,7.3155
AU000000TBR5,14066097,TBR,AUD,2019-07-16,7.33,7.6,7.32,7.45,45226,121,7.4285
AU000000TBR5,14066097,TBR,AUD,2019-07-17,7.43,7.59,7.43,7.5,27409,76,7.4555
AU000000TBR5,14066097,TBR,AUD,2019-07-18,7.4,7.54,7.28,7.4,18508,75,7.386
AU000000TBR5,14066097,TBR,AUD,2019-07-19,7.3,7.65,7.3,7.65,19104,287,7.593
AU000000TBR5,14066097,TBR,AUD,2019-07-22,7.59,7.65,7.58,7.63,9722,56,7.603
AU000000TBR5,14066097,TBR,AUD,2019-07-23,7.58,7.62,7.22,7.37,13511,111,7.39
AU000000TBR5,14066097,TBR,AUD,2019-07-24,7.35,7.35,7.2,7.3,10151,42,7.314
AU000000TBR5,14066097,TBR,AUD,2019-07-25,7.3,7.3,7.09,7.2,14999,34,7.1275
AU000000TBR5,14066097,TBR,AUD,2019-07-26,7.2,7.2,6.77,7.2,16903,127,6.9525
AU000000TBR5,14066097,TBR,AUD,2019-07-29,7.0,7.0,7.0,7.0,500,1,7.0
AU000000TBR5,14066097,TBR,AUD,2019-07-30,7.2,7.2,7.01,7.11,21900,103,7.103
AU000000TBR5,14066097,TBR,AUD,2019-07-31,7.09,7.14,7.0,7.0,5475,48,7.0685
AU000000TBR5,14066097,TBR,AUD,2019-08-01,7.0,7.14,6.85,7.14,4632,33,7.0595
AU000000TBR5,14066097,TBR,AUD,2019-08-02,7.14,7.3,7.13,7.3,4643,12,7.2255
AU000000TBR5,14066097,TBR,AUD,2019-08-05,7.4,7.6,7.4,7.6,9843,35,7.454
AU000000TBR5,14066097,TBR,AUD,2019-08-06,7.6,7.6,7.32,7.33,9798,46,7.5
AU000000TBR5,14066097,TBR,AUD,2019-08-07,7.49,8.0,7.49,8.0,57490,70,7.6225
AU000000TBR5,14066097,TBR,AUD,2019-08-08,8.05,8.1,7.84,7.84,47336,54,7.989
AU000000TBR5,14066097,TBR,AUD,2019-08-09,7.93,8.3,7.93,8.23,15230,215,8.0295
AU000000TBR5,14066097,TBR,AUD,2019-08-12,8.23,8.3,8.15,8.22,7844,103,8.264
AU000000TBR5,14066097,TBR,AUD,2019-08-13,8.22,8.22,7.99,8.09,3917,23,8.155
AU000000TBR5,14066097,TBR,AUD,2019-08-14,8.0,8.1,7.98,7.99,13607,32,8.0025
AU000000TBR5,14066097,TBR,AUD,2019-08-15,7.9,8.09,7.9,8.09,8752,24,7.963
AU000000TBR5,14066097,TBR,AUD,2019-08-16,8.0,8.25,8.0,8.25,34771,27,8.206
AU000000TBR5,14066097,TBR,AUD,2019-08-19,8.0,8.09,7.7,8.06,25360,68,7.835
AU000000TBR5,14066097,TBR,AUD,2019-08-20,7.99,7.99,7.8,7.8,9108,32,7.8625
AU000000TBR5,14066097,TBR,AUD,2019-08-21,7.9,8.05,7.9,8.0,19881,57,7.952
AU000000TBR5,14066097,TBR,AUD,2019-08-22,7.7,8.05,7.7,8.0,17610,63,7.977
AU000000TBR5,14066097,TBR,AUD,2019-08-23,8.0,8.0,8.0,8.0,0,0,8.0
AU000000TBR5,14066097,TBR,AUD,2019-08-26,7.9,8.02,7.9,8.0,25727,34,7.9585
AU000000TBR5,14066097,TBR,AUD,2019-08-27,8.0,8.0,7.7,7.97,8675,33,7.7725
AU000000TBR5,14066097,TBR,AUD,2019-08-28,7.75,7.85,7.61,7.8,19394,76,7.7575
AU000000TBR5,14066097,TBR,AUD,2019-08-29,7.77,7.78,7.6,7.6,13541,104,7.6595
AU000000TBR5,14066097,TBR,AUD,2019-08-30,7.61,7.9,7.4,7.9,51296,128,7.5975
AU000000TBR5,14066097,TBR,AUD,2019-09-02,7.99,8.0,7.9,7.95,11015,34,7.952
AU000000TBR5,14066097,TBR,AUD,2019-09-03,7.59,7.99,7.59,7.99,7800,32,7.883
AU000000TBR5,14066097,TBR,AUD,2019-09-04,7.99,8.0,7.88,7.88,14018,64,7.9895
AU000000TBR5,14066097,TBR,AUD,2019-09-05,7.91,8.0,7.91,7.99,6924,19,7.986
AU000000TBR5,14066097,TBR,AUD,2019-09-06,7.99,8.0,7.92,8.0,27848,41,7.9815
AU000000TBR5,14066097,TBR,AUD,2019-09-09,7.93,7.93,7.83,7.85,4440,19,7.8675
AU000000TBR5,14066097,TBR,AUD,2019-09-10,7.9,8.0,7.79,7.9,26285,224,7.916
AU000000TBR5,14066097,TBR,AUD,2019-09-11,7.9,8.1,7.9,8.1,31741,415,7.982
AU000000TBR5,14066097,TBR,AUD,2019-09-12,8.1,8.5,8.1,8.5,34212,193,8.2225
AU000000TBR5,14066097,TBR,AUD,2019-09-13,8.85,8.9,8.58,8.6,28892,144,8.835
AU000000TBR5,14066097,TBR,AUD,2019-09-16,8.5,8.6,8.39,8.6,27859,40,8.504
AU000000TBR5,14066097,TBR,AUD,2019-09-17,8.6,8.6,8.28,8.4,18769,73,8.3745
AU000000TBR5,14066097,TBR,AUD,2019-09-18,8.22,8.44,8.21,8.38,18548,65,8.298
AU000000TBR5,14066097,TBR,AUD,2019-09-19,8.38,8.38,8.22,8.36,4096,54,8.3085
AU000000TBR5,14066097,TBR,AUD,2019-09-20,8.27,8.5,8.12,8.49,12766,124,8.4105
AU000000TBR5,14066097,TBR,AUD,2019-09-23,8.49,8.55,8.4,8.54,22422,31,8.519
AU000000TBR5,14066097,TBR,AUD,2019-09-24,8.49,8.49,8.2,8.49,11051,38,8.2885
AU000000TBR5,14066097,TBR,AUD,2019-09-25,8.23,8.54,8.23,8.5,32982,87,8.4975
AU000000TBR5,14066097,TBR,AUD,2019-09-26,8.5,8.5,8.22,8.42,7424,20,8.463
AU000000TBR5,14066097,TBR,AUD,2019-09-27,8.38,8.47,8.21,8.47,2872,25,8.377
AU000000TBR5,14066097,TBR,AUD,2019-09-30,8.49,8.49,8.2,8.2,3723,31,8.37
AU000000TBR5,14066097,TBR,AUD,2019-10-01,8.12,8.12,7.9,7.97,17311,44,7.999
AU000000TBR5,14066097,TBR,AUD,2019-10-02,8.11,8.22,7.91,7.98,5051,23,8.114
AU000000TBR5,14066097,TBR,AUD,2019-10-03,8.05,8.25,8.02,8.25,11644,42,8.1095
AU000000TBR5,14066097,TBR,AUD,2019-10-04,8.02,8.02,7.96,7.97,6035,29,7.9725
AU000000TBR5,14066097,TBR,AUD,2019-10-07,8.01,8.34,8.01,8.28,11534,42,8.2445
AU000000TBR5,14066097,TBR,AUD,2019-10-08,8.49,8.49,8.25,8.25,1785,21,8.3155
AU000000TBR5,14066097,TBR,AUD,2019-10-09,8.28,8.4,8.28,8.4,14058,55,8.3505
AU000000TBR5,14066097,TBR,AUD,2019-10-10,8.39,8.4,8.38,8.38,8098,12,8.385
AU000000TBR5,14066097,TBR,AUD,2019-10-11,8.3,8.3,8.2,8.25,7595,33,8.2505
AU000000TBR5,14066097,TBR,AUD,2019-10-14,7.99,8.25,7.8,8.15,18548,131,8.031
AU000000TBR5,14066097,TBR,AUD,2019-10-15,8.18,8.25,8.18,8.25,1075,3,8.228
AU000000TBR5,14066097,TBR,AUD,2019-10-16,8.25,8.25,8.25,8.25,0,0,8.25
AU000000TBR5,14066097,TBR,AUD,2019-10-17,8.34,8.37,8.02,8.02,26858,295,8.343
AU000000TBR5,14066097,TBR,AUD,2019-10-18,8.02,8.55,8.02,8.48,39305,57,8.429
AU000000TBR5,14066097,TBR,AUD,2019-10-21,8.46,8.75,8.4,8.5,16977,40,8.5375
AU000000TBR5,14066097,TBR,AUD,2019-10-22,8.47,8.59,8.4,8.4,94831,80,8.5025
AU000000TBR5,14066097,TBR,AUD,2019-10-23,8.5,8.7,8.4,8.4,155059,49,8.5605
AU000000TBR5,14066097,TBR,AUD,2019-10-24,8.5,8.7,8.5,8.65,91488,25,8.572
AU000000TBR5,14066097,TBR,AUD,2019-10-25,8.75,8.8,8.66,8.68,32887,49,8.7525
AU000000TBR5,14066097,TBR,AUD,2019-10-28,8.7,8.7,8.44,8.65,15815,31,8.672
AU000000TBR5,14066097,TBR,AUD,2019-10-29,8.41,8.5,8.41,8.5,6987,35,8.459
AU000000TBR5,14066097,TBR,AUD,2019-10-30,8.41,8.6,8.4,8.5,24875,79,8.4915
AU000000TBR5,14066097,TBR,AUD,2019-10-31,8.5,8.5,8.3,8.5,3963,14,8.4915
AU000000TBR5,14066097,TBR,AUD,2019-11-01,8.5,8.5,8.37,8.38,3098,11,8.4515
AU000000TBR5,14066097,TBR,AUD,2019-11-04,8.3,8.3,7.9,8.1,23996,45,8.0755
