ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000TTT3,290079574,TTT,AUD,2019-01-02,1.1248,1.1294,1.0513,1.0651,69946,54,1.10849695
AU000000TTT3,290079574,TTT,AUD,2019-01-03,1.0835,1.1202,1.0789,1.1018,68936,42,1.1027582
AU000000TTT3,290079574,TTT,AUD,2019-01-04,1.1018,1.1018,1.0605,1.0927,15542,19,1.0802623
AU000000TTT3,290079574,TTT,AUD,2019-01-07,1.1064,1.1202,1.0651,1.0881,120751,71,1.0866897
AU000000TTT3,290079574,TTT,AUD,2019-01-08,1.0881,1.0881,1.0559,1.0651,58622,38,1.07039165
AU000000TTT3,290079574,TTT,AUD,2019-01-09,1.0559,1.0789,1.033,1.0467,55104,49,1.0536345
AU000000TTT3,290079574,TTT,AUD,2019-01-10,1.0422,1.0605,1.0192,1.0422,67891,96,1.0449116
AU000000TTT3,290079574,TTT,AUD,2019-01-11,1.033,1.0422,1.0238,1.033,65609,50,1.03044995
AU000000TTT3,290079574,TTT,AUD,2019-01-14,1.0238,1.0284,1.0192,1.0238,26211,18,1.02448165
AU000000TTT3,290079574,TTT,AUD,2019-01-15,1.0284,1.0467,1.0284,1.0422,39953,35,1.0380251
AU000000TTT3,290079574,TTT,AUD,2019-01-16,1.0422,1.1225,1.0422,1.1202,198862,149,1.0885261
AU000000TTT3,290079574,TTT,AUD,2019-01-17,1.1202,1.1363,1.1018,1.1156,172560,149,1.12548365
AU000000TTT3,290079574,TTT,AUD,2019-01-18,1.1248,1.1294,1.0789,1.1018,71580,64,1.111022
AU000000TTT3,290079574,TTT,AUD,2019-01-21,1.111,1.1133,1.0789,1.0789,34721,37,1.09564215
AU000000TTT3,290079574,TTT,AUD,2019-01-22,1.0881,1.0881,1.033,1.0605,47960,106,1.05937325
AU000000TTT3,290079574,TTT,AUD,2019-01-23,1.0605,1.0605,1.033,1.033,61326,46,1.0416979
AU000000TTT3,290079574,TTT,AUD,2019-01-24,1.0559,1.0559,0.9641,1.0192,272240,122,1.01254505
AU000000TTT3,290079574,TTT,AUD,2019-01-25,1.0192,1.0238,0.9871,1.0192,51458,59,1.0077245
AU000000TTT3,290079574,TTT,AUD,2019-01-29,1.0008,1.01,0.9802,1.01,70308,61,0.9934924
AU000000TTT3,290079574,TTT,AUD,2019-01-30,1.01,1.01,0.9871,0.9962,58744,64,0.99372195
AU000000TTT3,290079574,TTT,AUD,2019-01-31,0.9825,0.9917,0.9412,0.9687,150749,114,0.96479865
AU000000TTT3,290079574,TTT,AUD,2019-02-01,0.9412,0.9412,0.8631,0.9044,321644,189,0.91200215
AU000000TTT3,290079574,TTT,AUD,2019-02-04,0.9412,0.9549,0.9228,0.932,65500,54,0.94000725
AU000000TTT3,290079574,TTT,AUD,2019-02-05,0.9412,0.9962,0.9412,0.9641,73222,77,0.97214425
AU000000TTT3,290079574,TTT,AUD,2019-02-06,0.9549,0.9825,0.9503,0.9503,34488,61,0.96158495
AU000000TTT3,290079574,TTT,AUD,2019-02-08,1.0376,1.0559,0.9641,1.01,440414,242,1.0178247
AU000000TTT3,290079574,TTT,AUD,2019-02-11,1.0376,1.0559,0.9917,1.0192,98211,111,1.02861355
AU000000TTT3,290079574,TTT,AUD,2019-02-12,1.01,1.01,0.9595,0.9733,190096,81,0.99464015
AU000000TTT3,290079574,TTT,AUD,2019-02-13,1.0008,1.0054,0.9779,0.9962,40362,59,0.991656
AU000000TTT3,290079574,TTT,AUD,2019-02-14,1.0008,1.0008,0.9779,0.9779,28438,24,0.99372195
AU000000TTT3,290079574,TTT,AUD,2019-02-15,0.9962,0.9962,0.9733,0.9733,15586,17,0.9769648
AU000000TTT3,290079574,TTT,AUD,2019-02-18,0.9733,0.9733,0.9503,0.9503,57169,48,0.9599781
AU000000TTT3,290079574,TTT,AUD,2019-02-19,0.9733,0.9733,0.8769,0.9412,213666,136,0.91751135
AU000000TTT3,290079574,TTT,AUD,2019-02-20,0.9412,0.9503,0.8998,0.909,92263,73,0.9310548
AU000000TTT3,290079574,TTT,AUD,2019-02-21,0.9228,0.9228,0.9044,0.9044,56880,29,0.91200215
AU000000TTT3,290079574,TTT,AUD,2019-02-22,0.9182,0.9825,0.9182,0.9687,109505,99,0.9631918
AU000000TTT3,290079574,TTT,AUD,2019-02-25,0.9595,0.9641,0.9182,0.932,106208,66,0.93174345
AU000000TTT3,290079574,TTT,AUD,2019-02-26,0.9412,0.9595,0.9182,0.9595,104951,85,0.9393186
AU000000TTT3,290079574,TTT,AUD,2019-02-27,0.9503,0.9503,0.9182,0.9503,73075,43,0.93633445
AU000000TTT3,290079574,TTT,AUD,2019-02-28,0.9503,0.9962,0.9366,0.9962,144768,86,0.96984875
AU000000TTT3,290079574,TTT,AUD,2019-03-01,0.9779,1.0008,0.9595,1.0008,57034,45,0.9801785
AU000000TTT3,290079574,TTT,AUD,2019-03-04,1.0146,1.0192,0.9733,0.9871,99374,68,0.99601745
AU000000TTT3,290079574,TTT,AUD,2019-03-05,0.9687,0.9825,0.9457,0.9457,25902,39,0.9700783
AU000000TTT3,290079574,TTT,AUD,2019-03-06,0.9503,0.9641,0.9182,0.9274,166500,92,0.92807065
AU000000TTT3,290079574,TTT,AUD,2019-03-07,0.9228,0.932,0.9228,0.9274,39155,20,0.92485695
AU000000TTT3,290079574,TTT,AUD,2019-03-08,0.9274,0.9641,0.9182,0.9641,70894,67,0.94046635
AU000000TTT3,290079574,TTT,AUD,2019-03-11,0.9641,0.9641,0.9274,0.9412,60955,40,0.94322095
AU000000TTT3,290079574,TTT,AUD,2019-03-12,0.9412,0.9503,0.9182,0.9228,85138,67,0.93357985
AU000000TTT3,290079574,TTT,AUD,2019-03-13,0.9274,0.932,0.9159,0.9274,158758,62,0.9209546
AU000000TTT3,290079574,TTT,AUD,2019-03-14,0.9274,0.9962,0.9159,0.9825,313998,106,0.9636509
AU000000TTT3,290079574,TTT,AUD,2019-03-15,0.9687,0.9733,0.9228,0.9595,75024,72,0.94184365
AU000000TTT3,290079574,TTT,AUD,2019-03-18,0.9595,0.9871,0.9457,0.9871,98436,72,0.9709965
AU000000TTT3,290079574,TTT,AUD,2019-03-19,0.9733,0.9871,0.9595,0.9733,86175,75,0.9783421
AU000000TTT3,290079574,TTT,AUD,2019-03-20,0.9733,0.9825,0.9182,0.9228,291973,151,0.9388595
AU000000TTT3,290079574,TTT,AUD,2019-03-21,0.932,0.9457,0.9182,0.9412,91697,86,0.92623425
AU000000TTT3,290079574,TTT,AUD,2019-03-22,0.9412,0.9457,0.9274,0.9457,66160,109,0.9406959
AU000000TTT3,290079574,TTT,AUD,2019-03-25,0.9274,0.9549,0.9136,0.9549,151773,81,0.92026595
AU000000TTT3,290079574,TTT,AUD,2019-03-26,0.9412,0.9457,0.9136,0.9136,144996,132,0.9328912
AU000000TTT3,290079574,TTT,AUD,2019-03-27,0.9182,0.9595,0.9182,0.9549,255555,199,0.9393186
AU000000TTT3,290079574,TTT,AUD,2019-03-28,0.9366,0.9779,0.9274,0.9779,183193,122,0.95974855
AU000000TTT3,290079574,TTT,AUD,2019-03-29,0.9779,0.9825,0.9549,0.9825,161569,93,0.9705374
AU000000TTT3,290079574,TTT,AUD,2019-04-01,0.9871,1.0192,0.9871,1.0146,185511,130,1.00611765
AU000000TTT3,290079574,TTT,AUD,2019-04-02,1.0146,1.0559,1.0146,1.0284,132814,110,1.028384
AU000000TTT3,290079574,TTT,AUD,2019-04-03,1.0238,1.033,1.0008,1.0008,45186,76,1.01392235
AU000000TTT3,290079574,TTT,AUD,2019-04-04,1.0146,1.0146,0.9733,0.9871,130422,84,0.99004915
AU000000TTT3,290079574,TTT,AUD,2019-04-05,1.0054,1.0605,0.9779,1.0605,258560,219,1.01002
AU000000TTT3,290079574,TTT,AUD,2019-04-08,1.0559,1.0789,0.9733,1.0789,515419,513,1.0311386
AU000000TTT3,290079574,TTT,AUD,2019-04-09,1.0789,1.0835,1.033,1.0651,132771,108,1.05615955
AU000000TTT3,290079574,TTT,AUD,2019-04-10,1.0559,1.1432,1.0422,1.1294,428005,364,1.1000036
AU000000TTT3,290079574,TTT,AUD,2019-04-11,1.111,1.1156,1.0789,1.1064,112347,158,1.10528325
AU000000TTT3,290079574,TTT,AUD,2019-04-12,1.1156,1.2166,1.0972,1.1937,588133,318,1.16129345
AU000000TTT3,290079574,TTT,AUD,2019-04-15,1.212,1.212,1.1386,1.1569,176177,174,1.179887
AU000000TTT3,290079574,TTT,AUD,2019-04-16,1.1432,1.1432,1.0559,1.1018,229503,183,1.10812967
AU000000TTT3,290079574,TTT,AUD,2019-04-17,1.0972,1.1294,1.0927,1.1248,55634,45,1.11037926
AU000000TTT3,290079574,TTT,AUD,2019-04-18,1.1248,1.1937,1.1202,1.1661,217818,216,1.16900633
AU000000TTT3,290079574,TTT,AUD,2019-04-23,1.1891,1.1891,1.134,1.1478,46792,53,1.15638108
