ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
AU000000YOJ5,235933710,YOJ,AUD,2019-01-02,0.6365,0.6365,0.5883,0.5883,45449,27,0.60850181
AU000000YOJ5,235933710,YOJ,AUD,2019-01-03,0.5786,0.5883,0.569,0.569,45767,51,0.58150014
AU000000YOJ5,235933710,YOJ,AUD,2019-01-04,0.5786,0.5786,0.569,0.569,27443,41,0.57474973
AU000000YOJ5,235933710,YOJ,AUD,2019-01-07,0.5593,0.5883,0.5593,0.569,16643,23,0.57571407
AU000000YOJ5,235933710,YOJ,AUD,2019-01-08,0.569,0.569,0.5497,0.5593,11020,24,0.56317758
AU000000YOJ5,235933710,YOJ,AUD,2019-01-09,0.5497,0.5593,0.54,0.5593,81477,42,0.55160544
AU000000YOJ5,235933710,YOJ,AUD,2019-01-10,0.5593,0.569,0.5497,0.5593,11865,15,0.55739151
AU000000YOJ5,235933710,YOJ,AUD,2019-01-11,0.5497,0.5593,0.54,0.5497,32894,30,0.54581937
AU000000YOJ5,235933710,YOJ,AUD,2019-01-14,0.5497,0.5786,0.5497,0.5786,13839,42,0.55642717
AU000000YOJ5,235933710,YOJ,AUD,2019-01-15,0.569,0.5786,0.5593,0.5593,44700,34,0.57282104
AU000000YOJ5,235933710,YOJ,AUD,2019-01-16,0.5593,0.569,0.5593,0.5593,14158,20,0.56221324
AU000000YOJ5,235933710,YOJ,AUD,2019-01-17,0.5593,0.5786,0.5593,0.5786,17010,14,0.57185669
AU000000YOJ5,235933710,YOJ,AUD,2019-01-18,0.569,0.569,0.5304,0.5304,148232,57,0.54292634
AU000000YOJ5,235933710,YOJ,AUD,2019-01-21,0.5304,0.54,0.5304,0.54,67140,57,0.53810461
AU000000YOJ5,235933710,YOJ,AUD,2019-01-22,0.54,0.5593,0.54,0.54,31611,46,0.55160544
AU000000YOJ5,235933710,YOJ,AUD,2019-01-23,0.5497,0.5497,0.54,0.54,37338,18,0.54774806
AU000000YOJ5,235933710,YOJ,AUD,2019-01-24,0.5497,0.569,0.5497,0.5593,42749,12,0.5593202
AU000000YOJ5,235933710,YOJ,AUD,2019-01-25,0.5497,0.5883,0.5304,0.5883,110149,37,0.5593202
AU000000YOJ5,235933710,YOJ,AUD,2019-01-29,0.569,0.6075,0.569,0.5979,199389,69,0.58825056
AU000000YOJ5,235933710,YOJ,AUD,2019-01-30,0.5883,0.5883,0.5497,0.569,105931,44,0.56703496
AU000000YOJ5,235933710,YOJ,AUD,2019-01-31,0.5786,0.5883,0.569,0.5786,126158,52,0.57860711
AU000000YOJ5,235933710,YOJ,AUD,2019-02-01,0.5786,0.6558,0.5786,0.6558,340584,67,0.60078705
