ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
BE0003741551,36790810,ROU,EUR,2019-01-02,14.66,14.7,14.6,14.7,1852,8,14.612
BE0003741551,36790810,ROU,EUR,2019-01-03,14.7,14.7,14.4,14.4,710,7,14.468
BE0003741551,36790810,ROU,EUR,2019-01-04,14.4,14.8,14.4,14.8,1623,17,14.576
BE0003741551,36790810,ROU,EUR,2019-01-07,14.86,14.86,14.24,14.56,2099,17,14.438
BE0003741551,36790810,ROU,EUR,2019-01-08,14.8,14.8,14.6,14.6,170,5,14.66
BE0003741551,36790810,ROU,EUR,2019-01-09,14.6,14.76,14.44,14.46,115,5,14.584
BE0003741551,36790810,ROU,EUR,2019-01-10,14.76,14.76,14.54,14.56,1034,6,14.552
BE0003741551,36790810,ROU,EUR,2019-01-11,14.8,14.8,14.5,14.56,917,8,14.534
BE0003741551,36790810,ROU,EUR,2019-01-14,14.56,14.76,14.5,14.6,1180,8,14.636
BE0003741551,36790810,ROU,EUR,2019-01-15,14.56,14.6,14.54,14.6,912,10,14.592
BE0003741551,36790810,ROU,EUR,2019-01-16,14.6,14.66,14.6,14.66,2617,15,14.606
BE0003741551,36790810,ROU,EUR,2019-01-17,14.76,14.8,14.54,14.56,1353,15,14.66
BE0003741551,36790810,ROU,EUR,2019-01-18,14.56,15.0,14.54,15.0,4232,18,14.86
BE0003741551,36790810,ROU,EUR,2019-01-21,14.8,15.16,14.8,15.16,860,9,15.03
BE0003741551,36790810,ROU,EUR,2019-01-22,15.06,15.2,15.04,15.2,399,9,15.134
BE0003741551,36790810,ROU,EUR,2019-01-23,15.2,15.2,15.04,15.2,177,6,15.166
BE0003741551,36790810,ROU,EUR,2019-01-24,15.06,15.16,15.0,15.16,1309,9,15.052
BE0003741551,36790810,ROU,EUR,2019-01-25,15.0,15.0,15.0,15.0,256,4,15.0
BE0003741551,36790810,ROU,EUR,2019-01-28,15.2,15.2,15.0,15.0,538,8,15.1
BE0003741551,36790810,ROU,EUR,2019-01-29,15.16,15.16,14.94,15.16,367,7,15.096
BE0003741551,36790810,ROU,EUR,2019-01-30,15.1,15.16,15.1,15.1,269,5,15.112
BE0003741551,36790810,ROU,EUR,2019-01-31,15.16,15.16,15.04,15.06,1166,9,15.094
BE0003741551,36790810,ROU,EUR,2019-02-01,15.2,15.2,15.04,15.06,624,5,15.144
BE0003741551,36790810,ROU,EUR,2019-02-04,15.06,15.2,15.04,15.06,370,8,15.102
BE0003741551,36790810,ROU,EUR,2019-02-05,15.06,15.2,15.04,15.1,521,6,15.128
BE0003741551,36790810,ROU,EUR,2019-02-06,15.2,15.2,14.94,14.96,728,10,15.062
BE0003741551,36790810,ROU,EUR,2019-02-07,14.96,14.96,14.64,14.66,478,6,14.794
BE0003741551,36790810,ROU,EUR,2019-02-08,14.7,14.7,14.6,14.7,101,4,14.668
BE0003741551,36790810,ROU,EUR,2019-02-11,14.86,14.9,14.7,14.7,1907,13,14.802
BE0003741551,36790810,ROU,EUR,2019-02-12,14.7,14.7,14.54,14.56,1590,8,14.564
BE0003741551,36790810,ROU,EUR,2019-02-13,14.66,14.66,14.5,14.5,2090,18,14.522
BE0003741551,36790810,ROU,EUR,2019-02-14,14.56,14.6,14.2,14.4,3997,21,14.288
BE0003741551,36790810,ROU,EUR,2019-02-15,14.2,14.4,14.1,14.2,1010,17,14.224
BE0003741551,36790810,ROU,EUR,2019-02-18,14.2,14.3,14.04,14.2,1901,18,14.224
BE0003741551,36790810,ROU,EUR,2019-02-19,14.3,14.3,14.0,14.0,4428,25,14.096
BE0003741551,36790810,ROU,EUR,2019-02-20,14.0,14.0,13.5,13.86,6414,36,13.79
BE0003741551,36790810,ROU,EUR,2019-02-21,13.66,14.0,13.6,13.86,3499,21,13.796
BE0003741551,36790810,ROU,EUR,2019-02-22,13.6,13.96,13.6,13.9,2712,16,13.756
BE0003741551,36790810,ROU,EUR,2019-02-25,14.0,14.1,13.8,14.1,1835,13,13.974
BE0003741551,36790810,ROU,EUR,2019-02-26,14.0,14.0,13.74,13.96,183,5,13.868
BE0003741551,36790810,ROU,EUR,2019-02-27,13.9,14.1,13.9,14.1,557,13,14.002
BE0003741551,36790810,ROU,EUR,2019-02-28,14.1,14.1,13.74,14.1,4314,30,14.024
BE0003741551,36790810,ROU,EUR,2019-03-01,14.16,15.5,14.14,14.9,9770,56,14.946
BE0003741551,36790810,ROU,EUR,2019-03-04,15.2,15.3,14.74,15.0,4507,31,15.1
BE0003741551,36790810,ROU,EUR,2019-03-05,14.86,15.0,14.74,14.96,751,12,14.824
BE0003741551,36790810,ROU,EUR,2019-03-06,14.96,15.16,14.74,15.16,5518,34,14.976
BE0003741551,36790810,ROU,EUR,2019-03-07,14.8,15.1,14.8,14.96,334,7,14.918
BE0003741551,36790810,ROU,EUR,2019-03-08,15.0,15.1,14.8,15.0,2005,20,15.052
BE0003741551,36790810,ROU,EUR,2019-03-11,14.86,15.1,14.54,14.7,4983,37,14.89
BE0003741551,36790810,ROU,EUR,2019-03-12,14.96,14.96,14.4,14.66,2127,19,14.628
BE0003741551,36790810,ROU,EUR,2019-03-13,14.4,14.6,14.4,14.6,1980,13,14.428
BE0003741551,36790810,ROU,EUR,2019-03-14,14.1,14.6,14.1,14.4,1908,15,14.25
BE0003741551,36790810,ROU,EUR,2019-03-15,14.7,14.7,14.14,14.36,2608,17,14.424
BE0003741551,36790810,ROU,EUR,2019-03-18,14.5,14.5,14.14,14.46,1590,16,14.232
BE0003741551,36790810,ROU,EUR,2019-03-19,14.5,14.6,14.4,14.6,955,9,14.51
BE0003741551,36790810,ROU,EUR,2019-03-20,14.6,14.6,14.44,14.6,429,8,14.514
BE0003741551,36790810,ROU,EUR,2019-03-21,14.6,14.6,14.5,14.5,295,6,14.502
BE0003741551,36790810,ROU,EUR,2019-03-22,14.5,14.5,14.44,14.46,423,8,14.494
BE0003741551,36790810,ROU,EUR,2019-03-25,14.0,14.36,14.0,14.2,2200,15,14.032
BE0003741551,36790810,ROU,EUR,2019-03-26,14.2,14.2,14.2,14.2,7100,53,14.2
BE0003741551,36790810,ROU,EUR,2019-03-27,14.2,14.2,14.14,14.2,4061,28,14.186
BE0003741551,36790810,ROU,EUR,2019-03-28,14.3,14.3,14.0,14.2,3462,30,14.186
BE0003741551,36790810,ROU,EUR,2019-03-29,14.1,14.2,14.1,14.1,2102,18,14.16
BE0003741551,36790810,ROU,EUR,2019-04-01,14.1,14.2,14.04,14.06,1736,17,14.086
BE0003741551,36790810,ROU,EUR,2019-04-02,14.2,14.2,13.94,13.96,5464,33,14.056
BE0003741551,36790810,ROU,EUR,2019-04-03,14.06,14.1,13.94,14.1,2245,18,14.048
BE0003741551,36790810,ROU,EUR,2019-04-04,14.1,14.1,13.94,14.1,878,10,14.048
BE0003741551,36790810,ROU,EUR,2019-04-05,14.1,14.1,13.94,13.96,2225,18,13.982
BE0003741551,36790810,ROU,EUR,2019-04-08,13.9,14.2,13.9,14.2,175,4,14.042
BE0003741551,36790810,ROU,EUR,2019-04-09,13.96,14.2,13.94,13.96,1567,13,14.084
BE0003741551,36790810,ROU,EUR,2019-04-10,13.96,13.96,13.74,13.8,5855,21,13.796
BE0003741551,36790810,ROU,EUR,2019-04-11,13.8,13.96,13.7,13.9,2145,15,13.834
BE0003741551,36790810,ROU,EUR,2019-04-12,13.9,13.9,13.76,13.8,1267,14,13.834
BE0003741551,36790810,ROU,EUR,2019-04-15,13.9,13.9,13.8,13.8,3127,24,13.842
BE0003741551,36790810,ROU,EUR,2019-04-16,13.8,13.9,13.7,13.7,2914,19,13.768
BE0003741551,36790810,ROU,EUR,2019-04-17,13.66,13.8,13.64,13.8,2087,15,13.676
BE0003741551,36790810,ROU,EUR,2019-04-18,13.9,13.9,13.64,13.9,2432,13,13.798
BE0003741551,36790810,ROU,EUR,2019-04-23,13.9,13.9,13.6,13.76,1396,12,13.762
BE0003741551,36790810,ROU,EUR,2019-04-24,13.7,13.7,13.6,13.66,1550,10,13.624
BE0003741551,36790810,ROU,EUR,2019-04-25,13.6,14.5,13.6,14.1,8165,33,14.104
BE0003741551,36790810,ROU,EUR,2019-04-26,14.2,14.2,13.94,14.2,322,9,14.148
BE0003741551,36790810,ROU,EUR,2019-04-29,14.26,14.46,14.04,14.06,4026,31,14.218
BE0003741551,36790810,ROU,EUR,2019-04-30,14.06,14.3,14.04,14.2,293,4,14.198
BE0003741551,36790810,ROU,EUR,2019-05-02,14.2,14.2,14.2,14.2,394,5,14.2
BE0003741551,36790810,ROU,EUR,2019-05-03,14.2,14.36,14.14,14.16,474,6,14.176
BE0003741551,36790810,ROU,EUR,2019-05-06,14.06,14.16,14.04,14.16,249,8,14.084
BE0003741551,36790810,ROU,EUR,2019-05-07,14.16,14.3,14.14,14.3,397,4,14.186
BE0003741551,36790810,ROU,EUR,2019-05-08,14.4,14.46,14.3,14.46,1576,8,14.388
BE0003741551,36790810,ROU,EUR,2019-05-09,14.16,14.36,14.04,14.06,220,6,14.098
BE0003741551,36790810,ROU,EUR,2019-05-10,14.06,14.3,14.04,14.3,287,5,14.18
BE0003741551,36790810,ROU,EUR,2019-05-13,14.1,14.2,13.9,14.2,2393,20,14.004
BE0003741551,36790810,ROU,EUR,2019-05-14,14.0,14.26,14.0,14.0,149,4,14.036
BE0003741551,36790810,ROU,EUR,2019-05-15,14.0,14.26,14.0,14.26,22,2,14.182
BE0003741551,36790810,ROU,EUR,2019-05-16,14.26,14.26,14.24,14.26,10,1,14.25
