ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
BMG0957L1090,444657445,HUN2,EUR,2020-09-11,0.347,0.347,0.347,0.347,0,0,0.347
BMG0957L1090,444657445,HUN2,EUR,2020-09-14,0.347,0.347,0.347,0.347,0,0,0.347
BMG0957L1090,444657445,HUN2,EUR,2020-09-15,0.3593,0.3593,0.347,0.347,16000,1,0.3593
BMG0957L1090,444657445,HUN2,EUR,2020-09-16,0.347,0.347,0.347,0.347,0,0,0.347
BMG0957L1090,444657445,HUN2,EUR,2020-09-17,0.347,0.347,0.347,0.347,0,0,0.347
BMG0957L1090,444657445,HUN2,EUR,2020-09-18,0.347,0.347,0.347,0.347,0,0,0.347
BMG0957L1090,444657445,HUN2,EUR,2020-09-21,0.34,0.34,0.34,0.34,0,0,0.34
BMG0957L1090,444657445,HUN2,EUR,2020-09-22,0.3578,0.3578,0.342,0.342,928,2,0.34758
BMG0957L1090,444657445,HUN2,EUR,2020-09-23,0.3347,0.3347,0.3347,0.3347,0,0,0.3347
BMG0957L1090,444657445,HUN2,EUR,2020-09-24,0.3291,0.3291,0.3291,0.3291,0,0,0.3291
BMG0957L1090,444657445,HUN2,EUR,2020-09-25,0.3249,0.3249,0.3249,0.3249,0,0,0.3249
BMG0957L1090,444657445,HUN2,EUR,2020-09-28,0.3335,0.3335,0.3335,0.3335,0,0,0.3335
BMG0957L1090,444657445,HUN2,EUR,2020-09-29,0.3268,0.3268,0.3268,0.3268,0,0,0.3268
BMG0957L1090,444657445,HUN2,EUR,2020-09-30,0.3438,0.3438,0.3438,0.3438,50,1,0.3438
BMG0957L1090,444657445,HUN2,EUR,2020-10-01,0.325,0.325,0.325,0.325,0,0,0.325
BMG0957L1090,444657445,HUN2,EUR,2020-10-02,0.325,0.325,0.325,0.325,0,0,0.325
BMG0957L1090,444657445,HUN2,EUR,2020-10-05,0.325,0.325,0.325,0.325,0,0,0.325
BMG0957L1090,444657445,HUN2,EUR,2020-10-06,0.3447,0.3447,0.325,0.325,300,1,0.3447
BMG0957L1090,444657445,HUN2,EUR,2020-10-07,0.33,0.33,0.3281,0.3281,3005,1,0.33
BMG0957L1090,444657445,HUN2,EUR,2020-10-08,0.3265,0.3265,0.3265,0.3265,0,0,0.3265
BMG0957L1090,444657445,HUN2,EUR,2020-10-09,0.3539,0.3539,0.3273,0.3273,3768,3,0.34702
BMG0957L1090,444657445,HUN2,EUR,2020-10-12,0.343,0.3543,0.3356,0.3356,3200,2,0.34371
BMG0957L1090,444657445,HUN2,EUR,2020-10-13,0.3391,0.3391,0.3391,0.3391,0,0,0.3391
BMG0957L1090,444657445,HUN2,EUR,2020-10-14,0.3329,0.3329,0.3329,0.3329,0,0,0.3329
BMG0957L1090,444657445,HUN2,EUR,2020-10-15,0.3272,0.3272,0.3272,0.3272,0,0,0.3272
BMG0957L1090,444657445,HUN2,EUR,2020-10-16,0.3407,0.3407,0.3282,0.3282,604,1,0.3407
BMG0957L1090,444657445,HUN2,EUR,2020-10-19,0.326,0.326,0.326,0.326,9640,2,0.326
