ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
BMG2113B1081,451697851,LGX1,EUR,2020-10-23,3.85,3.85,3.85,3.85,0,0,3.85
BMG2113B1081,451697851,LGX1,EUR,2020-10-26,3.85,3.85,3.85,3.85,0,0,3.85
BMG2113B1081,451697851,LGX1,EUR,2020-10-27,3.92,3.92,3.92,3.92,127,1,3.92
BMG2113B1081,451697851,LGX1,EUR,2020-10-28,3.86,3.86,3.86,3.86,0,0,3.86
BMG2113B1081,451697851,LGX1,EUR,2020-10-29,3.8,3.8,3.8,3.8,0,0,3.8
BMG2113B1081,451697851,LGX1,EUR,2020-10-30,3.8,3.8,3.8,3.8,0,0,3.8
BMG2113B1081,451697851,LGX1,EUR,2020-11-02,3.71,3.71,3.71,3.71,0,0,3.71
BMG2113B1081,451697851,LGX1,EUR,2020-11-03,3.71,3.71,3.71,3.71,0,0,3.71
BMG2113B1081,451697851,LGX1,EUR,2020-11-04,3.71,3.71,3.71,3.71,0,0,3.71
BMG2113B1081,451697851,LGX1,EUR,2020-11-05,3.76,3.76,3.76,3.76,0,0,3.76
BMG2113B1081,451697851,LGX1,EUR,2020-11-06,3.82,3.82,3.82,3.82,0,0,3.82
BMG2113B1081,451697851,LGX1,EUR,2020-11-09,3.82,3.82,3.82,3.82,0,0,3.82
BMG2113B1081,451697851,LGX1,EUR,2020-11-10,3.87,3.87,3.87,3.87,0,0,3.87
BMG2113B1081,451697851,LGX1,EUR,2020-11-11,4.12,4.12,4.12,4.12,0,0,4.12
BMG2113B1081,451697851,LGX1,EUR,2020-11-12,4.12,4.12,4.12,4.12,0,0,4.12
BMG2113B1081,451697851,LGX1,EUR,2020-11-13,4.12,4.12,4.12,4.12,0,0,4.12
BMG2113B1081,451697851,LGX1,EUR,2020-11-16,4.07,4.07,4.07,4.07,0,0,4.07
BMG2113B1081,451697851,LGX1,EUR,2020-11-17,4.07,4.07,4.07,4.07,0,0,4.07
BMG2113B1081,451697851,LGX1,EUR,2020-11-18,4.07,4.07,4.07,4.07,0,0,4.07
BMG2113B1081,451697851,LGX1,EUR,2020-11-19,4.07,4.07,4.07,4.07,0,0,4.07
BMG2113B1081,451697851,LGX1,EUR,2020-11-20,3.99,3.99,3.99,3.99,0,0,3.99
BMG2113B1081,451697851,LGX1,EUR,2020-11-23,3.99,3.99,3.99,3.99,0,0,3.99
BMG2113B1081,451697851,LGX1,EUR,2020-11-24,4.02,4.02,4.02,4.02,0,0,4.02
BMG2113B1081,451697851,LGX1,EUR,2020-11-25,3.88,4.02,3.88,4.02,290,1,3.88
BMG2113B1081,451697851,LGX1,EUR,2020-11-26,4.02,4.02,4.02,4.02,0,0,4.02
BMG2113B1081,451697851,LGX1,EUR,2020-11-27,4.02,4.02,4.02,4.02,0,0,4.02
BMG2113B1081,451697851,LGX1,EUR,2020-11-30,3.94,3.94,3.94,3.94,0,0,3.94
BMG2113B1081,451697851,LGX1,EUR,2020-12-01,4.04,4.04,4.04,4.04,0,0,4.04
BMG2113B1081,451697851,LGX1,EUR,2020-12-02,4.06,4.06,4.06,4.06,0,0,4.06
BMG2113B1081,451697851,LGX1,EUR,2020-12-03,3.96,3.96,3.96,3.96,0,0,3.96
BMG2113B1081,451697851,LGX1,EUR,2020-12-04,4.07,4.08,3.96,3.96,122,1,4.074
BMG2113B1081,451697851,LGX1,EUR,2020-12-07,3.96,3.96,3.96,3.96,0,0,3.96
BMG2113B1081,451697851,LGX1,EUR,2020-12-08,3.98,3.98,3.98,3.98,0,0,3.98
BMG2113B1081,451697851,LGX1,EUR,2020-12-09,4.06,4.06,4.06,4.06,0,0,4.06
BMG2113B1081,451697851,LGX1,EUR,2020-12-10,4.1,4.1,4.1,4.1,0,0,4.1
BMG2113B1081,451697851,LGX1,EUR,2020-12-11,4.08,4.08,4.08,4.08,0,0,4.08
BMG2113B1081,451697851,LGX1,EUR,2020-12-14,4.14,4.14,4.14,4.14,0,0,4.14
BMG2113B1081,451697851,LGX1,EUR,2020-12-15,4.16,4.16,4.16,4.16,0,0,4.16
BMG2113B1081,451697851,LGX1,EUR,2020-12-16,4.16,4.16,4.16,4.16,0,0,4.16
BMG2113B1081,451697851,LGX1,EUR,2020-12-17,4.26,4.26,4.26,4.26,0,0,4.26
BMG2113B1081,451697851,LGX1,EUR,2020-12-18,4.24,4.24,4.24,4.24,0,0,4.24
BMG2113B1081,451697851,LGX1,EUR,2020-12-21,4.26,4.26,4.26,4.26,0,0,4.26
BMG2113B1081,451697851,LGX1,EUR,2020-12-22,4.26,4.26,4.26,4.26,0,0,4.26
BMG2113B1081,451697851,LGX1,EUR,2020-12-23,4.22,4.22,4.22,4.22,0,0,4.22
BMG2113B1081,451697851,LGX1,EUR,2020-12-28,4.32,4.32,4.32,4.32,0,0,4.32
BMG2113B1081,451697851,LGX1,EUR,2020-12-29,4.32,4.32,4.32,4.32,0,0,4.32
BMG2113B1081,451697851,LGX1,EUR,2020-12-30,4.42,4.42,4.42,4.42,0,0,4.42
BMG2113B1081,451697851,LGX1,EUR,2021-01-04,4.42,4.42,4.42,4.42,0,0,4.42
BMG2113B1081,451697851,LGX1,EUR,2021-01-05,4.42,4.42,4.42,4.42,0,0,4.42
BMG2113B1081,451697851,LGX1,EUR,2021-01-06,4.38,4.38,4.38,4.38,0,0,4.38
BMG2113B1081,451697851,LGX1,EUR,2021-01-07,4.38,4.38,4.38,4.38,0,0,4.38
BMG2113B1081,451697851,LGX1,EUR,2021-01-08,4.38,4.38,4.38,4.38,0,0,4.38
BMG2113B1081,451697851,LGX1,EUR,2021-01-11,4.38,4.38,4.38,4.38,0,0,4.38
BMG2113B1081,451697851,LGX1,EUR,2021-01-12,4.64,4.64,4.64,4.64,54,1,4.64
BMG2113B1081,451697851,LGX1,EUR,2021-01-13,4.58,4.58,4.58,4.58,0,0,4.58
BMG2113B1081,451697851,LGX1,EUR,2021-01-14,4.58,4.58,4.58,4.58,0,0,4.58
BMG2113B1081,451697851,LGX1,EUR,2021-01-15,4.52,4.52,4.52,4.52,0,0,4.52
BMG2113B1081,451697851,LGX1,EUR,2021-01-18,4.52,4.52,4.52,4.52,0,0,4.52
BMG2113B1081,451697851,LGX1,EUR,2021-01-19,4.52,4.52,4.52,4.52,0,0,4.52
