ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
BMG3223R1088,6477725,EG,USD,2019-01-02,214.53,215.72,211.96,213.66,3307,1012,213.641
BMG3223R1088,6477725,EG,USD,2019-01-03,212.21,212.23,208.07,208.8,5032,1576,209.576
BMG3223R1088,6477725,EG,USD,2019-01-04,209.61,215.39,209.61,214.91,4877,1260,214.115
BMG3223R1088,6477725,EG,USD,2019-01-07,213.93,215.58,211.36,211.37,5594,1314,212.954
BMG3223R1088,6477725,EG,USD,2019-01-08,210.28,213.42,204.83,213.4,9167,2369,210.765
BMG3223R1088,6477725,EG,USD,2019-01-09,214.16,216.09,211.63,211.99,4958,1347,213.755
BMG3223R1088,6477725,EG,USD,2019-01-10,211.92,214.59,210.8,214.44,5119,1175,213.563
BMG3223R1088,6477725,EG,USD,2019-01-11,214.18,214.18,211.95,213.17,4909,1387,213.068
BMG3223R1088,6477725,EG,USD,2019-01-14,211.95,214.6,211.95,213.68,7333,1466,213.649
BMG3223R1088,6477725,EG,USD,2019-01-15,213.75,215.88,213.17,215.48,5588,1239,214.929
BMG3223R1088,6477725,EG,USD,2019-01-16,215.48,215.75,211.75,212.72,6781,1688,212.851
BMG3223R1088,6477725,EG,USD,2019-01-17,211.65,215.33,211.65,215.33,5025,1047,214.665
BMG3223R1088,6477725,EG,USD,2019-01-18,215.85,217.11,214.8,216.69,4461,1065,216.273
BMG3223R1088,6477725,EG,USD,2019-01-22,217.06,219.09,212.96,214.67,4274,1260,215.327
BMG3223R1088,6477725,EG,USD,2019-01-23,216.0,217.7,214.72,217.6,5136,1341,216.357
BMG3223R1088,6477725,EG,USD,2019-01-24,217.63,219.74,215.53,215.72,3922,1145,216.858
BMG3223R1088,6477725,EG,USD,2019-01-25,211.5,216.9,209.92,213.42,7782,2005,212.919
BMG3223R1088,6477725,EG,USD,2019-01-28,211.6,214.42,211.6,214.28,3190,997,213.249
BMG3223R1088,6477725,EG,USD,2019-01-29,214.34,215.15,213.27,214.11,3564,841,214.163
BMG3223R1088,6477725,EG,USD,2019-01-30,214.68,220.52,214.68,219.27,4866,1317,218.833
BMG3223R1088,6477725,EG,USD,2019-01-31,218.56,219.28,213.46,219.05,5326,1201,217.25
BMG3223R1088,6477725,EG,USD,2019-02-01,219.67,222.39,218.55,222.29,3576,1017,221.361
BMG3223R1088,6477725,EG,USD,2019-02-04,222.26,222.26,218.34,219.66,4587,1294,219.519
BMG3223R1088,6477725,EG,USD,2019-02-05,219.46,221.6,217.92,220.45,3990,983,220.357
