ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
BMG383271050,143861494,GPRK,USD,2019-01-02,13.4462,14.6016,13.3466,14.492,2735,1600,14.27988048
BMG383271050,143861494,GPRK,USD,2019-01-03,14.492,14.5618,13.994,14.243,2159,1361,14.22410359
BMG383271050,143861494,GPRK,USD,2019-01-04,14.5717,15.5378,14.5717,15.488,3090,1755,15.21015936
BMG383271050,143861494,GPRK,USD,2019-01-07,15.7371,16.255,15.4382,15.9163,2331,1200,15.89940239
BMG383271050,143861494,GPRK,USD,2019-01-08,16.1454,16.8924,15.9363,16.8227,4517,2159,16.55278884
BMG383271050,143861494,GPRK,USD,2019-01-09,17.1315,17.1713,16.3944,17.0518,4753,2123,16.96713147
BMG383271050,143861494,GPRK,USD,2019-01-10,16.9124,16.9124,16.1554,16.5139,3036,1923,16.43426295
BMG383271050,143861494,GPRK,USD,2019-01-11,16.2849,16.8526,15.757,15.9861,1987,1311,16.17231076
BMG383271050,143861494,GPRK,USD,2019-01-14,15.7869,16.3745,15.7869,16.0757,1668,1140,16.16035857
BMG383271050,143861494,GPRK,USD,2019-01-15,16.0558,16.6833,16.0558,16.4841,1692,1054,16.53685259
BMG383271050,143861494,GPRK,USD,2019-01-16,16.4841,16.7331,16.1454,16.1554,1956,1152,16.33067729
BMG383271050,143861494,GPRK,USD,2019-01-17,15.9562,16.1952,15.3287,15.9562,2370,1410,15.75199203
BMG383271050,143861494,GPRK,USD,2019-01-18,16.1753,16.2948,15.9263,16.1853,1105,849,16.15338645
BMG383271050,143861494,GPRK,USD,2019-01-22,16.245,16.4641,15.6574,15.8367,2327,1157,16.09063745
BMG383271050,143861494,GPRK,USD,2019-01-23,15.6574,16.0359,15.0199,15.5179,2751,1601,15.43326693
BMG383271050,143861494,GPRK,USD,2019-01-24,15.5677,16.0159,15.5677,15.8566,1391,879,15.85756972
BMG383271050,143861494,GPRK,USD,2019-01-25,15.9661,16.4143,15.8566,16.3048,3040,1501,16.16533865
BMG383271050,143861494,GPRK,USD,2019-01-28,16.0558,16.4343,15.8865,16.1155,1653,836,16.18027888
BMG383271050,143861494,GPRK,USD,2019-01-29,16.245,16.4542,16.0458,16.3845,1560,712,16.32071713
BMG383271050,143861494,GPRK,USD,2019-01-30,16.4343,17.0219,16.4343,16.9721,2702,1814,16.75996016
BMG383271050,143861494,GPRK,USD,2019-01-31,17.1315,17.4104,16.7829,16.9422,1661,947,17.1185259
BMG383271050,143861494,GPRK,USD,2019-02-01,16.992,17.2709,16.8028,17.1414,1140,668,17.08167331
BMG383271050,143861494,GPRK,USD,2019-02-04,16.9422,17.3805,16.7331,17.2112,1559,786,17.1752988
BMG383271050,143861494,GPRK,USD,2019-02-05,17.739,19.3028,17.739,18.3068,12712,3925,18.66035857
BMG383271050,143861494,GPRK,USD,2019-02-06,18.2968,18.4263,17.749,17.9283,5501,1484,17.99800797
BMG383271050,143861494,GPRK,USD,2019-02-07,17.8088,17.988,17.4303,17.7988,1243,734,17.66434263
BMG383271050,143861494,GPRK,USD,2019-02-08,17.6892,17.7789,17.3108,17.3904,2817,1310,17.50099602
BMG383271050,143861494,GPRK,USD,2019-02-11,17.2709,17.7988,16.8327,17.5299,2170,979,17.41832669
BMG383271050,143861494,GPRK,USD,2019-02-12,17.8685,18.3466,17.6096,17.6793,2119,1055,17.9561753
BMG383271050,143861494,GPRK,USD,2019-02-13,17.9283,18.7749,17.9283,18.7351,5306,3053,18.46513944
BMG383271050,143861494,GPRK,USD,2019-02-14,18.6454,19.2231,18.5458,18.9243,2911,1603,19.03386454
BMG383271050,143861494,GPRK,USD,2019-02-15,19.1434,19.6016,19.0438,19.3227,2430,1586,19.37649402
BMG383271050,143861494,GPRK,USD,2019-02-19,19.1335,19.492,18.9143,19.2928,1562,1021,19.21713147
BMG383271050,143861494,GPRK,USD,2019-02-20,19.1335,19.5518,19.1335,19.3526,1165,698,19.36952191
BMG383271050,143861494,GPRK,USD,2019-02-21,19.5817,19.5817,19.0538,19.3028,1005,593,19.25398406
BMG383271050,143861494,GPRK,USD,2019-02-22,19.5916,19.7211,19.1335,19.6514,1783,1006,19.53784861
BMG383271050,143861494,GPRK,USD,2019-02-25,19.5817,20.2191,19.4821,20.1295,2910,1196,20.01593625
BMG383271050,143861494,GPRK,USD,2019-02-26,19.8606,19.9801,19.4223,19.7311,2859,1225,19.79083665
BMG383271050,143861494,GPRK,USD,2019-02-27,19.8406,19.9602,19.3526,19.4223,2793,1504,19.59760956
BMG383271050,143861494,GPRK,USD,2019-02-28,19.3426,19.4223,18.6753,19.1135,1330,879,19.02091633
