ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
BMG9618E1075,6607447,WTM,USD,2019-01-02,853.0,856.39,851.49,855.0,656,22,854.528
BMG9618E1075,6607447,WTM,USD,2019-01-03,853.14,859.38,850.75,850.75,604,39,854.275
BMG9618E1075,6607447,WTM,USD,2019-01-04,854.55,860.69,852.31,854.43,686,47,856.232
BMG9618E1075,6607447,WTM,USD,2019-01-07,852.31,858.0,852.31,856.91,867,67,855.607
BMG9618E1075,6607447,WTM,USD,2019-01-08,858.95,877.56,858.51,877.56,1335,76,868.669
BMG9618E1075,6607447,WTM,USD,2019-01-09,878.44,886.0,871.5,878.88,1466,105,880.568
BMG9618E1075,6607447,WTM,USD,2019-01-10,875.83,880.35,866.87,875.0,1023,42,873.782
BMG9618E1075,6607447,WTM,USD,2019-01-11,873.34,883.2,872.0,881.06,744,49,877.05
BMG9618E1075,6607447,WTM,USD,2019-01-14,879.3,889.29,879.3,889.29,723,52,884.669
BMG9618E1075,6607447,WTM,USD,2019-01-15,892.01,892.69,873.4,886.16,441,28,886.906
BMG9618E1075,6607447,WTM,USD,2019-01-16,884.0,888.23,880.59,888.23,594,27,884.604
BMG9618E1075,6607447,WTM,USD,2019-01-17,884.0,888.32,878.49,880.73,1032,74,882.2
BMG9618E1075,6607447,WTM,USD,2019-01-18,884.01,894.85,884.0,892.0,811,66,889.321
BMG9618E1075,6607447,WTM,USD,2019-01-22,890.32,892.15,880.0,884.76,278,19,884.62
BMG9618E1075,6607447,WTM,USD,2019-01-23,882.26,894.0,882.25,893.61,784,37,891.581
BMG9618E1075,6607447,WTM,USD,2019-01-24,892.0,899.0,889.9,892.16,316,22,893.224
BMG9618E1075,6607447,WTM,USD,2019-01-25,892.07,900.0,889.99,896.57,692,37,894.966
BMG9618E1075,6607447,WTM,USD,2019-01-28,890.96,899.0,889.25,899.0,247,15,895.22
BMG9618E1075,6607447,WTM,USD,2019-01-29,895.68,900.47,889.42,889.42,518,43,894.45
BMG9618E1075,6607447,WTM,USD,2019-01-30,891.0,897.12,887.75,889.4,858,65,891.463
BMG9618E1075,6607447,WTM,USD,2019-01-31,888.12,893.64,885.11,893.58,1081,30,891.993
BMG9618E1075,6607447,WTM,USD,2019-02-01,892.9,895.0,885.06,895.0,514,34,893.314
BMG9618E1075,6607447,WTM,USD,2019-02-04,895.94,900.85,890.3,900.85,501,33,897.029
BMG9618E1075,6607447,WTM,USD,2019-02-05,900.63,901.79,888.93,893.68,864,61,893.176
BMG9618E1075,6607447,WTM,USD,2019-02-06,889.96,897.95,886.49,893.35,805,50,892.115
BMG9618E1075,6607447,WTM,USD,2019-02-07,890.0,910.0,889.43,903.36,1018,68,900.673
BMG9618E1075,6607447,WTM,USD,2019-02-08,903.1,910.84,903.1,906.2,445,13,907.372
BMG9618E1075,6607447,WTM,USD,2019-02-11,903.25,924.99,903.25,923.05,844,66,916.82
BMG9618E1075,6607447,WTM,USD,2019-02-12,925.96,929.0,915.34,915.34,867,52,922.765
BMG9618E1075,6607447,WTM,USD,2019-02-13,915.33,917.49,901.0,903.51,584,31,907.523
BMG9618E1075,6607447,WTM,USD,2019-02-14,900.0,902.0,898.49,900.46,660,48,900.46
BMG9618E1075,6607447,WTM,USD,2019-02-15,903.0,911.4,903.0,906.0,706,45,907.206
BMG9618E1075,6607447,WTM,USD,2019-02-19,902.41,908.12,900.58,904.83,217,8,904.598
BMG9618E1075,6607447,WTM,USD,2019-02-20,909.65,913.49,907.0,911.89,343,17,910.887
BMG9618E1075,6607447,WTM,USD,2019-02-21,911.4,914.55,911.0,914.0,361,26,913.025
BMG9618E1075,6607447,WTM,USD,2019-02-22,914.04,923.89,914.03,921.07,363,18,920.332
BMG9618E1075,6607447,WTM,USD,2019-02-25,927.0,929.04,924.66,924.66,198,13,926.123
BMG9618E1075,6607447,WTM,USD,2019-02-26,918.9,926.01,918.89,924.42,280,20,923.54
BMG9618E1075,6607447,WTM,USD,2019-02-27,922.24,940.79,922.24,934.7,923,28,933.966
BMG9618E1075,6607447,WTM,USD,2019-02-28,933.29,942.8,933.29,939.39,707,40,938.31
BMG9618E1075,6607447,WTM,USD,2019-03-01,942.8,944.63,937.95,937.95,580,17,938.913
BMG9618E1075,6607447,WTM,USD,2019-03-04,945.41,947.19,940.57,945.0,614,43,943.194
BMG9618E1075,6607447,WTM,USD,2019-03-05,947.0,955.0,945.87,953.99,550,35,951.515
BMG9618E1075,6607447,WTM,USD,2019-03-06,953.4,961.49,953.4,954.48,500,34,956.527
BMG9618E1075,6607447,WTM,USD,2019-03-07,953.01,953.01,937.68,937.68,516,38,945.731
BMG9618E1075,6607447,WTM,USD,2019-03-08,933.73,934.6,920.0,920.0,268,14,924.111
BMG9618E1075,6607447,WTM,USD,2019-03-11,920.12,921.49,906.16,908.4,637,44,910.64
BMG9618E1075,6607447,WTM,USD,2019-03-12,908.0,908.14,903.5,908.14,856,31,905.964
BMG9618E1075,6607447,WTM,USD,2019-03-13,907.94,913.99,904.1,912.93,447,21,911.211
BMG9618E1075,6607447,WTM,USD,2019-03-14,912.24,920.61,912.24,919.48,738,52,916.495
BMG9618E1075,6607447,WTM,USD,2019-03-15,919.59,922.0,917.0,919.0,1196,40,919.071
BMG9618E1075,6607447,WTM,USD,2019-03-18,922.01,926.09,921.0,926.09,771,9,925.842
BMG9618E1075,6607447,WTM,USD,2019-03-19,925.21,929.76,919.75,925.11,741,55,924.328
BMG9618E1075,6607447,WTM,USD,2019-03-20,922.0,925.02,908.62,914.0,404,17,914.844
BMG9618E1075,6607447,WTM,USD,2019-03-21,914.0,921.73,914.0,917.7,293,18,917.191
BMG9618E1075,6607447,WTM,USD,2019-03-22,914.0,930.29,914.0,926.03,377,21,925.315
BMG9618E1075,6607447,WTM,USD,2019-03-25,925.76,928.31,915.21,918.63,662,55,919.121
BMG9618E1075,6607447,WTM,USD,2019-03-26,913.13,922.15,912.73,921.73,374,25,918.771
BMG9618E1075,6607447,WTM,USD,2019-03-27,922.66,926.95,917.56,924.26,427,28,923.672
BMG9618E1075,6607447,WTM,USD,2019-03-28,926.11,927.31,916.86,924.7,1448,54,922.741
BMG9618E1075,6607447,WTM,USD,2019-03-29,927.5,930.26,923.5,925.48,859,41,926.907
BMG9618E1075,6607447,WTM,USD,2019-04-01,924.15,929.24,923.06,925.0,534,30,924.963
BMG9618E1075,6607447,WTM,USD,2019-04-02,925.0,925.08,918.6,924.28,638,50,922.511
BMG9618E1075,6607447,WTM,USD,2019-04-03,933.5,933.51,923.69,924.07,349,27,925.657
BMG9618E1075,6607447,WTM,USD,2019-04-04,923.65,929.19,914.0,917.91,480,28,918.554
BMG9618E1075,6607447,WTM,USD,2019-04-05,919.01,923.65,917.09,917.09,444,35,919.915
BMG9618E1075,6607447,WTM,USD,2019-04-08,920.22,923.67,913.0,921.3,583,26,916.768
BMG9618E1075,6607447,WTM,USD,2019-04-09,920.98,920.98,912.49,913.4,425,27,915.667
BMG9618E1075,6607447,WTM,USD,2019-04-10,914.99,915.91,909.9,911.86,729,48,913.605
BMG9618E1075,6607447,WTM,USD,2019-04-11,913.65,913.92,911.13,912.92,174,9,912.844
BMG9618E1075,6607447,WTM,USD,2019-04-12,916.95,916.95,907.95,912.65,433,28,912.497
BMG9618E1075,6607447,WTM,USD,2019-04-15,908.6,914.46,906.62,912.3,157,8,910.851
BMG9618E1075,6607447,WTM,USD,2019-04-16,912.9,916.47,911.46,912.32,223,9,912.904
BMG9618E1075,6607447,WTM,USD,2019-04-17,913.15,917.8,909.56,912.5,223,19,912.962
BMG9618E1075,6607447,WTM,USD,2019-04-18,913.3,919.33,913.3,913.44,196,10,914.377
BMG9618E1075,6607447,WTM,USD,2019-04-22,914.3,914.8,906.22,911.09,384,21,911.77
BMG9618E1075,6607447,WTM,USD,2019-04-23,910.11,925.62,910.11,925.58,755,29,920.971
BMG9618E1075,6607447,WTM,USD,2019-04-24,925.24,936.0,925.24,930.45,560,36,931.421
BMG9618E1075,6607447,WTM,USD,2019-04-25,928.4,940.84,926.44,927.08,723,53,934.5
BMG9618E1075,6607447,WTM,USD,2019-04-26,924.44,954.23,924.44,943.53,1058,86,942.342
BMG9618E1075,6607447,WTM,USD,2019-04-29,942.71,947.21,937.95,937.95,597,37,942.282
BMG9618E1075,6607447,WTM,USD,2019-04-30,942.99,946.87,939.04,939.04,624,29,941.35
BMG9618E1075,6607447,WTM,USD,2019-05-01,940.4,948.43,920.95,920.95,509,37,933.095
BMG9618E1075,6607447,WTM,USD,2019-05-02,920.03,924.4,918.3,924.04,266,20,921.235
BMG9618E1075,6607447,WTM,USD,2019-05-03,924.15,943.63,923.0,941.09,447,32,939.406
BMG9618E1075,6607447,WTM,USD,2019-05-06,935.0,935.0,925.5,931.0,1407,99,930.765
BMG9618E1075,6607447,WTM,USD,2019-05-07,930.0,937.55,930.0,932.63,1050,82,932.827
BMG9618E1075,6607447,WTM,USD,2019-05-08,932.77,961.17,932.63,955.87,791,54,951.255
BMG9618E1075,6607447,WTM,USD,2019-05-09,954.78,993.7,954.78,975.99,2199,191,982.753
BMG9618E1075,6607447,WTM,USD,2019-05-10,975.09,979.41,961.64,966.8,408,33,972.36
BMG9618E1075,6607447,WTM,USD,2019-05-13,959.34,962.16,942.01,946.59,603,38,947.21
BMG9618E1075,6607447,WTM,USD,2019-05-14,947.83,947.83,937.14,944.43,650,36,943.724
BMG9618E1075,6607447,WTM,USD,2019-05-15,946.19,949.64,939.0,949.57,573,45,945.522
BMG9618E1075,6607447,WTM,USD,2019-05-16,952.85,984.59,949.79,973.31,1789,144,977.489
BMG9618E1075,6607447,WTM,USD,2019-05-17,968.64,980.23,967.77,969.65,688,39,974.909
BMG9618E1075,6607447,WTM,USD,2019-05-20,965.55,975.37,950.49,958.94,581,49,962.544
BMG9618E1075,6607447,WTM,USD,2019-05-21,960.21,969.0,956.1,962.24,509,37,962.865
BMG9618E1075,6607447,WTM,USD,2019-05-22,961.52,984.67,958.1,975.14,737,53,972.611
BMG9618E1075,6607447,WTM,USD,2019-05-23,969.93,982.24,965.67,969.0,807,66,973.929
BMG9618E1075,6607447,WTM,USD,2019-05-24,969.73,969.73,959.12,968.14,155,9,966.698
BMG9618E1075,6607447,WTM,USD,2019-05-28,974.49,984.52,974.49,976.62,283,12,977.854
BMG9618E1075,6607447,WTM,USD,2019-05-29,976.0,980.5,966.66,974.2,481,36,973.971
BMG9618E1075,6607447,WTM,USD,2019-05-30,981.0,982.0,966.16,966.69,559,35,973.14
BMG9618E1075,6607447,WTM,USD,2019-05-31,967.02,979.7,961.15,977.3,734,41,974.835
BMG9618E1075,6607447,WTM,USD,2019-06-03,978.98,983.99,973.1,983.99,1082,84,979.552
BMG9618E1075,6607447,WTM,USD,2019-06-04,986.01,987.96,972.49,983.14,1022,69,981.413
BMG9618E1075,6607447,WTM,USD,2019-06-05,985.98,996.3,980.0,992.55,862,62,989.75
BMG9618E1075,6607447,WTM,USD,2019-06-06,994.86,998.0,981.98,986.2,812,69,992.307
BMG9618E1075,6607447,WTM,USD,2019-06-07,989.07,991.98,984.0,991.65,294,20,988.264
BMG9618E1075,6607447,WTM,USD,2019-06-10,993.96,1008.49,989.8,1000.0,725,60,1002.319
BMG9618E1075,6607447,WTM,USD,2019-06-11,1006.5,1006.5,987.6,993.4,576,36,997.081
BMG9618E1075,6607447,WTM,USD,2019-06-12,994.15,1018.05,994.15,1012.5,666,53,1009.487
BMG9618E1075,6607447,WTM,USD,2019-06-13,1021.14,1027.06,1006.2,1009.38,461,38,1019.313
BMG9618E1075,6607447,WTM,USD,2019-06-14,1012.0,1024.5,1009.66,1018.85,910,78,1018.102
BMG9618E1075,6607447,WTM,USD,2019-06-17,1020.0,1023.69,1009.88,1009.88,416,36,1015.669
BMG9618E1075,6607447,WTM,USD,2019-06-18,1018.0,1019.6,1011.99,1016.83,374,21,1016.266
BMG9618E1075,6607447,WTM,USD,2019-06-19,1017.0,1023.0,1016.0,1019.03,1362,38,1021.034
BMG9618E1075,6607447,WTM,USD,2019-06-20,1020.0,1028.0,1010.51,1023.01,2352,121,1020.567
BMG9618E1075,6607447,WTM,USD,2019-06-21,1022.51,1033.17,1018.0,1022.89,2808,158,1024.624
BMG9618E1075,6607447,WTM,USD,2019-06-24,1024.59,1052.17,1024.59,1030.41,2240,182,1039.541
BMG9618E1075,6607447,WTM,USD,2019-06-25,1035.0,1048.35,1032.72,1038.2,1062,91,1040.514
BMG9618E1075,6607447,WTM,USD,2019-06-26,1042.3,1046.76,1026.0,1026.5,779,56,1034.495
BMG9618E1075,6607447,WTM,USD,2019-06-27,1025.42,1025.42,1003.61,1015.9,609,37,1014.665
BMG9618E1075,6607447,WTM,USD,2019-06-28,1022.97,1035.0,1020.69,1023.99,1602,55,1022.885
BMG9618E1075,6607447,WTM,USD,2019-07-01,1031.26,1044.08,1028.54,1041.0,542,39,1036.477
BMG9618E1075,6607447,WTM,USD,2019-07-02,1046.05,1059.66,1038.28,1059.66,1201,84,1051.713
BMG9618E1075,6607447,WTM,USD,2019-07-03,1061.1,1065.04,1052.2,1052.2,1750,65,1055.68
BMG9618E1075,6607447,WTM,USD,2019-07-05,1056.8,1061.98,1044.03,1059.5,762,54,1054.715
BMG9618E1075,6607447,WTM,USD,2019-07-08,1060.89,1063.0,1040.13,1046.5,1063,50,1049.565
BMG9618E1075,6607447,WTM,USD,2019-07-09,1047.9,1055.8,1040.1,1050.21,645,48,1050.417
BMG9618E1075,6607447,WTM,USD,2019-07-10,1044.16,1053.49,1040.16,1047.97,608,50,1047.445
BMG9618E1075,6607447,WTM,USD,2019-07-11,1044.3,1051.97,1038.17,1043.9,1351,78,1044.36
BMG9618E1075,6607447,WTM,USD,2019-07-12,1044.31,1047.98,1037.55,1044.0,489,34,1043.694
BMG9618E1075,6607447,WTM,USD,2019-07-15,1039.19,1045.27,1039.19,1043.51,256,18,1042.873
BMG9618E1075,6607447,WTM,USD,2019-07-16,1043.95,1048.06,1031.97,1038.61,1199,93,1040.862
BMG9618E1075,6607447,WTM,USD,2019-07-17,1037.0,1046.65,1036.95,1042.2,577,47,1040.185
BMG9618E1075,6607447,WTM,USD,2019-07-18,1042.01,1056.6,1036.1,1051.43,1138,84,1048.991
BMG9618E1075,6607447,WTM,USD,2019-07-19,1052.15,1060.0,1042.11,1043.0,557,32,1046.556
BMG9618E1075,6607447,WTM,USD,2019-07-22,1050.92,1050.93,1033.24,1036.45,318,21,1040.894
BMG9618E1075,6607447,WTM,USD,2019-07-23,1037.89,1040.28,1025.25,1038.39,276,19,1033.986
BMG9618E1075,6607447,WTM,USD,2019-07-24,1034.45,1050.28,1033.13,1050.28,635,50,1044.227
BMG9618E1075,6607447,WTM,USD,2019-07-25,1048.66,1068.98,1048.65,1065.0,590,48,1061.086
BMG9618E1075,6607447,WTM,USD,2019-07-26,1063.25,1074.47,1062.0,1068.11,411,29,1067.657
BMG9618E1075,6607447,WTM,USD,2019-07-29,1067.2,1075.57,1059.7,1059.7,408,25,1062.971
BMG9618E1075,6607447,WTM,USD,2019-07-30,1064.0,1074.62,1060.0,1071.0,607,43,1068.849
BMG9618E1075,6607447,WTM,USD,2019-07-31,1073.8,1080.81,1071.23,1076.0,1132,57,1075.824
BMG9618E1075,6607447,WTM,USD,2019-08-01,1075.0,1079.76,1068.28,1074.08,1144,82,1076.639
BMG9618E1075,6607447,WTM,USD,2019-08-02,1073.69,1078.57,1071.1,1076.57,465,34,1074.977
BMG9618E1075,6607447,WTM,USD,2019-08-05,1069.59,1069.59,1052.95,1065.0,266,17,1061.459
