ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA00288U1066,459919952,ABCL,USD,2020-12-14,59.89,60.7,50.0,51.25,12024,6783,52.685
CA00288U1066,459919952,ABCL,USD,2020-12-15,50.81,52.21,45.26,47.19,36543,16590,47.75142
CA00288U1066,459919952,ABCL,USD,2020-12-16,46.79,49.73,42.15,47.48,15543,7041,46.23817
CA00288U1066,459919952,ABCL,USD,2020-12-17,48.0,50.5,47.86,48.6,5675,2724,48.83136
CA00288U1066,459919952,ABCL,USD,2020-12-18,48.92,49.94,48.16,49.5,3569,1946,49.06938
CA00288U1066,459919952,ABCL,USD,2020-12-21,49.0,50.82,43.63,46.38,7646,4513,45.81031
CA00288U1066,459919952,ABCL,USD,2020-12-22,46.67,48.0,42.5,45.55,8336,4798,45.27888
CA00288U1066,459919952,ABCL,USD,2020-12-23,46.94,46.94,42.6,43.6,12014,6882,43.67133
CA00288U1066,459919952,ABCL,USD,2020-12-24,43.37,44.5,40.85,42.42,5214,2645,42.09987
CA00288U1066,459919952,ABCL,USD,2020-12-28,44.77,45.5,38.3,41.5,9844,5204,40.27042
CA00288U1066,459919952,ABCL,USD,2020-12-29,41.9,44.5,38.0,39.2,15435,5830,38.81846
CA00288U1066,459919952,ABCL,USD,2020-12-30,39.47,42.0,37.62,41.5,7336,2730,39.09219
CA00288U1066,459919952,ABCL,USD,2020-12-31,41.8,42.01,38.6,40.3,11359,3552,39.62892
CA00288U1066,459919952,ABCL,USD,2021-01-04,40.24,42.0,38.77,39.2,10491,3064,39.26615
CA00288U1066,459919952,ABCL,USD,2021-01-05,39.75,39.8,37.7,38.99,15298,6581,38.69289
CA00288U1066,459919952,ABCL,USD,2021-01-06,38.98,40.05,36.82,39.63,26477,5033,38.94519
CA00288U1066,459919952,ABCL,USD,2021-01-07,40.0,41.5,38.64,39.32,8988,4061,39.44678
CA00288U1066,459919952,ABCL,USD,2021-01-08,39.4,42.48,38.78,39.78,9897,4129,40.53526
CA00288U1066,459919952,ABCL,USD,2021-01-11,39.75,40.88,36.27,36.93,7321,3608,37.76788
CA00288U1066,459919952,ABCL,USD,2021-01-12,37.5,40.35,36.77,39.68,13269,6577,39.26129
CA00288U1066,459919952,ABCL,USD,2021-01-13,39.56,44.99,39.01,44.0,17487,9037,42.47977
CA00288U1066,459919952,ABCL,USD,2021-01-14,44.0,47.0,41.46,45.2,8627,5761,44.27713
CA00288U1066,459919952,ABCL,USD,2021-01-15,45.96,46.55,44.07,45.0,9153,4791,45.47648
CA00288U1066,459919952,ABCL,USD,2021-01-19,44.6,49.32,44.2,49.0,11180,5508,48.42
CA00288U1066,459919952,ABCL,USD,2021-01-20,49.1,49.74,47.5,47.91,3720,2250,48.19659
CA00288U1066,459919952,ABCL,USD,2021-01-21,48.2,51.49,48.07,51.0,9117,5016,49.76061
CA00288U1066,459919952,ABCL,USD,2021-01-22,50.9,51.5,49.08,49.6,6373,1871,50.19577
CA00288U1066,459919952,ABCL,USD,2021-01-25,51.3,51.74,45.35,48.35,4042,2336,49.48172
CA00288U1066,459919952,ABCL,USD,2021-01-26,50.5,51.5,46.05,47.0,4056,2560,47.4864
CA00288U1066,459919952,ABCL,USD,2021-01-27,44.59,48.92,44.59,45.0,5979,3626,47.20225
CA00288U1066,459919952,ABCL,USD,2021-01-28,45.61,52.5,45.05,51.28,8975,4742,50.42372
CA00288U1066,459919952,ABCL,USD,2021-01-29,51.47,55.22,50.33,53.06,9401,4686,53.80442
CA00288U1066,459919952,ABCL,USD,2021-02-01,53.49,54.26,52.86,53.19,11692,6100,53.49652
CA00288U1066,459919952,ABCL,USD,2021-02-02,53.0,54.0,47.52,48.99,6348,4033,49.42664
CA00288U1066,459919952,ABCL,USD,2021-02-03,49.99,49.99,48.15,48.2,5360,3020,49.15424
CA00288U1066,459919952,ABCL,USD,2021-02-04,49.0,49.08,46.0,47.0,3164,1693,47.00613
CA00288U1066,459919952,ABCL,USD,2021-02-05,46.9,47.45,45.68,46.79,4165,1464,46.66777
CA00288U1066,459919952,ABCL,USD,2021-02-08,47.0,49.37,44.57,46.19,4869,2807,46.1055
CA00288U1066,459919952,ABCL,USD,2021-02-09,46.1,49.7,45.15,47.4,8657,5453,47.64247
CA00288U1066,459919952,ABCL,USD,2021-02-10,50.0,54.28,46.97,48.25,9999,5406,48.86604
CA00288U1066,459919952,ABCL,USD,2021-02-11,48.29,48.67,44.58,46.9,7240,4354,45.70323
CA00288U1066,459919952,ABCL,USD,2021-02-12,47.0,47.0,42.66,43.25,5926,3143,43.7158
CA00288U1066,459919952,ABCL,USD,2021-02-16,43.5,45.0,42.6,44.8,13549,4449,43.7449
CA00288U1066,459919952,ABCL,USD,2021-02-17,43.76,46.72,43.52,45.6,5185,3165,45.36531
CA00288U1066,459919952,ABCL,USD,2021-02-18,44.65,45.65,43.36,43.8,4354,2153,44.07756
CA00288U1066,459919952,ABCL,USD,2021-02-19,43.5,45.44,43.5,44.15,3475,2325,44.4841
CA00288U1066,459919952,ABCL,USD,2021-02-22,43.6,44.95,39.8,40.4,5063,2391,41.64851
CA00288U1066,459919952,ABCL,USD,2021-02-23,39.75,40.0,35.73,39.87,7644,4089,37.41985
CA00288U1066,459919952,ABCL,USD,2021-02-24,37.73,41.36,37.73,40.16,6041,1454,40.1757
CA00288U1066,459919952,ABCL,USD,2021-02-25,40.0,41.65,38.7,39.06,4061,2003,40.15434
CA00288U1066,459919952,ABCL,USD,2021-02-26,39.06,40.67,36.24,38.8,6407,4180,37.61369
CA00288U1066,459919952,ABCL,USD,2021-03-01,38.6,40.6,38.33,39.7,2410,1578,39.7752
CA00288U1066,459919952,ABCL,USD,2021-03-02,39.7,40.13,37.41,38.25,2474,1346,38.16312
CA00288U1066,459919952,ABCL,USD,2021-03-03,39.05,39.05,35.5,35.5,4239,2043,37.25027
CA00288U1066,459919952,ABCL,USD,2021-03-04,34.6,36.38,29.56,30.77,20511,11349,30.8967
CA00288U1066,459919952,ABCL,USD,2021-03-05,31.35,32.5,26.16,30.27,16134,9485,28.13254
CA00288U1066,459919952,ABCL,USD,2021-03-08,26.18,31.47,26.18,27.85,8039,4316,28.09479
CA00288U1066,459919952,ABCL,USD,2021-03-09,26.78,31.17,26.78,30.5,8848,4846,29.93093
CA00288U1066,459919952,ABCL,USD,2021-03-10,30.98,32.89,30.21,32.0,8258,5268,32.07104
CA00288U1066,459919952,ABCL,USD,2021-03-11,34.99,36.35,32.9,36.35,9189,4842,34.89953
CA00288U1066,459919952,ABCL,USD,2021-03-12,34.0,36.85,34.0,36.54,3418,2150,36.08427
CA00288U1066,459919952,ABCL,USD,2021-03-15,37.0,38.47,36.45,37.55,7787,4114,37.53194
CA00288U1066,459919952,ABCL,USD,2021-03-16,37.55,39.19,37.35,37.88,8543,4432,38.0356
CA00288U1066,459919952,ABCL,USD,2021-03-17,37.95,38.0,34.74,36.5,3752,2238,35.88939
CA00288U1066,459919952,ABCL,USD,2021-03-18,36.45,36.45,30.75,31.75,9318,5876,32.89033
CA00288U1066,459919952,ABCL,USD,2021-03-19,31.1,32.8,30.81,31.39,7852,3220,31.29464
CA00288U1066,459919952,ABCL,USD,2021-03-22,32.3,32.34,30.22,30.7,4448,2971,30.9585
CA00288U1066,459919952,ABCL,USD,2021-03-23,30.57,30.77,28.5,29.23,4866,2415,29.14132
CA00288U1066,459919952,ABCL,USD,2021-03-24,29.97,29.97,27.06,27.06,5454,2624,28.25457
CA00288U1066,459919952,ABCL,USD,2021-03-25,27.7,28.0,26.19,26.83,15879,9097,26.61581
CA00288U1066,459919952,ABCL,USD,2021-03-26,26.83,27.69,24.07,25.0,14930,6400,25.11579
CA00288U1066,459919952,ABCL,USD,2021-03-29,26.5,28.0,23.2,27.75,11687,5968,24.5148
CA00288U1066,459919952,ABCL,USD,2021-03-30,28.1,28.5,24.57,26.68,32751,12238,26.0361
CA00288U1066,459919952,ABCL,USD,2021-03-31,27.0,37.79,27.0,35.0,29478,11733,32.59379
CA00288U1066,459919952,ABCL,USD,2021-04-01,35.0,39.06,30.0,31.26,37904,16541,34.06767
CA00288U1066,459919952,ABCL,USD,2021-04-05,32.0,34.09,27.9,28.6,13862,6575,29.19158
CA00288U1066,459919952,ABCL,USD,2021-04-06,28.08,29.2,26.77,29.1,12699,5338,28.35256
CA00288U1066,459919952,ABCL,USD,2021-04-07,29.49,31.45,27.86,30.55,12740,7308,29.75775
CA00288U1066,459919952,ABCL,USD,2021-04-08,31.29,31.62,29.63,30.55,7007,3574,30.66309
CA00288U1066,459919952,ABCL,USD,2021-04-09,30.55,30.75,27.61,28.35,20250,8205,28.55985
CA00288U1066,459919952,ABCL,USD,2021-04-12,28.42,29.16,26.8,28.88,14344,6871,27.71923
