ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA00831V2057,267518964,AAG,CAD,2019-01-02,0.08,0.09,0.08,0.08,15016,4,0.0835
CA00831V2057,267518964,AAG,CAD,2019-01-03,0.08,0.08,0.075,0.075,40000,4,0.075
CA00831V2057,267518964,AAG,CAD,2019-01-04,0.07,0.07,0.07,0.07,10000,2,0.07
CA00831V2057,267518964,AAG,CAD,2019-01-07,0.07,0.07,0.07,0.07,1000,1,0.07
CA00831V2057,267518964,AAG,CAD,2019-01-08,0.07,0.07,0.07,0.07,1000,1,0.07
CA00831V2057,267518964,AAG,CAD,2019-01-09,0.07,0.07,0.065,0.065,2000,2,0.0675
CA00831V2057,267518964,AAG,CAD,2019-01-10,0.055,0.06,0.05,0.06,118823,10,0.0515
CA00831V2057,267518964,AAG,CAD,2019-01-14,0.07,0.075,0.07,0.075,1200,2,0.071
CA00831V2057,267518964,AAG,CAD,2019-01-15,0.075,0.1,0.075,0.09,127000,8,0.087
CA00831V2057,267518964,AAG,CAD,2019-01-16,0.095,0.1,0.085,0.1,798083,20,0.0915
CA00831V2057,267518964,AAG,CAD,2019-01-17,0.1,0.1,0.09,0.09,136000,10,0.0925
CA00831V2057,267518964,AAG,CAD,2019-01-21,0.09,0.09,0.09,0.09,20000,1,0.09
CA00831V2057,267518964,AAG,CAD,2019-01-22,0.09,0.095,0.09,0.095,50000,2,0.092
CA00831V2057,267518964,AAG,CAD,2019-01-23,0.09,0.09,0.09,0.09,48566,3,0.09
CA00831V2057,267518964,AAG,CAD,2019-01-24,0.09,0.09,0.085,0.085,11000,2,0.0855
CA00831V2057,267518964,AAG,CAD,2019-01-25,0.08,0.085,0.08,0.085,100000,3,0.0815
CA00831V2057,267518964,AAG,CAD,2019-01-28,0.085,0.085,0.085,0.085,200000,1,0.085
CA00831V2057,267518964,AAG,CAD,2019-01-29,0.085,0.085,0.085,0.085,53000,1,0.085
CA00831V2057,267518964,AAG,CAD,2019-01-30,0.085,0.085,0.08,0.08,35015,3,0.0815
CA00831V2057,267518964,AAG,CAD,2019-01-31,0.08,0.08,0.08,0.08,50000,3,0.08
CA00831V2057,267518964,AAG,CAD,2019-02-01,0.085,0.085,0.085,0.085,50000,2,0.085
CA00831V2057,267518964,AAG,CAD,2019-02-04,0.085,0.095,0.085,0.095,224500,7,0.0915
CA00831V2057,267518964,AAG,CAD,2019-02-05,0.105,0.11,0.105,0.105,23000,4,0.1075
CA00831V2057,267518964,AAG,CAD,2019-02-06,0.1,0.1,0.1,0.1,53000,3,0.1
CA00831V2057,267518964,AAG,CAD,2019-02-07,0.095,0.095,0.09,0.09,42500,6,0.09
CA00831V2057,267518964,AAG,CAD,2019-02-08,0.1,0.1,0.1,0.1,25000,1,0.1
CA00831V2057,267518964,AAG,CAD,2019-02-11,0.1,0.1,0.095,0.1,19502,4,0.1
CA00831V2057,267518964,AAG,CAD,2019-02-12,0.095,0.095,0.095,0.095,506,2,0.095
CA00831V2057,267518964,AAG,CAD,2019-02-13,0.1,0.1,0.1,0.1,20000,2,0.1
CA00831V2057,267518964,AAG,CAD,2019-02-14,0.1,0.1,0.095,0.095,21000,3,0.0975
CA00831V2057,267518964,AAG,CAD,2019-02-15,0.095,0.095,0.09,0.09,4083,3,0.0915
CA00831V2057,267518964,AAG,CAD,2019-02-19,0.09,0.09,0.09,0.09,63500,5,0.09
CA00831V2057,267518964,AAG,CAD,2019-02-20,0.09,0.1,0.09,0.09,554500,43,0.094
CA00831V2057,267518964,AAG,CAD,2019-02-21,0.09,0.1,0.09,0.1,187000,30,0.0945
CA00831V2057,267518964,AAG,CAD,2019-02-22,0.11,0.11,0.09,0.095,267000,14,0.101
CA00831V2057,267518964,AAG,CAD,2019-02-25,0.1,0.11,0.1,0.11,352100,46,0.1055
