ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA02215R1073,82407146,AIF,CAD,2019-01-02,23.51,23.51,22.7,22.92,90686,597,22.9775
CA02215R1073,82407146,AIF,CAD,2019-01-03,22.83,22.86,21.84,21.98,109043,669,22.215
CA02215R1073,82407146,AIF,CAD,2019-01-04,22.19,22.9,22.17,22.54,60109,465,22.5515
CA02215R1073,82407146,AIF,CAD,2019-01-07,22.61,23.19,22.29,23.07,63769,526,22.894
CA02215R1073,82407146,AIF,CAD,2019-01-08,23.26,23.29,22.95,23.17,66630,580,23.1065
CA02215R1073,82407146,AIF,CAD,2019-01-09,23.21,23.46,23.15,23.19,105390,852,23.3235
CA02215R1073,82407146,AIF,CAD,2019-01-10,23.2,23.22,22.64,22.91,90606,779,22.893
CA02215R1073,82407146,AIF,CAD,2019-01-11,23.21,24.58,23.17,23.96,185081,1389,23.9315
CA02215R1073,82407146,AIF,CAD,2019-01-14,24.01,24.35,23.22,23.35,85701,718,23.5755
CA02215R1073,82407146,AIF,CAD,2019-01-15,23.43,24.03,23.23,23.97,138290,920,23.559
CA02215R1073,82407146,AIF,CAD,2019-01-16,24.03,24.67,24.005,24.57,91998,671,24.4795
CA02215R1073,82407146,AIF,CAD,2019-01-17,24.54,24.7,24.46,24.62,62264,507,24.5855
CA02215R1073,82407146,AIF,CAD,2019-01-18,24.72,24.96,24.5,24.68,120855,546,24.7145
CA02215R1073,82407146,AIF,CAD,2019-01-21,24.69,24.77,23.88,23.95,47307,383,24.1075
CA02215R1073,82407146,AIF,CAD,2019-01-22,23.95,24.16,23.57,24.05,82352,611,23.869
CA02215R1073,82407146,AIF,CAD,2019-01-23,24.1,24.68,24.01,24.52,110410,594,24.3235
CA02215R1073,82407146,AIF,CAD,2019-01-24,24.49,24.74,24.21,24.53,35154,318,24.461
CA02215R1073,82407146,AIF,CAD,2019-01-25,24.6,25.25,24.49,25.24,52868,486,25.0435
CA02215R1073,82407146,AIF,CAD,2019-01-28,25.1,25.33,24.85,24.88,52868,416,25.063
CA02215R1073,82407146,AIF,CAD,2019-01-29,24.94,25.28,24.88,24.9,59988,491,25.031
CA02215R1073,82407146,AIF,CAD,2019-01-30,24.9,24.97,24.56,24.85,38487,365,24.77
CA02215R1073,82407146,AIF,CAD,2019-01-31,24.9,25.03,24.57,24.66,77983,571,24.7195
CA02215R1073,82407146,AIF,CAD,2019-02-01,24.7,24.79,24.55,24.68,40437,341,24.657
CA02215R1073,82407146,AIF,CAD,2019-02-04,24.7,24.71,24.13,24.23,80202,640,24.379
CA02215R1073,82407146,AIF,CAD,2019-02-05,24.32,24.91,24.28,24.5,100827,869,24.5415
CA02215R1073,82407146,AIF,CAD,2019-02-06,24.54,24.91,23.73,24.63,73678,634,24.515
CA02215R1073,82407146,AIF,CAD,2019-02-07,24.63,24.63,23.92,23.95,89745,773,24.184
CA02215R1073,82407146,AIF,CAD,2019-02-08,23.96,24.61,23.64,24.36,79320,708,24.1285
CA02215R1073,82407146,AIF,CAD,2019-02-11,24.44,24.58,24.1,24.3,40692,346,24.322
CA02215R1073,82407146,AIF,CAD,2019-02-12,24.42,25.0,24.3,24.85,71017,507,24.686
CA02215R1073,82407146,AIF,CAD,2019-02-13,24.93,25.48,24.85,25.05,42193,320,25.096
CA02215R1073,82407146,AIF,CAD,2019-02-14,25.0,25.67,25.0,25.67,65544,491,25.4015
CA02215R1073,82407146,AIF,CAD,2019-02-15,25.9,26.11,25.69,26.0,79181,612,26.0025
CA02215R1073,82407146,AIF,CAD,2019-02-19,26.0,26.08,25.77,25.83,61265,512,25.8935
CA02215R1073,82407146,AIF,CAD,2019-02-20,25.81,26.02,25.66,25.77,62837,430,25.822
CA02215R1073,82407146,AIF,CAD,2019-02-21,25.85,26.09,25.61,25.76,82329,662,25.876
CA02215R1073,82407146,AIF,CAD,2019-02-22,23.0,24.39,21.67,23.85,674554,3193,23.158
CA02215R1073,82407146,AIF,CAD,2019-02-25,23.76,25.3,23.69,24.92,158059,1191,24.469
CA02215R1073,82407146,AIF,CAD,2019-02-26,24.92,26.14,24.84,25.87,181006,946,25.3975
CA02215R1073,82407146,AIF,CAD,2019-02-27,25.68,26.0,25.51,25.87,57705,496,25.7495
CA02215R1073,82407146,AIF,CAD,2019-02-28,25.77,26.42,25.77,26.33,153952,626,26.173
CA02215R1073,82407146,AIF,CAD,2019-03-01,26.32,26.96,26.29,26.48,75184,522,26.534
CA02215R1073,82407146,AIF,CAD,2019-03-04,26.39,26.73,25.9,26.14,69807,545,26.155
CA02215R1073,82407146,AIF,CAD,2019-03-05,26.04,26.55,26.04,26.48,42488,374,26.434
CA02215R1073,82407146,AIF,CAD,2019-03-06,26.43,26.6,26.16,26.51,66715,565,26.431
CA02215R1073,82407146,AIF,CAD,2019-03-07,26.31,26.83,26.09,26.26,59603,505,26.2805
CA02215R1073,82407146,AIF,CAD,2019-03-08,26.03,26.06,25.46,25.82,78606,692,25.7645
CA02215R1073,82407146,AIF,CAD,2019-03-11,25.87,26.17,25.73,25.92,34309,334,25.9665
CA02215R1073,82407146,AIF,CAD,2019-03-12,25.96,26.4,25.95,26.27,54056,494,26.2845
CA02215R1073,82407146,AIF,CAD,2019-03-13,26.33,26.43,26.18,26.27,100418,459,26.2785
CA02215R1073,82407146,AIF,CAD,2019-03-14,26.25,26.75,26.22,26.53,61360,526,26.469
CA02215R1073,82407146,AIF,CAD,2019-03-15,26.55,26.6,26.05,26.16,75962,476,26.253
CA02215R1073,82407146,AIF,CAD,2019-03-18,26.25,26.4,25.7,25.99,60308,536,25.9705
CA02215R1073,82407146,AIF,CAD,2019-03-19,26.0,26.05,25.6,25.67,47124,381,25.71
CA02215R1073,82407146,AIF,CAD,2019-03-20,25.67,25.67,25.12,25.31,53525,461,25.346
CA02215R1073,82407146,AIF,CAD,2019-03-21,25.14,25.81,25.14,25.67,58118,501,25.4855
CA02215R1073,82407146,AIF,CAD,2019-03-22,25.61,25.76,25.17,25.33,62187,415,25.383
CA02215R1073,82407146,AIF,CAD,2019-03-25,25.29,25.31,24.85,25.17,32951,319,25.1295
CA02215R1073,82407146,AIF,CAD,2019-03-26,25.14,25.61,25.14,25.44,120629,429,25.2895
