ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA07317Q1054,82487859,BTE,CAD,2019-01-02,2.31,2.53,2.27,2.45,6537362,6792,2.4415
CA07317Q1054,82487859,BTE,CAD,2019-01-03,2.48,2.5,2.35,2.43,6200764,6810,2.44
CA07317Q1054,82487859,BTE,CAD,2019-01-04,2.53,2.59,2.47,2.53,6536679,6788,2.5365
CA07317Q1054,82487859,BTE,CAD,2019-01-07,2.6,2.66,2.52,2.56,7820482,6685,2.5925
CA07317Q1054,82487859,BTE,CAD,2019-01-08,2.61,2.63,2.43,2.48,6910173,5833,2.5165
CA07317Q1054,82487859,BTE,CAD,2019-01-09,2.55,2.58,2.45,2.55,5640844,4706,2.535
CA07317Q1054,82487859,BTE,CAD,2019-01-10,2.51,2.63,2.48,2.62,5304813,4402,2.58
CA07317Q1054,82487859,BTE,CAD,2019-01-11,2.58,2.68,2.55,2.65,5098394,4191,2.636
CA07317Q1054,82487859,BTE,CAD,2019-01-14,2.63,2.68,2.58,2.59,3908141,3920,2.623
CA07317Q1054,82487859,BTE,CAD,2019-01-15,2.63,2.71,2.61,2.69,5466889,4627,2.667
CA07317Q1054,82487859,BTE,CAD,2019-01-16,2.7,2.73,2.65,2.69,3968489,3597,2.687
CA07317Q1054,82487859,BTE,CAD,2019-01-17,2.65,2.66,2.6,2.61,3941162,2935,2.6295
CA07317Q1054,82487859,BTE,CAD,2019-01-18,2.63,2.655,2.52,2.55,7969645,4622,2.587
CA07317Q1054,82487859,BTE,CAD,2019-01-21,2.55,2.56,2.46,2.47,1825471,1715,2.494
CA07317Q1054,82487859,BTE,CAD,2019-01-22,2.4,2.41,2.26,2.32,6187873,5210,2.3155
CA07317Q1054,82487859,BTE,CAD,2019-01-23,2.32,2.33,2.17,2.19,5624612,4892,2.225
CA07317Q1054,82487859,BTE,CAD,2019-01-24,2.18,2.24,2.16,2.18,6124389,3897,2.199
CA07317Q1054,82487859,BTE,CAD,2019-01-25,2.2,2.26,2.17,2.23,4757842,3754,2.2155
CA07317Q1054,82487859,BTE,CAD,2019-01-28,2.2,2.2,2.13,2.16,4959053,4814,2.1585
CA07317Q1054,82487859,BTE,CAD,2019-01-29,2.21,2.22,2.12,2.13,4427394,4864,2.16
CA07317Q1054,82487859,BTE,CAD,2019-01-30,2.17,2.26,2.12,2.22,6790052,5612,2.201
CA07317Q1054,82487859,BTE,CAD,2019-01-31,2.25,2.29,2.18,2.21,4389371,3602,2.235
CA07317Q1054,82487859,BTE,CAD,2019-02-01,2.21,2.24,2.16,2.17,3046411,2431,2.1875
CA07317Q1054,82487859,BTE,CAD,2019-02-04,2.16,2.18,2.13,2.17,2230883,3839,2.154
CA07317Q1054,82487859,BTE,CAD,2019-02-05,2.15,2.19,2.12,2.14,2404046,2427,2.151
CA07317Q1054,82487859,BTE,CAD,2019-02-06,2.14,2.16,2.06,2.06,8488724,4570,2.1005
CA07317Q1054,82487859,BTE,CAD,2019-02-07,2.05,2.06,1.95,2.0,6258341,4430,1.997
CA07317Q1054,82487859,BTE,CAD,2019-02-08,2.02,2.03,1.98,2.0,2966874,2847,1.994
CA07317Q1054,82487859,BTE,CAD,2019-02-11,1.99,2.05,1.97,2.04,3485025,2771,2.0105
CA07317Q1054,82487859,BTE,CAD,2019-02-12,2.09,2.1,2.02,2.08,4778322,4172,2.0545
CA07317Q1054,82487859,BTE,CAD,2019-02-13,2.09,2.2,2.07,2.19,5991532,5636,2.154
CA07317Q1054,82487859,BTE,CAD,2019-02-14,2.17,2.27,2.15,2.24,4752396,4641,2.2195
CA07317Q1054,82487859,BTE,CAD,2019-02-15,2.3,2.34,2.26,2.29,4622509,4759,2.307
CA07317Q1054,82487859,BTE,CAD,2019-02-19,2.32,2.4,2.29,2.4,5108326,4396,2.339
CA07317Q1054,82487859,BTE,CAD,2019-02-20,2.39,2.45,2.35,2.37,5259336,3969,2.392
CA07317Q1054,82487859,BTE,CAD,2019-02-21,2.36,2.365,2.26,2.28,4399889,4101,2.3105
CA07317Q1054,82487859,BTE,CAD,2019-02-22,2.3,2.36,2.3,2.3,4377942,3417,2.33
CA07317Q1054,82487859,BTE,CAD,2019-02-25,2.28,2.33,2.25,2.29,3406486,2656,2.2935
CA07317Q1054,82487859,BTE,CAD,2019-02-26,2.3,2.44,2.28,2.44,7059624,4982,2.39
CA07317Q1054,82487859,BTE,CAD,2019-02-27,2.47,2.54,2.43,2.43,5527723,3875,2.477
CA07317Q1054,82487859,BTE,CAD,2019-02-28,2.43,2.44,2.34,2.36,3423128,3451,2.3735
CA07317Q1054,82487859,BTE,CAD,2019-03-01,2.37,2.47,2.36,2.42,4411954,5638,2.4325
CA07317Q1054,82487859,BTE,CAD,2019-03-04,2.44,2.44,2.31,2.36,5531939,4432,2.3445
CA07317Q1054,82487859,BTE,CAD,2019-03-05,2.36,2.39,2.33,2.37,2374236,2692,2.3635
CA07317Q1054,82487859,BTE,CAD,2019-03-06,2.36,2.43,2.29,2.31,7721886,5359,2.361
CA07317Q1054,82487859,BTE,CAD,2019-03-07,2.38,2.38,2.22,2.25,6754378,5010,2.2755
CA07317Q1054,82487859,BTE,CAD,2019-03-08,2.19,2.27,2.11,2.26,6768420,5750,2.2045
CA07317Q1054,82487859,BTE,CAD,2019-03-11,2.29,2.35,2.26,2.28,3547477,3674,2.309
CA07317Q1054,82487859,BTE,CAD,2019-03-12,2.3,2.33,2.26,2.26,1975995,2682,2.2895
CA07317Q1054,82487859,BTE,CAD,2019-03-13,2.29,2.34,2.26,2.34,2709580,3248,2.313
CA07317Q1054,82487859,BTE,CAD,2019-03-14,2.31,2.35,2.295,2.31,2335691,2605,2.319
CA07317Q1054,82487859,BTE,CAD,2019-03-15,2.29,2.31,2.24,2.25,3602965,2573,2.265
CA07317Q1054,82487859,BTE,CAD,2019-03-18,2.26,2.31,2.24,2.31,2323301,2685,2.288
CA07317Q1054,82487859,BTE,CAD,2019-03-19,2.33,2.36,2.28,2.28,3778436,2933,2.329
CA07317Q1054,82487859,BTE,CAD,2019-03-20,2.28,2.45,2.24,2.42,7167721,5104,2.36
CA07317Q1054,82487859,BTE,CAD,2019-03-21,2.42,2.5,2.41,2.5,7490779,6048,2.4735
CA07317Q1054,82487859,BTE,CAD,2019-03-22,2.45,2.47,2.33,2.36,5473217,3755,2.3795
CA07317Q1054,82487859,BTE,CAD,2019-03-25,2.34,2.38,2.295,2.32,3079159,3465,2.322
CA07317Q1054,82487859,BTE,CAD,2019-03-26,2.38,2.44,2.38,2.42,4245745,3522,2.4095
CA07317Q1054,82487859,BTE,CAD,2019-03-27,2.42,2.43,2.33,2.33,3090203,3162,2.36
CA07317Q1054,82487859,BTE,CAD,2019-03-28,2.31,2.32,2.27,2.31,4100841,2324,2.305
CA07317Q1054,82487859,BTE,CAD,2019-03-29,2.37,2.38,2.26,2.27,3081710,2878,2.295
CA07317Q1054,82487859,BTE,CAD,2019-04-01,2.3,2.34,2.27,2.28,5041904,5940,2.311
CA07317Q1054,82487859,BTE,CAD,2019-04-02,2.28,2.31,2.23,2.26,3103289,2866,2.274
CA07317Q1054,82487859,BTE,CAD,2019-04-03,2.27,2.27,2.17,2.19,4731855,3374,2.223
CA07317Q1054,82487859,BTE,CAD,2019-04-04,2.16,2.25,2.15,2.22,3603413,2494,2.207
CA07317Q1054,82487859,BTE,CAD,2019-04-05,2.23,2.41,2.23,2.39,6527284,4167,2.334
CA07317Q1054,82487859,BTE,CAD,2019-04-08,2.41,2.53,2.4,2.51,9190188,7324,2.4785
CA07317Q1054,82487859,BTE,CAD,2019-04-09,2.5,2.51,2.42,2.45,4912345,6071,2.4595
CA07317Q1054,82487859,BTE,CAD,2019-04-10,2.48,2.82,2.47,2.81,13172817,9222,2.6835
CA07317Q1054,82487859,BTE,CAD,2019-04-11,2.76,2.99,2.72,2.84,13318970,9541,2.8325
CA07317Q1054,82487859,BTE,CAD,2019-04-12,2.89,3.01,2.87,2.9,11108043,6640,2.922
CA07317Q1054,82487859,BTE,CAD,2019-04-15,2.85,2.95,2.82,2.87,4202728,3212,2.888
CA07317Q1054,82487859,BTE,CAD,2019-04-16,2.88,2.89,2.75,2.8,5890722,5040,2.8075
CA07317Q1054,82487859,BTE,CAD,2019-04-17,2.84,2.86,2.79,2.85,6963404,7830,2.8315
CA07317Q1054,82487859,BTE,CAD,2019-04-18,2.83,2.87,2.76,2.8,3808415,3091,2.8105
CA07317Q1054,82487859,BTE,CAD,2019-04-22,2.9,3.05,2.88,2.99,9067681,6239,2.9655
CA07317Q1054,82487859,BTE,CAD,2019-04-23,3.02,3.08,2.95,3.07,8910561,6987,3.034
CA07317Q1054,82487859,BTE,CAD,2019-04-24,3.13,3.14,2.88,2.89,8607487,5717,2.97
CA07317Q1054,82487859,BTE,CAD,2019-04-25,2.89,2.9,2.76,2.77,4695032,3883,2.832
CA07317Q1054,82487859,BTE,CAD,2019-04-26,2.69,2.76,2.61,2.74,6627254,4736,2.6795
CA07317Q1054,82487859,BTE,CAD,2019-04-29,2.74,2.86,2.68,2.81,4599374,3615,2.7805
CA07317Q1054,82487859,BTE,CAD,2019-04-30,2.88,2.9,2.67,2.72,5152607,4132,2.763
CA07317Q1054,82487859,BTE,CAD,2019-05-01,2.71,2.72,2.55,2.55,5136420,4316,2.6115
CA07317Q1054,82487859,BTE,CAD,2019-05-02,2.44,2.56,2.41,2.48,5593260,5027,2.492
CA07317Q1054,82487859,BTE,CAD,2019-05-03,2.57,2.8,2.56,2.8,9528206,7697,2.7215
CA07317Q1054,82487859,BTE,CAD,2019-05-06,2.66,2.85,2.65,2.8,9064479,4563,2.7835
CA07317Q1054,82487859,BTE,CAD,2019-05-07,2.75,2.75,2.65,2.68,5669851,4575,2.684
CA07317Q1054,82487859,BTE,CAD,2019-05-08,2.69,2.86,2.67,2.76,5796832,3948,2.7845
CA07317Q1054,82487859,BTE,CAD,2019-05-09,2.72,2.8,2.67,2.8,4904679,4347,2.736
CA07317Q1054,82487859,BTE,CAD,2019-05-10,2.82,2.82,2.74,2.76,4790056,3285,2.777
CA07317Q1054,82487859,BTE,CAD,2019-05-13,2.8,2.82,2.58,2.68,6754737,4444,2.6825
CA07317Q1054,82487859,BTE,CAD,2019-05-14,2.71,2.75,2.665,2.68,5385088,3482,2.708
CA07317Q1054,82487859,BTE,CAD,2019-05-15,2.63,2.71,2.56,2.7,5457122,3329,2.6555
CA07317Q1054,82487859,BTE,CAD,2019-05-16,2.73,2.79,2.68,2.7,4804381,3223,2.733
CA07317Q1054,82487859,BTE,CAD,2019-05-17,2.7,2.7,2.59,2.6,3790860,3357,2.632
