ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA1367178326,14889478,CU,CAD,2019-01-02,31.31,31.5,30.94,31.27,283041,2193,31.2285
CA1367178326,14889478,CU,CAD,2019-01-03,31.25,31.41,30.95,31.27,244531,1882,31.217
CA1367178326,14889478,CU,CAD,2019-01-04,31.33,31.35,30.95,31.24,296275,2104,31.1205
CA1367178326,14889478,CU,CAD,2019-01-07,31.28,31.36,30.91,31.13,306495,2458,31.069
CA1367178326,14889478,CU,CAD,2019-01-08,31.17,31.78,31.12,31.78,677859,2558,31.5885
CA1367178326,14889478,CU,CAD,2019-01-09,31.74,32.27,31.5,32.2,355661,2586,31.922
CA1367178326,14889478,CU,CAD,2019-01-10,32.19,32.61,31.96,32.54,268972,2134,32.3955
CA1367178326,14889478,CU,CAD,2019-01-11,32.47,32.72,32.28,32.49,306725,2376,32.5375
CA1367178326,14889478,CU,CAD,2019-01-14,32.48,32.52,32.08,32.35,476605,2607,32.263
CA1367178326,14889478,CU,CAD,2019-01-15,32.3,32.75,32.27,32.73,324778,2384,32.621
CA1367178326,14889478,CU,CAD,2019-01-16,32.68,32.9,32.53,32.82,393661,2707,32.768
CA1367178326,14889478,CU,CAD,2019-01-17,32.8,33.41,32.6,33.11,435255,2791,33.17
CA1367178326,14889478,CU,CAD,2019-01-18,33.26,33.35,33.02,33.34,380820,2113,33.2665
CA1367178326,14889478,CU,CAD,2019-01-21,33.42,33.42,33.14,33.42,137450,976,33.3215
CA1367178326,14889478,CU,CAD,2019-01-22,33.48,33.54,33.16,33.37,227131,1640,33.32
CA1367178326,14889478,CU,CAD,2019-01-23,33.41,33.69,33.16,33.42,328859,2362,33.4355
CA1367178326,14889478,CU,CAD,2019-01-24,33.52,33.93,33.34,33.92,326871,2249,33.7285
CA1367178326,14889478,CU,CAD,2019-01-25,33.99,34.15,33.74,34.08,254327,2036,33.98
CA1367178326,14889478,CU,CAD,2019-01-28,33.86,33.86,33.49,33.78,415749,3074,33.6775
CA1367178326,14889478,CU,CAD,2019-01-29,33.78,33.97,33.64,33.86,321524,2365,33.833
CA1367178326,14889478,CU,CAD,2019-01-30,33.97,33.98,33.41,33.49,424120,3258,33.6055
CA1367178326,14889478,CU,CAD,2019-01-31,33.56,33.91,33.42,33.78,401415,2456,33.746
CA1367178326,14889478,CU,CAD,2019-02-01,33.8,33.93,33.64,33.75,241484,1807,33.7925
CA1367178326,14889478,CU,CAD,2019-02-04,33.73,34.09,33.71,34.03,353021,2343,33.9715
CA1367178326,14889478,CU,CAD,2019-02-05,34.24,34.44,34.05,34.32,460890,2810,34.353
CA1367178326,14889478,CU,CAD,2019-02-06,33.9,34.09,33.59,33.9,348471,2297,33.8525
CA1367178326,14889478,CU,CAD,2019-02-07,33.92,33.99,33.56,33.64,278142,2031,33.703
CA1367178326,14889478,CU,CAD,2019-02-08,33.58,33.75,33.46,33.49,548436,2213,33.5455
CA1367178326,14889478,CU,CAD,2019-02-11,33.59,33.81,33.22,33.41,283891,1907,33.393
CA1367178326,14889478,CU,CAD,2019-02-12,33.44,33.5,33.17,33.29,229613,1703,33.263
CA1367178326,14889478,CU,CAD,2019-02-13,33.28,33.35,33.03,33.14,329761,2121,33.123
CA1367178326,14889478,CU,CAD,2019-02-14,33.12,33.25,32.93,33.04,479191,2427,33.071
CA1367178326,14889478,CU,CAD,2019-02-15,33.07,33.46,32.99,33.32,270470,1854,33.3175
CA1367178326,14889478,CU,CAD,2019-02-19,33.32,33.47,33.16,33.36,240407,1651,33.345
CA1367178326,14889478,CU,CAD,2019-02-20,33.37,33.5,33.22,33.46,201533,1261,33.396
CA1367178326,14889478,CU,CAD,2019-02-21,33.46,33.83,33.4,33.71,300177,2176,33.7215
CA1367178326,14889478,CU,CAD,2019-02-22,33.68,33.78,33.45,33.69,190935,1409,33.683
CA1367178326,14889478,CU,CAD,2019-02-25,33.77,33.85,33.47,33.64,261700,1707,33.65
CA1367178326,14889478,CU,CAD,2019-02-26,33.63,33.96,33.55,33.84,316910,2102,33.8425
CA1367178326,14889478,CU,CAD,2019-02-27,33.99,34.5,33.6,34.41,532347,3855,34.222
CA1367178326,14889478,CU,CAD,2019-02-28,34.45,35.0,34.01,34.99,876643,3735,34.841
CA1367178326,14889478,CU,CAD,2019-03-01,35.05,36.08,34.97,35.44,880557,5455,35.7095
CA1367178326,14889478,CU,CAD,2019-03-04,35.6,35.73,35.3,35.63,522574,3705,35.553
CA1367178326,14889478,CU,CAD,2019-03-05,35.58,35.78,35.5,35.65,486684,3129,35.666
CA1367178326,14889478,CU,CAD,2019-03-06,35.65,36.18,35.63,35.89,404325,2564,35.962
CA1367178326,14889478,CU,CAD,2019-03-07,35.9,36.46,35.88,36.05,379058,2892,36.1215
CA1367178326,14889478,CU,CAD,2019-03-08,35.91,36.17,35.85,36.0,200770,1500,36.0185
CA1367178326,14889478,CU,CAD,2019-03-11,35.92,36.32,35.75,35.83,317137,1944,35.891
CA1367178326,14889478,CU,CAD,2019-03-12,35.88,36.08,35.77,36.06,215564,1718,35.9685
CA1367178326,14889478,CU,CAD,2019-03-13,36.06,36.25,35.94,36.17,210629,1755,36.1355
CA1367178326,14889478,CU,CAD,2019-03-14,36.13,36.23,35.85,35.97,170485,1357,36.0065
CA1367178326,14889478,CU,CAD,2019-03-15,36.05,36.28,36.01,36.12,488866,1656,36.1475
CA1367178326,14889478,CU,CAD,2019-03-18,36.13,36.18,35.92,36.06,222733,1718,36.0175
