ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA25822C2058,4729078,DIIBF,USD,2019-01-02,12.51,12.67,12.41,12.41,15,12,12.48797
CA25822C2058,4729078,DIIBF,USD,2019-01-03,12.27,12.27,11.97,11.97,13,6,12.08835
CA25822C2058,4729078,DIIBF,USD,2019-01-04,12.2,12.217,12.12,12.12,7,3,12.20255
CA25822C2058,4729078,DIIBF,USD,2019-01-07,12.2305,12.3707,12.0652,12.3707,60,35,12.21543
CA25822C2058,4729078,DIIBF,USD,2019-01-08,12.35,12.35,11.9961,12.06,9,7,12.11934
CA25822C2058,4729078,DIIBF,USD,2019-01-09,12.43,12.43,12.43,12.43,1,1,12.43
CA25822C2058,4729078,DIIBF,USD,2019-01-10,12.98,12.98,12.59,12.7495,5,5,12.79338
CA25822C2058,4729078,DIIBF,USD,2019-01-11,12.6842,12.7066,12.661,12.7066,14,7,12.68872
CA25822C2058,4729078,DIIBF,USD,2019-01-14,12.75,13.23,12.75,12.9432,62,35,12.97323
CA25822C2058,4729078,DIIBF,USD,2019-01-15,12.8155,13.1257,12.75,13.07,103,40,13.01178
CA25822C2058,4729078,DIIBF,USD,2019-01-16,13.375,13.375,13.05,13.11,20,9,13.30543
CA25822C2058,4729078,DIIBF,USD,2019-01-17,13.1,13.1,13.1,13.1,1,1,13.1
CA25822C2058,4729078,DIIBF,USD,2019-01-18,13.19,13.41,13.19,13.3613,6,6,13.34818
CA25822C2058,4729078,DIIBF,USD,2019-01-22,12.8921,13.1405,12.8921,13.0593,21,7,13.08458
CA25822C2058,4729078,DIIBF,USD,2019-01-23,12.98,13.13,12.97,13.13,69,4,12.99579
CA25822C2058,4729078,DIIBF,USD,2019-01-24,13.1755,13.1755,12.98,12.98,2,2,13.07775
CA25822C2058,4729078,DIIBF,USD,2019-01-25,12.98,12.98,12.98,12.98,0,0,12.98
CA25822C2058,4729078,DIIBF,USD,2019-01-28,12.65,12.65,12.6438,12.6494,6,3,12.64887
CA25822C2058,4729078,DIIBF,USD,2019-01-29,12.45,12.57,12.0328,12.0328,7,7,12.31033
CA25822C2058,4729078,DIIBF,USD,2019-01-30,11.9925,12.0039,11.9925,12.0039,4,4,11.99535
CA25822C2058,4729078,DIIBF,USD,2019-01-31,12.4018,12.54,12.4018,12.54,23,10,12.52692
CA25822C2058,4729078,DIIBF,USD,2019-02-01,12.22,12.22,11.9,11.9,3,3,12.01182
CA25822C2058,4729078,DIIBF,USD,2019-02-04,11.98,11.98,11.98,11.98,1,1,11.98
CA25822C2058,4729078,DIIBF,USD,2019-02-05,11.98,11.98,11.98,11.98,0,0,11.98
CA25822C2058,4729078,DIIBF,USD,2019-02-06,11.94,12.34,11.94,12.26,105,22,12.31556
CA25822C2058,4729078,DIIBF,USD,2019-02-07,12.2538,12.7222,12.2538,12.7213,75,8,12.6861
CA25822C2058,4729078,DIIBF,USD,2019-02-08,12.5957,12.61,12.5957,12.61,2,2,12.60096
CA25822C2058,4729078,DIIBF,USD,2019-02-11,12.386,12.7454,12.386,12.6664,37,16,12.57043
CA25822C2058,4729078,DIIBF,USD,2019-02-12,12.8981,13.0253,12.8439,13.0253,12,4,12.91649
CA25822C2058,4729078,DIIBF,USD,2019-02-13,13.0627,13.0627,12.913,12.913,8,6,12.99261
CA25822C2058,4729078,DIIBF,USD,2019-02-14,12.4,12.4,12.3918,12.4,41,18,12.39495
CA25822C2058,4729078,DIIBF,USD,2019-02-15,12.3386,12.66,12.3386,12.66,2,2,12.44943
CA25822C2058,4729078,DIIBF,USD,2019-02-19,12.7,12.9,12.7,12.8124,10,9,12.83029
CA25822C2058,4729078,DIIBF,USD,2019-02-20,12.5221,12.5221,12.5221,12.5221,1,1,12.5221
CA25822C2058,4729078,DIIBF,USD,2019-02-21,12.6824,12.69,12.6824,12.69,3,3,12.68493
CA25822C2058,4729078,DIIBF,USD,2019-02-22,12.8287,13.0272,12.8287,12.941,45,19,12.90765
CA25822C2058,4729078,DIIBF,USD,2019-02-25,12.9857,12.9857,12.8253,12.91,20,14,12.89072
CA25822C2058,4729078,DIIBF,USD,2019-02-26,13.1155,13.3466,13.1155,13.3466,64,10,13.21255
CA25822C2058,4729078,DIIBF,USD,2019-02-27,13.0728,13.1641,13.0397,13.0397,16,4,13.05884
CA25822C2058,4729078,DIIBF,USD,2019-02-28,12.67,12.865,12.67,12.865,18,8,12.84557
CA25822C2058,4729078,DIIBF,USD,2019-03-01,12.844,13.39,12.81,13.39,50,9,13.20816
