ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA29250N1050,4730124,ENB,USD,2019-01-02,31.0,31.88,30.54,31.58,35046,19185,31.452
CA29250N1050,4730124,ENB,USD,2019-01-03,31.56,31.95,31.21,31.25,44752,20799,31.639
CA29250N1050,4730124,ENB,USD,2019-01-04,32.0,32.67,32.0,32.64,41913,21338,32.481
CA29250N1050,4730124,ENB,USD,2019-01-07,32.95,33.64,32.75,33.0,58870,27309,33.346
CA29250N1050,4730124,ENB,USD,2019-01-08,33.67,34.43,33.67,34.2,54957,26698,34.196
CA29250N1050,4730124,ENB,USD,2019-01-09,34.37,34.77,34.18,34.48,49408,26256,34.514
CA29250N1050,4730124,ENB,USD,2019-01-10,34.48,34.77,34.16,34.7,46870,20130,34.548
CA29250N1050,4730124,ENB,USD,2019-01-11,34.75,34.93,34.26,34.54,31337,15265,34.533
CA29250N1050,4730124,ENB,USD,2019-01-14,34.5,34.87,34.3,34.8,36434,16432,34.719
CA29250N1050,4730124,ENB,USD,2019-01-15,34.92,35.7,34.91,35.59,52084,23887,35.524
CA29250N1050,4730124,ENB,USD,2019-01-16,35.46,35.71,35.33,35.59,33807,18491,35.514
CA29250N1050,4730124,ENB,USD,2019-01-17,35.5,35.87,35.18,35.5,22499,11942,35.578
CA29250N1050,4730124,ENB,USD,2019-01-18,35.82,36.25,35.81,36.25,26682,13099,36.032
CA29250N1050,4730124,ENB,USD,2019-01-22,36.25,36.25,35.51,35.65,49103,18650,35.747
CA29250N1050,4730124,ENB,USD,2019-01-23,35.65,35.91,35.26,35.61,30652,18513,35.509
CA29250N1050,4730124,ENB,USD,2019-01-24,35.51,35.7,35.25,35.6,22715,12819,35.498
CA29250N1050,4730124,ENB,USD,2019-01-25,35.59,36.1,35.59,36.09,24134,11984,35.903
CA29250N1050,4730124,ENB,USD,2019-01-28,36.05,36.1,35.66,36.08,23514,12130,35.931
CA29250N1050,4730124,ENB,USD,2019-01-29,36.1,36.53,36.03,36.45,34194,15494,36.385
CA29250N1050,4730124,ENB,USD,2019-01-30,36.54,36.86,36.29,36.86,26593,12641,36.554
CA29250N1050,4730124,ENB,USD,2019-01-31,36.69,36.9,36.33,36.55,24454,13073,36.66
CA29250N1050,4730124,ENB,USD,2019-02-01,36.62,37.15,36.62,37.1,34377,14794,36.979
CA29250N1050,4730124,ENB,USD,2019-02-04,36.8,37.46,36.61,37.46,27920,13801,37.113
CA29250N1050,4730124,ENB,USD,2019-02-05,37.35,37.69,37.26,37.63,32446,14280,37.499
CA29250N1050,4730124,ENB,USD,2019-02-06,37.7,37.7,37.4,37.63,18013,9146,37.532
CA29250N1050,4730124,ENB,USD,2019-02-07,37.62,37.62,36.46,37.0,26059,13374,36.923
CA29250N1050,4730124,ENB,USD,2019-02-08,37.0,37.0,35.85,36.1,43213,21803,36.087
CA29250N1050,4730124,ENB,USD,2019-02-11,36.05,36.47,35.89,36.3,25057,11664,36.193
CA29250N1050,4730124,ENB,USD,2019-02-12,36.6,36.62,35.61,35.78,50325,23797,35.779
