ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA30322H1001,556951576,FRNT,CAD,2022-04-19,1.76,2.18,1.72,2.1,434638,206,1.816
CA30322H1001,556951576,FRNT,CAD,2022-04-20,2.16,2.34,2.05,2.25,147423,249,2.218
CA30322H1001,556951576,FRNT,CAD,2022-04-21,2.37,2.37,2.05,2.05,38500,61,2.1405
CA30322H1001,556951576,FRNT,CAD,2022-04-22,2.19,2.19,2.05,2.1,35229,82,2.107
CA30322H1001,556951576,FRNT,CAD,2022-04-25,1.98,2.14,1.95,1.95,53300,49,2.035
CA30322H1001,556951576,FRNT,CAD,2022-04-26,1.96,1.96,1.95,1.95,3000,3,1.9515
CA30322H1001,556951576,FRNT,CAD,2022-04-27,1.9,2.1,1.86,1.86,65011,28,1.961
CA30322H1001,556951576,FRNT,CAD,2022-04-28,1.9,1.9,1.8,1.89,26115,15,1.8505
CA30322H1001,556951576,FRNT,CAD,2022-04-29,1.98,1.98,1.8,1.8,24900,23,1.868
CA30322H1001,556951576,FRNT,CAD,2022-05-02,1.76,1.76,1.55,1.55,13500,15,1.6835
CA30322H1001,556951576,FRNT,CAD,2022-05-03,1.55,1.6,1.55,1.6,22400,7,1.5745
CA30322H1001,556951576,FRNT,CAD,2022-05-05,1.85,1.85,1.48,1.48,35103,12,1.5115
CA30322H1001,556951576,FRNT,CAD,2022-05-06,1.48,1.85,1.4,1.4,28612,18,1.518
CA30322H1001,556951576,FRNT,CAD,2022-05-09,1.48,1.48,1.25,1.25,9700,6,1.382
CA30322H1001,556951576,FRNT,CAD,2022-05-10,1.25,1.25,1.25,1.25,1450,3,1.25
CA30322H1001,556951576,FRNT,CAD,2022-05-11,1.25,1.5,1.25,1.5,20900,8,1.4775
CA30322H1001,556951576,FRNT,CAD,2022-05-12,1.5,1.5,1.1,1.2,23410,12,1.2595
CA30322H1001,556951576,FRNT,CAD,2022-05-13,1.35,1.49,1.35,1.45,29100,5,1.4395
CA30322H1001,556951576,FRNT,CAD,2022-05-16,1.45,1.45,1.45,1.45,100,1,1.45
