ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA35905B1076,279084559,FEC,CAD,2019-01-02,12.91,13.08,12.09,12.32,108549,820,12.568
CA35905B1076,279084559,FEC,CAD,2019-01-03,12.32,12.32,11.59,11.66,279074,968,11.7185
CA35905B1076,279084559,FEC,CAD,2019-01-04,11.86,12.23,11.59,12.11,418648,1615,11.996
CA35905B1076,279084559,FEC,CAD,2019-01-07,12.21,12.77,12.07,12.28,196381,659,12.215
CA35905B1076,279084559,FEC,CAD,2019-01-08,12.41,12.99,12.23,12.35,80298,591,12.458
CA35905B1076,279084559,FEC,CAD,2019-01-09,12.44,12.64,12.18,12.43,71574,544,12.4085
CA35905B1076,279084559,FEC,CAD,2019-01-10,12.4,12.56,12.08,12.41,69364,462,12.341
CA35905B1076,279084559,FEC,CAD,2019-01-11,12.39,12.7,12.135,12.46,45470,319,12.52
CA35905B1076,279084559,FEC,CAD,2019-01-14,12.4,12.49,11.97,12.1,147057,283,12.239
CA35905B1076,279084559,FEC,CAD,2019-01-15,12.21,13.17,12.15,12.47,65882,446,12.4615
CA35905B1076,279084559,FEC,CAD,2019-01-16,12.48,12.52,12.1,12.47,64907,442,12.361
CA35905B1076,279084559,FEC,CAD,2019-01-17,12.3,12.77,12.29,12.77,37376,242,12.567
CA35905B1076,279084559,FEC,CAD,2019-01-18,12.78,12.93,12.47,12.61,88378,575,12.669
CA35905B1076,279084559,FEC,CAD,2019-01-21,12.5,12.5,11.87,12.19,187328,167,12.1915
CA35905B1076,279084559,FEC,CAD,2019-01-22,12.25,12.49,11.85,12.04,274523,716,12.0645
CA35905B1076,279084559,FEC,CAD,2019-01-23,11.87,12.15,11.62,11.86,136692,743,11.8685
CA35905B1076,279084559,FEC,CAD,2019-01-24,11.8,12.31,11.7,12.11,83088,602,12.0745
CA35905B1076,279084559,FEC,CAD,2019-01-25,12.22,12.23,11.83,11.99,76433,537,12.041
CA35905B1076,279084559,FEC,CAD,2019-01-28,11.84,12.11,11.33,11.43,42002,279,11.5155
CA35905B1076,279084559,FEC,CAD,2019-01-29,11.46,11.86,11.33,11.47,110296,612,11.5045
CA35905B1076,279084559,FEC,CAD,2019-01-30,11.57,11.76,11.38,11.7,33325,272,11.628
CA35905B1076,279084559,FEC,CAD,2019-01-31,11.65,11.88,11.43,11.8,111198,660,11.7615
CA35905B1076,279084559,FEC,CAD,2019-02-01,11.73,12.08,11.58,11.6,96777,549,11.7525
CA35905B1076,279084559,FEC,CAD,2019-02-04,11.5,11.5,11.1,11.35,57065,370,11.315
CA35905B1076,279084559,FEC,CAD,2019-02-05,11.3,11.51,11.26,11.4,54869,427,11.3925
CA35905B1076,279084559,FEC,CAD,2019-02-06,11.39,11.45,11.09,11.15,72765,411,11.23
CA35905B1076,279084559,FEC,CAD,2019-02-07,11.11,11.21,10.58,10.93,56008,400,10.8545
CA35905B1076,279084559,FEC,CAD,2019-02-08,10.87,11.02,10.62,11.02,46055,348,10.954
CA35905B1076,279084559,FEC,CAD,2019-02-11,10.95,11.13,10.71,11.1,66457,471,10.98
CA35905B1076,279084559,FEC,CAD,2019-02-12,11.26,11.36,11.2,11.29,33832,287,11.2735
CA35905B1076,279084559,FEC,CAD,2019-02-13,11.32,11.66,11.32,11.44,32300,229,11.511
CA35905B1076,279084559,FEC,CAD,2019-02-14,11.42,11.55,10.19,11.1,339524,944,10.7475
CA35905B1076,279084559,FEC,CAD,2019-02-15,11.2,12.06,11.2,11.99,50447,373,11.76
CA35905B1076,279084559,FEC,CAD,2019-02-19,11.94,12.35,11.77,12.26,134529,776,12.202
CA35905B1076,279084559,FEC,CAD,2019-02-20,12.31,12.7,12.31,12.64,70997,573,12.552
CA35905B1076,279084559,FEC,CAD,2019-02-21,12.64,12.88,12.59,12.74,116897,690,12.757
CA35905B1076,279084559,FEC,CAD,2019-02-22,12.93,13.08,12.65,12.79,75575,380,12.88
CA35905B1076,279084559,FEC,CAD,2019-02-25,12.77,13.06,12.68,12.74,53925,372,12.8045
CA35905B1076,279084559,FEC,CAD,2019-02-26,12.67,12.85,12.34,12.35,64098,398,12.4875
CA35905B1076,279084559,FEC,CAD,2019-02-27,12.32,12.79,12.3,12.65,66385,406,12.679
CA35905B1076,279084559,FEC,CAD,2019-02-28,12.63,12.63,12.38,12.54,20785,141,12.4835
CA35905B1076,279084559,FEC,CAD,2019-03-01,12.59,12.85,12.5,12.62,52887,341,12.6965
CA35905B1076,279084559,FEC,CAD,2019-03-04,12.71,12.85,12.65,12.75,107169,551,12.772
CA35905B1076,279084559,FEC,CAD,2019-03-05,12.73,12.98,12.72,12.8,30930,215,12.834
CA35905B1076,279084559,FEC,CAD,2019-03-06,12.79,12.8,12.28,12.34,72071,420,12.512
CA35905B1076,279084559,FEC,CAD,2019-03-07,12.35,12.62,12.06,12.2,52248,420,12.1935
CA35905B1076,279084559,FEC,CAD,2019-03-08,12.01,12.01,11.65,11.9,18547,175,11.824
CA35905B1076,279084559,FEC,CAD,2019-03-11,11.97,12.28,11.9,12.26,22679,211,12.1515
CA35905B1076,279084559,FEC,CAD,2019-03-12,12.33,12.53,12.28,12.44,29839,250,12.4195
CA35905B1076,279084559,FEC,CAD,2019-03-13,11.13,12.82,11.13,12.6,75876,584,12.6605
CA35905B1076,279084559,FEC,CAD,2019-03-14,12.48,12.9,12.34,12.57,53145,455,12.6505
CA35905B1076,279084559,FEC,CAD,2019-03-15,13.21,13.21,11.9,12.98,234112,808,12.7415
CA35905B1076,279084559,FEC,CAD,2019-03-18,12.67,13.15,12.06,12.11,259156,841,12.4915
CA35905B1076,279084559,FEC,CAD,2019-03-19,12.19,12.2,12.0,12.11,75974,307,12.058
CA35905B1076,279084559,FEC,CAD,2019-03-20,12.13,12.25,11.82,12.2,173972,697,12.0565
CA35905B1076,279084559,FEC,CAD,2019-03-21,12.11,12.3,11.84,11.99,37239,259,12.033
CA35905B1076,279084559,FEC,CAD,2019-03-22,11.75,11.96,11.42,11.92,156812,661,11.8085
CA35905B1076,279084559,FEC,CAD,2019-03-25,11.54,11.86,11.54,11.75,95751,529,11.7235
CA35905B1076,279084559,FEC,CAD,2019-03-26,11.82,11.99,11.29,11.77,77590,616,11.6715
CA35905B1076,279084559,FEC,CAD,2019-03-27,11.73,11.81,11.56,11.75,58297,468,11.7075
CA35905B1076,279084559,FEC,CAD,2019-03-28,11.64,11.68,11.32,11.5,62996,400,11.564
CA35905B1076,279084559,FEC,CAD,2019-03-29,11.5,11.59,11.31,11.33,136426,407,11.453
CA35905B1076,279084559,FEC,CAD,2019-04-01,11.27,11.6,11.27,11.54,99918,326,11.4715
CA35905B1076,279084559,FEC,CAD,2019-04-02,11.09,11.43,11.07,11.31,179188,1234,11.277
CA35905B1076,279084559,FEC,CAD,2019-04-03,11.27,11.33,11.06,11.31,320514,1474,11.2635
CA35905B1076,279084559,FEC,CAD,2019-04-04,11.32,11.5,11.07,11.29,115209,455,11.2595
