ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA37254G1090,593850383,GRCM,CAD,2022-10-26,0.25,0.25,0.25,0.25,10000,2,0.25
CA37254G1090,593850383,GRCM,CAD,2022-10-28,0.105,0.105,0.085,0.085,73000,15,0.097
CA37254G1090,593850383,GRCM,CAD,2022-10-31,0.08,0.08,0.075,0.075,26161,5,0.079
CA37254G1090,593850383,GRCM,CAD,2022-11-01,0.065,0.065,0.065,0.065,1000,1,0.065
CA37254G1090,593850383,GRCM,CAD,2022-11-07,0.065,0.07,0.06,0.06,80000,5,0.0625
CA37254G1090,593850383,GRCM,CAD,2022-11-09,0.06,0.06,0.06,0.06,50000,1,0.06
CA37254G1090,593850383,GRCM,CAD,2022-11-11,0.06,0.06,0.06,0.06,1000,1,0.06
CA37254G1090,593850383,GRCM,CAD,2022-11-14,0.08,0.08,0.08,0.08,2000,1,0.08
CA37254G1090,593850383,GRCM,CAD,2022-11-15,0.065,0.065,0.06,0.06,30000,2,0.0635
CA37254G1090,593850383,GRCM,CAD,2022-11-16,0.06,0.08,0.06,0.08,27000,3,0.0635
CA37254G1090,593850383,GRCM,CAD,2022-11-17,0.08,0.08,0.08,0.08,98,1,0.08
CA37254G1090,593850383,GRCM,CAD,2022-11-22,0.08,0.08,0.08,0.08,7000,1,0.08
CA37254G1090,593850383,GRCM,CAD,2022-11-23,0.06,0.06,0.06,0.06,273,1,0.06
CA37254G1090,593850383,GRCM,CAD,2022-11-24,0.06,0.06,0.06,0.06,121,1,0.06
CA37254G1090,593850383,GRCM,CAD,2022-11-30,0.08,0.085,0.08,0.085,30000,3,0.083
CA37254G1090,593850383,GRCM,CAD,2022-12-01,0.09,0.09,0.085,0.09,30000,6,0.089
CA37254G1090,593850383,GRCM,CAD,2022-12-02,0.09,0.09,0.09,0.09,6000,2,0.09
CA37254G1090,593850383,GRCM,CAD,2022-12-05,0.07,0.07,0.07,0.07,3000,1,0.07
CA37254G1090,593850383,GRCM,CAD,2022-12-06,0.07,0.07,0.07,0.07,15000,2,0.07
CA37254G1090,593850383,GRCM,CAD,2022-12-07,0.06,0.09,0.06,0.09,137400,11,0.071
CA37254G1090,593850383,GRCM,CAD,2022-12-14,0.09,0.09,0.09,0.09,10000,2,0.09
CA37254G1090,593850383,GRCM,CAD,2022-12-19,0.085,0.085,0.085,0.085,1000,1,0.085
CA37254G1090,593850383,GRCM,CAD,2022-12-21,0.065,0.065,0.065,0.065,31000,4,0.065
CA37254G1090,593850383,GRCM,CAD,2022-12-22,0.07,0.07,0.07,0.07,5000,1,0.07
CA37254G1090,593850383,GRCM,CAD,2022-12-29,0.08,0.08,0.08,0.08,2000,1,0.08
CA37254G1090,593850383,GRCM,CAD,2023-01-03,0.075,0.075,0.07,0.07,65000,6,0.072
CA37254G1090,593850383,GRCM,CAD,2023-01-05,0.07,0.07,0.07,0.07,10000,1,0.07
