ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA38076F1053,404144417,YGT,CAD,2019-01-02,0.42,0.42,0.38,0.38,65500,20,0.404
CA38076F1053,404144417,YGT,CAD,2019-01-03,0.4,0.445,0.4,0.445,37205,21,0.4245
CA38076F1053,404144417,YGT,CAD,2019-01-04,0.44,0.47,0.43,0.47,52550,16,0.4465
CA38076F1053,404144417,YGT,CAD,2019-01-07,0.44,0.44,0.405,0.41,28130,17,0.421
CA38076F1053,404144417,YGT,CAD,2019-01-08,0.405,0.45,0.405,0.45,210250,91,0.4335
CA38076F1053,404144417,YGT,CAD,2019-01-09,0.48,0.48,0.45,0.46,137070,22,0.452
CA38076F1053,404144417,YGT,CAD,2019-01-10,0.455,0.48,0.45,0.48,100000,23,0.462
CA38076F1053,404144417,YGT,CAD,2019-01-11,0.48,0.48,0.46,0.475,50000,20,0.4675
CA38076F1053,404144417,YGT,CAD,2019-01-14,0.48,0.49,0.435,0.435,225839,43,0.467
CA38076F1053,404144417,YGT,CAD,2019-01-15,0.445,0.45,0.425,0.45,157260,27,0.434
CA38076F1053,404144417,YGT,CAD,2019-01-16,0.45,0.45,0.44,0.44,13700,8,0.445
CA38076F1053,404144417,YGT,CAD,2019-01-17,0.44,0.44,0.425,0.43,79206,25,0.4295
CA38076F1053,404144417,YGT,CAD,2019-01-18,0.43,0.43,0.42,0.42,112986,16,0.4205
CA38076F1053,404144417,YGT,CAD,2019-01-21,0.42,0.5,0.42,0.485,252500,33,0.484
CA38076F1053,404144417,YGT,CAD,2019-01-22,0.455,0.475,0.45,0.45,23000,27,0.4645
CA38076F1053,404144417,YGT,CAD,2019-01-23,0.475,0.475,0.44,0.45,11075,10,0.4705
CA38076F1053,404144417,YGT,CAD,2019-01-24,0.465,0.465,0.44,0.45,30000,8,0.45
CA38076F1053,404144417,YGT,CAD,2019-01-25,0.45,0.46,0.435,0.45,72819,26,0.4465
CA38076F1053,404144417,YGT,CAD,2019-01-28,0.45,0.45,0.425,0.425,41963,21,0.442
CA38076F1053,404144417,YGT,CAD,2019-01-29,0.425,0.425,0.41,0.41,32000,18,0.42
CA38076F1053,404144417,YGT,CAD,2019-01-30,0.41,0.42,0.41,0.42,13500,7,0.418
CA38076F1053,404144417,YGT,CAD,2019-01-31,0.42,0.435,0.405,0.43,53500,12,0.423
CA38076F1053,404144417,YGT,CAD,2019-02-01,0.44,0.44,0.44,0.44,24850,10,0.44
CA38076F1053,404144417,YGT,CAD,2019-02-04,0.445,0.445,0.385,0.42,299767,55,0.4065
CA38076F1053,404144417,YGT,CAD,2019-02-05,0.41,0.42,0.41,0.41,66260,14,0.413
CA38076F1053,404144417,YGT,CAD,2019-02-06,0.415,0.42,0.415,0.42,48500,11,0.418
CA38076F1053,404144417,YGT,CAD,2019-02-07,0.435,0.44,0.435,0.44,28000,8,0.4395
CA38076F1053,404144417,YGT,CAD,2019-02-08,0.44,0.44,0.42,0.43,181200,15,0.438
CA38076F1053,404144417,YGT,CAD,2019-02-11,0.425,0.425,0.41,0.41,78500,10,0.42
CA38076F1053,404144417,YGT,CAD,2019-02-12,0.43,0.43,0.42,0.42,3000,5,0.4235
CA38076F1053,404144417,YGT,CAD,2019-02-13,0.41,0.445,0.41,0.44,63500,25,0.433
CA38076F1053,404144417,YGT,CAD,2019-02-14,0.44,0.465,0.44,0.465,28450,29,0.4435
CA38076F1053,404144417,YGT,CAD,2019-02-15,0.45,0.45,0.44,0.45,138150,17,0.4475
CA38076F1053,404144417,YGT,CAD,2019-02-19,0.455,0.455,0.425,0.425,36900,16,0.436
CA38076F1053,404144417,YGT,CAD,2019-02-20,0.415,0.415,0.4,0.4,84175,21,0.407
CA38076F1053,404144417,YGT,CAD,2019-02-21,0.4,0.4,0.37,0.38,343357,33,0.381
CA38076F1053,404144417,YGT,CAD,2019-02-22,0.385,0.395,0.38,0.395,52630,14,0.3845
CA38076F1053,404144417,YGT,CAD,2019-02-25,0.39,0.39,0.385,0.385,18000,11,0.388
CA38076F1053,404144417,YGT,CAD,2019-02-26,0.39,0.4,0.385,0.385,6500,5,0.391
CA38076F1053,404144417,YGT,CAD,2019-02-27,0.39,0.39,0.38,0.38,88473,22,0.384
CA38076F1053,404144417,YGT,CAD,2019-02-28,0.4,0.4,0.38,0.395,25500,8,0.3875
CA38076F1053,404144417,YGT,CAD,2019-03-01,0.39,0.4,0.39,0.4,14500,5,0.397
CA38076F1053,404144417,YGT,CAD,2019-03-04,0.4,0.4,0.385,0.385,6775,5,0.3855
CA38076F1053,404144417,YGT,CAD,2019-03-05,0.38,0.38,0.38,0.38,39500,22,0.38
CA38076F1053,404144417,YGT,CAD,2019-03-06,0.38,0.38,0.38,0.38,16800,11,0.38
CA38076F1053,404144417,YGT,CAD,2019-03-07,0.38,0.385,0.36,0.36,114300,15,0.3715
CA38076F1053,404144417,YGT,CAD,2019-03-08,0.36,0.38,0.36,0.36,23950,12,0.3675
CA38076F1053,404144417,YGT,CAD,2019-03-11,0.36,0.365,0.35,0.36,62460,20,0.3565
CA38076F1053,404144417,YGT,CAD,2019-03-12,0.36,0.375,0.36,0.375,31500,5,0.3725
CA38076F1053,404144417,YGT,CAD,2019-03-13,0.39,0.4,0.38,0.4,54800,20,0.391
CA38076F1053,404144417,YGT,CAD,2019-03-14,0.38,0.4,0.38,0.4,53000,5,0.3825
CA38076F1053,404144417,YGT,CAD,2019-03-15,0.38,0.38,0.38,0.38,22000,2,0.38
CA38076F1053,404144417,YGT,CAD,2019-03-18,0.37,0.38,0.36,0.36,87200,28,0.3645
CA38076F1053,404144417,YGT,CAD,2019-03-19,0.36,0.37,0.36,0.36,21000,6,0.362
CA38076F1053,404144417,YGT,CAD,2019-03-20,0.37,0.37,0.36,0.36,18000,12,0.3655
CA38076F1053,404144417,YGT,CAD,2019-03-21,0.365,0.365,0.365,0.365,22700,9,0.365
CA38076F1053,404144417,YGT,CAD,2019-03-22,0.37,0.38,0.36,0.38,24900,9,0.369
CA38076F1053,404144417,YGT,CAD,2019-03-25,0.38,0.385,0.37,0.37,80300,19,0.3785
CA38076F1053,404144417,YGT,CAD,2019-03-26,0.37,0.37,0.36,0.37,113365,47,0.3655
CA38076F1053,404144417,YGT,CAD,2019-03-27,0.37,0.37,0.355,0.36,47413,13,0.36
CA38076F1053,404144417,YGT,CAD,2019-03-28,0.355,0.37,0.355,0.37,52500,9,0.3655
CA38076F1053,404144417,YGT,CAD,2019-03-29,0.37,0.385,0.355,0.355,118500,14,0.369
CA38076F1053,404144417,YGT,CAD,2019-04-01,0.365,0.38,0.365,0.38,4000,2,0.369
CA38076F1053,404144417,YGT,CAD,2019-04-02,0.36,0.36,0.36,0.36,1000,1,0.36
CA38076F1053,404144417,YGT,CAD,2019-04-03,0.365,0.365,0.355,0.36,18600,9,0.36
CA38076F1053,404144417,YGT,CAD,2019-04-04,0.36,0.36,0.36,0.36,500,1,0.36
CA38076F1053,404144417,YGT,CAD,2019-04-05,0.37,0.385,0.36,0.37,61100,15,0.376
CA38076F1053,404144417,YGT,CAD,2019-04-08,0.37,0.37,0.36,0.365,33000,7,0.3625
CA38076F1053,404144417,YGT,CAD,2019-04-09,0.355,0.36,0.355,0.36,53626,14,0.356
CA38076F1053,404144417,YGT,CAD,2019-04-10,0.365,0.37,0.355,0.355,54500,11,0.366
CA38076F1053,404144417,YGT,CAD,2019-04-11,0.37,0.37,0.37,0.37,1000,1,0.37
CA38076F1053,404144417,YGT,CAD,2019-04-12,0.355,0.365,0.355,0.365,34100,9,0.355
CA38076F1053,404144417,YGT,CAD,2019-04-15,0.35,0.37,0.35,0.37,38000,28,0.3585
CA38076F1053,404144417,YGT,CAD,2019-04-16,0.37,0.38,0.36,0.365,89512,31,0.367
