ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA47009M8896,441986547,JAGGF,USD,2020-08-28,6.19,6.5,6.0,6.3,440,116,6.24337
CA47009M8896,441986547,JAGGF,USD,2020-08-31,6.5127,7.05,6.3816,6.5038,949,225,6.49895
CA47009M8896,441986547,JAGGF,USD,2020-09-01,6.65,6.8038,6.2284,6.3,486,138,6.42556
CA47009M8896,441986547,JAGGF,USD,2020-09-02,6.3335,6.56,6.12,6.4575,696,155,6.32686
CA47009M8896,441986547,JAGGF,USD,2020-09-03,6.4911,6.57,6.1,6.188,735,174,6.29521
CA47009M8896,441986547,JAGGF,USD,2020-09-04,6.8,6.8,5.8875,6.1448,454,151,6.06769
CA47009M8896,441986547,JAGGF,USD,2020-09-08,6.075,6.14,5.7106,5.81,516,182,5.87039
CA47009M8896,441986547,JAGGF,USD,2020-09-09,5.9514,6.0169,5.8135,5.88,478,125,5.90976
CA47009M8896,441986547,JAGGF,USD,2020-09-10,5.9067,6.0048,5.78,5.78,500,129,5.90987
CA47009M8896,441986547,JAGGF,USD,2020-09-11,5.8296,5.9,5.38,5.77,744,128,5.67154
CA47009M8896,441986547,JAGGF,USD,2020-09-14,5.7853,6.14,5.6092,5.6904,609,104,5.75848
CA47009M8896,441986547,JAGGF,USD,2020-09-15,5.9037,6.0,5.75,5.9,154,52,5.92308
CA47009M8896,441986547,JAGGF,USD,2020-09-16,6.2,6.2,5.874,5.9241,261,95,5.96031
CA47009M8896,441986547,JAGGF,USD,2020-09-17,5.9,5.9018,5.67,5.9,389,78,5.84063
CA47009M8896,441986547,JAGGF,USD,2020-09-18,5.8728,5.9207,5.83,5.92,618,130,5.88663
CA47009M8896,441986547,JAGGF,USD,2020-09-21,5.8032,5.9,5.3001,5.4722,518,168,5.5587
CA47009M8896,441986547,JAGGF,USD,2020-09-22,5.5154,5.7615,5.4891,5.6,496,72,5.64868
CA47009M8896,441986547,JAGGF,USD,2020-09-23,5.4819,5.515,4.9325,5.0435,1231,293,5.18465
CA47009M8896,441986547,JAGGF,USD,2020-09-24,4.95,5.41,4.72,5.41,697,139,4.99852
CA47009M8896,441986547,JAGGF,USD,2020-09-25,5.74,6.0,5.27,5.44,325,97,5.4891
CA47009M8896,441986547,JAGGF,USD,2020-09-28,6.15,6.15,5.3,5.4,463,120,5.41848
CA47009M8896,441986547,JAGGF,USD,2020-09-29,5.5031,5.72,5.3,5.72,709,141,5.5627
CA47009M8896,441986547,JAGGF,USD,2020-09-30,5.7446,5.7446,5.35,5.4691,520,91,5.53866
CA47009M8896,441986547,JAGGF,USD,2020-10-01,5.6587,5.6587,5.35,5.65,221,72,5.56183
CA47009M8896,441986547,JAGGF,USD,2020-10-02,5.6805,5.6805,5.27,5.37,606,134,5.42361
CA47009M8896,441986547,JAGGF,USD,2020-10-05,5.4705,5.81,5.3876,5.5803,221,82,5.5235
CA47009M8896,441986547,JAGGF,USD,2020-10-06,5.6,5.7946,5.25,5.7043,442,89,5.66171
CA47009M8896,441986547,JAGGF,USD,2020-10-07,5.6731,6.0895,5.6,5.8515,390,123,5.87595
CA47009M8896,441986547,JAGGF,USD,2020-10-08,6.0148,6.1102,5.92,5.9699,189,72,5.99086
CA47009M8896,441986547,JAGGF,USD,2020-10-09,6.0868,6.2539,6.0647,6.2199,495,126,6.159
CA47009M8896,441986547,JAGGF,USD,2020-10-12,6.32,6.65,6.21,6.47,303,73,6.42989
CA47009M8896,441986547,JAGGF,USD,2020-10-13,6.0,6.435,6.0,6.17,284,85,6.15873
CA47009M8896,441986547,JAGGF,USD,2020-10-14,6.2285,6.31,5.58,6.15,372,111,6.12857
CA47009M8896,441986547,JAGGF,USD,2020-10-15,6.0648,6.08,5.85,5.9846,448,140,6.00277
CA47009M8896,441986547,JAGGF,USD,2020-10-16,6.575,6.575,5.8102,5.8235,238,63,5.90807
CA47009M8896,441986547,JAGGF,USD,2020-10-19,6.31,6.5,5.8698,5.8698,405,88,6.10356
CA47009M8896,441986547,JAGGF,USD,2020-10-20,5.912,6.0725,5.8,5.9,248,60,5.97868
CA47009M8896,441986547,JAGGF,USD,2020-10-21,6.0124,6.25,5.915,5.92,207,43,5.99894
CA47009M8896,441986547,JAGGF,USD,2020-10-22,6.04,6.04,5.9078,5.94,74,38,5.97035
CA47009M8896,441986547,JAGGF,USD,2020-10-23,6.13,6.1786,5.9835,6.05,98,31,6.04865
CA47009M8896,441986547,JAGGF,USD,2020-10-26,6.05,6.06,5.9,5.9594,215,87,5.96829
CA47009M8896,441986547,JAGGF,USD,2020-10-27,5.95,6.0542,5.94,5.9673,368,84,5.99538
CA47009M8896,441986547,JAGGF,USD,2020-10-28,5.96,5.96,5.25,5.25,758,241,5.34133
CA47009M8896,441986547,JAGGF,USD,2020-10-29,5.216,5.67,5.065,5.4112,238,73,5.35595
CA47009M8896,441986547,JAGGF,USD,2020-10-30,5.47,5.5062,5.2882,5.47,191,65,5.40613
CA47009M8896,441986547,JAGGF,USD,2020-11-02,5.4735,5.5681,5.3566,5.5605,418,73,5.47893
CA47009M8896,441986547,JAGGF,USD,2020-11-03,5.5864,5.9,5.5864,5.8216,164,45,5.81532
CA47009M8896,441986547,JAGGF,USD,2020-11-04,5.9041,6.0454,5.55,5.9608,430,71,5.93625
CA47009M8896,441986547,JAGGF,USD,2020-11-05,6.0548,6.222,6.0039,6.13,645,221,6.13386
CA47009M8896,441986547,JAGGF,USD,2020-11-06,6.2182,6.22,6.0386,6.0995,402,141,6.1098
CA47009M8896,441986547,JAGGF,USD,2020-11-09,5.978,6.1755,5.82,5.9453,751,213,5.94206
CA47009M8896,441986547,JAGGF,USD,2020-11-10,6.0273,6.1169,5.6,5.6927,412,118,5.77636
CA47009M8896,441986547,JAGGF,USD,2020-11-11,6.0,6.0,5.5,5.9,156,73,5.80852
CA47009M8896,441986547,JAGGF,USD,2020-11-12,6.0,6.0361,5.846,5.846,199,73,5.93574
CA47009M8896,441986547,JAGGF,USD,2020-11-13,5.9027,5.9027,5.6428,5.69,153,57,5.783
CA47009M8896,441986547,JAGGF,USD,2020-11-16,5.8718,5.945,5.5121,5.5456,269,63,5.7596
CA47009M8896,441986547,JAGGF,USD,2020-11-17,5.514,5.5495,5.1,5.3085,347,128,5.36818
CA47009M8896,441986547,JAGGF,USD,2020-11-18,4.6,5.3142,4.6,5.08,478,154,5.12084
CA47009M8896,441986547,JAGGF,USD,2020-11-19,5.0,5.15,4.88,5.05,605,167,5.01649
CA47009M8896,441986547,JAGGF,USD,2020-11-20,5.05,5.1,4.88,4.88,846,242,4.96715
CA47009M8896,441986547,JAGGF,USD,2020-11-23,4.9092,5.01,4.63,4.7757,897,224,4.78638
CA47009M8896,441986547,JAGGF,USD,2020-11-24,4.599,4.77,4.48,4.68,740,183,4.61181
CA47009M8896,441986547,JAGGF,USD,2020-11-25,4.7,5.19,4.395,5.19,343,109,4.7733
CA47009M8896,441986547,JAGGF,USD,2020-11-27,5.032,5.3182,4.95,5.3166,709,164,5.12324
CA47009M8896,441986547,JAGGF,USD,2020-11-30,5.5,5.5,4.97,5.25,601,160,5.20492
CA47009M8896,441986547,JAGGF,USD,2020-12-01,5.5665,5.5665,4.88,5.43,310,109,5.32633
CA47009M8896,441986547,JAGGF,USD,2020-12-02,5.4581,5.6881,5.2,5.6,411,101,5.54263
CA47009M8896,441986547,JAGGF,USD,2020-12-03,5.6219,5.7,5.5103,5.6368,130,62,5.63274
CA47009M8896,441986547,JAGGF,USD,2020-12-04,5.641,6.122,5.6073,5.93,641,221,5.96069
CA47009M8896,441986547,JAGGF,USD,2020-12-07,5.912,6.1868,5.912,6.0652,459,181,6.05713
CA47009M8896,441986547,JAGGF,USD,2020-12-08,6.051,6.1058,5.88,5.9778,576,119,6.01744
CA47009M8896,441986547,JAGGF,USD,2020-12-09,5.9537,6.0609,5.7721,5.97,359,109,5.91135
CA47009M8896,441986547,JAGGF,USD,2020-12-10,5.94,6.09,5.8,5.9,960,155,5.91868
CA47009M8896,441986547,JAGGF,USD,2020-12-11,5.9706,6.0769,5.85,5.96,527,76,5.95382
CA47009M8896,441986547,JAGGF,USD,2020-12-14,6.08,6.1181,5.65,5.6907,160,73,5.90189
CA47009M8896,441986547,JAGGF,USD,2020-12-15,5.7021,5.841,5.5912,5.8142,439,117,5.74005
CA47009M8896,441986547,JAGGF,USD,2020-12-16,5.9,5.9,5.6884,5.73,367,101,5.73503
CA47009M8896,441986547,JAGGF,USD,2020-12-17,5.818,6.1,5.818,5.93,341,95,5.97293
CA47009M8896,441986547,JAGGF,USD,2020-12-18,6.0003,6.1,5.75,5.8,268,91,5.90758
CA47009M8896,441986547,JAGGF,USD,2020-12-21,5.7653,5.9333,5.62,5.69,289,104,5.78707
CA47009M8896,441986547,JAGGF,USD,2020-12-22,5.7998,5.7998,5.51,5.559,356,112,5.63901
CA47009M8896,441986547,JAGGF,USD,2020-12-23,5.6455,5.75,5.5938,5.73,189,93,5.68538
CA47009M8896,441986547,JAGGF,USD,2020-12-24,5.7766,6.0,5.5,6.0,287,119,5.88176
CA47009M8896,441986547,JAGGF,USD,2020-12-28,5.99,6.25,5.74,5.96,251,41,5.98431
CA47009M8896,441986547,JAGGF,USD,2020-12-29,5.9899,6.49,5.96,6.18,605,169,6.11504
CA47009M8896,441986547,JAGGF,USD,2020-12-30,6.18,6.4521,6.18,6.33,460,168,6.31268
CA47009M8896,441986547,JAGGF,USD,2020-12-31,6.3792,7.0,6.363,6.54,467,175,6.62313
