ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA61238K3091,604735768,MY,CAD,2021-07-27,0.3,0.3,0.3,0.3,1000,2,0.3
CA61238K3091,604735768,MY,CAD,2021-08-26,0.25,0.25,0.25,0.25,20400,7,0.25
CA61238K3091,604735768,MY,CAD,2021-08-27,0.35,0.35,0.2,0.2,1500,2,0.23
CA61238K3091,604735768,MY,CAD,2021-09-07,0.2,0.2,0.2,0.2,5700,4,0.2
CA61238K3091,604735768,MY,CAD,2021-09-08,0.2,0.2,0.2,0.2,100,1,0.2
CA61238K3091,604735768,MY,CAD,2021-09-16,0.2,0.2,0.2,0.2,1244,2,0.2
CA61238K3091,604735768,MY,CAD,2021-09-22,0.2,0.2,0.2,0.2,1300,1,0.2
CA61238K3091,604735768,MY,CAD,2021-09-27,0.2,0.2,0.2,0.2,3000,1,0.2
CA61238K3091,604735768,MY,CAD,2021-10-18,0.2,0.2,0.2,0.2,100,1,0.2
CA61238K3091,604735768,MY,CAD,2021-10-20,0.2,0.2,0.2,0.2,200,1,0.2
CA61238K3091,604735768,MY,CAD,2021-10-27,0.2,0.2,0.2,0.2,2500,2,0.2
CA61238K3091,604735768,MY,CAD,2021-11-01,0.2,0.2,0.2,0.2,500,1,0.2
CA61238K3091,604735768,MY,CAD,2021-11-04,0.2,0.2,0.2,0.2,2000,1,0.2
CA61238K3091,604735768,MY,CAD,2021-11-09,0.2,0.2,0.2,0.2,300,1,0.2
CA61238K3091,604735768,MY,CAD,2021-11-15,0.15,0.15,0.15,0.15,1100,1,0.15
CA61238K3091,604735768,MY,CAD,2021-11-16,0.15,0.15,0.15,0.15,500,1,0.15
CA61238K3091,604735768,MY,CAD,2021-12-03,0.15,0.15,0.15,0.15,200,1,0.15
CA61238K3091,604735768,MY,CAD,2021-12-07,0.15,0.15,0.15,0.15,1500,1,0.15
CA61238K3091,604735768,MY,CAD,2021-12-20,0.15,0.15,0.15,0.15,200,1,0.15
CA61238K3091,604735768,MY,CAD,2021-12-22,0.15,0.15,0.15,0.15,500,2,0.15
CA61238K3091,604735768,MY,CAD,2021-12-24,0.15,0.15,0.15,0.15,0,0,0.15
CA61238K3091,604735768,MY,CAD,2021-12-29,0.2,0.45,0.2,0.4,23000,7,0.28
CA61238K3091,604735768,MY,CAD,2021-12-30,0.4,0.4,0.25,0.4,1010,4,0.385
CA61238K3091,604735768,MY,CAD,2021-12-31,0.4,0.4,0.4,0.4,100,1,0.4
CA61238K3091,604735768,MY,CAD,2022-01-06,0.4,0.4,0.4,0.4,9600,4,0.4
CA61238K3091,604735768,MY,CAD,2022-02-02,0.2,0.2,0.2,0.2,100,1,0.2
CA61238K3091,604735768,MY,CAD,2022-02-07,0.2,0.2,0.2,0.2,1400,2,0.2
