ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA65344W1077,460646560,NEXE,CAD,2020-06-12,0.375,0.375,0.375,0.375,8000,1,0.375
CA65344W1077,460646560,NEXE,CAD,2020-06-23,0.375,0.375,0.375,0.375,8000,2,0.375
CA65344W1077,460646560,NEXE,CAD,2020-07-02,0.375,0.375,0.375,0.375,32,1,0.375
CA65344W1077,460646560,NEXE,CAD,2020-07-09,0.375,0.375,0.375,0.375,1080,2,0.375
CA65344W1077,460646560,NEXE,CAD,2020-07-28,0.4,0.4,0.4,0.4,10000,2,0.4
CA65344W1077,460646560,NEXE,CAD,2020-12-18,1.51,1.8,1.21,1.55,2346523,917,1.4645
CA65344W1077,460646560,NEXE,CAD,2020-12-21,1.57,1.6,1.37,1.55,864238,748,1.4755
CA65344W1077,460646560,NEXE,CAD,2020-12-22,1.59,2.09,1.56,1.92,1099694,1428,1.7875
CA65344W1077,460646560,NEXE,CAD,2020-12-23,1.95,1.98,1.79,1.82,719394,937,1.8785
CA65344W1077,460646560,NEXE,CAD,2020-12-24,1.85,1.95,1.82,1.92,344572,500,1.872
CA65344W1077,460646560,NEXE,CAD,2020-12-29,2.05,2.2,1.91,2.08,1289361,1432,2.058
CA65344W1077,460646560,NEXE,CAD,2020-12-30,2.19,2.19,2.0,2.01,644612,912,2.089
CA65344W1077,460646560,NEXE,CAD,2020-12-31,2.02,2.14,1.99,2.06,329124,521,2.061
CA65344W1077,460646560,NEXE,CAD,2021-01-04,2.2,2.23,2.0,2.05,503824,822,2.087
CA65344W1077,460646560,NEXE,CAD,2021-01-05,2.02,2.03,1.84,1.97,565480,644,1.9255
CA65344W1077,460646560,NEXE,CAD,2021-01-06,1.92,1.94,1.82,1.9,540300,632,1.8665
CA65344W1077,460646560,NEXE,CAD,2021-01-07,1.91,1.93,1.86,1.87,370199,356,1.89
CA65344W1077,460646560,NEXE,CAD,2021-01-08,1.9,1.94,1.85,1.89,367589,612,1.897
CA65344W1077,460646560,NEXE,CAD,2021-01-11,1.92,1.92,1.86,1.86,283057,577,1.893
CA65344W1077,460646560,NEXE,CAD,2021-01-12,1.95,2.09,1.92,2.05,1071541,1052,2.005
CA65344W1077,460646560,NEXE,CAD,2021-01-13,2.1,2.14,2.0,2.1,544444,855,2.082
CA65344W1077,460646560,NEXE,CAD,2021-01-14,2.18,2.72,2.18,2.7,1395459,2210,2.3975
CA65344W1077,460646560,NEXE,CAD,2021-01-15,3.0,3.05,2.62,2.82,1504192,2953,2.8155
CA65344W1077,460646560,NEXE,CAD,2021-01-18,3.0,3.2,2.87,3.2,1213983,2037,3.0155
CA65344W1077,460646560,NEXE,CAD,2021-01-19,3.4,3.97,3.36,3.96,1722569,3476,3.6705
CA65344W1077,460646560,NEXE,CAD,2021-01-20,4.25,4.59,3.63,3.95,3335531,7082,4.0825
CA65344W1077,460646560,NEXE,CAD,2021-01-21,4.0,4.0,3.53,3.95,1320123,3868,3.7855
CA65344W1077,460646560,NEXE,CAD,2021-01-22,4.0,4.05,3.88,3.99,1041258,2128,3.9695
CA65344W1077,460646560,NEXE,CAD,2021-01-25,3.85,4.08,3.53,3.67,954660,2439,3.792
CA65344W1077,460646560,NEXE,CAD,2021-01-26,3.72,3.72,3.21,3.47,1172755,2464,3.3805
CA65344W1077,460646560,NEXE,CAD,2021-01-27,3.5,3.5,3.23,3.3,534441,1607,3.3445
CA65344W1077,460646560,NEXE,CAD,2021-01-28,3.16,3.3,2.68,3.23,1124402,2586,2.9655
CA65344W1077,460646560,NEXE,CAD,2021-01-29,3.29,3.3,2.92,2.97,636651,1735,3.0615
CA65344W1077,460646560,NEXE,CAD,2021-02-01,3.15,3.15,2.93,3.02,552618,1124,3.05
CA65344W1077,460646560,NEXE,CAD,2021-02-02,3.21,3.25,2.98,2.98,735028,1365,3.0795
CA65344W1077,460646560,NEXE,CAD,2021-02-03,3.0,3.09,2.97,3.06,388070,1159,3.018
CA65344W1077,460646560,NEXE,CAD,2021-02-04,3.03,3.24,3.03,3.17,543543,1405,3.1595
CA65344W1077,460646560,NEXE,CAD,2021-02-05,3.23,3.63,3.2,3.63,828754,2180,3.4155
CA65344W1077,460646560,NEXE,CAD,2021-02-08,3.65,3.99,3.65,3.94,1030455,2718,3.9225
CA65344W1077,460646560,NEXE,CAD,2021-02-09,3.98,3.98,3.7,3.9,810593,2111,3.855
CA65344W1077,460646560,NEXE,CAD,2021-02-10,4.02,4.38,4.02,4.34,1244345,1895,4.1665
