ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA75889D2086,809534400,RSMX,CAD,2022-04-29,0.48,0.48,0.3,0.33,114900,38,0.359
CA75889D2086,809534400,RSMX,CAD,2022-05-02,0.34,0.34,0.28,0.3,87500,27,0.302
CA75889D2086,809534400,RSMX,CAD,2022-05-03,0.3,0.34,0.29,0.34,313250,26,0.303
CA75889D2086,809534400,RSMX,CAD,2022-05-04,0.34,0.34,0.3,0.3,95250,11,0.31
CA75889D2086,809534400,RSMX,CAD,2022-05-05,0.28,0.29,0.25,0.25,267250,14,0.273
CA75889D2086,809534400,RSMX,CAD,2022-05-06,0.26,0.3,0.22,0.27,317500,51,0.256
CA75889D2086,809534400,RSMX,CAD,2022-05-09,0.23,0.28,0.22,0.28,82500,13,0.254
CA75889D2086,809534400,RSMX,CAD,2022-05-10,0.28,0.28,0.26,0.26,230750,19,0.272
CA75889D2086,809534400,RSMX,CAD,2022-05-11,0.26,0.26,0.26,0.26,38500,12,0.26
CA75889D2086,809534400,RSMX,CAD,2022-05-12,0.25,0.26,0.22,0.24,165500,16,0.238
CA75889D2086,809534400,RSMX,CAD,2022-05-13,0.24,0.24,0.24,0.24,32500,4,0.24
CA75889D2086,809534400,RSMX,CAD,2022-05-16,0.27,0.27,0.27,0.27,5000,1,0.27
CA75889D2086,809534400,RSMX,CAD,2022-05-17,0.24,0.28,0.24,0.24,21500,7,0.25
CA75889D2086,809534400,RSMX,CAD,2022-05-18,0.24,0.24,0.2,0.21,144500,20,0.223
CA75889D2086,809534400,RSMX,CAD,2022-05-19,0.2,0.22,0.2,0.22,7500,3,0.207
CA75889D2086,809534400,RSMX,CAD,2022-05-20,0.22,0.22,0.22,0.22,103000,2,0.22
CA75889D2086,809534400,RSMX,CAD,2022-05-24,0.2,0.2,0.19,0.19,83125,8,0.197
CA75889D2086,809534400,RSMX,CAD,2022-05-25,0.19,0.19,0.18,0.18,128500,7,0.188
CA75889D2086,809534400,RSMX,CAD,2022-05-26,0.19,0.19,0.18,0.18,29000,4,0.182
CA75889D2086,809534400,RSMX,CAD,2022-05-27,0.19,0.19,0.19,0.19,17500,4,0.19
CA75889D2086,809534400,RSMX,CAD,2022-05-30,0.2,0.21,0.2,0.21,13500,6,0.207
CA75889D2086,809534400,RSMX,CAD,2022-05-31,0.2,0.2,0.2,0.2,33000,5,0.2
CA75889D2086,809534400,RSMX,CAD,2022-06-02,0.2,0.2,0.19,0.19,15000,3,0.196
CA75889D2086,809534400,RSMX,CAD,2022-06-03,0.21,0.21,0.21,0.21,2500,2,0.21
CA75889D2086,809534400,RSMX,CAD,2022-06-06,0.2,0.21,0.2,0.21,13250,2,0.202
CA75889D2086,809534400,RSMX,CAD,2022-06-07,0.2,0.2,0.19,0.19,15000,4,0.193
CA75889D2086,809534400,RSMX,CAD,2022-06-08,0.2,0.2,0.2,0.2,4002,2,0.2
CA75889D2086,809534400,RSMX,CAD,2022-06-09,0.2,0.2,0.18,0.18,205750,11,0.187
CA75889D2086,809534400,RSMX,CAD,2022-06-10,0.18,0.18,0.18,0.18,4500,2,0.18
