ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA85525T2020,215125951,SHVLF,USD,2019-10-25,0.1895,0.1895,0.1895,0.1895,0,0,0.1895084
CA85525T2020,215125951,SHVLF,USD,2019-10-28,0.1895,0.1895,0.1895,0.1895,0,0,0.1895084
CA85525T2020,215125951,SHVLF,USD,2019-10-29,0.1895,0.1895,0.1895,0.1895,0,0,0.1895084
CA85525T2020,215125951,SHVLF,USD,2019-10-30,0.1895,0.1895,0.1895,0.1895,0,0,0.1895084
CA85525T2020,215125951,SHVLF,USD,2019-10-31,0.1895,0.1895,0.1895,0.1895,0,0,0.1895084
CA85525T2020,215125951,SHVLF,USD,2019-11-01,0.1895,0.1895,0.1895,0.1895,0,0,0.1895084
CA85525T2020,215125951,SHVLF,USD,2019-11-04,0.1895,0.1895,0.1895,0.1895,0,0,0.1895084
CA85525T2020,215125951,SHVLF,USD,2019-11-05,0.1895,0.1895,0.1895,0.1895,0,0,0.1895084
CA85525T2020,215125951,SHVLF,USD,2019-11-06,0.1895,0.1895,0.1895,0.1895,0,0,0.1895084
CA85525T2020,215125951,SHVLF,USD,2019-11-07,0.1895,0.1895,0.1895,0.1895,0,0,0.1895084
CA85525T2020,215125951,SHVLF,USD,2019-11-08,0.0445,0.0445,0.0445,0.0445,242,4,0.044532
CA85525T2020,215125951,SHVLF,USD,2019-11-11,0.041,0.041,0.041,0.041,550,1,0.04096944
CA85525T2020,215125951,SHVLF,USD,2019-11-12,0.0424,0.0424,0.0424,0.0424,30,2,0.04235488
CA85525T2020,215125951,SHVLF,USD,2019-11-13,0.0424,0.0424,0.0424,0.0424,0,0,0.04235488
CA85525T2020,215125951,SHVLF,USD,2019-11-14,0.2426,0.2426,0.043,0.043,13,3,0.05841609
CA85525T2020,215125951,SHVLF,USD,2019-11-15,0.0109,0.0109,0.0109,0.0109,31,1,0.0108856
CA85525T2020,215125951,SHVLF,USD,2019-11-18,0.0149,0.0149,0.0003,0.0003,80,3,0.00477977
CA85525T2020,215125951,SHVLF,USD,2019-11-19,0.0003,0.0003,0.0003,0.0003,0,0,0.00029688
CA85525T2020,215125951,SHVLF,USD,2019-11-20,0.0003,0.0003,0.0003,0.0003,0,0,0.00029688
CA85525T2020,215125951,SHVLF,USD,2019-11-21,0.0447,0.0447,0.0447,0.0447,0,0,0.04472992
CA85525T2020,215125951,SHVLF,USD,2019-11-22,0.0447,0.0447,0.0447,0.0447,0,0,0.04472992
CA85525T2020,215125951,SHVLF,USD,2019-11-25,0.0447,0.0447,0.0447,0.0447,0,0,0.04472992
CA85525T2020,215125951,SHVLF,USD,2019-11-26,0.0522,0.0522,0.0522,0.0522,20,2,0.05215192
CA85525T2020,215125951,SHVLF,USD,2019-11-27,0.0522,0.0522,0.0522,0.0522,0,0,0.05215192
CA85525T2020,215125951,SHVLF,USD,2019-11-29,0.0522,0.0522,0.0522,0.0522,0,0,0.05215192
CA85525T2020,215125951,SHVLF,USD,2019-12-02,0.0523,0.0523,0.0523,0.0523,7,1,0.05234984
CA85525T2020,215125951,SHVLF,USD,2019-12-03,0.0523,0.0523,0.0523,0.0523,0,0,0.05234984
CA85525T2020,215125951,SHVLF,USD,2019-12-04,0.0523,0.0523,0.0523,0.0523,0,0,0.05234984
CA85525T2020,215125951,SHVLF,USD,2019-12-05,0.0525,0.0525,0.0525,0.0525,35,2,0.05254776
CA85525T2020,215125951,SHVLF,USD,2019-12-06,0.0525,0.0525,0.0525,0.0525,0,0,0.05254776
CA85525T2020,215125951,SHVLF,USD,2019-12-09,0.0525,0.0525,0.0525,0.0525,0,0,0.05254776
CA85525T2020,215125951,SHVLF,USD,2019-12-10,0.0525,0.0525,0.0525,0.0525,0,0,0.05254776
CA85525T2020,215125951,SHVLF,USD,2019-12-11,0.0525,0.0525,0.0525,0.0525,0,0,0.05254776
CA85525T2020,215125951,SHVLF,USD,2019-12-12,0.0525,0.0525,0.0525,0.0525,0,0,0.05254776
CA85525T2020,215125951,SHVLF,USD,2019-12-13,0.0537,0.0537,0.0495,0.0523,697,6,0.04977688
CA85525T2020,215125951,SHVLF,USD,2019-12-16,0.0523,0.0523,0.0523,0.0523,0,0,0.05234984
CA85525T2020,215125951,SHVLF,USD,2019-12-17,0.0021,0.0021,0.0021,0.0021,73,1,0.00207816
CA85525T2020,215125951,SHVLF,USD,2019-12-18,0.0021,0.0021,0.0021,0.0021,0,0,0.00207816
CA85525T2020,215125951,SHVLF,USD,2019-12-19,0.0564,0.0584,0.051,0.0515,214,9,0.05500197
CA85525T2020,215125951,SHVLF,USD,2019-12-20,0.0515,0.0515,0.0515,0.0515,0,0,0.0514592
CA85525T2020,215125951,SHVLF,USD,2019-12-23,0.0524,0.0544,0.0524,0.0544,47,3,0.05431914
CA85525T2020,215125951,SHVLF,USD,2019-12-24,0.0544,0.0544,0.0544,0.0544,0,0,0.054428
CA85525T2020,215125951,SHVLF,USD,2019-12-26,0.0544,0.0544,0.0544,0.0544,0,0,0.054428
CA85525T2020,215125951,SHVLF,USD,2019-12-27,0.0623,0.0661,0.0623,0.0661,126,2,0.06249324
CA85525T2020,215125951,SHVLF,USD,2019-12-30,0.0632,0.0683,0.0619,0.0619,65,6,0.06420525
CA85525T2020,215125951,SHVLF,USD,2019-12-31,0.0647,0.0647,0.0609,0.0609,159,3,0.06101874
CA85525T2020,215125951,SHVLF,USD,2020-01-02,0.0609,0.0609,0.0609,0.0609,0,0,0.0608604
CA85525T2020,215125951,SHVLF,USD,2020-01-03,0.0743,0.0743,0.0686,0.0686,27,4,0.06900481
CA85525T2020,215125951,SHVLF,USD,2020-01-06,0.0686,0.0686,0.0686,0.0686,0,0,0.06857928
CA85525T2020,215125951,SHVLF,USD,2020-01-07,0.0627,0.0627,0.0627,0.0627,10,1,0.06274064
CA85525T2020,215125951,SHVLF,USD,2020-01-08,0.0608,0.0627,0.0608,0.0627,15,2,0.06207761
CA85525T2020,215125951,SHVLF,USD,2020-01-09,0.0627,0.0627,0.0627,0.0627,0,0,0.06274064
CA85525T2020,215125951,SHVLF,USD,2020-01-10,0.0627,0.0627,0.0627,0.0627,0,0,0.06274064
CA85525T2020,215125951,SHVLF,USD,2020-01-13,0.0645,0.0645,0.0594,0.0594,14,2,0.06305731
