ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA86330Y5011,561639365,SRA,CAD,2019-01-02,0.3,0.3,0.3,0.3,9000,9,0.3
CA86330Y5011,561639365,SRA,CAD,2019-01-03,0.3,0.4,0.3,0.35,10745,11,0.335
CA86330Y5011,561639365,SRA,CAD,2019-01-07,0.3,0.3,0.3,0.3,1000,1,0.3
CA86330Y5011,561639365,SRA,CAD,2019-01-11,0.3,0.35,0.3,0.35,6300,3,0.32
CA86330Y5011,561639365,SRA,CAD,2019-01-14,0.35,0.4,0.35,0.4,2200,4,0.375
CA86330Y5011,561639365,SRA,CAD,2019-01-15,0.4,0.4,0.4,0.4,500,3,0.4
CA86330Y5011,561639365,SRA,CAD,2019-01-16,0.4,0.4,0.4,0.4,900,1,0.4
CA86330Y5011,561639365,SRA,CAD,2019-01-17,0.4,0.4,0.4,0.4,3500,2,0.4
CA86330Y5011,561639365,SRA,CAD,2019-01-21,0.4,0.4,0.4,0.4,1200,1,0.4
CA86330Y5011,561639365,SRA,CAD,2019-01-22,0.3,0.3,0.3,0.3,400,1,0.3
CA86330Y5011,561639365,SRA,CAD,2019-01-24,0.3,0.35,0.3,0.35,2100,2,0.3
CA86330Y5011,561639365,SRA,CAD,2019-01-25,0.3,0.3,0.25,0.25,5950,7,0.27
CA86330Y5011,561639365,SRA,CAD,2019-01-28,0.35,0.35,0.25,0.25,600,2,0.3
CA86330Y5011,561639365,SRA,CAD,2019-01-29,0.3,0.35,0.3,0.35,2000,2,0.315
CA86330Y5011,561639365,SRA,CAD,2019-01-30,0.3,0.3,0.3,0.3,1000,1,0.3
CA86330Y5011,561639365,SRA,CAD,2019-02-05,0.35,0.35,0.35,0.35,2500,2,0.35
CA86330Y5011,561639365,SRA,CAD,2019-02-06,0.3,0.35,0.3,0.35,1700,4,0.335
CA86330Y5011,561639365,SRA,CAD,2019-02-07,0.3,0.3,0.25,0.3,2300,4,0.285
CA86330Y5011,561639365,SRA,CAD,2019-02-08,0.3,0.35,0.3,0.35,1200,2,0.34
CA86330Y5011,561639365,SRA,CAD,2019-02-11,0.25,0.4,0.25,0.4,4100,7,0.325
CA86330Y5011,561639365,SRA,CAD,2019-02-12,0.35,0.35,0.25,0.35,800,3,0.34
CA86330Y5011,561639365,SRA,CAD,2019-02-19,0.3,0.3,0.3,0.3,1600,2,0.3
CA86330Y5011,561639365,SRA,CAD,2019-02-20,0.25,0.3,0.25,0.25,15600,13,0.255
CA86330Y5011,561639365,SRA,CAD,2019-02-21,0.25,0.25,0.25,0.25,16538,12,0.25
CA86330Y5011,561639365,SRA,CAD,2019-02-22,0.25,0.25,0.2,0.25,4433,3,0.25
CA86330Y5011,561639365,SRA,CAD,2019-02-25,0.3,0.3,0.25,0.25,3300,4,0.29
CA86330Y5011,561639365,SRA,CAD,2019-02-26,0.2,0.3,0.2,0.3,4400,4,0.255
CA86330Y5011,561639365,SRA,CAD,2019-02-27,0.25,0.3,0.25,0.3,500,2,0.29
CA86330Y5011,561639365,SRA,CAD,2019-03-01,0.2,0.3,0.2,0.3,19000,9,0.23
CA86330Y5011,561639365,SRA,CAD,2019-03-05,0.25,0.3,0.25,0.25,4676,6,0.26
CA86330Y5011,561639365,SRA,CAD,2019-03-11,0.3,0.3,0.3,0.3,800,2,0.3
CA86330Y5011,561639365,SRA,CAD,2019-03-12,0.25,0.25,0.25,0.25,3000,2,0.25
CA86330Y5011,561639365,SRA,CAD,2019-03-14,0.3,0.3,0.3,0.3,1700,2,0.3
CA86330Y5011,561639365,SRA,CAD,2019-03-15,0.25,0.25,0.25,0.25,6700,6,0.25
CA86330Y5011,561639365,SRA,CAD,2019-03-20,0.3,0.3,0.3,0.3,600,2,0.3
CA86330Y5011,561639365,SRA,CAD,2019-03-21,0.25,0.3,0.25,0.3,3000,3,0.26
CA86330Y5011,561639365,SRA,CAD,2019-03-22,0.25,0.3,0.25,0.3,1450,4,0.265
CA86330Y5011,561639365,SRA,CAD,2019-03-28,0.25,0.25,0.25,0.25,1800,1,0.25
CA86330Y5011,561639365,SRA,CAD,2019-03-29,0.25,0.25,0.25,0.25,1200,1,0.25
CA86330Y5011,561639365,SRA,CAD,2019-04-02,0.2,0.2,0.2,0.2,657,3,0.2
CA86330Y5011,561639365,SRA,CAD,2019-04-04,0.25,0.3,0.25,0.3,12900,10,0.285
CA86330Y5011,561639365,SRA,CAD,2019-04-05,0.3,0.3,0.2,0.25,19100,15,0.23
CA86330Y5011,561639365,SRA,CAD,2019-04-08,0.25,0.25,0.25,0.25,650,4,0.25
CA86330Y5011,561639365,SRA,CAD,2019-04-09,0.25,0.25,0.2,0.2,9300,5,0.21
CA86330Y5011,561639365,SRA,CAD,2019-04-10,0.25,0.25,0.25,0.25,100,1,0.25
CA86330Y5011,561639365,SRA,CAD,2019-04-11,0.25,0.25,0.2,0.2,43300,24,0.205
CA86330Y5011,561639365,SRA,CAD,2019-04-12,0.2,0.25,0.2,0.25,17500,11,0.225
CA86330Y5011,561639365,SRA,CAD,2019-04-15,0.2,0.25,0.2,0.2,17100,9,0.22
CA86330Y5011,561639365,SRA,CAD,2019-04-16,0.2,0.2,0.2,0.2,2910,3,0.2
CA86330Y5011,561639365,SRA,CAD,2019-04-17,0.2,0.25,0.2,0.2,18050,11,0.215
CA86330Y5011,561639365,SRA,CAD,2019-04-18,0.2,0.25,0.2,0.25,10200,6,0.215
CA86330Y5011,561639365,SRA,CAD,2019-04-23,0.2,0.2,0.15,0.2,4800,3,0.17
CA86330Y5011,561639365,SRA,CAD,2019-04-26,0.2,0.25,0.2,0.25,3300,2,0.205
CA86330Y5011,561639365,SRA,CAD,2019-04-29,0.25,0.25,0.2,0.2,1800,4,0.215
CA86330Y5011,561639365,SRA,CAD,2019-05-01,0.15,0.15,0.15,0.15,58,1,0.15
CA86330Y5011,561639365,SRA,CAD,2019-05-03,0.2,0.2,0.2,0.2,3400,2,0.2
CA86330Y5011,561639365,SRA,CAD,2019-05-08,0.2,0.2,0.2,0.2,800,4,0.2
CA86330Y5011,561639365,SRA,CAD,2019-05-09,0.2,0.2,0.2,0.2,2900,1,0.2
CA86330Y5011,561639365,SRA,CAD,2019-05-10,0.15,0.15,0.15,0.15,1667,2,0.15
CA86330Y5011,561639365,SRA,CAD,2019-05-14,0.25,0.25,0.15,0.2,5100,7,0.165
CA86330Y5011,561639365,SRA,CAD,2019-05-15,0.2,0.2,0.2,0.2,9100,4,0.2
CA86330Y5011,561639365,SRA,CAD,2019-05-23,0.2,0.2,0.2,0.2,1000,1,0.2
CA86330Y5011,561639365,SRA,CAD,2019-05-24,0.2,0.2,0.2,0.2,5500,1,0.2
CA86330Y5011,561639365,SRA,CAD,2019-05-27,0.2,0.2,0.2,0.2,2400,1,0.2
CA86330Y5011,561639365,SRA,CAD,2019-05-30,0.2,0.2,0.15,0.2,6200,7,0.195
CA86330Y5011,561639365,SRA,CAD,2019-05-31,0.2,0.2,0.2,0.2,4800,2,0.2
CA86330Y5011,561639365,SRA,CAD,2019-06-03,0.2,0.2,0.15,0.15,2005,2,0.2
CA86330Y5011,561639365,SRA,CAD,2019-06-04,0.2,0.2,0.2,0.2,6500,4,0.2
CA86330Y5011,561639365,SRA,CAD,2019-06-05,0.2,0.25,0.2,0.25,3500,3,0.225
CA86330Y5011,561639365,SRA,CAD,2019-06-06,0.2,0.2,0.15,0.15,22100,14,0.16
CA86330Y5011,561639365,SRA,CAD,2019-06-10,0.15,0.15,0.15,0.15,2200,2,0.15
CA86330Y5011,561639365,SRA,CAD,2019-06-14,0.2,0.2,0.2,0.2,1500,1,0.2
CA86330Y5011,561639365,SRA,CAD,2019-06-28,0.2,0.2,0.2,0.2,900,2,0.2
CA86330Y5011,561639365,SRA,CAD,2019-07-02,0.2,0.2,0.2,0.2,10800,6,0.2
CA86330Y5011,561639365,SRA,CAD,2019-07-03,0.2,0.2,0.2,0.2,2500,3,0.2
CA86330Y5011,561639365,SRA,CAD,2019-07-09,0.15,0.15,0.15,0.15,1000,1,0.15
CA86330Y5011,561639365,SRA,CAD,2019-07-11,0.2,0.2,0.2,0.2,2000,1,0.2
CA86330Y5011,561639365,SRA,CAD,2019-07-12,0.2,0.2,0.2,0.2,710,2,0.2
CA86330Y5011,561639365,SRA,CAD,2019-07-15,0.15,0.15,0.15,0.15,10000,2,0.15
CA86330Y5011,561639365,SRA,CAD,2019-07-16,0.15,0.15,0.15,0.15,1600,3,0.15
CA86330Y5011,561639365,SRA,CAD,2019-07-19,0.15,0.15,0.15,0.15,4700,2,0.15
CA86330Y5011,561639365,SRA,CAD,2019-07-22,0.15,0.15,0.15,0.15,1000,1,0.15
CA86330Y5011,561639365,SRA,CAD,2019-07-23,0.15,0.15,0.15,0.15,1500,1,0.15
CA86330Y5011,561639365,SRA,CAD,2019-07-24,0.15,0.15,0.15,0.15,1000,1,0.15
CA86330Y5011,561639365,SRA,CAD,2019-07-25,0.15,0.15,0.15,0.15,9900,4,0.15
CA86330Y5011,561639365,SRA,CAD,2019-07-31,0.15,0.15,0.15,0.15,380,2,0.15
CA86330Y5011,561639365,SRA,CAD,2019-08-02,0.15,0.15,0.15,0.15,1700,1,0.15
CA86330Y5011,561639365,SRA,CAD,2019-08-06,0.15,0.15,0.15,0.15,200,1,0.15
CA86330Y5011,561639365,SRA,CAD,2019-08-07,0.15,0.15,0.15,0.15,12500,6,0.15
CA86330Y5011,561639365,SRA,CAD,2019-08-09,0.15,0.15,0.15,0.15,7500,3,0.15
CA86330Y5011,561639365,SRA,CAD,2019-08-12,0.15,0.15,0.15,0.15,1000,1,0.15
CA86330Y5011,561639365,SRA,CAD,2019-08-15,0.15,0.15,0.15,0.15,1500,2,0.15
