ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA86828P1036,56924976,SPB,CAD,2019-01-02,9.67,9.88,9.58,9.79,326492,1657,9.774
CA86828P1036,56924976,SPB,CAD,2019-01-03,9.82,9.89,9.68,9.83,355777,1642,9.796
CA86828P1036,56924976,SPB,CAD,2019-01-04,9.89,10.0,9.8,9.98,380440,2143,9.937
CA86828P1036,56924976,SPB,CAD,2019-01-07,10.01,10.06,9.8,10.03,520015,2644,9.9225
CA86828P1036,56924976,SPB,CAD,2019-01-08,10.11,10.25,9.98,10.25,3755215,3172,10.2275
CA86828P1036,56924976,SPB,CAD,2019-01-09,10.28,10.4,10.27,10.38,833229,3978,10.3365
CA86828P1036,56924976,SPB,CAD,2019-01-10,10.48,10.69,10.46,10.67,615369,3091,10.578
CA86828P1036,56924976,SPB,CAD,2019-01-11,10.77,10.78,10.62,10.71,545389,2479,10.7035
CA86828P1036,56924976,SPB,CAD,2019-01-14,10.7,10.7,10.415,10.5,555410,2882,10.504
CA86828P1036,56924976,SPB,CAD,2019-01-15,10.53,10.57,10.27,10.47,977936,3455,10.374
CA86828P1036,56924976,SPB,CAD,2019-01-16,10.43,10.5,10.07,10.24,1122247,3997,10.2415
CA86828P1036,56924976,SPB,CAD,2019-01-17,10.22,10.5,10.21,10.44,527961,2516,10.4095
CA86828P1036,56924976,SPB,CAD,2019-01-18,10.52,10.63,10.36,10.62,965700,2928,10.548
CA86828P1036,56924976,SPB,CAD,2019-01-21,10.67,10.67,10.47,10.61,190332,995,10.5535
CA86828P1036,56924976,SPB,CAD,2019-01-22,10.87,11.11,10.82,10.97,942953,3634,10.962
CA86828P1036,56924976,SPB,CAD,2019-01-23,11.05,11.07,10.76,10.8,875943,2715,10.88
CA86828P1036,56924976,SPB,CAD,2019-01-24,10.83,10.92,10.78,10.89,321789,1700,10.842
CA86828P1036,56924976,SPB,CAD,2019-01-25,10.93,11.04,10.82,10.86,454896,2262,10.9215
CA86828P1036,56924976,SPB,CAD,2019-01-28,10.95,11.16,10.95,11.13,560556,2084,11.0505
CA86828P1036,56924976,SPB,CAD,2019-01-29,11.15,11.19,11.03,11.04,611330,2538,11.0795
CA86828P1036,56924976,SPB,CAD,2019-01-30,11.06,11.1,10.88,11.0,504423,2542,10.9985
CA86828P1036,56924976,SPB,CAD,2019-01-31,11.01,11.02,10.85,10.86,537663,1819,10.92
