ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA88581L3039,419717742,IDK,CAD,2019-01-02,1.02,1.02,0.9,0.96,12832,12,0.96009601
CA88581L3039,419717742,IDK,CAD,2019-01-03,0.96,1.2,0.9,1.02,244742,105,0.99609961
CA88581L3039,419717742,IDK,CAD,2019-01-04,1.02,1.02,0.96,1.02,27197,29,1.00810081
CA88581L3039,419717742,IDK,CAD,2019-01-07,1.08,1.08,0.96,0.96,18935,21,0.97809781
CA88581L3039,419717742,IDK,CAD,2019-01-08,0.9,0.96,0.9,0.9,141485,49,0.90609061
CA88581L3039,419717742,IDK,CAD,2019-01-09,0.9,0.96,0.84,0.84,63410,26,0.89408941
CA88581L3039,419717742,IDK,CAD,2019-01-10,0.84,0.9,0.84,0.9,100770,32,0.84008401
CA88581L3039,419717742,IDK,CAD,2019-01-11,0.9,0.9,0.78,0.84,81044,51,0.84008401
CA88581L3039,419717742,IDK,CAD,2019-01-14,0.84,1.02,0.84,0.84,352901,156,0.91809181
CA88581L3039,419717742,IDK,CAD,2019-01-15,0.9,0.96,0.84,0.9,56346,36,0.90009001
CA88581L3039,419717742,IDK,CAD,2019-01-16,0.9,0.96,0.84,0.9,66380,44,0.90009001
CA88581L3039,419717742,IDK,CAD,2019-01-17,0.9,0.96,0.9,0.9,145099,77,0.93609361
CA88581L3039,419717742,IDK,CAD,2019-01-18,0.9,0.9,0.84,0.84,18606,17,0.86408641
CA88581L3039,419717742,IDK,CAD,2019-01-21,0.9,0.96,0.84,0.96,51319,27,0.90009001
CA88581L3039,419717742,IDK,CAD,2019-01-22,0.96,1.02,0.84,0.96,87653,68,0.96009601
CA88581L3039,419717742,IDK,CAD,2019-01-23,0.96,1.02,0.96,0.96,47576,35,0.96009601
CA88581L3039,419717742,IDK,CAD,2019-01-24,0.96,1.02,0.9,0.9,35296,31,0.94809481
CA88581L3039,419717742,IDK,CAD,2019-01-25,0.9,0.96,0.84,0.9,103883,48,0.91209121
CA88581L3039,419717742,IDK,CAD,2019-01-28,0.96,1.02,0.9,0.9,92048,52,0.91809181
CA88581L3039,419717742,IDK,CAD,2019-01-29,0.9,0.96,0.84,0.96,35579,28,0.90009001
