ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CA98942X1024,523804813,ZAY0,EUR,2021-11-01,3.63,3.63,3.62,3.63,0,0,3.62
CA98942X1024,523804813,ZAY0,EUR,2021-11-02,3.66,3.66,3.65,3.66,0,0,3.66
CA98942X1024,523804813,ZAY0,EUR,2021-11-03,3.7,3.7,3.69,3.7,0,0,3.7
CA98942X1024,523804813,ZAY0,EUR,2021-11-04,3.7,3.7,3.69,3.7,0,0,3.7
CA98942X1024,523804813,ZAY0,EUR,2021-11-05,3.7,3.7,3.69,3.7,0,0,3.7
CA98942X1024,523804813,ZAY0,EUR,2021-11-08,4.3,4.3,4.3,4.3,1,1,4.3
CA98942X1024,523804813,ZAY0,EUR,2021-11-09,4.51,4.51,4.5,4.51,200,1,4.509
CA98942X1024,523804813,ZAY0,EUR,2021-11-10,4.36,4.36,4.35,4.36,0,0,4.36
CA98942X1024,523804813,ZAY0,EUR,2021-11-11,4.3,4.3,4.3,4.3,999,1,4.3
CA98942X1024,523804813,ZAY0,EUR,2021-11-12,4.29,4.29,4.28,4.29,0,0,4.29
CA98942X1024,523804813,ZAY0,EUR,2021-11-15,4.74,4.75,4.74,4.74,55,2,4.742
CA98942X1024,523804813,ZAY0,EUR,2021-11-16,5.08,5.17,4.95,5.11,776,4,5.032
CA98942X1024,523804813,ZAY0,EUR,2021-11-17,4.81,4.82,4.81,4.81,0,0,4.81
CA98942X1024,523804813,ZAY0,EUR,2021-11-18,5.05,5.05,4.8,4.8,118,1,5.05
CA98942X1024,523804813,ZAY0,EUR,2021-11-19,4.82,4.83,4.71,4.71,3668,2,4.734
CA98942X1024,523804813,ZAY0,EUR,2021-11-22,4.65,4.94,4.65,4.94,1355,2,4.662
CA98942X1024,523804813,ZAY0,EUR,2021-11-23,4.92,4.93,4.92,4.92,200,1,4.921
CA98942X1024,523804813,ZAY0,EUR,2021-11-24,4.62,4.62,4.61,4.62,59,1,4.617
CA98942X1024,523804813,ZAY0,EUR,2021-11-25,4.55,4.55,4.54,4.55,0,0,4.55
CA98942X1024,523804813,ZAY0,EUR,2021-11-26,4.77,4.77,4.54,4.54,6211,4,4.595
CA98942X1024,523804813,ZAY0,EUR,2021-11-29,4.57,4.57,4.56,4.57,0,0,4.57
CA98942X1024,523804813,ZAY0,EUR,2021-11-30,4.65,4.66,4.65,4.65,0,0,4.65
CA98942X1024,523804813,ZAY0,EUR,2021-12-01,4.44,4.44,4.43,4.44,0,0,4.44
