ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CH0210483332,134773416,RITN,EUR,2019-01-02,55.96,59.0,54.22,54.22,827,13,55.931
CH0210483332,134773416,RITN,EUR,2019-01-03,55.8,55.8,54.24,54.64,636,9,54.582
CH0210483332,134773416,RITN,EUR,2019-01-04,54.92,56.24,53.92,53.92,2466,21,55.307
CH0210483332,134773416,RITN,EUR,2019-01-07,57.02,57.64,56.48,56.88,2364,21,57.013
CH0210483332,134773416,RITN,EUR,2019-01-08,57.26,58.5,57.26,58.36,1230,10,57.954
CH0210483332,134773416,RITN,EUR,2019-01-09,58.64,60.96,58.48,60.96,1270,11,58.731
CH0210483332,134773416,RITN,EUR,2019-01-10,58.02,58.68,57.88,57.96,3443,13,58.089
CH0210483332,134773416,RITN,EUR,2019-01-11,59.24,60.96,58.76,60.96,6630,30,59.811
CH0210483332,134773416,RITN,EUR,2019-01-14,60.06,60.06,58.82,59.14,3788,20,59.263
CH0210483332,134773416,RITN,EUR,2019-01-15,59.86,60.08,58.86,59.44,965,15,59.305
CH0210483332,134773416,RITN,EUR,2019-01-16,59.86,60.5,59.34,60.5,1466,14,59.606
CH0210483332,134773416,RITN,EUR,2019-01-17,59.4,60.5,59.06,60.5,395,7,59.303
CH0210483332,134773416,RITN,EUR,2019-01-18,59.98,61.1,59.96,60.5,3545,23,60.184
CH0210483332,134773416,RITN,EUR,2019-01-21,61.12,62.26,60.64,62.26,1696,18,60.982
CH0210483332,134773416,RITN,EUR,2019-01-22,61.4,61.4,60.5,60.5,845,7,60.927
CH0210483332,134773416,RITN,EUR,2019-01-23,60.64,61.0,60.34,60.5,799,7,60.788
CH0210483332,134773416,RITN,EUR,2019-01-24,60.54,61.5,60.5,60.5,1507,14,61.178
CH0210483332,134773416,RITN,EUR,2019-01-25,62.16,62.16,61.38,61.38,1645,12,61.691
CH0210483332,134773416,RITN,EUR,2019-01-28,61.68,61.68,60.94,61.38,1931,11,61.074
CH0210483332,134773416,RITN,EUR,2019-01-29,60.74,61.38,59.76,61.38,3206,17,60.159
CH0210483332,134773416,RITN,EUR,2019-01-30,61.82,61.82,60.6,61.38,682,10,60.996
CH0210483332,134773416,RITN,EUR,2019-01-31,61.02,61.38,59.12,61.38,2268,23,59.907
CH0210483332,134773416,RITN,EUR,2019-02-01,60.36,61.38,59.98,61.38,837,11,60.282
CH0210483332,134773416,RITN,EUR,2019-02-04,60.96,61.38,59.9,61.38,919,11,60.412
CH0210483332,134773416,RITN,EUR,2019-02-05,60.34,62.2,60.28,61.38,911,13,61.493
CH0210483332,134773416,RITN,EUR,2019-02-06,61.74,62.08,61.38,61.38,1334,15,61.94
CH0210483332,134773416,RITN,EUR,2019-02-07,61.2,61.24,60.22,60.4,966,10,60.617
CH0210483332,134773416,RITN,EUR,2019-02-08,59.74,60.4,59.16,60.4,500,6,59.564
CH0210483332,134773416,RITN,EUR,2019-02-11,59.58,60.4,59.58,60.4,897,8,59.837
CH0210483332,134773416,RITN,EUR,2019-02-12,60.48,61.52,60.48,61.34,963,11,60.923
CH0210483332,134773416,RITN,EUR,2019-02-13,62.06,64.8,62.06,63.3,17417,66,64.025
CH0210483332,134773416,RITN,EUR,2019-02-14,63.7,63.96,63.04,63.3,2208,12,63.455
CH0210483332,134773416,RITN,EUR,2019-02-15,62.98,63.84,62.5,63.3,3052,15,63.388
CH0210483332,134773416,RITN,EUR,2019-02-18,63.62,64.9,63.5,64.9,1019,12,63.899
CH0210483332,134773416,RITN,EUR,2019-02-19,64.12,64.26,63.3,63.3,9081,27,63.853
CH0210483332,134773416,RITN,EUR,2019-02-20,64.12,65.0,64.12,65.0,1970,12,64.436
CH0210483332,134773416,RITN,EUR,2019-02-21,64.98,65.0,64.5,65.0,1125,10,64.889
