ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CNE1000000V6,603510454,LAN,EUR,2022-12-16,0.26,0.26,0.26,0.26,0,0,0.26
CNE1000000V6,603510454,LAN,EUR,2022-12-19,0.258,0.258,0.258,0.258,0,0,0.258
CNE1000000V6,603510454,LAN,EUR,2022-12-20,0.254,0.254,0.254,0.254,0,0,0.254
CNE1000000V6,603510454,LAN,EUR,2022-12-21,0.284,0.284,0.284,0.284,0,0,0.284
CNE1000000V6,603510454,LAN,EUR,2022-12-22,0.27,0.27,0.27,0.27,0,0,0.27
CNE1000000V6,603510454,LAN,EUR,2022-12-23,0.26,0.26,0.26,0.26,0,0,0.26
CNE1000000V6,603510454,LAN,EUR,2022-12-27,0.268,0.268,0.268,0.268,0,0,0.268
CNE1000000V6,603510454,LAN,EUR,2022-12-28,0.27,0.27,0.27,0.27,0,0,0.27
CNE1000000V6,603510454,LAN,EUR,2022-12-29,0.27,0.27,0.27,0.27,417,1,0.27
CNE1000000V6,603510454,LAN,EUR,2022-12-30,0.288,0.288,0.288,0.288,0,0,0.288
CNE1000000V6,603510454,LAN,EUR,2023-01-02,0.302,0.302,0.302,0.302,0,0,0.302
CNE1000000V6,603510454,LAN,EUR,2023-01-03,0.288,0.288,0.288,0.288,0,0,0.288
CNE1000000V6,603510454,LAN,EUR,2023-01-04,0.302,0.302,0.302,0.302,0,0,0.302
CNE1000000V6,603510454,LAN,EUR,2023-01-05,0.294,0.294,0.294,0.294,0,0,0.294
CNE1000000V6,603510454,LAN,EUR,2023-01-06,0.296,0.296,0.296,0.296,0,0,0.296
CNE1000000V6,603510454,LAN,EUR,2023-01-09,0.292,0.292,0.292,0.292,0,0,0.292
CNE1000000V6,603510454,LAN,EUR,2023-01-10,0.304,0.304,0.304,0.304,0,0,0.304
CNE1000000V6,603510454,LAN,EUR,2023-01-11,0.308,0.308,0.308,0.308,0,0,0.308
CNE1000000V6,603510454,LAN,EUR,2023-01-12,0.302,0.302,0.302,0.302,0,0,0.302
CNE1000000V6,603510454,LAN,EUR,2023-01-13,0.306,0.306,0.306,0.306,0,0,0.306
CNE1000000V6,603510454,LAN,EUR,2023-01-16,0.292,0.292,0.292,0.292,0,0,0.292
CNE1000000V6,603510454,LAN,EUR,2023-01-17,0.288,0.288,0.288,0.288,0,0,0.288
CNE1000000V6,603510454,LAN,EUR,2023-01-18,0.27,0.27,0.27,0.27,0,0,0.27
CNE1000000V6,603510454,LAN,EUR,2023-01-19,0.272,0.272,0.272,0.272,0,0,0.272
CNE1000000V6,603510454,LAN,EUR,2023-01-20,0.27,0.27,0.27,0.27,0,0,0.27
CNE1000000V6,603510454,LAN,EUR,2023-01-23,0.268,0.268,0.268,0.268,0,0,0.268
CNE1000000V6,603510454,LAN,EUR,2023-01-24,0.268,0.268,0.268,0.268,0,0,0.268
CNE1000000V6,603510454,LAN,EUR,2023-01-25,0.268,0.268,0.268,0.268,0,0,0.268
CNE1000000V6,603510454,LAN,EUR,2023-01-26,0.276,0.276,0.276,0.276,0,0,0.276
CNE1000000V6,603510454,LAN,EUR,2023-01-27,0.268,0.268,0.268,0.268,0,0,0.268
CNE1000000V6,603510454,LAN,EUR,2023-01-30,0.262,0.262,0.262,0.262,0,0,0.262
CNE1000000V6,603510454,LAN,EUR,2023-01-31,0.262,0.262,0.262,0.262,0,0,0.262
CNE1000000V6,603510454,LAN,EUR,2023-02-01,0.266,0.266,0.266,0.266,0,0,0.266
CNE1000000V6,603510454,LAN,EUR,2023-02-02,0.274,0.274,0.274,0.274,0,0,0.274
CNE1000000V6,603510454,LAN,EUR,2023-02-03,0.296,0.296,0.296,0.296,0,0,0.296
CNE1000000V6,603510454,LAN,EUR,2023-02-06,0.282,0.282,0.282,0.282,0,0,0.282
CNE1000000V6,603510454,LAN,EUR,2023-02-07,0.268,0.268,0.268,0.268,0,0,0.268
CNE1000000V6,603510454,LAN,EUR,2023-02-08,0.26,0.26,0.26,0.26,0,0,0.26
CNE1000000V6,603510454,LAN,EUR,2023-02-09,0.258,0.258,0.258,0.258,0,0,0.258
CNE1000000V6,603510454,LAN,EUR,2023-02-10,0.252,0.252,0.252,0.252,0,0,0.252
CNE1000000V6,603510454,LAN,EUR,2023-02-13,0.258,0.258,0.258,0.258,0,0,0.258
CNE1000000V6,603510454,LAN,EUR,2023-02-14,0.254,0.254,0.254,0.254,0,0,0.254
CNE1000000V6,603510454,LAN,EUR,2023-02-15,0.268,0.268,0.268,0.268,0,0,0.268
CNE1000000V6,603510454,LAN,EUR,2023-02-16,0.266,0.266,0.266,0.266,0,0,0.266
CNE1000000V6,603510454,LAN,EUR,2023-02-17,0.252,0.252,0.252,0.252,0,0,0.252
CNE1000000V6,603510454,LAN,EUR,2023-02-20,0.256,0.256,0.256,0.256,0,0,0.256
CNE1000000V6,603510454,LAN,EUR,2023-02-21,0.252,0.252,0.252,0.252,0,0,0.252
CNE1000000V6,603510454,LAN,EUR,2023-02-22,0.256,0.256,0.256,0.256,0,0,0.256
CNE1000000V6,603510454,LAN,EUR,2023-02-23,0.252,0.252,0.252,0.252,0,0,0.252
CNE1000000V6,603510454,LAN,EUR,2023-02-24,0.25,0.25,0.25,0.25,0,0,0.25
CNE1000000V6,603510454,LAN,EUR,2023-02-27,0.254,0.254,0.254,0.254,0,0,0.254
CNE1000000V6,603510454,LAN,EUR,2023-02-28,0.258,0.258,0.258,0.258,0,0,0.258
CNE1000000V6,603510454,LAN,EUR,2023-03-01,0.266,0.266,0.266,0.266,0,0,0.266
CNE1000000V6,603510454,LAN,EUR,2023-03-02,0.276,0.276,0.276,0.276,0,0,0.276
CNE1000000V6,603510454,LAN,EUR,2023-03-03,0.276,0.276,0.276,0.276,0,0,0.276
CNE1000000V6,603510454,LAN,EUR,2023-03-06,0.274,0.274,0.274,0.274,0,0,0.274
CNE1000000V6,603510454,LAN,EUR,2023-03-07,0.268,0.268,0.268,0.268,0,0,0.268
CNE1000000V6,603510454,LAN,EUR,2023-03-08,0.266,0.266,0.266,0.266,0,0,0.266
CNE1000000V6,603510454,LAN,EUR,2023-03-09,0.272,0.272,0.272,0.272,0,0,0.272
CNE1000000V6,603510454,LAN,EUR,2023-03-10,0.264,0.264,0.264,0.264,0,0,0.264
CNE1000000V6,603510454,LAN,EUR,2023-03-13,0.266,0.266,0.266,0.266,0,0,0.266
CNE1000000V6,603510454,LAN,EUR,2023-03-14,0.264,0.264,0.264,0.264,0,0,0.264
CNE1000000V6,603510454,LAN,EUR,2023-03-15,0.262,0.262,0.262,0.262,0,0,0.262
CNE1000000V6,603510454,LAN,EUR,2023-03-16,0.268,0.268,0.268,0.268,0,0,0.268
CNE1000000V6,603510454,LAN,EUR,2023-03-17,0.258,0.258,0.258,0.258,0,0,0.258
CNE1000000V6,603510454,LAN,EUR,2023-03-20,0.252,0.252,0.252,0.252,0,0,0.252
CNE1000000V6,603510454,LAN,EUR,2023-03-21,0.246,0.246,0.246,0.246,0,0,0.246
CNE1000000V6,603510454,LAN,EUR,2023-03-22,0.244,0.244,0.244,0.244,0,0,0.244
CNE1000000V6,603510454,LAN,EUR,2023-03-23,0.244,0.244,0.244,0.244,0,0,0.244
CNE1000000V6,603510454,LAN,EUR,2023-03-24,0.238,0.238,0.238,0.238,0,0,0.238
CNE1000000V6,603510454,LAN,EUR,2023-03-27,0.23,0.23,0.22,0.22,40,1,0.23
CNE1000000V6,603510454,LAN,EUR,2023-03-28,0.212,0.212,0.212,0.212,0,0,0.212
CNE1000000V6,603510454,LAN,EUR,2023-03-29,0.21,0.21,0.21,0.21,0,0,0.21
CNE1000000V6,603510454,LAN,EUR,2023-03-30,0.208,0.208,0.208,0.208,0,0,0.208
CNE1000000V6,603510454,LAN,EUR,2023-03-31,0.212,0.212,0.212,0.212,0,0,0.212
CNE1000000V6,603510454,LAN,EUR,2023-04-03,0.208,0.208,0.208,0.208,0,0,0.208
CNE1000000V6,603510454,LAN,EUR,2023-04-04,0.198,0.198,0.198,0.198,0,0,0.198
CNE1000000V6,603510454,LAN,EUR,2023-04-05,0.198,0.198,0.198,0.198,0,0,0.198
CNE1000000V6,603510454,LAN,EUR,2023-04-06,0.194,0.194,0.194,0.194,0,0,0.194
CNE1000000V6,603510454,LAN,EUR,2023-04-11,0.19,0.19,0.19,0.19,0,0,0.19
CNE1000000V6,603510454,LAN,EUR,2023-04-12,0.176,0.176,0.176,0.176,0,0,0.176
CNE1000000V6,603510454,LAN,EUR,2023-04-13,0.194,0.194,0.194,0.194,0,0,0.194
CNE1000000V6,603510454,LAN,EUR,2023-04-14,0.214,0.214,0.214,0.214,0,0,0.214
CNE1000000V6,603510454,LAN,EUR,2023-04-17,0.242,0.242,0.242,0.242,0,0,0.242
CNE1000000V6,603510454,LAN,EUR,2023-04-18,0.256,0.256,0.256,0.256,0,0,0.256
CNE1000000V6,603510454,LAN,EUR,2023-04-19,0.272,0.272,0.272,0.272,0,0,0.272
CNE1000000V6,603510454,LAN,EUR,2023-04-20,0.28,0.28,0.28,0.28,0,0,0.28
CNE1000000V6,603510454,LAN,EUR,2023-04-21,0.276,0.276,0.276,0.276,0,0,0.276
CNE1000000V6,603510454,LAN,EUR,2023-04-24,0.25,0.25,0.25,0.25,0,0,0.25
CNE1000000V6,603510454,LAN,EUR,2023-04-25,0.27,0.27,0.258,0.258,1085,1,0.268
CNE1000000V6,603510454,LAN,EUR,2023-04-26,0.244,0.244,0.244,0.244,0,0,0.244
CNE1000000V6,603510454,LAN,EUR,2023-04-27,0.24,0.24,0.24,0.24,0,0,0.24
CNE1000000V6,603510454,LAN,EUR,2023-04-28,0.242,0.242,0.242,0.242,0,0,0.242
CNE1000000V6,603510454,LAN,EUR,2023-05-02,0.242,0.242,0.242,0.242,0,0,0.242
CNE1000000V6,603510454,LAN,EUR,2023-05-03,0.238,0.238,0.238,0.238,0,0,0.238
CNE1000000V6,603510454,LAN,EUR,2023-05-04,0.234,0.234,0.234,0.234,0,0,0.234
CNE1000000V6,603510454,LAN,EUR,2023-05-05,0.234,0.234,0.234,0.234,0,0,0.234
CNE1000000V6,603510454,LAN,EUR,2023-05-08,0.24,0.246,0.24,0.246,7500,1,0.24
CNE1000000V6,603510454,LAN,EUR,2023-05-09,0.244,0.244,0.244,0.244,0,0,0.244
CNE1000000V6,603510454,LAN,EUR,2023-05-10,0.248,0.248,0.248,0.248,0,0,0.248
CNE1000000V6,603510454,LAN,EUR,2023-05-11,0.248,0.248,0.248,0.248,0,0,0.248
CNE1000000V6,603510454,LAN,EUR,2023-05-12,0.246,0.246,0.246,0.246,0,0,0.246
CNE1000000V6,603510454,LAN,EUR,2023-05-15,0.238,0.238,0.238,0.238,0,0,0.238
CNE1000000V6,603510454,LAN,EUR,2023-05-16,0.236,0.236,0.236,0.236,0,0,0.236
CNE1000000V6,603510454,LAN,EUR,2023-05-17,0.242,0.242,0.242,0.242,0,0,0.242
CNE1000000V6,603510454,LAN,EUR,2023-05-18,0.242,0.242,0.242,0.242,0,0,0.242
CNE1000000V6,603510454,LAN,EUR,2023-05-19,0.24,0.24,0.24,0.24,0,0,0.24
CNE1000000V6,603510454,LAN,EUR,2023-05-22,0.242,0.242,0.242,0.242,0,0,0.242
