ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CNE100000205,603518518,C4C,EUR,2022-12-16,0.516,0.516,0.516,0.516,0,0,0.516
CNE100000205,603518518,C4C,EUR,2022-12-19,0.53,0.53,0.51,0.51,1009,2,0.53
CNE100000205,603518518,C4C,EUR,2022-12-20,0.53,0.53,0.516,0.516,10,1,0.53
CNE100000205,603518518,C4C,EUR,2022-12-21,0.516,0.516,0.516,0.516,0,0,0.516
CNE100000205,603518518,C4C,EUR,2022-12-22,0.52,0.52,0.52,0.52,0,0,0.52
CNE100000205,603518518,C4C,EUR,2022-12-23,0.516,0.516,0.516,0.516,0,0,0.516
CNE100000205,603518518,C4C,EUR,2022-12-27,0.51,0.51,0.51,0.51,0,0,0.51
CNE100000205,603518518,C4C,EUR,2022-12-28,0.546,0.546,0.546,0.546,0,0,0.546
CNE100000205,603518518,C4C,EUR,2022-12-29,0.536,0.536,0.536,0.536,0,0,0.536
CNE100000205,603518518,C4C,EUR,2022-12-30,0.53,0.53,0.53,0.53,0,0,0.53
CNE100000205,603518518,C4C,EUR,2023-01-02,0.52,0.52,0.52,0.52,0,0,0.52
CNE100000205,603518518,C4C,EUR,2023-01-03,0.566,0.566,0.54,0.54,5000,1,0.565
CNE100000205,603518518,C4C,EUR,2023-01-04,0.55,0.55,0.55,0.55,0,0,0.55
CNE100000205,603518518,C4C,EUR,2023-01-05,0.55,0.55,0.55,0.55,0,0,0.55
CNE100000205,603518518,C4C,EUR,2023-01-06,0.584,0.586,0.56,0.56,450,1,0.585
CNE100000205,603518518,C4C,EUR,2023-01-09,0.58,0.58,0.56,0.56,2700,2,0.56611
CNE100000205,603518518,C4C,EUR,2023-01-10,0.55,0.55,0.55,0.55,0,0,0.55
CNE100000205,603518518,C4C,EUR,2023-01-11,0.576,0.576,0.574,0.576,4013,3,0.575
CNE100000205,603518518,C4C,EUR,2023-01-12,0.576,0.576,0.556,0.556,67,2,0.57499
CNE100000205,603518518,C4C,EUR,2023-01-13,0.556,0.556,0.556,0.556,0,0,0.556
CNE100000205,603518518,C4C,EUR,2023-01-16,0.566,0.566,0.566,0.566,0,0,0.566
CNE100000205,603518518,C4C,EUR,2023-01-17,0.56,0.56,0.56,0.56,0,0,0.56
CNE100000205,603518518,C4C,EUR,2023-01-18,0.584,0.586,0.554,0.584,2138,2,0.56413
CNE100000205,603518518,C4C,EUR,2023-01-19,0.58,0.58,0.56,0.56,518,2,0.58
CNE100000205,603518518,C4C,EUR,2023-01-20,0.56,0.56,0.56,0.56,0,0,0.56
CNE100000205,603518518,C4C,EUR,2023-01-23,0.584,0.586,0.56,0.56,3,1,0.58533
CNE100000205,603518518,C4C,EUR,2023-01-24,0.584,0.586,0.56,0.56,136,2,0.585
CNE100000205,603518518,C4C,EUR,2023-01-25,0.56,0.56,0.56,0.56,0,0,0.56
CNE100000205,603518518,C4C,EUR,2023-01-26,0.566,0.566,0.566,0.566,0,0,0.566
CNE100000205,603518518,C4C,EUR,2023-01-27,0.59,0.59,0.57,0.57,7780,3,0.58807
CNE100000205,603518518,C4C,EUR,2023-01-30,0.584,0.586,0.566,0.566,85,1,0.58501
CNE100000205,603518518,C4C,EUR,2023-01-31,0.56,0.56,0.56,0.56,0,0,0.56
CNE100000205,603518518,C4C,EUR,2023-02-01,0.55,0.56,0.55,0.56,87,1,0.55
CNE100000205,603518518,C4C,EUR,2023-02-02,0.55,0.55,0.55,0.55,0,0,0.55
CNE100000205,603518518,C4C,EUR,2023-02-03,0.55,0.55,0.55,0.55,0,0,0.55
CNE100000205,603518518,C4C,EUR,2023-02-06,0.556,0.556,0.55,0.55,1,1,0.556
CNE100000205,603518518,C4C,EUR,2023-02-07,0.56,0.56,0.56,0.56,0,0,0.56
CNE100000205,603518518,C4C,EUR,2023-02-08,0.566,0.566,0.566,0.566,0,0,0.566
CNE100000205,603518518,C4C,EUR,2023-02-09,0.56,0.56,0.56,0.56,0,0,0.56
CNE100000205,603518518,C4C,EUR,2023-02-10,0.56,0.56,0.56,0.56,0,0,0.56
CNE100000205,603518518,C4C,EUR,2023-02-13,0.56,0.56,0.56,0.56,0,0,0.56
