ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CNE1000002S8,603519292,HIFH,EUR,2022-12-16,0.85,0.85,0.85,0.85,0,0,0.85
CNE1000002S8,603519292,HIFH,EUR,2022-12-19,0.86,0.88,0.816,0.816,304,3,0.86247
CNE1000002S8,603519292,HIFH,EUR,2022-12-20,0.816,0.816,0.816,0.816,0,0,0.816
CNE1000002S8,603519292,HIFH,EUR,2022-12-21,0.826,0.826,0.826,0.826,0,0,0.826
CNE1000002S8,603519292,HIFH,EUR,2022-12-22,0.796,0.796,0.796,0.796,0,0,0.796
CNE1000002S8,603519292,HIFH,EUR,2022-12-23,0.75,0.75,0.75,0.75,0,0,0.75
CNE1000002S8,603519292,HIFH,EUR,2022-12-27,0.75,0.75,0.75,0.75,0,0,0.75
CNE1000002S8,603519292,HIFH,EUR,2022-12-28,0.724,0.724,0.724,0.724,0,0,0.724
CNE1000002S8,603519292,HIFH,EUR,2022-12-29,0.73,0.73,0.71,0.71,32,1,0.73
CNE1000002S8,603519292,HIFH,EUR,2022-12-30,0.734,0.74,0.704,0.704,13,1,0.73492
CNE1000002S8,603519292,HIFH,EUR,2023-01-02,0.704,0.71,0.7,0.7,138,2,0.705
CNE1000002S8,603519292,HIFH,EUR,2023-01-03,0.766,0.77,0.74,0.74,1000,1,0.765
CNE1000002S8,603519292,HIFH,EUR,2023-01-04,0.744,0.75,0.714,0.714,102,2,0.745
CNE1000002S8,603519292,HIFH,EUR,2023-01-05,0.72,0.72,0.69,0.69,1066,3,0.71969
CNE1000002S8,603519292,HIFH,EUR,2023-01-06,0.686,0.686,0.686,0.686,0,0,0.686
CNE1000002S8,603519292,HIFH,EUR,2023-01-09,0.714,0.72,0.68,0.68,1996,1,0.715
CNE1000002S8,603519292,HIFH,EUR,2023-01-10,0.686,0.686,0.686,0.686,0,0,0.686
CNE1000002S8,603519292,HIFH,EUR,2023-01-11,0.72,0.72,0.7,0.7,144,1,0.72
CNE1000002S8,603519292,HIFH,EUR,2023-01-12,0.77,0.77,0.766,0.766,10,1,0.77
CNE1000002S8,603519292,HIFH,EUR,2023-01-13,0.766,0.766,0.766,0.766,0,0,0.766
CNE1000002S8,603519292,HIFH,EUR,2023-01-16,0.8,0.82,0.79,0.79,352,3,0.81342
CNE1000002S8,603519292,HIFH,EUR,2023-01-17,0.8,0.8,0.78,0.78,1000,1,0.8
CNE1000002S8,603519292,HIFH,EUR,2023-01-18,0.86,0.87,0.844,0.844,2550,2,0.86059
CNE1000002S8,603519292,HIFH,EUR,2023-01-19,0.826,0.826,0.826,0.826,0,0,0.826
CNE1000002S8,603519292,HIFH,EUR,2023-01-20,0.834,0.834,0.834,0.834,0,0,0.834
CNE1000002S8,603519292,HIFH,EUR,2023-01-23,0.84,0.84,0.84,0.84,0,0,0.84
CNE1000002S8,603519292,HIFH,EUR,2023-01-24,0.844,0.844,0.844,0.844,0,0,0.844
