ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CNE1000003X6,368285523,PZX,EUR,2023-07-04,6.0,6.0,6.0,6.0,0,0,6.0
CNE1000003X6,368285523,PZX,EUR,2023-07-05,5.92,5.92,5.92,5.92,0,0,5.92
CNE1000003X6,368285523,PZX,EUR,2023-07-06,5.8,5.8,5.8,5.8,0,0,5.8
CNE1000003X6,368285523,PZX,EUR,2023-07-07,5.7,5.7,5.7,5.7,0,0,5.7
CNE1000003X6,368285523,PZX,EUR,2023-07-10,5.64,5.64,5.64,5.64,0,0,5.64
CNE1000003X6,368285523,PZX,EUR,2023-07-11,5.66,5.66,5.66,5.66,0,0,5.66
CNE1000003X6,368285523,PZX,EUR,2023-07-12,5.78,5.78,5.78,5.78,0,0,5.78
CNE1000003X6,368285523,PZX,EUR,2023-07-13,5.92,5.92,5.92,5.92,0,0,5.92
CNE1000003X6,368285523,PZX,EUR,2023-07-14,5.94,5.94,5.94,5.94,0,0,5.94
CNE1000003X6,368285523,PZX,EUR,2023-07-17,5.9,5.9,5.9,5.9,0,0,5.9
CNE1000003X6,368285523,PZX,EUR,2023-07-18,5.72,5.72,5.72,5.72,0,0,5.72
CNE1000003X6,368285523,PZX,EUR,2023-07-19,5.72,5.72,5.72,5.72,0,0,5.72
CNE1000003X6,368285523,PZX,EUR,2023-07-20,5.66,5.66,5.66,5.66,0,0,5.66
CNE1000003X6,368285523,PZX,EUR,2023-07-21,5.7,5.7,5.7,5.7,0,0,5.7
CNE1000003X6,368285523,PZX,EUR,2023-07-24,5.56,5.56,5.56,5.56,0,0,5.56
CNE1000003X6,368285523,PZX,EUR,2023-07-25,6.06,6.06,6.06,6.06,0,0,6.06
CNE1000003X6,368285523,PZX,EUR,2023-07-26,6.02,6.02,6.02,6.02,0,0,6.02
CNE1000003X6,368285523,PZX,EUR,2023-07-27,6.14,6.14,6.14,6.14,0,0,6.14
CNE1000003X6,368285523,PZX,EUR,2023-07-28,6.5,6.5,6.5,6.5,0,0,6.5
CNE1000003X6,368285523,PZX,EUR,2023-07-31,6.48,6.48,6.48,6.48,0,0,6.48
CNE1000003X6,368285523,PZX,EUR,2023-08-01,6.38,6.38,6.38,6.38,0,0,6.38
CNE1000003X6,368285523,PZX,EUR,2023-08-02,6.2,6.2,6.2,6.2,0,0,6.2
CNE1000003X6,368285523,PZX,EUR,2023-08-03,6.3,6.3,6.3,6.3,0,0,6.3
CNE1000003X6,368285523,PZX,EUR,2023-08-04,6.32,6.32,6.32,6.32,0,0,6.32
CNE1000003X6,368285523,PZX,EUR,2023-08-07,6.14,6.14,6.14,6.14,0,0,6.14
CNE1000003X6,368285523,PZX,EUR,2023-08-08,6.1,6.1,6.1,6.1,0,0,6.1
