ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CNE1000004F1,603527484,SIY,EUR,2022-12-16,0.306,0.306,0.306,0.306,0,0,0.306
CNE1000004F1,603527484,SIY,EUR,2022-12-19,0.292,0.298,0.292,0.298,50,1,0.292
CNE1000004F1,603527484,SIY,EUR,2022-12-20,0.294,0.294,0.294,0.294,0,0,0.294
CNE1000004F1,603527484,SIY,EUR,2022-12-21,0.292,0.292,0.292,0.292,950,1,0.292
CNE1000004F1,603527484,SIY,EUR,2022-12-22,0.294,0.294,0.294,0.294,0,0,0.294
CNE1000004F1,603527484,SIY,EUR,2022-12-23,0.292,0.292,0.292,0.292,0,0,0.292
CNE1000004F1,603527484,SIY,EUR,2022-12-27,0.29,0.29,0.29,0.29,0,0,0.29
CNE1000004F1,603527484,SIY,EUR,2022-12-28,0.292,0.292,0.292,0.292,0,0,0.292
CNE1000004F1,603527484,SIY,EUR,2022-12-29,0.29,0.29,0.29,0.29,0,0,0.29
CNE1000004F1,603527484,SIY,EUR,2022-12-30,0.292,0.292,0.29,0.29,6000,1,0.292
CNE1000004F1,603527484,SIY,EUR,2023-01-02,0.324,0.324,0.29,0.29,101,1,0.324
CNE1000004F1,603527484,SIY,EUR,2023-01-03,0.294,0.294,0.294,0.294,0,0,0.294
CNE1000004F1,603527484,SIY,EUR,2023-01-04,0.33,0.33,0.294,0.294,30,1,0.33
CNE1000004F1,603527484,SIY,EUR,2023-01-05,0.33,0.33,0.296,0.296,15,1,0.33
CNE1000004F1,603527484,SIY,EUR,2023-01-06,0.292,0.292,0.292,0.292,0,0,0.292
CNE1000004F1,603527484,SIY,EUR,2023-01-09,0.324,0.324,0.29,0.29,46,2,0.3227
CNE1000004F1,603527484,SIY,EUR,2023-01-10,0.294,0.294,0.294,0.294,0,0,0.294
CNE1000004F1,603527484,SIY,EUR,2023-01-11,0.294,0.294,0.294,0.294,0,0,0.294
CNE1000004F1,603527484,SIY,EUR,2023-01-12,0.296,0.296,0.296,0.296,0,0,0.296
CNE1000004F1,603527484,SIY,EUR,2023-01-13,0.326,0.326,0.292,0.292,5026,2,0.2927
CNE1000004F1,603527484,SIY,EUR,2023-01-16,0.294,0.294,0.294,0.294,0,0,0.294
CNE1000004F1,603527484,SIY,EUR,2023-01-17,0.3,0.3,0.292,0.292,5000,1,0.3
CNE1000004F1,603527484,SIY,EUR,2023-01-18,0.298,0.298,0.298,0.298,0,0,0.298
CNE1000004F1,603527484,SIY,EUR,2023-01-19,0.298,0.298,0.298,0.298,3000,1,0.298
CNE1000004F1,603527484,SIY,EUR,2023-01-20,0.312,0.312,0.312,0.312,50,1,0.312
CNE1000004F1,603527484,SIY,EUR,2023-01-23,0.31,0.31,0.31,0.31,0,0,0.31
CNE1000004F1,603527484,SIY,EUR,2023-01-24,0.31,0.31,0.31,0.31,0,0,0.31
CNE1000004F1,603527484,SIY,EUR,2023-01-25,0.3,0.344,0.3,0.3,30950,2,0.3014
CNE1000004F1,603527484,SIY,EUR,2023-01-26,0.312,0.312,0.312,0.312,0,0,0.312
CNE1000004F1,603527484,SIY,EUR,2023-01-27,0.346,0.346,0.31,0.31,28,1,0.346
CNE1000004F1,603527484,SIY,EUR,2023-01-30,0.334,0.334,0.3,0.3,119,1,0.334
CNE1000004F1,603527484,SIY,EUR,2023-01-31,0.336,0.336,0.304,0.304,35,1,0.336
CNE1000004F1,603527484,SIY,EUR,2023-02-01,0.31,0.31,0.31,0.31,0,0,0.31
CNE1000004F1,603527484,SIY,EUR,2023-02-02,0.304,0.304,0.304,0.304,0,0,0.304
CNE1000004F1,603527484,SIY,EUR,2023-02-03,0.298,0.298,0.298,0.298,0,0,0.298
CNE1000004F1,603527484,SIY,EUR,2023-02-06,0.296,0.296,0.296,0.296,0,0,0.296
CNE1000004F1,603527484,SIY,EUR,2023-02-07,0.33,0.33,0.296,0.296,3,1,0.33
CNE1000004F1,603527484,SIY,EUR,2023-02-08,0.296,0.296,0.296,0.296,0,0,0.296
CNE1000004F1,603527484,SIY,EUR,2023-02-09,0.296,0.296,0.296,0.296,0,0,0.296
CNE1000004F1,603527484,SIY,EUR,2023-02-10,0.32,0.32,0.284,0.284,78,1,0.32
CNE1000004F1,603527484,SIY,EUR,2023-02-13,0.322,0.322,0.29,0.29,780,1,0.322
CNE1000004F1,603527484,SIY,EUR,2023-02-14,0.32,0.32,0.286,0.286,21,1,0.32
CNE1000004F1,603527484,SIY,EUR,2023-02-15,0.318,0.318,0.282,0.282,28,1,0.318
CNE1000004F1,603527484,SIY,EUR,2023-02-16,0.284,0.284,0.284,0.284,0,0,0.284
CNE1000004F1,603527484,SIY,EUR,2023-02-17,0.282,0.282,0.282,0.282,0,0,0.282
CNE1000004F1,603527484,SIY,EUR,2023-02-20,0.3,0.3,0.3,0.3,11595,1,0.3
CNE1000004F1,603527484,SIY,EUR,2023-02-21,0.322,0.322,0.288,0.288,5,1,0.322
CNE1000004F1,603527484,SIY,EUR,2023-02-22,0.278,0.278,0.278,0.278,0,0,0.278
CNE1000004F1,603527484,SIY,EUR,2023-02-23,0.28,0.28,0.28,0.28,0,0,0.28
CNE1000004F1,603527484,SIY,EUR,2023-02-24,0.278,0.278,0.278,0.278,0,0,0.278
CNE1000004F1,603527484,SIY,EUR,2023-02-27,0.274,0.274,0.274,0.274,0,0,0.274
CNE1000004F1,603527484,SIY,EUR,2023-02-28,0.28,0.28,0.28,0.28,0,0,0.28
CNE1000004F1,603527484,SIY,EUR,2023-03-01,0.274,0.274,0.274,0.274,0,0,0.274
CNE1000004F1,603527484,SIY,EUR,2023-03-02,0.282,0.282,0.282,0.282,0,0,0.282
CNE1000004F1,603527484,SIY,EUR,2023-03-03,0.286,0.286,0.286,0.286,0,0,0.286
CNE1000004F1,603527484,SIY,EUR,2023-03-06,0.292,0.292,0.292,0.292,0,0,0.292
CNE1000004F1,603527484,SIY,EUR,2023-03-07,0.294,0.294,0.294,0.294,0,0,0.294
CNE1000004F1,603527484,SIY,EUR,2023-03-08,0.334,0.334,0.3,0.3,50,1,0.334
CNE1000004F1,603527484,SIY,EUR,2023-03-09,0.294,0.294,0.294,0.294,0,0,0.294
CNE1000004F1,603527484,SIY,EUR,2023-03-10,0.288,0.288,0.288,0.288,0,0,0.288
CNE1000004F1,603527484,SIY,EUR,2023-03-13,0.324,0.324,0.29,0.29,6,1,0.324
CNE1000004F1,603527484,SIY,EUR,2023-03-14,0.284,0.284,0.284,0.284,0,0,0.284
CNE1000004F1,603527484,SIY,EUR,2023-03-15,0.296,0.296,0.296,0.296,0,0,0.296
CNE1000004F1,603527484,SIY,EUR,2023-03-16,0.292,0.292,0.292,0.292,0,0,0.292
CNE1000004F1,603527484,SIY,EUR,2023-03-17,0.308,0.308,0.308,0.308,0,0,0.308
CNE1000004F1,603527484,SIY,EUR,2023-03-20,0.302,0.302,0.302,0.302,0,0,0.302
CNE1000004F1,603527484,SIY,EUR,2023-03-21,0.302,0.302,0.302,0.302,0,0,0.302
CNE1000004F1,603527484,SIY,EUR,2023-03-22,0.31,0.31,0.31,0.31,0,0,0.31
CNE1000004F1,603527484,SIY,EUR,2023-03-23,0.3,0.3,0.3,0.3,0,0,0.3
CNE1000004F1,603527484,SIY,EUR,2023-03-24,0.3,0.3,0.3,0.3,0,0,0.3
CNE1000004F1,603527484,SIY,EUR,2023-03-27,0.328,0.328,0.294,0.294,3,1,0.328
CNE1000004F1,603527484,SIY,EUR,2023-03-28,0.286,0.286,0.286,0.286,0,0,0.286
CNE1000004F1,603527484,SIY,EUR,2023-03-29,0.282,0.282,0.282,0.282,0,0,0.282
CNE1000004F1,603527484,SIY,EUR,2023-03-30,0.274,0.274,0.274,0.274,0,0,0.274
CNE1000004F1,603527484,SIY,EUR,2023-03-31,0.27,0.27,0.27,0.27,0,0,0.27
CNE1000004F1,603527484,SIY,EUR,2023-04-03,0.268,0.268,0.268,0.268,0,0,0.268
CNE1000004F1,603527484,SIY,EUR,2023-04-04,0.296,0.296,0.268,0.268,2500,1,0.296
CNE1000004F1,603527484,SIY,EUR,2023-04-05,0.266,0.266,0.266,0.266,0,0,0.266
CNE1000004F1,603527484,SIY,EUR,2023-04-06,0.268,0.268,0.268,0.268,0,0,0.268
CNE1000004F1,603527484,SIY,EUR,2023-04-11,0.282,0.282,0.282,0.282,0,0,0.282
CNE1000004F1,603527484,SIY,EUR,2023-04-12,0.284,0.284,0.284,0.284,0,0,0.284
CNE1000004F1,603527484,SIY,EUR,2023-04-13,0.284,0.284,0.284,0.284,0,0,0.284
CNE1000004F1,603527484,SIY,EUR,2023-04-14,0.284,0.284,0.284,0.284,0,0,0.284
CNE1000004F1,603527484,SIY,EUR,2023-04-17,0.292,0.292,0.292,0.292,0,0,0.292
CNE1000004F1,603527484,SIY,EUR,2023-04-18,0.292,0.292,0.292,0.292,0,0,0.292
CNE1000004F1,603527484,SIY,EUR,2023-04-19,0.288,0.288,0.288,0.288,0,0,0.288
CNE1000004F1,603527484,SIY,EUR,2023-04-20,0.29,0.29,0.29,0.29,0,0,0.29
CNE1000004F1,603527484,SIY,EUR,2023-04-21,0.288,0.288,0.288,0.288,0,0,0.288
CNE1000004F1,603527484,SIY,EUR,2023-04-24,0.288,0.288,0.288,0.288,0,0,0.288
CNE1000004F1,603527484,SIY,EUR,2023-04-25,0.29,0.29,0.29,0.29,0,0,0.29
CNE1000004F1,603527484,SIY,EUR,2023-04-26,0.31,0.31,0.29,0.29,809,1,0.31
CNE1000004F1,603527484,SIY,EUR,2023-04-27,0.316,0.322,0.316,0.322,9300,3,0.3205
CNE1000004F1,603527484,SIY,EUR,2023-04-28,0.33,0.33,0.3,0.3,9,1,0.33
CNE1000004F1,603527484,SIY,EUR,2023-05-02,0.3,0.3,0.3,0.3,0,0,0.3
CNE1000004F1,603527484,SIY,EUR,2023-05-03,0.302,0.322,0.298,0.298,8740,2,0.3106
CNE1000004F1,603527484,SIY,EUR,2023-05-04,0.304,0.304,0.304,0.304,6580,1,0.304
CNE1000004F1,603527484,SIY,EUR,2023-05-05,0.306,0.306,0.306,0.306,0,0,0.306
CNE1000004F1,603527484,SIY,EUR,2023-05-08,0.338,0.346,0.338,0.338,3850,2,0.3408
CNE1000004F1,603527484,SIY,EUR,2023-05-09,0.366,0.372,0.366,0.372,684,1,0.366
CNE1000004F1,603527484,SIY,EUR,2023-05-10,0.39,0.39,0.368,0.368,5,1,0.39
CNE1000004F1,603527484,SIY,EUR,2023-05-11,0.324,0.324,0.324,0.324,0,0,0.324
CNE1000004F1,603527484,SIY,EUR,2023-05-12,0.318,0.318,0.318,0.318,0,0,0.318
CNE1000004F1,603527484,SIY,EUR,2023-05-15,0.34,0.34,0.32,0.32,1500,1,0.34
CNE1000004F1,603527484,SIY,EUR,2023-05-16,0.314,0.314,0.314,0.314,0,0,0.314
CNE1000004F1,603527484,SIY,EUR,2023-05-17,0.318,0.32,0.304,0.304,3371,4,0.32
CNE1000004F1,603527484,SIY,EUR,2023-05-18,0.306,0.306,0.306,0.306,0,0,0.306
CNE1000004F1,603527484,SIY,EUR,2023-05-19,0.312,0.312,0.312,0.312,0,0,0.312
CNE1000004F1,603527484,SIY,EUR,2023-05-22,0.3,0.306,0.3,0.306,30000,2,0.3047
CNE1000004F1,603527484,SIY,EUR,2023-05-23,0.306,0.306,0.306,0.306,0,0,0.306
CNE1000004F1,603527484,SIY,EUR,2023-05-24,0.298,0.298,0.298,0.298,0,0,0.298
CNE1000004F1,603527484,SIY,EUR,2023-05-25,0.3,0.3,0.3,0.3,0,0,0.3
CNE1000004F1,603527484,SIY,EUR,2023-05-26,0.298,0.298,0.298,0.298,0,0,0.298
CNE1000004F1,603527484,SIY,EUR,2023-05-29,0.302,0.302,0.302,0.302,0,0,0.302
CNE1000004F1,603527484,SIY,EUR,2023-05-30,0.296,0.302,0.296,0.302,855,1,0.296
CNE1000004F1,603527484,SIY,EUR,2023-05-31,0.3,0.3,0.3,0.3,0,0,0.3
CNE1000004F1,603527484,SIY,EUR,2023-06-01,0.306,0.306,0.306,0.306,0,0,0.306
CNE1000004F1,603527484,SIY,EUR,2023-06-02,0.318,0.318,0.3,0.3,31,1,0.318
