ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CNE1000004K1,96136880,TSI,EUR,2019-01-02,3.36,3.36,3.36,3.36,0,0,3.36
CNE1000004K1,96136880,TSI,EUR,2019-01-03,3.34,3.34,3.34,3.34,0,0,3.34
CNE1000004K1,96136880,TSI,EUR,2019-01-04,3.34,3.34,3.34,3.34,0,0,3.34
CNE1000004K1,96136880,TSI,EUR,2019-01-07,3.56,3.56,3.4,3.4,2500,2,3.44
CNE1000004K1,96136880,TSI,EUR,2019-01-08,3.55,3.55,3.49,3.49,600,1,3.55
CNE1000004K1,96136880,TSI,EUR,2019-01-09,3.6,3.6,3.58,3.58,2300,1,3.6
CNE1000004K1,96136880,TSI,EUR,2019-01-10,3.65,3.65,3.65,3.65,2400,1,3.65
CNE1000004K1,96136880,TSI,EUR,2019-01-11,3.65,3.66,3.65,3.65,7400,2,3.6568
CNE1000004K1,96136880,TSI,EUR,2019-01-14,3.67,3.67,3.67,3.67,0,0,3.67
CNE1000004K1,96136880,TSI,EUR,2019-01-15,3.79,3.79,3.79,3.79,0,0,3.79
CNE1000004K1,96136880,TSI,EUR,2019-01-16,3.9,3.9,3.83,3.83,113,1,3.9
CNE1000004K1,96136880,TSI,EUR,2019-01-17,3.88,3.88,3.88,3.88,100,1,3.88
CNE1000004K1,96136880,TSI,EUR,2019-01-18,3.9,3.9,3.79,3.79,1832,2,3.9
CNE1000004K1,96136880,TSI,EUR,2019-01-21,3.81,3.81,3.81,3.81,0,0,3.81
CNE1000004K1,96136880,TSI,EUR,2019-01-22,3.85,3.85,3.85,3.85,0,0,3.85
CNE1000004K1,96136880,TSI,EUR,2019-01-23,3.82,3.82,3.82,3.82,0,0,3.82
CNE1000004K1,96136880,TSI,EUR,2019-01-24,3.82,3.82,3.72,3.72,1500,1,3.82
CNE1000004K1,96136880,TSI,EUR,2019-01-25,3.79,3.79,3.79,3.79,0,0,3.79
CNE1000004K1,96136880,TSI,EUR,2019-01-28,3.69,3.69,3.69,3.69,0,0,3.69
CNE1000004K1,96136880,TSI,EUR,2019-01-29,3.67,3.67,3.67,3.67,0,0,3.67
CNE1000004K1,96136880,TSI,EUR,2019-01-30,3.67,3.67,3.67,3.67,0,0,3.67
CNE1000004K1,96136880,TSI,EUR,2019-01-31,3.75,3.75,3.75,3.75,0,0,3.75
CNE1000004K1,96136880,TSI,EUR,2019-02-01,3.74,3.74,3.74,3.74,0,0,3.74
CNE1000004K1,96136880,TSI,EUR,2019-02-04,3.78,3.78,3.78,3.78,0,0,3.78
CNE1000004K1,96136880,TSI,EUR,2019-02-05,3.78,3.78,3.78,3.78,0,0,3.78
CNE1000004K1,96136880,TSI,EUR,2019-02-06,3.79,3.79,3.79,3.79,0,0,3.79
CNE1000004K1,96136880,TSI,EUR,2019-02-07,3.99,3.99,3.83,3.83,2696,3,3.8565
CNE1000004K1,96136880,TSI,EUR,2019-02-08,3.75,3.75,3.75,3.75,0,0,3.75
CNE1000004K1,96136880,TSI,EUR,2019-02-11,3.92,3.92,3.92,3.92,150,1,3.92
CNE1000004K1,96136880,TSI,EUR,2019-02-12,3.91,3.91,3.91,3.91,0,0,3.91
CNE1000004K1,96136880,TSI,EUR,2019-02-13,3.94,3.94,3.94,3.94,853,1,3.94
CNE1000004K1,96136880,TSI,EUR,2019-02-14,3.93,3.93,3.93,3.93,0,0,3.93
CNE1000004K1,96136880,TSI,EUR,2019-02-15,3.9,3.9,3.9,3.9,0,0,3.9
CNE1000004K1,96136880,TSI,EUR,2019-02-18,3.95,3.95,3.95,3.95,0,0,3.95
CNE1000004K1,96136880,TSI,EUR,2019-02-19,3.99,3.99,3.81,3.81,165,1,3.99
CNE1000004K1,96136880,TSI,EUR,2019-02-20,3.79,3.79,3.79,3.79,0,0,3.79
CNE1000004K1,96136880,TSI,EUR,2019-02-21,3.79,3.79,3.79,3.79,0,0,3.79
CNE1000004K1,96136880,TSI,EUR,2019-02-22,3.89,3.89,3.79,3.79,100,1,3.89
CNE1000004K1,96136880,TSI,EUR,2019-02-25,3.84,3.84,3.84,3.84,0,0,3.84
CNE1000004K1,96136880,TSI,EUR,2019-02-26,3.77,3.77,3.77,3.77,0,0,3.77
CNE1000004K1,96136880,TSI,EUR,2019-02-27,3.75,3.75,3.75,3.75,0,0,3.75
CNE1000004K1,96136880,TSI,EUR,2019-02-28,3.75,3.75,3.75,3.75,0,0,3.75
CNE1000004K1,96136880,TSI,EUR,2019-03-01,3.65,3.65,3.65,3.65,0,0,3.65
CNE1000004K1,96136880,TSI,EUR,2019-03-04,3.7,3.7,3.7,3.7,0,0,3.7
CNE1000004K1,96136880,TSI,EUR,2019-03-05,3.7,3.7,3.7,3.7,0,0,3.7
CNE1000004K1,96136880,TSI,EUR,2019-03-06,3.89,3.89,3.72,3.72,2743,2,3.8787
CNE1000004K1,96136880,TSI,EUR,2019-03-07,3.71,3.71,3.71,3.71,3008,1,3.71
CNE1000004K1,96136880,TSI,EUR,2019-03-08,3.65,3.65,3.54,3.54,984,3,3.5531
CNE1000004K1,96136880,TSI,EUR,2019-03-11,3.41,3.41,3.41,3.41,0,0,3.41
CNE1000004K1,96136880,TSI,EUR,2019-03-12,3.6,3.6,3.6,3.6,500,1,3.6
CNE1000004K1,96136880,TSI,EUR,2019-03-13,3.54,3.54,3.54,3.54,0,0,3.54
CNE1000004K1,96136880,TSI,EUR,2019-03-14,3.69,3.69,3.61,3.61,350,1,3.69
CNE1000004K1,96136880,TSI,EUR,2019-03-15,3.69,3.69,3.69,3.69,1073,1,3.69
CNE1000004K1,96136880,TSI,EUR,2019-03-18,3.74,3.81,3.72,3.81,9000,3,3.7467
CNE1000004K1,96136880,TSI,EUR,2019-03-19,3.71,3.71,3.71,3.71,0,0,3.71
CNE1000004K1,96136880,TSI,EUR,2019-03-20,3.74,3.74,3.74,3.74,0,0,3.74
CNE1000004K1,96136880,TSI,EUR,2019-03-21,3.84,3.84,3.79,3.79,2405,3,3.7932
CNE1000004K1,96136880,TSI,EUR,2019-03-22,3.71,3.71,3.71,3.71,0,0,3.71
CNE1000004K1,96136880,TSI,EUR,2019-03-25,3.6,3.6,3.6,3.6,0,0,3.6
CNE1000004K1,96136880,TSI,EUR,2019-03-26,3.63,3.63,3.63,3.63,0,0,3.63
CNE1000004K1,96136880,TSI,EUR,2019-03-27,3.92,3.92,3.88,3.88,2125,1,3.92
CNE1000004K1,96136880,TSI,EUR,2019-03-28,3.96,3.96,3.95,3.95,50,1,3.96
CNE1000004K1,96136880,TSI,EUR,2019-03-29,4.12,4.12,4.1,4.1,1530,2,4.1069
CNE1000004K1,96136880,TSI,EUR,2019-04-01,4.4,4.43,4.36,4.36,1876,3,4.4047
CNE1000004K1,96136880,TSI,EUR,2019-04-02,4.58,4.58,4.48,4.48,538,3,4.5729
CNE1000004K1,96136880,TSI,EUR,2019-04-03,4.66,4.66,4.66,4.66,0,0,4.66
CNE1000004K1,96136880,TSI,EUR,2019-04-04,4.7,4.7,4.7,4.7,600,1,4.7
CNE1000004K1,96136880,TSI,EUR,2019-04-05,4.65,4.71,4.61,4.71,10442,9,4.675
CNE1000004K1,96136880,TSI,EUR,2019-04-08,4.7,4.7,4.66,4.66,200,1,4.7
CNE1000004K1,96136880,TSI,EUR,2019-04-09,4.7,4.7,4.68,4.68,100,1,4.7
CNE1000004K1,96136880,TSI,EUR,2019-04-10,4.78,4.78,4.76,4.76,2,1,4.78
CNE1000004K1,96136880,TSI,EUR,2019-04-11,4.72,4.72,4.72,4.72,0,0,4.72
CNE1000004K1,96136880,TSI,EUR,2019-04-12,5.1,5.2,5.1,5.2,16251,5,5.1196
CNE1000004K1,96136880,TSI,EUR,2019-04-15,5.15,5.2,5.15,5.15,19200,6,5.174
CNE1000004K1,96136880,TSI,EUR,2019-04-16,5.15,5.15,5.15,5.15,100,1,5.15
CNE1000004K1,96136880,TSI,EUR,2019-04-17,5.2,5.2,5.2,5.2,10000,1,5.2
CNE1000004K1,96136880,TSI,EUR,2019-04-18,5.4,5.4,5.3,5.3,570,2,5.3868
CNE1000004K1,96136880,TSI,EUR,2019-04-23,5.3,5.5,5.3,5.35,26578,3,5.3636
CNE1000004K1,96136880,TSI,EUR,2019-04-24,5.35,5.35,5.35,5.35,0,0,5.35
CNE1000004K1,96136880,TSI,EUR,2019-04-25,5.35,5.35,5.35,5.35,0,0,5.35
CNE1000004K1,96136880,TSI,EUR,2019-04-26,5.2,5.2,5.2,5.2,0,0,5.2
CNE1000004K1,96136880,TSI,EUR,2019-04-29,5.35,5.35,5.25,5.25,1700,2,5.3236
CNE1000004K1,96136880,TSI,EUR,2019-04-30,5.6,5.7,5.55,5.55,7177,6,5.6534
CNE1000004K1,96136880,TSI,EUR,2019-05-02,5.9,6.05,5.9,5.95,3830,5,5.9246
CNE1000004K1,96136880,TSI,EUR,2019-05-03,5.85,5.85,5.75,5.75,26500,4,5.7744
CNE1000004K1,96136880,TSI,EUR,2019-05-06,5.7,5.7,5.7,5.7,9685,3,5.7
CNE1000004K1,96136880,TSI,EUR,2019-05-07,5.55,5.7,5.55,5.6,3766,3,5.6518
CNE1000004K1,96136880,TSI,EUR,2019-05-08,5.55,5.55,5.55,5.55,0,0,5.55
CNE1000004K1,96136880,TSI,EUR,2019-05-09,5.4,5.4,5.35,5.35,1700,2,5.3942
CNE1000004K1,96136880,TSI,EUR,2019-05-10,5.5,5.5,5.5,5.5,0,0,5.5
CNE1000004K1,96136880,TSI,EUR,2019-05-13,5.5,5.5,5.5,5.5,0,0,5.5
CNE1000004K1,96136880,TSI,EUR,2019-05-14,5.6,5.6,5.45,5.45,6922,3,5.6
CNE1000004K1,96136880,TSI,EUR,2019-05-15,5.65,5.65,5.65,5.65,0,0,5.65
CNE1000004K1,96136880,TSI,EUR,2019-05-16,5.75,5.75,5.75,5.75,0,0,5.75
CNE1000004K1,96136880,TSI,EUR,2019-05-17,5.7,5.7,5.55,5.55,11,1,5.7
CNE1000004K1,96136880,TSI,EUR,2019-05-20,5.5,5.5,5.5,5.5,0,0,5.5
CNE1000004K1,96136880,TSI,EUR,2019-05-21,5.6,5.6,5.6,5.6,250,1,5.6
CNE1000004K1,96136880,TSI,EUR,2019-05-22,5.5,5.5,5.45,5.45,4000,1,5.5
