ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CNE100000HD4,517788174,6WX,EUR,2021-09-30,2.107,2.107,2.098,2.098,9237,8,2.10495
CNE100000HD4,517788174,6WX,EUR,2021-10-01,2.113,2.119,2.099,2.116,10958,5,2.1112
CNE100000HD4,517788174,6WX,EUR,2021-10-04,1.9495,1.987,1.949,1.96,16330,3,1.98435
CNE100000HD4,517788174,6WX,EUR,2021-10-05,2.079,2.083,2.079,2.083,150,2,2.08275
CNE100000HD4,517788174,6WX,EUR,2021-10-06,1.988,2.074,1.979,1.979,132,2,1.9958
CNE100000HD4,517788174,6WX,EUR,2021-10-07,1.954,1.954,1.954,1.954,0,0,1.954
CNE100000HD4,517788174,6WX,EUR,2021-10-08,1.8765,1.877,1.798,1.82,28121,7,1.85395
CNE100000HD4,517788174,6WX,EUR,2021-10-11,1.668,1.746,1.668,1.746,7950,5,1.6783
CNE100000HD4,517788174,6WX,EUR,2021-10-12,1.747,1.747,1.72,1.72,7,1,1.747
CNE100000HD4,517788174,6WX,EUR,2021-10-13,1.7445,1.745,1.654,1.74,220,3,1.69845
CNE100000HD4,517788174,6WX,EUR,2021-10-14,1.7365,1.737,1.736,1.737,500,1,1.7365
CNE100000HD4,517788174,6WX,EUR,2021-10-15,1.7985,1.799,1.737,1.737,152,1,1.7985
CNE100000HD4,517788174,6WX,EUR,2021-10-18,1.8195,1.82,1.819,1.82,4166,1,1.8195
CNE100000HD4,517788174,6WX,EUR,2021-10-19,1.85,1.85,1.85,1.85,1500,1,1.85
CNE100000HD4,517788174,6WX,EUR,2021-10-20,1.893,1.893,1.893,1.893,0,0,1.893
CNE100000HD4,517788174,6WX,EUR,2021-10-21,1.902,1.902,1.85,1.85,3000,1,1.902
CNE100000HD4,517788174,6WX,EUR,2021-10-22,1.921,1.925,1.921,1.925,291,2,1.9214
CNE100000HD4,517788174,6WX,EUR,2021-10-25,2.069,2.075,1.98,1.982,5350,4,1.99325
CNE100000HD4,517788174,6WX,EUR,2021-10-26,2.021,2.021,1.98,1.98,3259,1,2.021
CNE100000HD4,517788174,6WX,EUR,2021-10-27,2.096,2.096,2.001,2.096,5,2,2.077
CNE100000HD4,517788174,6WX,EUR,2021-10-28,2.0,2.034,2.0,2.0,2680,2,2.0317
CNE100000HD4,517788174,6WX,EUR,2021-10-29,2.053,2.07,2.053,2.07,10200,3,2.06085
CNE100000HD4,517788174,6WX,EUR,2021-11-01,2.022,2.029,2.022,2.026,6076,3,2.026
CNE100000HD4,517788174,6WX,EUR,2021-11-02,1.9865,1.993,1.986,1.993,302,2,1.9875
CNE100000HD4,517788174,6WX,EUR,2021-11-03,1.9915,1.992,1.929,1.929,5170,2,1.99055
CNE100000HD4,517788174,6WX,EUR,2021-11-04,2.09,2.112,2.09,2.112,4274,2,2.0994
CNE100000HD4,517788174,6WX,EUR,2021-11-05,1.95,2.035,1.95,1.95,301,2,1.9503
CNE100000HD4,517788174,6WX,EUR,2021-11-08,1.9145,1.939,1.885,1.9,11854,6,1.89605
CNE100000HD4,517788174,6WX,EUR,2021-11-09,1.833,1.833,1.833,1.833,0,0,1.833
CNE100000HD4,517788174,6WX,EUR,2021-11-10,1.8185,1.819,1.726,1.8,3953,4,1.783
CNE100000HD4,517788174,6WX,EUR,2021-11-11,1.8195,1.82,1.807,1.808,505,2,1.8076
CNE100000HD4,517788174,6WX,EUR,2021-11-12,1.791,1.863,1.79,1.791,2700,3,1.8052
CNE100000HD4,517788174,6WX,EUR,2021-11-15,1.751,1.842,1.751,1.804,8017,6,1.77535
CNE100000HD4,517788174,6WX,EUR,2021-11-16,1.807,1.807,1.807,1.807,0,0,1.807
CNE100000HD4,517788174,6WX,EUR,2021-11-17,1.751,1.751,1.751,1.751,0,0,1.751
CNE100000HD4,517788174,6WX,EUR,2021-11-18,1.791,1.806,1.791,1.806,11000,2,1.7923
CNE100000HD4,517788174,6WX,EUR,2021-11-19,1.753,1.753,1.753,1.753,0,0,1.753
CNE100000HD4,517788174,6WX,EUR,2021-11-22,1.7765,1.777,1.776,1.777,5498,1,1.7765
CNE100000HD4,517788174,6WX,EUR,2021-11-23,1.75,1.773,1.72,1.75,26859,13,1.7456
CNE100000HD4,517788174,6WX,EUR,2021-11-24,1.792,1.792,1.792,1.792,0,0,1.792
CNE100000HD4,517788174,6WX,EUR,2021-11-25,1.8895,1.919,1.85,1.919,18430,5,1.8906
CNE100000HD4,517788174,6WX,EUR,2021-11-26,1.823,1.823,1.823,1.823,300,1,1.823
CNE100000HD4,517788174,6WX,EUR,2021-11-29,1.8265,1.91,1.826,1.839,1414,2,1.9039
CNE100000HD4,517788174,6WX,EUR,2021-11-30,1.845,1.847,1.845,1.847,3235,2,1.8464
CNE100000HD4,517788174,6WX,EUR,2021-12-01,1.835,1.84,1.835,1.84,1625,1,1.835
CNE100000HD4,517788174,6WX,EUR,2021-12-02,1.81,1.81,1.81,1.81,2499,1,1.81
CNE100000HD4,517788174,6WX,EUR,2021-12-03,1.924,1.924,1.924,1.924,0,0,1.924
CNE100000HD4,517788174,6WX,EUR,2021-12-06,1.8645,1.865,1.797,1.839,36551,5,1.81965
CNE100000HD4,517788174,6WX,EUR,2021-12-07,1.84,1.86,1.818,1.818,13483,6,1.83905
CNE100000HD4,517788174,6WX,EUR,2021-12-08,1.841,1.841,1.841,1.841,0,0,1.841
CNE100000HD4,517788174,6WX,EUR,2021-12-09,1.9745,2.075,1.923,1.98,14050,8,1.9803
CNE100000HD4,517788174,6WX,EUR,2021-12-10,1.935,1.935,1.935,1.935,0,0,1.935
CNE100000HD4,517788174,6WX,EUR,2021-12-13,1.976,2.055,1.976,2.055,11051,4,1.99105
CNE100000HD4,517788174,6WX,EUR,2021-12-14,1.984,1.984,1.984,1.984,0,0,1.984
CNE100000HD4,517788174,6WX,EUR,2021-12-15,2.0,2.04,1.973,1.984,19755,8,1.9957
CNE100000HD4,517788174,6WX,EUR,2021-12-16,2.04,2.116,2.04,2.089,169,2,2.1025
CNE100000HD4,517788174,6WX,EUR,2021-12-17,2.064,2.064,2.044,2.044,7184,1,2.064
CNE100000HD4,517788174,6WX,EUR,2021-12-20,1.9195,1.964,1.906,1.964,14668,4,1.96015
CNE100000HD4,517788174,6WX,EUR,2021-12-21,1.971,1.971,1.971,1.971,0,0,1.971
CNE100000HD4,517788174,6WX,EUR,2021-12-22,2.029,2.032,2.029,2.032,120,2,2.0295
CNE100000HD4,517788174,6WX,EUR,2021-12-23,2.126,2.126,2.126,2.126,0,0,2.126
CNE100000HD4,517788174,6WX,EUR,2021-12-27,2.084,2.084,2.084,2.084,10000,1,2.084
CNE100000HD4,517788174,6WX,EUR,2021-12-28,2.041,2.041,2.041,2.041,0,0,2.041
CNE100000HD4,517788174,6WX,EUR,2021-12-29,2.012,2.104,2.012,2.038,354,2,2.08995
CNE100000HD4,517788174,6WX,EUR,2021-12-30,2.089,2.089,2.089,2.089,0,0,2.089
CNE100000HD4,517788174,6WX,EUR,2022-01-03,2.146,2.2,2.146,2.191,10828,6,2.16064
CNE100000HD4,517788174,6WX,EUR,2022-01-04,2.035,2.045,2.035,2.045,345,1,2.035
CNE100000HD4,517788174,6WX,EUR,2022-01-05,1.949,1.949,1.857,1.923,1240,3,1.91764
CNE100000HD4,517788174,6WX,EUR,2022-01-06,1.839,1.839,1.839,1.839,0,0,1.839
