ISIN,conId,Symbol,Currency,date,open,high,low,close,volume,barCount,average
CNE100002QY7,436042135,1ZO,EUR,2020-07-23,5.052,5.182,5.052,5.062,1070,3,5.0862
CNE100002QY7,436042135,1ZO,EUR,2020-07-24,4.722,4.722,4.624,4.624,108,2,4.71088
CNE100002QY7,436042135,1ZO,EUR,2020-07-27,4.853,4.96,4.661,4.661,750,2,4.92434
CNE100002QY7,436042135,1ZO,EUR,2020-07-28,5.034,5.034,5.034,5.034,192,1,5.034
CNE100002QY7,436042135,1ZO,EUR,2020-07-29,5.14,5.14,4.668,4.668,400,1,5.14
CNE100002QY7,436042135,1ZO,EUR,2020-07-30,4.873,4.873,4.873,4.873,0,0,4.873
CNE100002QY7,436042135,1ZO,EUR,2020-07-31,5.004,5.004,4.808,4.808,540,2,5.004
CNE100002QY7,436042135,1ZO,EUR,2020-08-03,5.15,5.156,4.846,4.846,707,2,5.15424
CNE100002QY7,436042135,1ZO,EUR,2020-08-04,5.358,5.49,5.14,5.14,1070,2,5.41968
CNE100002QY7,436042135,1ZO,EUR,2020-08-05,5.296,5.394,5.296,5.394,105,2,5.30066
CNE100002QY7,436042135,1ZO,EUR,2020-08-06,4.991,4.991,4.991,4.991,0,0,4.991
CNE100002QY7,436042135,1ZO,EUR,2020-08-07,5.116,5.116,5.052,5.052,200,1,5.116
CNE100002QY7,436042135,1ZO,EUR,2020-08-10,4.806,4.806,4.806,4.806,0,0,4.806
CNE100002QY7,436042135,1ZO,EUR,2020-08-11,4.858,4.858,4.661,4.661,278,1,4.858
CNE100002QY7,436042135,1ZO,EUR,2020-08-12,4.778,4.778,4.778,4.778,350,1,4.778
CNE100002QY7,436042135,1ZO,EUR,2020-08-13,4.886,4.886,4.546,4.546,300,2,4.836
CNE100002QY7,436042135,1ZO,EUR,2020-08-14,4.72,4.787,4.484,4.484,1065,2,4.78292
CNE100002QY7,436042135,1ZO,EUR,2020-08-17,4.777,4.82,4.777,4.82,280,2,4.80926
CNE100002QY7,436042135,1ZO,EUR,2020-08-18,4.9,4.9,4.8,4.85,1175,3,4.84042
CNE100002QY7,436042135,1ZO,EUR,2020-08-19,4.77,4.798,4.618,4.618,800,2,4.777
CNE100002QY7,436042135,1ZO,EUR,2020-08-20,4.523,4.523,4.523,4.523,0,0,4.523
CNE100002QY7,436042135,1ZO,EUR,2020-08-21,4.743,4.755,4.475,4.475,330,2,4.74772
CNE100002QY7,436042135,1ZO,EUR,2020-08-24,4.881,4.937,4.881,4.937,1338,4,4.9323
CNE100002QY7,436042135,1ZO,EUR,2020-08-25,4.706,4.706,4.706,4.706,0,0,4.706
CNE100002QY7,436042135,1ZO,EUR,2020-08-26,4.6,4.93,4.6,4.915,17000,9,4.88064
CNE100002QY7,436042135,1ZO,EUR,2020-08-27,5.488,6.3,5.488,6.3,10792,6,5.53248
CNE100002QY7,436042135,1ZO,EUR,2020-08-28,6.0,6.0,5.512,5.512,9960,6,5.57886
CNE100002QY7,436042135,1ZO,EUR,2020-08-31,5.464,5.58,5.268,5.268,1460,3,5.46674
CNE100002QY7,436042135,1ZO,EUR,2020-09-01,5.868,5.868,5.868,5.868,300,1,5.868
CNE100002QY7,436042135,1ZO,EUR,2020-09-02,6.064,6.064,5.928,6.064,1330,3,6.04866
CNE100002QY7,436042135,1ZO,EUR,2020-09-03,5.458,5.796,5.458,5.796,1100,3,5.64972
CNE100002QY7,436042135,1ZO,EUR,2020-09-04,5.226,5.226,5.226,5.226,300,1,5.226
CNE100002QY7,436042135,1ZO,EUR,2020-09-07,5.264,5.272,5.196,5.196,1365,3,5.2616
CNE100002QY7,436042135,1ZO,EUR,2020-09-08,4.907,4.907,4.907,4.907,0,0,4.907
CNE100002QY7,436042135,1ZO,EUR,2020-09-09,4.623,4.623,4.623,4.623,0,0,4.623
CNE100002QY7,436042135,1ZO,EUR,2020-09-10,4.99,4.99,4.797,4.797,2100,3,4.89766
